item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	cool	13.957353844500545	
1	sentence	3		0.0	
1	sentence	4	, but not	20.059232771723018	
1	sentence	5	good	5.677066473135407	
1	sentence	6	.	4.350095806289614	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	cool	13.957353844500545	
2	sentence	3		0.0	
2	sentence	4	, but not	20.059232771723018	
2	sentence	5	little	17.691097194732123	
2	sentence	6	.	5.3454811705494985	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	cool	13.957353844500545	
3	sentence	3		0.0	
3	sentence	4	, but not	20.059232771723018	
3	sentence	5	other	13.114124283181402	
3	sentence	6	.	9.630167847132366	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	cool	13.957353844500545	
4	sentence	3		0.0	
4	sentence	4	, but not	20.059232771723018	
4	sentence	5	great	5.306244360651054	
4	sentence	6	.	3.8134635002819186	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	cool	13.957353844500545	
5	sentence	3		0.0	
5	sentence	4	, but not	20.059232771723018	
5	sentence	5	last	13.529359195424567	
5	sentence	6	.	6.675585017328711	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	cool	13.957353844500545	
6	sentence	3		0.0	
6	sentence	4	, but not	20.059232771723018	
6	sentence	5	new	10.211211233072365	
6	sentence	6	.	5.738901459391924	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	cool	13.957353844500545	
7	sentence	3		0.0	
7	sentence	4	, but not	20.059232771723018	
7	sentence	5	old	13.770333030646293	
7	sentence	6	.	6.122400069106073	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	cool	13.957353844500545	
8	sentence	3		0.0	
8	sentence	4	, but not	20.059232771723018	
8	sentence	5	big	10.76469267938509	
8	sentence	6	.	7.693813805206797	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	cool	13.957353844500545	
9	sentence	3		0.0	
9	sentence	4	, but not	20.059232771723018	
9	sentence	5	nice	8.147177271146246	
9	sentence	6	.	3.1832568098009753	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	cool	13.957353844500545	
10	sentence	3		0.0	
10	sentence	4	, but not	20.059232771723018	
10	sentence	5	wrong	13.119506652222805	
10	sentence	6	.	3.981647054387168	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	cool	13.957353844500545	
11	sentence	3		0.0	
11	sentence	4	, but not	20.059232771723018	
11	sentence	5	bad	9.593515592511087	
11	sentence	6	.	4.2544820515424355	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	cool	13.957353844500545	
12	sentence	3		0.0	
12	sentence	4	, but not	20.059232771723018	
12	sentence	5	same	15.598797540171399	
12	sentence	6	.	6.456981309470012	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	cool	13.957353844500545	
13	sentence	3		0.0	
13	sentence	4	, but not	20.059232771723018	
13	sentence	5	next	13.035094815456924	
13	sentence	6	.	10.275641437530401	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	cool	13.957353844500545	
14	sentence	3		0.0	
14	sentence	4	, but not	20.059232771723018	
14	sentence	5	dead	13.100453726229619	
14	sentence	6	.	4.245224913377094	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	cool	13.957353844500545	
15	sentence	3		0.0	
15	sentence	4	, but not	20.059232771723018	
15	sentence	5	many	9.54784800733158	
15	sentence	6	.	10.402358942616722	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	cool	13.957353844500545	
16	sentence	3		0.0	
16	sentence	4	, but not	20.059232771723018	
16	sentence	5	real	9.28233981506837	
16	sentence	6	.	5.324574615545314	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	cool	13.957353844500545	
17	sentence	3		0.0	
17	sentence	4	, but not	20.059232771723018	
17	sentence	5	live	13.73264544046682	
17	sentence	6	.	5.096764676385929	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	cool	13.957353844500545	
18	sentence	3		0.0	
18	sentence	4	, but not	20.059232771723018	
18	sentence	5	ready	9.940595844009133	
18	sentence	6	.	5.684377799588887	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	cool	13.957353844500545	
19	sentence	3		0.0	
19	sentence	4	, but not	20.059232771723018	
19	sentence	5	happy	12.021514374666358	
19	sentence	6	.	4.00096448969738	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	cool	13.957353844500545	
20	sentence	3		0.0	
20	sentence	4	, but not	20.059232771723018	
20	sentence	5	whole	14.928852194416793	
20	sentence	6	.	5.120063854028917	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	cool	13.957353844500545	
21	sentence	3		0.0	
21	sentence	4	, but not	20.059232771723018	
21	sentence	5	hard	10.098863910361537	
21	sentence	6	.	4.8123077796159555	
