item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The doctor	13.151207870291044	
1	sentence	2	dislikes	18.44962495653603	
1	sentence	3	coffee	12.609933064605958	
1	sentence	4	, but does not	23.40198354021175	
1	sentence	5	have	4.889137589235898	
1	sentence	6	it.	8.074339350835482	
2	sentence	1	The doctor	13.151207870291044	
2	sentence	2	dislikes	18.44962495653603	
2	sentence	3	coffee	12.609933064605958	
2	sentence	4	, but does not	23.40198354021175	
2	sentence	5	know	4.868840884711673	
2	sentence	6	it.	8.057445323058577	
3	sentence	1	The doctor	13.151207870291044	
3	sentence	2	dislikes	18.44962495653603	
3	sentence	3	coffee	12.609933064605958	
3	sentence	4	, but does not	23.40198354021175	
3	sentence	5	get	7.266670126287288	
3	sentence	6	it.	5.587971720769184	
4	sentence	1	The doctor	13.151207870291044	
4	sentence	2	dislikes	18.44962495653603	
4	sentence	3	coffee	12.609933064605958	
4	sentence	4	, but does not	23.40198354021175	
4	sentence	5	go	7.353360389211798	
4	sentence	6	it.	15.94730249594919	
5	sentence	1	The doctor	13.151207870291044	
5	sentence	2	dislikes	18.44962495653603	
5	sentence	3	coffee	12.609933064605958	
5	sentence	4	, but does not	23.40198354021175	
5	sentence	5	come	10.16289098748595	
5	sentence	6	it.	13.987378575688174	
6	sentence	1	The doctor	13.151207870291044	
6	sentence	2	dislikes	18.44962495653603	
6	sentence	3	coffee	12.609933064605958	
6	sentence	4	, but does not	23.40198354021175	
6	sentence	5	see	7.954710798635074	
6	sentence	6	it.	7.770870631925879	
7	sentence	1	The doctor	13.151207870291044	
7	sentence	2	dislikes	18.44962495653603	
7	sentence	3	coffee	12.609933064605958	
7	sentence	4	, but does not	23.40198354021175	
7	sentence	5	let	8.266095706981242	
7	sentence	6	it.	8.669548087813794	
8	sentence	1	The doctor	13.151207870291044	
8	sentence	2	dislikes	18.44962495653603	
8	sentence	3	coffee	12.609933064605958	
8	sentence	4	, but does not	23.40198354021175	
8	sentence	5	take	6.218902286227609	
8	sentence	6	it.	4.127390484190489	
9	sentence	1	The doctor	13.151207870291044	
9	sentence	2	dislikes	18.44962495653603	
9	sentence	3	coffee	12.609933064605958	
9	sentence	4	, but does not	23.40198354021175	
9	sentence	5	say	7.067907712893329	
9	sentence	6	it.	8.095447297523826	
10	sentence	1	The doctor	13.151207870291044	
10	sentence	2	dislikes	18.44962495653603	
10	sentence	3	coffee	12.609933064605958	
10	sentence	4	, but does not	23.40198354021175	
10	sentence	5	make	7.350212418770405	
10	sentence	6	it.	5.407696582429724	
11	sentence	1	The doctor	13.151207870291044	
11	sentence	2	dislikes	18.44962495653603	
11	sentence	3	coffee	12.609933064605958	
11	sentence	4	, but does not	23.40198354021175	
11	sentence	5	give	6.153675458130777	
11	sentence	6	it.	6.974850824216528	
12	sentence	1	The doctor	13.151207870291044	
12	sentence	2	dislikes	18.44962495653603	
12	sentence	3	coffee	12.609933064605958	
12	sentence	4	, but does not	23.40198354021175	
12	sentence	5	find	7.444123201308741	
12	sentence	6	it.	8.489330606658037	
13	sentence	1	The doctor	13.151207870291044	
13	sentence	2	dislikes	18.44962495653603	
13	sentence	3	coffee	12.609933064605958	
13	sentence	4	, but does not	23.40198354021175	
13	sentence	5	keep	9.739852190477235	
13	sentence	6	it.	4.204874343831662	
14	sentence	1	The doctor	13.151207870291044	
14	sentence	2	dislikes	18.44962495653603	
