item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The service was	15.401963052293612	
1	sentence	2	rough	17.726064707305547	
1	sentence	3		0.0	
1	sentence	4	, but not	19.64946346812427	
1	sentence	5	good	9.453796886950142	
1	sentence	6	.	4.249682359722157	
2	sentence	1	The service was	15.401963052293612	
2	sentence	2	rough	17.726064707305547	
2	sentence	3		0.0	
2	sentence	4	, but not	19.64946346812427	
2	sentence	5	little	14.756883302166054	
2	sentence	6	.	3.1852108766800784	
3	sentence	1	The service was	15.401963052293612	
3	sentence	2	rough	17.726064707305547	
3	sentence	3		0.0	
3	sentence	4	, but not	19.64946346812427	
3	sentence	5	other	14.78224317593168	
3	sentence	6	.	8.834834078217307	
4	sentence	1	The service was	15.401963052293612	
4	sentence	2	rough	17.726064707305547	
4	sentence	3		0.0	
4	sentence	4	, but not	19.64946346812427	
4	sentence	5	great	8.569503372049788	
4	sentence	6	.	3.268818522570524	
5	sentence	1	The service was	15.401963052293612	
5	sentence	2	rough	17.726064707305547	
5	sentence	3		0.0	
5	sentence	4	, but not	19.64946346812427	
5	sentence	5	last	12.013757269181841	
5	sentence	6	.	8.730137919678064	
6	sentence	1	The service was	15.401963052293612	
6	sentence	2	rough	17.726064707305547	
6	sentence	3		0.0	
6	sentence	4	, but not	19.64946346812427	
6	sentence	5	new	11.667436493070008	
6	sentence	6	.	4.6730465479063055	
7	sentence	1	The service was	15.401963052293612	
7	sentence	2	rough	17.726064707305547	
7	sentence	3		0.0	
7	sentence	4	, but not	19.64946346812427	
7	sentence	5	old	14.717269506296917	
7	sentence	6	.	4.833040632142769	
8	sentence	1	The service was	15.401963052293612	
8	sentence	2	rough	17.726064707305547	
8	sentence	3		0.0	
8	sentence	4	, but not	19.64946346812427	
8	sentence	5	big	11.876754513643322	
8	sentence	6	.	5.3006514848449955	
9	sentence	1	The service was	15.401963052293612	
9	sentence	2	rough	17.726064707305547	
9	sentence	3		0.0	
9	sentence	4	, but not	19.64946346812427	
9	sentence	5	nice	13.055504340600116	
9	sentence	6	.	3.136378122794093	
10	sentence	1	The service was	15.401963052293612	
10	sentence	2	rough	17.726064707305547	
10	sentence	3		0.0	
10	sentence	4	, but not	19.64946346812427	
10	sentence	5	wrong	10.038317762090587	
10	sentence	6	.	3.315501493320725	
11	sentence	1	The service was	15.401963052293612	
11	sentence	2	rough	17.726064707305547	
11	sentence	3		0.0	
11	sentence	4	, but not	19.64946346812427	
11	sentence	5	bad	4.0224915581058776	
11	sentence	6	.	4.183651684715191	
12	sentence	1	The service was	15.401963052293612	
12	sentence	2	rough	17.726064707305547	
12	sentence	3		0.0	
12	sentence	4	, but not	19.64946346812427	
12	sentence	5	same	17.847309724441413	
12	sentence	6	.	6.118976238492696	
13	sentence	1	The service was	15.401963052293612	
13	sentence	2	rough	17.726064707305547	
13	sentence	3		0.0	
13	sentence	4	, but not	19.64946346812427	
13	sentence	5	next	15.34623620186514	
13	sentence	6	.	12.416105865361159	
14	sentence	1	The service was	15.401963052293612	
14	sentence	2	rough	17.726064707305547	
14	sentence	3		0.0	
14	sentence	4	, but not	19.64946346812427	
14	sentence	5	dead	9.747834937199682	
14	sentence	6	.	3.368502418733022	
15	sentence	1	The service was	15.401963052293612	
15	sentence	2	rough	17.726064707305547	
15	sentence	3		0.0	
15	sentence	4	, but not	19.64946346812427	
15	sentence	5	many	10.890933448563219	
15	sentence	6	.	9.726538669508642	
16	sentence	1	The service was	15.401963052293612	
16	sentence	2	rough	17.726064707305547	
16	sentence	3		0.0	
16	sentence	4	, but not	19.64946346812427	
16	sentence	5	real	13.670294162292414	
16	sentence	6	.	5.929168617763863	
17	sentence	1	The service was	15.401963052293612	
17	sentence	2	rough	17.726064707305547	
17	sentence	3		0.0	
17	sentence	4	, but not	19.64946346812427	
17	sentence	5	live	15.925440749302114	
17	sentence	6	.	5.5316410392535325	
18	sentence	1	The service was	15.401963052293612	
18	sentence	2	rough	17.726064707305547	
18	sentence	3		0.0	
18	sentence	4	, but not	19.64946346812427	
18	sentence	5	ready	11.574076055014434	
18	sentence	6	.	5.770487105118783	
19	sentence	1	The service was	15.401963052293612	
19	sentence	2	rough	17.726064707305547	
19	sentence	3		0.0	
19	sentence	4	, but not	19.64946346812427	
19	sentence	5	happy	14.562732775537633	
19	sentence	6	.	4.599115333884004	
20	sentence	1	The service was	15.401963052293612	
20	sentence	2	rough	17.726064707305547	
20	sentence	3		0.0	
20	sentence	4	, but not	19.64946346812427	
20	sentence	5	whole	15.069600044160502	
20	sentence	6	.	3.10316345739826	
21	sentence	1	The service was	15.401963052293612	
21	sentence	2	rough	17.726064707305547	
21	sentence	3		0.0	
21	sentence	4	, but not	19.64946346812427	
21	sentence	5	hard	9.37033164269461	
21	sentence	6	.	4.046319066452316	
22	sentence	1	The service was	15.401963052293612	
22	sentence	2	rough	17.726064707305547	
22	sentence	3		0.0	
22	sentence	4	, but not	19.64946346812427	
22	sentence	5	open	14.048336794390593	
22	sentence	6	.	6.621629932169427	
23	sentence	1	The service was	15.401963052293612	
23	sentence	2	rough	17.726064707305547	
23	sentence	3		0.0	
23	sentence	4	, but not	19.64946346812427	
23	sentence	5	few	15.959859293253986	
23	sentence	6	.	4.17449223269554	
24	sentence	1	The service was	15.401963052293612	
24	sentence	2	rough	17.726064707305547	
24	sentence	3		0.0	
24	sentence	4	, but not	19.64946346812427	
24	sentence	5	true	12.576737661267021	
24	sentence	6	.	3.3840754477686494	
25	sentence	1	The service was	15.401963052293612	
25	sentence	2	rough	17.726064707305547	
25	sentence	3		0.0	
25	sentence	4	, but not	19.64946346812427	
25	sentence	5	young	19.116194970784804	
25	sentence	6	.	3.9800476157341436	
26	sentence	1	The service was	15.401963052293612	
26	sentence	2	rough	17.726064707305547	
26	sentence	3		0.0	
26	sentence	4	, but not	19.64946346812427	
26	sentence	5	second	14.504726467054624	
26	sentence	6	.	11.899508506283075	
27	sentence	1	The service was	15.401963052293612	
27	sentence	2	rough	17.726064707305547	
27	sentence	3		0.0	
27	sentence	4	, but not	19.64946346812427	
27	sentence	5	easy	8.72664873565736	
27	sentence	6	.	4.057493123244175	
28	sentence	1	The service was	15.401963052293612	
28	sentence	2	rough	17.726064707305547	
28	sentence	3		0.0	
28	sentence	4	, but not	19.64946346812427	
28	sentence	5	different	13.895440090189934	
28	sentence	6	.	6.004927663399533	
29	sentence	1	The service was	15.401963052293612	
29	sentence	2	rough	17.726064707305547	
29	sentence	3		0.0	
29	sentence	4	, but not	19.64946346812427	
29	sentence	5	married	18.795685350914457	
29	sentence	6	.	4.65317636035622	
30	sentence	1	The service was	15.401963052293612	
30	sentence	2	rough	17.726064707305547	
30	sentence	3		0.0	
30	sentence	4	, but not	19.64946346812427	
30	sentence	5	important	14.235740097660363	
30	sentence	6	.	3.3697768101759156	
31	sentence	1	The service was	15.401963052293612	
31	sentence	2	rough	17.726064707305547	
31	sentence	3		0.0	
31	sentence	4	, but not	19.64946346812427	
31	sentence	5	able	13.594874954374848	
31	sentence	6	.	12.51385117308313	
32	sentence	1	The service was	15.401963052293612	
32	sentence	2	rough	17.726064707305547	
32	sentence	3		0.0	
32	sentence	4	, but not	19.64946346812427	
32	sentence	5	high	13.150240639862592	
32	sentence	6	.	5.793203261575346	
33	sentence	1	The service was	15.401963052293612	
33	sentence	2	rough	17.726064707305547	
33	sentence	3		0.0	
33	sentence	4	, but not	19.64946346812427	
33	sentence	5	free	12.859779828750998	
33	sentence	6	.	2.577803754241367	
34	sentence	1	The service was	15.401963052293612	
34	sentence	2	rough	17.726064707305547	
34	sentence	3		0.0	
34	sentence	4	, but not	19.64946346812427	
34	sentence	5	stupid	9.47570059736403	
34	sentence	6	.	2.8472548207582586	
35	sentence	1	The service was	15.401963052293612	
35	sentence	2	rough	17.726064707305547	
35	sentence	3		0.0	
35	sentence	4	, but not	19.64946346812427	
35	sentence	5	full	11.68205364253214	
35	sentence	6	.	6.033884038360003	
36	sentence	1	The service was	15.401963052293612	
36	sentence	2	rough	17.726064707305547	
36	sentence	3		0.0	
36	sentence	4	, but not	19.64946346812427	
36	sentence	5	hot	11.888223692664061	
36	sentence	6	.	2.631317531918537	
37	sentence	1	The service was	15.401963052293612	
37	sentence	2	rough	17.726064707305547	
37	sentence	3		0.0	
37	sentence	4	, but not	19.64946346812427	
37	sentence	5	clear	13.148094296379824	
37	sentence	6	.	4.125195125652224	
38	sentence	1	The service was	15.401963052293612	
38	sentence	2	rough	17.726064707305547	
38	sentence	3		0.0	
38	sentence	4	, but not	19.64946346812427	
38	sentence	5	alive	18.926293103563296	
38	sentence	6	.	3.699009734063323	
39	sentence	1	The service was	15.401963052293612	
39	sentence	2	rough	17.726064707305547	
39	sentence	3		0.0	
39	sentence	4	, but not	19.64946346812427	
39	sentence	5	black	11.458855934103592	
39	sentence	6	.	4.663482936657126	
40	sentence	1	The service was	15.401963052293612	
40	sentence	2	rough	17.726064707305547	
40	sentence	3		0.0	
40	sentence	4	, but not	19.64946346812427	
40	sentence	5	white	14.191877642384313	
40	sentence	6	.	5.669641294167056	
41	sentence	1	The service was	15.401963052293612	
41	sentence	2	rough	17.726064707305547	
41	sentence	3		0.0	
41	sentence	4	, but not	19.64946346812427	
41	sentence	5	small	14.573739665192852	
41	sentence	6	.	3.1370275292837504	
42	sentence	1	The service was	15.401963052293612	
42	sentence	2	rough	17.726064707305547	
42	sentence	3		0.0	
42	sentence	4	, but not	19.64946346812427	
42	sentence	5	safe	11.77378506091874	
42	sentence	6	.	3.534409954436753	
43	sentence	1	The service was	15.401963052293612	
43	sentence	2	rough	17.726064707305547	
43	sentence	3		0.0	
43	sentence	4	, but not	19.64946346812427	
43	sentence	5	poor	10.546803043492774	
43	sentence	6	.	2.6961742533507125	
44	sentence	1	The service was	15.401963052293612	
44	sentence	2	rough	17.726064707305547	
44	sentence	3		0.0	
44	sentence	4	, but not	19.64946346812427	
44	sentence	5	special	12.46716407474931	
44	sentence	6	.	3.5388656809553063	
45	sentence	1	The service was	15.401963052293612	
45	sentence	2	rough	17.726064707305547	
45	sentence	3		0.0	
45	sentence	4	, but not	19.64946346812427	
45	sentence	5	serious	10.78805205095588	
45	sentence	6	.	3.0122971117454984	
46	sentence	1	The service was	15.401963052293612	
46	sentence	2	rough	17.726064707305547	
46	sentence	3		0.0	
46	sentence	4	, but not	19.64946346812427	
46	sentence	5	possible	13.362761665325575	
46	sentence	6	.	6.2351457036363	
47	sentence	1	The service was	15.401963052293612	
47	sentence	2	rough	17.726064707305547	
47	sentence	3		0.0	
47	sentence	4	, but not	19.64946346812427	
47	sentence	5	lucky	16.785728237864433	
47	sentence	6	.	4.210790203056041	
48	sentence	1	The service was	15.401963052293612	
48	sentence	2	rough	17.726064707305547	
48	sentence	3		0.0	
48	sentence	4	, but not	19.64946346812427	
48	sentence	5	quiet	14.112573002418454	
48	sentence	6	.	2.828504412247941	
49	sentence	1	The service was	15.401963052293612	
49	sentence	2	rough	17.726064707305547	
49	sentence	3		0.0	
49	sentence	4	, but not	19.64946346812427	
49	sentence	5	strong	12.228787865486215	
49	sentence	6	.	3.733538346911747	
50	sentence	1	The service was	15.401963052293612	
50	sentence	2	rough	17.726064707305547	
50	sentence	3		0.0	
50	sentence	4	, but not	19.64946346812427	
50	sentence	5	general	15.851419416370762	
50	sentence	6	.	2.792057332929142	
51	sentence	1	The service was	15.401963052293612	
51	sentence	2	rough	17.726064707305547	
51	sentence	3		0.0	
51	sentence	4	, but not	19.64946346812427	
51	sentence	5	busy	15.908137918764108	
51	sentence	6	.	2.9506464908907075	
52	sentence	1	The service was	15.401963052293612	
52	sentence	2	rough	17.726064707305547	
52	sentence	3		0.0	
52	sentence	4	, but not	19.64946346812427	
52	sentence	5	entire	16.250727359282823	
52	sentence	6	.	3.1724267183108426	
53	sentence	1	The service was	15.401963052293612	
53	sentence	2	rough	17.726064707305547	
53	sentence	3		0.0	
53	sentence	4	, but not	19.64946346812427	
53	sentence	5	dangerous	9.193021657238676	
53	sentence	6	.	3.0014095780499774	
54	sentence	1	The service was	15.401963052293612	
54	sentence	2	rough	17.726064707305547	
54	sentence	3		0.0	
54	sentence	4	, but not	19.64946346812427	
54	sentence	5	short	13.633520143954325	
54	sentence	6	.	3.8009552020846664	
55	sentence	1	The service was	15.401963052293612	
55	sentence	2	rough	17.726064707305547	
55	sentence	3		0.0	
55	sentence	4	, but not	19.64946346812427	
55	sentence	5	single	15.542081789500465	
55	sentence	6	.	6.743985269299263	
56	sentence	1	The service was	15.401963052293612	
56	sentence	2	rough	17.726064707305547	
56	sentence	3		0.0	
56	sentence	4	, but not	19.64946346812427	
56	sentence	5	normal	13.417774099822363	
56	sentence	6	.	3.1412156507975615	
57	sentence	1	The service was	15.401963052293612	
57	sentence	2	rough	17.726064707305547	
57	sentence	3		0.0	
57	sentence	4	, but not	19.64946346812427	
57	sentence	5	major	11.516267870545219	
57	sentence	6	.	4.119585395546381	
58	sentence	1	The service was	15.401963052293612	
58	sentence	2	rough	17.726064707305547	
58	sentence	3		0.0	
58	sentence	4	, but not	19.64946346812427	
58	sentence	5	interested	17.675371101137227	
58	sentence	6	.	4.824543313328939	
59	sentence	1	The service was	15.401963052293612	
59	sentence	2	rough	17.726064707305547	
59	sentence	3		0.0	
59	sentence	4	, but not	19.64946346812427	
59	sentence	5	difficult	7.874968634805421	
59	sentence	6	.	3.9091553351525885	
60	sentence	1	The service was	15.401963052293612	
60	sentence	2	rough	17.726064707305547	
60	sentence	3		0.0	
60	sentence	4	, but not	19.64946346812427	
60	sentence	5	personal	13.511079503429661	
60	sentence	6	.	2.98142932160334	
61	sentence	1	The service was	15.401963052293612	
61	sentence	2	rough	17.726064707305547	
61	sentence	3		0.0	
61	sentence	4	, but not	19.64946346812427	
61	sentence	5	certain	13.438048790567278	
61	sentence	6	.	4.623383117816652	
62	sentence	1	The service was	15.401963052293612	
62	sentence	2	rough	17.726064707305547	
62	sentence	3		0.0	
62	sentence	4	, but not	19.64946346812427	
62	sentence	5	angry	12.366263917279909	
62	sentence	6	.	2.7729703543710857	
63	sentence	1	The service was	15.401963052293612	
63	sentence	2	rough	17.726064707305547	
63	sentence	3		0.0	
63	sentence	4	, but not	19.64946346812427	
63	sentence	5	rich	16.778981014505785	
63	sentence	6	.	3.404430282428866	
64	sentence	1	The service was	15.401963052293612	
64	sentence	2	rough	17.726064707305547	
64	sentence	3		0.0	
64	sentence	4	, but not	19.64946346812427	
64	sentence	5	tough	10.785619528342076	
64	sentence	6	.	3.146547800904912	
65	sentence	1	The service was	15.401963052293612	
65	sentence	2	rough	17.726064707305547	
65	sentence	3		0.0	
65	sentence	4	, but not	19.64946346812427	
65	sentence	5	third	18.60845815787917	
65	sentence	6	.	11.972442908860975	
66	sentence	1	The service was	15.401963052293612	
66	sentence	2	rough	17.726064707305547	
66	sentence	3		0.0	
66	sentence	4	, but not	19.64946346812427	
66	sentence	5	private	15.85264118112249	
66	sentence	6	.	2.5858019794023925	
67	sentence	1	The service was	15.401963052293612	
67	sentence	2	rough	17.726064707305547	
67	sentence	3		0.0	
67	sentence	4	, but not	19.64946346812427	
67	sentence	5	impossible	4.605724627156662	
67	sentence	6	.	4.300258329757288	
68	sentence	1	The service was	15.401963052293612	
68	sentence	2	rough	17.726064707305547	
68	sentence	3		0.0	
68	sentence	4	, but not	19.64946346812427	
68	sentence	5	green	16.860255887719926	
68	sentence	6	.	3.987801625530944	
69	sentence	1	The service was	15.401963052293612	
69	sentence	2	rough	17.726064707305547	
69	sentence	3		0.0	
69	sentence	4	, but not	19.64946346812427	
69	sentence	5	huge	11.437876802420744	
69	sentence	6	.	3.6883406183343976	
70	sentence	1	The service was	15.401963052293612	
70	sentence	2	rough	17.726064707305547	
70	sentence	3		0.0	
70	sentence	4	, but not	19.64946346812427	
70	sentence	5	grand	15.093716139395088	
70	sentence	6	.	4.156326737180807	
71	sentence	1	The service was	15.401963052293612	
71	sentence	2	rough	17.726064707305547	
71	sentence	3		0.0	
71	sentence	4	, but not	19.64946346812427	
71	sentence	5	nervous	17.556892940888442	
71	sentence	6	.	3.1444798815109376	
72	sentence	1	The service was	15.401963052293612	
72	sentence	2	rough	17.726064707305547	
72	sentence	3		0.0	
72	sentence	4	, but not	19.64946346812427	
72	sentence	5	final	12.233597876265547	
72	sentence	6	.	3.583105810132652	
73	sentence	1	The service was	15.401963052293612	
73	sentence	2	rough	17.726064707305547	
73	sentence	3		0.0	
73	sentence	4	, but not	19.64946346812427	
73	sentence	5	surprised	15.100683500546843	
73	sentence	6	.	4.543379196392385	
74	sentence	1	The service was	15.401963052293612	
74	sentence	2	rough	17.726064707305547	
74	sentence	3		0.0	
74	sentence	4	, but not	19.64946346812427	
74	sentence	5	guilty	14.178317154329083	
74	sentence	6	.	3.6190453686487545	
75	sentence	1	The service was	15.401963052293612	
75	sentence	2	rough	17.726064707305547	
75	sentence	3		0.0	
75	sentence	4	, but not	19.64946346812427	
75	sentence	5	low	14.815627072255962	
75	sentence	6	.	5.091594533935691	
76	sentence	1	The service was	15.401963052293612	
76	sentence	2	rough	17.726064707305547	
76	sentence	3		0.0	
76	sentence	4	, but not	19.64946346812427	
76	sentence	5	empty	12.825449339916368	
76	sentence	6	.	2.7707882384969382	
77	sentence	1	The service was	15.401963052293612	
77	sentence	2	rough	17.726064707305547	
77	sentence	3		0.0	
77	sentence	4	, but not	19.64946346812427	
77	sentence	5	fresh	16.624378242408568	
77	sentence	6	.	4.002264678537903	
78	sentence	1	The service was	15.401963052293612	
78	sentence	2	rough	17.726064707305547	
78	sentence	3		0.0	
78	sentence	4	, but not	19.64946346812427	
78	sentence	5	complete	10.642618017941462	
78	sentence	6	.	3.1058505143353408	
79	sentence	1	The service was	15.401963052293612	
79	sentence	2	rough	17.726064707305547	
79	sentence	3		0.0	
79	sentence	4	, but not	19.64946346812427	
79	sentence	5	medical	18.03575868222843	
79	sentence	6	.	3.8006253393603115	
80	sentence	1	The service was	15.401963052293612	
80	sentence	2	rough	17.726064707305547	
80	sentence	3		0.0	
80	sentence	4	, but not	19.64946346812427	
80	sentence	5	extra	13.956440272659163	
80	sentence	6	.	6.923992630651331	
81	sentence	1	The service was	15.401963052293612	
81	sentence	2	rough	17.726064707305547	
81	sentence	3		0.0	
81	sentence	4	, but not	19.64946346812427	
81	sentence	5	heavy	11.307467173785701	
81	sentence	6	.	3.057729424658625	
82	sentence	1	The service was	15.401963052293612	
82	sentence	2	rough	17.726064707305547	
82	sentence	3		0.0	
82	sentence	4	, but not	19.64946346812427	
82	sentence	5	responsible	14.990284397304988	
82	sentence	6	.	6.05077273467473	
83	sentence	1	The service was	15.401963052293612	
83	sentence	2	rough	17.726064707305547	
83	sentence	3		0.0	
83	sentence	4	, but not	19.64946346812427	
83	sentence	5	large	13.278096670097625	
83	sentence	6	.	4.459985152954311	
84	sentence	1	The service was	15.401963052293612	
84	sentence	2	rough	17.726064707305547	
84	sentence	3		0.0	
84	sentence	4	, but not	19.64946346812427	
84	sentence	5	military	17.040119471575874	
84	sentence	6	.	4.932519524985438	
85	sentence	1	The service was	15.401963052293612	
85	sentence	2	rough	17.726064707305547	
85	sentence	3		0.0	
85	sentence	4	, but not	19.64946346812427	
85	sentence	5	common	13.71395849355467	
85	sentence	6	.	3.932531904988465	
86	sentence	1	The service was	15.401963052293612	
86	sentence	2	rough	17.726064707305547	
86	sentence	3		0.0	
86	sentence	4	, but not	19.64946346812427	
86	sentence	5	willing	15.534211863396983	
86	sentence	6	.	7.849046033806172	
87	sentence	1	The service was	15.401963052293612	
87	sentence	2	rough	17.726064707305547	
87	sentence	3		0.0	
87	sentence	4	, but not	19.64946346812427	
87	sentence	5	necessary	10.186349421063637	
87	sentence	6	.	3.4107902008577726	
88	sentence	1	The service was	15.401963052293612	
88	sentence	2	rough	17.726064707305547	
88	sentence	3		0.0	
88	sentence	4	, but not	19.64946346812427	
88	sentence	5	local	17.1561541023212	
88	sentence	6	.	5.034358707728549	
89	sentence	1	The service was	15.401963052293612	
89	sentence	2	rough	17.726064707305547	
89	sentence	3		0.0	
89	sentence	4	, but not	19.64946346812427	
89	sentence	5	due	11.893540020367531	
