item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	mediocre	18.617186621375758	
1	sentence	3		0.0	
1	sentence	4	, but not	18.61867151958331	
1	sentence	5	good	6.284998658607203	
1	sentence	6	.	3.613426351479765	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	mediocre	18.617186621375758	
2	sentence	3		0.0	
2	sentence	4	, but not	18.61867151958331	
2	sentence	5	little	13.867435811184642	
2	sentence	6	.	4.556289590027355	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	mediocre	18.617186621375758	
3	sentence	3		0.0	
3	sentence	4	, but not	18.61867151958331	
3	sentence	5	other	12.774110454842008	
3	sentence	6	.	8.192584130627045	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	mediocre	18.617186621375758	
4	sentence	3		0.0	
4	sentence	4	, but not	18.61867151958331	
4	sentence	5	great	5.421772330506939	
4	sentence	6	.	3.2028329070180854	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	mediocre	18.617186621375758	
5	sentence	3		0.0	
5	sentence	4	, but not	18.61867151958331	
5	sentence	5	last	11.926106655134912	
5	sentence	6	.	5.643650932003367	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	mediocre	18.617186621375758	
6	sentence	3		0.0	
6	sentence	4	, but not	18.61867151958331	
6	sentence	5	new	12.450926160785446	
6	sentence	6	.	5.427842286186491	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	mediocre	18.617186621375758	
7	sentence	3		0.0	
7	sentence	4	, but not	18.61867151958331	
7	sentence	5	old	13.823122073432728	
7	sentence	6	.	5.158664328119169	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	mediocre	18.617186621375758	
8	sentence	3		0.0	
8	sentence	4	, but not	18.61867151958331	
8	sentence	5	big	12.557373790641076	
8	sentence	6	.	5.902744515354697	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	mediocre	18.617186621375758	
9	sentence	3		0.0	
9	sentence	4	, but not	18.61867151958331	
9	sentence	5	nice	12.921228541973676	
9	sentence	6	.	3.1006834675728183	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	mediocre	18.617186621375758	
10	sentence	3		0.0	
10	sentence	4	, but not	18.61867151958331	
10	sentence	5	wrong	10.699730016639984	
10	sentence	6	.	3.5212622247435927	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	mediocre	18.617186621375758	
11	sentence	3		0.0	
