item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	She is	5.10444507760816	
1	sentence	2	chubby	15.097912688058791	
1	sentence	3		0.0	
1	sentence	4	, but not	20.284295632000173	
1	sentence	5	good	10.181652230903273	
1	sentence	6	.	8.662093327829496	
2	sentence	1	She is	5.10444507760816	
2	sentence	2	chubby	15.097912688058791	
2	sentence	3		0.0	
2	sentence	4	, but not	20.284295632000173	
2	sentence	5	little	13.76981020338767	
2	sentence	6	.	4.439304927118662	
3	sentence	1	She is	5.10444507760816	
3	sentence	2	chubby	15.097912688058791	
3	sentence	3		0.0	
3	sentence	4	, but not	20.284295632000173	
3	sentence	5	other	12.624103059175846	
3	sentence	6	.	9.252218773596258	
4	sentence	1	She is	5.10444507760816	
4	sentence	2	chubby	15.097912688058791	
4	sentence	3		0.0	
4	sentence	4	, but not	20.284295632000173	
4	sentence	5	great	9.431169473541424	
4	sentence	6	.	6.466850361907124	
5	sentence	1	She is	5.10444507760816	
5	sentence	2	chubby	15.097912688058791	
5	sentence	3		0.0	
5	sentence	4	, but not	20.284295632000173	
5	sentence	5	last	13.596847939345547	
5	sentence	6	.	8.474559317745069	
6	sentence	1	She is	5.10444507760816	
6	sentence	2	chubby	15.097912688058791	
6	sentence	3		0.0	
6	sentence	4	, but not	20.284295632000173	
6	sentence	5	new	13.89419906338131	
6	sentence	6	.	7.075745994189052	
7	sentence	1	She is	5.10444507760816	
7	sentence	2	chubby	15.097912688058791	
7	sentence	3		0.0	
7	sentence	4	, but not	20.284295632000173	
7	sentence	5	old	10.71995517638145	
7	sentence	6	.	5.68097976637314	
8	sentence	1	She is	5.10444507760816	
8	sentence	2	chubby	15.097912688058791	
8	sentence	3		0.0	
8	sentence	4	, but not	20.284295632000173	
8	sentence	5	big	7.385803196470558	
8	sentence	6	.	5.6086307927387775	
9	sentence	1	She is	5.10444507760816	
9	sentence	2	chubby	15.097912688058791	
9	sentence	3		0.0	
9	sentence	4	, but not	20.284295632000173	
9	sentence	5	nice	11.947058269593624	
9	sentence	6	.	4.696334374694336	
10	sentence	1	She is	5.10444507760816	
10	sentence	2	chubby	15.097912688058791	
10	sentence	3		0.0	
10	sentence	4	, but not	20.284295632000173	
10	sentence	5	wrong	11.424737327894826	
10	sentence	6	.	5.336943263830065	
11	sentence	1	She is	5.10444507760816	
11	sentence	2	chubby	15.097912688058791	
11	sentence	3		0.0	
11	sentence	4	, but not	20.284295632000173	
11	sentence	5	bad	6.97513614343431	
11	sentence	6	.	5.841354964163916	
12	sentence	1	She is	5.10444507760816	
12	sentence	2	chubby	15.097912688058791	
12	sentence	3		0.0	
12	sentence	4	, but not	20.284295632000173	
12	sentence	5	same	16.430956922219806	
12	sentence	6	.	8.782328462839496	
13	sentence	1	She is	5.10444507760816	
13	sentence	2	chubby	15.097912688058791	
13	sentence	3		0.0	
13	sentence	4	, but not	20.284295632000173	
