item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	His performance was	14.573654361798024	
1	sentence	2	wonderful	11.672789969026065	
1	sentence	3		0.0	
1	sentence	4	, but not	20.994017469211627	
1	sentence	5	good	6.553078335466115	
1	sentence	6	.	6.683373767620986	
2	sentence	1	His performance was	14.573654361798024	
2	sentence	2	wonderful	11.672789969026065	
2	sentence	3		0.0	
2	sentence	4	, but not	20.994017469211627	
2	sentence	5	little	16.866346825282886	
2	sentence	6	.	4.710883419026726	
3	sentence	1	His performance was	14.573654361798024	
3	sentence	2	wonderful	11.672789969026065	
3	sentence	3		0.0	
3	sentence	4	, but not	20.994017469211627	
3	sentence	5	other	13.83885779805607	
3	sentence	6	.	10.039636525057404	
4	sentence	1	His performance was	14.573654361798024	
4	sentence	2	wonderful	11.672789969026065	
4	sentence	3		0.0	
4	sentence	4	, but not	20.994017469211627	
4	sentence	5	great	3.826275863805896	
4	sentence	6	.	3.786465319784173	
5	sentence	1	His performance was	14.573654361798024	
5	sentence	2	wonderful	11.672789969026065	
5	sentence	3		0.0	
5	sentence	4	, but not	20.994017469211627	
5	sentence	5	last	10.475834746579539	
5	sentence	6	.	10.411498788614175	
6	sentence	1	His performance was	14.573654361798024	
6	sentence	2	wonderful	11.672789969026065	
6	sentence	3		0.0	
6	sentence	4	, but not	20.994017469211627	
6	sentence	5	new	12.106901697027933	
6	sentence	6	.	6.643095430788916	
7	sentence	1	His performance was	14.573654361798024	
7	sentence	2	wonderful	11.672789969026065	
7	sentence	3		0.0	
7	sentence	4	, but not	20.994017469211627	
7	sentence	5	old	15.645297521381082	
7	sentence	6	.	8.077009725455428	
8	sentence	1	His performance was	14.573654361798024	
8	sentence	2	wonderful	11.672789969026065	
8	sentence	3		0.0	
8	sentence	4	, but not	20.994017469211627	
8	sentence	5	big	11.577756483742897	
8	sentence	6	.	7.0887265567455735	
9	sentence	1	His performance was	14.573654361798024	
9	sentence	2	wonderful	11.672789969026065	
9	sentence	3		0.0	
9	sentence	4	, but not	20.994017469211627	
