item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The winner was	18.482004130213973	
1	sentence	2	happy	13.205713987863692	
1	sentence	3		0.0	
1	sentence	4	, but not	20.164625975946205	
1	sentence	5	good	8.424918245400027	
1	sentence	6	.	4.337137945443007	
2	sentence	1	The winner was	18.482004130213973	
2	sentence	2	happy	13.205713987863692	
2	sentence	3		0.0	
2	sentence	4	, but not	20.164625975946205	
2	sentence	5	little	16.439364810055185	
2	sentence	6	.	3.069260173468373	
3	sentence	1	The winner was	18.482004130213973	
3	sentence	2	happy	13.205713987863692	
3	sentence	3		0.0	
3	sentence	4	, but not	20.164625975946205	
3	sentence	5	other	14.15377316625915	
3	sentence	6	.	8.03505352588154	
4	sentence	1	The winner was	18.482004130213973	
4	sentence	2	happy	13.205713987863692	
4	sentence	3		0.0	
4	sentence	4	, but not	20.164625975946205	
4	sentence	5	great	8.431687482537988	
4	sentence	6	.	2.7226573458091234	
5	sentence	1	The winner was	18.482004130213973	
5	sentence	2	happy	13.205713987863692	
5	sentence	3		0.0	
5	sentence	4	, but not	20.164625975946205	
5	sentence	5	last	13.49689299852529	
5	sentence	6	.	4.755896438237049	
6	sentence	1	The winner was	18.482004130213973	
6	sentence	2	happy	13.205713987863692	
6	sentence	3		0.0	
6	sentence	4	, but not	20.164625975946205	
6	sentence	5	new	12.692080233825276	
6	sentence	6	.	5.1975881295930435	
7	sentence	1	The winner was	18.482004130213973	
7	sentence	2	happy	13.205713987863692	
7	sentence	3		0.0	
7	sentence	4	, but not	20.164625975946205	
7	sentence	5	old	12.520526851659021	
7	sentence	6	.	5.202166995689615	
8	sentence	1	The winner was	18.482004130213973	
8	sentence	2	happy	13.205713987863692	
8	sentence	3		0.0	
8	sentence	4	, but not	20.164625975946205	
8	sentence	5	big	10.924054555396983	
8	sentence	6	.	4.840791202286552	
9	sentence	1	The winner was	18.482004130213973	
9	sentence	2	happy	13.205713987863692	
9	sentence	3		0.0	
9	sentence	4	, but not	20.164625975946205	
9	sentence	5	nice	9.275321547051961	
9	sentence	6	.	2.532722285936001	
10	sentence	1	The winner was	18.482004130213973	
10	sentence	2	happy	13.205713987863692	
10	sentence	3		0.0	
10	sentence	4	, but not	20.164625975946205	
