item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	damaged	17.923224242393463	
1	sentence	3		0.0	
1	sentence	4	, but not	18.24444587043838	
1	sentence	5	good	11.962092305001446	
1	sentence	6	.	3.868148479811464	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	damaged	17.923224242393463	
2	sentence	3		0.0	
2	sentence	4	, but not	18.24444587043838	
2	sentence	5	little	15.883659972032106	
2	sentence	6	.	4.119696496338839	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	damaged	17.923224242393463	
3	sentence	3		0.0	
3	sentence	4	, but not	18.24444587043838	
3	sentence	5	other	14.116911092803818	
3	sentence	6	.	7.635956089734134	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	damaged	17.923224242393463	
4	sentence	3		0.0	
4	sentence	4	, but not	18.24444587043838	
4	sentence	5	great	11.847774749042335	
4	sentence	6	.	3.5381722469070276	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	damaged	17.923224242393463	
5	sentence	3		0.0	
5	sentence	4	, but not	18.24444587043838	
5	sentence	5	last	14.738756330765113	
5	sentence	6	.	4.80118600554996	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	damaged	17.923224242393463	
6	sentence	3		0.0	
6	sentence	4	, but not	18.24444587043838	
6	sentence	5	new	13.647500269677662	
6	sentence	6	.	3.604977187808177	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	damaged	17.923224242393463	
7	sentence	3		0.0	
7	sentence	4	, but not	18.24444587043838	
7	sentence	5	old	12.674909485963134	
7	sentence	6	.	3.7963168299908965	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	damaged	17.923224242393463	
8	sentence	3		0.0	
8	sentence	4	, but not	18.24444587043838	
8	sentence	5	big	13.406251262214555	
8	sentence	6	.	5.420969515492711	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	damaged	17.923224242393463	
9	sentence	3		0.0	
9	sentence	4	, but not	18.24444587043838	
9	sentence	5	nice	18.490256545732972	
9	sentence	6	.	3.421410473513853	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	damaged	17.923224242393463	
10	sentence	3		0.0	
10	sentence	4	, but not	18.24444587043838	
10	sentence	5	wrong	14.595281524109325	
10	sentence	6	.	2.6549040925711167	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	damaged	17.923224242393463	
11	sentence	3		0.0	
11	sentence	4	, but not	18.24444587043838	
11	sentence	5	bad	10.39670346512575	
11	sentence	6	.	4.500750200688323	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	damaged	17.923224242393463	
12	sentence	3		0.0	
12	sentence	4	, but not	18.24444587043838	
12	sentence	5	same	16.72105313011157	
12	sentence	6	.	5.204538980410315	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	damaged	17.923224242393463	
13	sentence	3		0.0	
13	sentence	4	, but not	18.24444587043838	
13	sentence	5	next	16.9182745789538	
13	sentence	6	.	8.93967126253026	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	damaged	17.923224242393463	
14	sentence	3		0.0	
14	sentence	4	, but not	18.24444587043838	
14	sentence	5	dead	6.031899358569046	
14	sentence	6	.	2.882654181768001	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	damaged	17.923224242393463	
15	sentence	3		0.0	
15	sentence	4	, but not	18.24444587043838	
15	sentence	5	many	12.056465376905301	
15	sentence	6	.	8.658774750598447	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	damaged	17.923224242393463	
16	sentence	3		0.0	
16	sentence	4	, but not	18.24444587043838	
16	sentence	5	real	12.995903408978307	
16	sentence	6	.	4.194558136502307	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	damaged	17.923224242393463	
17	sentence	3		0.0	
17	sentence	4	, but not	18.24444587043838	
17	sentence	5	live	14.222302061252547	
17	sentence	6	.	3.80948519760216	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	damaged	17.923224242393463	
18	sentence	3		0.0	
18	sentence	4	, but not	18.24444587043838	
18	sentence	5	ready	10.682596417030426	
18	sentence	6	.	4.681535955518195	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	damaged	17.923224242393463	
19	sentence	3		0.0	
19	sentence	4	, but not	18.24444587043838	
19	sentence	5	happy	17.259983468300096	
19	sentence	6	.	3.4221451833983387	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	damaged	17.923224242393463	
20	sentence	3		0.0	
20	sentence	4	, but not	18.24444587043838	
20	sentence	5	whole	12.153953398581583	
20	sentence	6	.	2.825663258855687	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	damaged	17.923224242393463	
21	sentence	3		0.0	
21	sentence	4	, but not	18.24444587043838	
21	sentence	5	hard	11.272169454522619	
21	sentence	6	.	4.428775461302237	
22	sentence	1	It is	4.183671634702692	
22	sentence	2	damaged	17.923224242393463	
22	sentence	3		0.0	
22	sentence	4	, but not	18.24444587043838	
22	sentence	5	open	12.793860942467093	
22	sentence	6	.	3.4001486023529854	
23	sentence	1	It is	4.183671634702692	
23	sentence	2	damaged	17.923224242393463	
23	sentence	3		0.0	
23	sentence	4	, but not	18.24444587043838	
23	sentence	5	few	17.407596865466246	
23	sentence	6	.	6.040704870293221	
24	sentence	1	It is	4.183671634702692	
24	sentence	2	damaged	17.923224242393463	
24	sentence	3		0.0	
24	sentence	4	, but not	18.24444587043838	
24	sentence	5	true	13.615062965863729	
24	sentence	6	.	2.0435740458662246	
25	sentence	1	It is	4.183671634702692	
25	sentence	2	damaged	17.923224242393463	
25	sentence	3		0.0	
25	sentence	4	, but not	18.24444587043838	
25	sentence	5	young	16.244311718475036	
25	sentence	6	.	4.469130846361893	
26	sentence	1	It is	4.183671634702692	
26	sentence	2	damaged	17.923224242393463	
26	sentence	3		0.0	
26	sentence	4	, but not	18.24444587043838	
26	sentence	5	second	15.83573597447328	
26	sentence	6	.	6.429684223125067	
27	sentence	1	It is	4.183671634702692	
27	sentence	2	damaged	17.923224242393463	
27	sentence	3		0.0	
27	sentence	4	, but not	18.24444587043838	
27	sentence	5	easy	12.56575416125232	
27	sentence	6	.	6.534622533236726	
28	sentence	1	It is	4.183671634702692	
28	sentence	2	damaged	17.923224242393463	
28	sentence	3		0.0	
28	sentence	4	, but not	18.24444587043838	
28	sentence	5	different	15.388856254471358	
28	sentence	6	.	4.6907236126925875	
29	sentence	1	It is	4.183671634702692	
29	sentence	2	damaged	17.923224242393463	
29	sentence	3		0.0	
29	sentence	4	, but not	18.24444587043838	
29	sentence	5	married	15.249531045215587	
29	sentence	6	.	4.086030892432444	
30	sentence	1	It is	4.183671634702692	
30	sentence	2	damaged	17.923224242393463	
30	sentence	3		0.0	
30	sentence	4	, but not	18.24444587043838	
30	sentence	5	important	13.625299373243083	
30	sentence	6	.	2.9804208153386806	
31	sentence	1	It is	4.183671634702692	
31	sentence	2	damaged	17.923224242393463	
31	sentence	3		0.0	
31	sentence	4	, but not	18.24444587043838	
31	sentence	5	able	11.115046104694356	
31	sentence	6	.	10.30918218203227	
32	sentence	1	It is	4.183671634702692	
32	sentence	2	damaged	17.923224242393463	
32	sentence	3		0.0	
32	sentence	4	, but not	18.24444587043838	
32	sentence	5	high	12.628295308273279	
32	sentence	6	.	5.504072908250827	
33	sentence	1	It is	4.183671634702692	
33	sentence	2	damaged	17.923224242393463	
33	sentence	3		0.0	
33	sentence	4	, but not	18.24444587043838	
33	sentence	5	free	12.248403518713024	
33	sentence	6	.	3.056498372843749	
34	sentence	1	It is	4.183671634702692	
34	sentence	2	damaged	17.923224242393463	
34	sentence	3		0.0	
34	sentence	4	, but not	18.24444587043838	
34	sentence	5	stupid	15.72656964287281	
34	sentence	6	.	3.55137432311786	
35	sentence	1	It is	4.183671634702692	
35	sentence	2	damaged	17.923224242393463	
35	sentence	3		0.0	
35	sentence	4	, but not	18.24444587043838	
35	sentence	5	full	10.847545665403551	
35	sentence	6	.	3.518337143817718	
36	sentence	1	It is	4.183671634702692	
36	sentence	2	damaged	17.923224242393463	
36	sentence	3		0.0	
36	sentence	4	, but not	18.24444587043838	
36	sentence	5	hot	14.167696881673002	
36	sentence	6	.	3.446096175288097	
37	sentence	1	It is	4.183671634702692	
37	sentence	2	damaged	17.923224242393463	
37	sentence	3		0.0	
37	sentence	4	, but not	18.24444587043838	
37	sentence	5	clear	11.129300026797866	
37	sentence	6	.	4.095974929305331	
38	sentence	1	It is	4.183671634702692	
38	sentence	2	damaged	17.923224242393463	
38	sentence	3		0.0	
38	sentence	4	, but not	18.24444587043838	
38	sentence	5	alive	13.389862003517933	
38	sentence	6	.	2.5815574475790988	
39	sentence	1	It is	4.183671634702692	
39	sentence	2	damaged	17.923224242393463	
39	sentence	3		0.0	
39	sentence	4	, but not	18.24444587043838	
39	sentence	5	black	11.340511232391878	
39	sentence	6	.	3.776333821821845	
40	sentence	1	It is	4.183671634702692	
40	sentence	2	damaged	17.923224242393463	
40	sentence	3		0.0	
40	sentence	4	, but not	18.24444587043838	
40	sentence	5	white	13.561151220332462	
40	sentence	6	.	4.121294559130656	
41	sentence	1	It is	4.183671634702692	
