item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The problem is	12.109515231381769	
1	sentence	2	hard	12.574885752082531	
1	sentence	3		0.0	
1	sentence	4	, but not	22.2179897902475	
1	sentence	5	good	13.0701118590338	
1	sentence	6	.	3.4421746268831233	
2	sentence	1	The problem is	12.109515231381769	
2	sentence	2	hard	12.574885752082531	
2	sentence	3		0.0	
2	sentence	4	, but not	22.2179897902475	
2	sentence	5	little	16.779246555718718	
2	sentence	6	.	3.917413254116417	
3	sentence	1	The problem is	12.109515231381769	
3	sentence	2	hard	12.574885752082531	
3	sentence	3		0.0	
3	sentence	4	, but not	22.2179897902475	
3	sentence	5	other	16.603400486586928	
3	sentence	6	.	8.893214620948592	
4	sentence	1	The problem is	12.109515231381769	
4	sentence	2	hard	12.574885752082531	
4	sentence	3		0.0	
4	sentence	4	, but not	22.2179897902475	
4	sentence	5	great	10.2488912560152	
4	sentence	6	.	3.158556317518757	
5	sentence	1	The problem is	12.109515231381769	
5	sentence	2	hard	12.574885752082531	
5	sentence	3		0.0	
5	sentence	4	, but not	22.2179897902475	
5	sentence	5	last	15.015755715828373	
5	sentence	6	.	5.875135796446389	
6	sentence	1	The problem is	12.109515231381769	
6	sentence	2	hard	12.574885752082531	
6	sentence	3		0.0	
6	sentence	4	, but not	22.2179897902475	
6	sentence	5	new	12.06390603431223	
6	sentence	6	.	5.028579746694256	
7	sentence	1	The problem is	12.109515231381769	
7	sentence	2	hard	12.574885752082531	
7	sentence	3		0.0	
7	sentence	4	, but not	22.2179897902475	
7	sentence	5	old	15.312666564277926	
7	sentence	6	.	5.1814066259386635	
8	sentence	1	The problem is	12.109515231381769	
8	sentence	2	hard	12.574885752082531	
8	sentence	3		0.0	
8	sentence	4	, but not	22.2179897902475	
8	sentence	5	big	11.956632887732459	
8	sentence	6	.	4.453612507809241	
9	sentence	1	The problem is	12.109515231381769	
9	sentence	2	hard	12.574885752082531	
9	sentence	3		0.0	
9	sentence	4	, but not	22.2179897902475	
9	sentence	5	nice	17.257198725217325	
9	sentence	6	.	2.8947301155809844	
10	sentence	1	The problem is	12.109515231381769	
10	sentence	2	hard	12.574885752082531	
10	sentence	3		0.0	
10	sentence	4	, but not	22.2179897902475	
10	sentence	5	wrong	15.29053170918128	
10	sentence	6	.	2.9344347182897756	
11	sentence	1	The problem is	12.109515231381769	
11	sentence	2	hard	12.574885752082531	
11	sentence	3		0.0	
11	sentence	4	, but not	22.2179897902475	
11	sentence	5	bad	9.82791074737201	
11	sentence	6	.	3.976783728986069	
12	sentence	1	The problem is	12.109515231381769	
12	sentence	2	hard	12.574885752082531	
12	sentence	3		0.0	
12	sentence	4	, but not	22.2179897902475	
12	sentence	5	same	17.86517528221304	
12	sentence	6	.	5.827800667484117	
13	sentence	1	The problem is	12.109515231381769	
13	sentence	2	hard	12.574885752082531	
13	sentence	3		0.0	
13	sentence	4	, but not	22.2179897902475	
13	sentence	5	next	17.317043184272755	
13	sentence	6	.	10.285319245259753	
14	sentence	1	The problem is	12.109515231381769	
14	sentence	2	hard	12.574885752082531	
14	sentence	3		0.0	
14	sentence	4	, but not	22.2179897902475	
14	sentence	5	dead	10.000311660041717	
14	sentence	6	.	3.057400937795477	
15	sentence	1	The problem is	12.109515231381769	
15	sentence	2	hard	12.574885752082531	
15	sentence	3		0.0	
15	sentence	4	, but not	22.2179897902475	
15	sentence	5	many	10.529732045568132	
15	sentence	6	.	8.5918308477154	
16	sentence	1	The problem is	12.109515231381769	
16	sentence	2	hard	12.574885752082531	
16	sentence	3		0.0	
16	sentence	4	, but not	22.2179897902475	
16	sentence	5	real	14.028085493286195	
16	sentence	6	.	3.48290287032985	
17	sentence	1	The problem is	12.109515231381769	
17	sentence	2	hard	12.574885752082531	
17	sentence	3		0.0	
17	sentence	4	, but not	22.2179897902475	
17	sentence	5	live	17.61746523052232	
17	sentence	6	.	4.720362070846379	
18	sentence	1	The problem is	12.109515231381769	
18	sentence	2	hard	12.574885752082531	
18	sentence	3		0.0	
18	sentence	4	, but not	22.2179897902475	
18	sentence	5	ready	13.705858798629636	
18	sentence	6	.	3.8568306455234844	
19	sentence	1	The problem is	12.109515231381769	
19	sentence	2	hard	12.574885752082531	
19	sentence	3		0.0	
19	sentence	4	, but not	22.2179897902475	
19	sentence	5	happy	18.140259468476295	
19	sentence	6	.	2.806317102442781	
20	sentence	1	The problem is	12.109515231381769	
20	sentence	2	hard	12.574885752082531	
20	sentence	3		0.0	
20	sentence	4	, but not	22.2179897902475	
20	sentence	5	whole	17.95887693384793	
20	sentence	6	.	3.3003051062904873	
22	sentence	1	The problem is	12.109515231381769	
22	sentence	2	hard	12.574885752082531	
22	sentence	3		0.0	
22	sentence	4	, but not	22.2179897902475	
22	sentence	5	open	15.292468921760598	
22	sentence	6	.	4.227245503090595	
23	sentence	1	The problem is	12.109515231381769	
23	sentence	2	hard	12.574885752082531	
23	sentence	3		0.0	
23	sentence	4	, but not	22.2179897902475	
23	sentence	5	few	16.434026468572405	
23	sentence	6	.	4.361214484667895	
24	sentence	1	The problem is	12.109515231381769	
24	sentence	2	hard	12.574885752082531	
24	sentence	3		0.0	
24	sentence	4	, but not	22.2179897902475	
24	sentence	5	true	12.333662885982356	
24	sentence	6	.	2.234461201694524	
25	sentence	1	The problem is	12.109515231381769	
25	sentence	2	hard	12.574885752082531	
25	sentence	3		0.0	
25	sentence	4	, but not	22.2179897902475	
25	sentence	5	young	20.58558309494888	
25	sentence	6	.	4.594818519334848	
26	sentence	1	The problem is	12.109515231381769	
26	sentence	2	hard	12.574885752082531	
26	sentence	3		0.0	
26	sentence	4	, but not	22.2179897902475	
26	sentence	5	second	17.772563312654025	
26	sentence	6	.	8.9783095728037	
27	sentence	1	The problem is	12.109515231381769	
27	sentence	2	hard	12.574885752082531	
27	sentence	3		0.0	
27	sentence	4	, but not	22.2179897902475	
27	sentence	5	easy	7.200202959312433	
27	sentence	6	.	2.723121870949104	
28	sentence	1	The problem is	12.109515231381769	
28	sentence	2	hard	12.574885752082531	
28	sentence	3		0.0	
28	sentence	4	, but not	22.2179897902475	
28	sentence	5	different	15.896218833128712	
28	sentence	6	.	5.803187886353838	
29	sentence	1	The problem is	12.109515231381769	
29	sentence	2	hard	12.574885752082531	
29	sentence	3		0.0	
29	sentence	4	, but not	22.2179897902475	
29	sentence	5	married	20.227088698878372	
29	sentence	6	.	4.862825963480397	
30	sentence	1	The problem is	12.109515231381769	
30	sentence	2	hard	12.574885752082531	
30	sentence	3		0.0	
30	sentence	4	, but not	22.2179897902475	
30	sentence	5	important	14.352722696777246	
30	sentence	6	.	2.8810631702648695	
31	sentence	1	The problem is	12.109515231381769	
31	sentence	2	hard	12.574885752082531	
31	sentence	3		0.0	
31	sentence	4	, but not	22.2179897902475	
31	sentence	5	able	15.88012676045278	
31	sentence	6	.	7.440162784824672	
32	sentence	1	The problem is	12.109515231381769	
32	sentence	2	hard	12.574885752082531	
32	sentence	3		0.0	
32	sentence	4	, but not	22.2179897902475	
32	sentence	5	high	13.207323745475769	
32	sentence	6	.	3.608091105684699	
33	sentence	1	The problem is	12.109515231381769	
33	sentence	2	hard	12.574885752082531	
33	sentence	3		0.0	
33	sentence	4	, but not	22.2179897902475	
33	sentence	5	free	14.447128789350066	
33	sentence	6	.	1.9768151963155063	
34	sentence	1	The problem is	12.109515231381769	
34	sentence	2	hard	12.574885752082531	
34	sentence	3		0.0	
34	sentence	4	, but not	22.2179897902475	
34	sentence	5	stupid	12.691111627535618	
34	sentence	6	.	2.7672739450092076	
35	sentence	1	The problem is	12.109515231381769	
35	sentence	2	hard	12.574885752082531	
35	sentence	3		0.0	
35	sentence	4	, but not	22.2179897902475	
35	sentence	5	full	15.93246452076335	
35	sentence	6	.	5.642832638550562	
36	sentence	1	The problem is	12.109515231381769	
