item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The elephant is	19.30449808728389	
1	sentence	2	big	8.87014968367608	
1	sentence	3		0.0	
1	sentence	4	, but not	19.053684436675695	
1	sentence	5	good	9.515341910457304	
1	sentence	6	.	6.120624520218565	
2	sentence	1	The elephant is	19.30449808728389	
2	sentence	2	big	8.87014968367608	
2	sentence	3		0.0	
2	sentence	4	, but not	19.053684436675695	
2	sentence	5	little	13.074683845824335	
2	sentence	6	.	2.700922178393082	
3	sentence	1	The elephant is	19.30449808728389	
3	sentence	2	big	8.87014968367608	
3	sentence	3		0.0	
3	sentence	4	, but not	19.053684436675695	
3	sentence	5	other	13.327578142542665	
3	sentence	6	.	12.53311598170218	
4	sentence	1	The elephant is	19.30449808728389	
4	sentence	2	big	8.87014968367608	
4	sentence	3		0.0	
4	sentence	4	, but not	19.053684436675695	
4	sentence	5	great	7.552538312690241	
4	sentence	6	.	3.7604212990334145	
5	sentence	1	The elephant is	19.30449808728389	
5	sentence	2	big	8.87014968367608	
5	sentence	3		0.0	
5	sentence	4	, but not	19.053684436675695	
5	sentence	5	last	12.55624833617383	
5	sentence	6	.	6.2311639613035235	
6	sentence	1	The elephant is	19.30449808728389	
6	sentence	2	big	8.87014968367608	
6	sentence	3		0.0	
6	sentence	4	, but not	19.053684436675695	
6	sentence	5	new	13.289747462797674	
6	sentence	6	.	5.935789949822081	
7	sentence	1	The elephant is	19.30449808728389	
7	sentence	2	big	8.87014968367608	
7	sentence	3		0.0	
7	sentence	4	, but not	19.053684436675695	
7	sentence	5	old	12.050151549826825	
7	sentence	6	.	4.918482988952619	
9	sentence	1	The elephant is	19.30449808728389	
9	sentence	2	big	8.87014968367608	
9	sentence	3		0.0	
9	sentence	4	, but not	19.053684436675695	
9	sentence	5	nice	13.849414781096634	
9	sentence	6	.	4.183925825060667	
10	sentence	1	The elephant is	19.30449808728389	
10	sentence	2	big	8.87014968367608	
10	sentence	3		0.0	
10	sentence	4	, but not	19.053684436675695	
10	sentence	5	wrong	12.841040599112986	
10	sentence	6	.	4.47042381193108	
11	sentence	1	The elephant is	19.30449808728389	
11	sentence	2	big	8.87014968367608	
11	sentence	3		0.0	
11	sentence	4	, but not	19.053684436675695	
11	sentence	5	bad	6.917297690018543	
11	sentence	6	.	4.860218706493317	
12	sentence	1	The elephant is	19.30449808728389	
12	sentence	2	big	8.87014968367608	
12	sentence	3		0.0	
12	sentence	4	, but not	19.053684436675695	
12	sentence	5	same	16.460171959087173	
12	sentence	6	.	8.759328191043707	
13	sentence	1	The elephant is	19.30449808728389	
13	sentence	2	big	8.87014968367608	
13	sentence	3		0.0	
13	sentence	4	, but not	19.053684436675695	
13	sentence	5	next	14.324472138615919	
13	sentence	6	.	10.833944589442716	
14	sentence	1	The elephant is	19.30449808728389	
14	sentence	2	big	8.87014968367608	
14	sentence	3		0.0	
14	sentence	4	, but not	19.053684436675695	
14	sentence	5	dead	9.752617430754876	
14	sentence	6	.	3.3586464369773763	
15	sentence	1	The elephant is	19.30449808728389	
15	sentence	2	big	8.87014968367608	
15	sentence	3		0.0	
15	sentence	4	, but not	19.053684436675695	
15	sentence	5	many	8.833938392571614	
15	sentence	6	.	9.247838719444085	
16	sentence	1	The elephant is	19.30449808728389	
16	sentence	2	big	8.87014968367608	
16	sentence	3		0.0	
16	sentence	4	, but not	19.053684436675695	
16	sentence	5	real	12.3266556248556	
16	sentence	6	.	5.118020012206063	
17	sentence	1	The elephant is	19.30449808728389	
17	sentence	2	big	8.87014968367608	
17	sentence	3		0.0	
17	sentence	4	, but not	19.053684436675695	
17	sentence	5	live	13.982730228600655	
17	sentence	6	.	6.366753707382555	
18	sentence	1	The elephant is	19.30449808728389	
18	sentence	2	big	8.87014968367608	
18	sentence	3		0.0	
18	sentence	4	, but not	19.053684436675695	
18	sentence	5	ready	10.78515173553173	
18	sentence	6	.	6.4989891038391585	
19	sentence	1	The elephant is	19.30449808728389	
19	sentence	2	big	8.87014968367608	
19	sentence	3		0.0	
19	sentence	4	, but not	19.053684436675695	
19	sentence	5	happy	12.613385100374076	
19	sentence	6	.	4.447127386010505	
20	sentence	1	The elephant is	19.30449808728389	
20	sentence	2	big	8.87014968367608	
20	sentence	3		0.0	
20	sentence	4	, but not	19.053684436675695	
20	sentence	5	whole	13.309504829728795	
20	sentence	6	.	3.162891312216405	
21	sentence	1	The elephant is	19.30449808728389	
21	sentence	2	big	8.87014968367608	
21	sentence	3		0.0	
21	sentence	4	, but not	19.053684436675695	
21	sentence	5	hard	9.071929360696776	
21	sentence	6	.	5.2243916257300125	
22	sentence	1	The elephant is	19.30449808728389	
22	sentence	2	big	8.87014968367608	
22	sentence	3		0.0	
22	sentence	4	, but not	19.053684436675695	
22	sentence	5	open	14.76384515987298	
22	sentence	6	.	5.415562380949584	
23	sentence	1	The elephant is	19.30449808728389	
23	sentence	2	big	8.87014968367608	
23	sentence	3		0.0	
