item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	That dress is	18.034614825617545	
1	sentence	2	snug	13.42197735580945	
1	sentence	3		0.0	
1	sentence	4	, but not	18.76207890903996	
1	sentence	5	good	10.028111623657784	
1	sentence	6	.	5.099567649629691	
2	sentence	1	That dress is	18.034614825617545	
2	sentence	2	snug	13.42197735580945	
2	sentence	3		0.0	
2	sentence	4	, but not	18.76207890903996	
2	sentence	5	little	14.457019855566488	
2	sentence	6	.	3.251253590472604	
3	sentence	1	That dress is	18.034614825617545	
3	sentence	2	snug	13.42197735580945	
3	sentence	3		0.0	
3	sentence	4	, but not	18.76207890903996	
3	sentence	5	other	14.267690346607052	
3	sentence	6	.	7.273444866870075	
4	sentence	1	That dress is	18.034614825617545	
4	sentence	2	snug	13.42197735580945	
4	sentence	3		0.0	
4	sentence	4	, but not	18.76207890903996	
4	sentence	5	great	9.428214123668997	
4	sentence	6	.	3.5135078709814906	
5	sentence	1	That dress is	18.034614825617545	
5	sentence	2	snug	13.42197735580945	
5	sentence	3		0.0	
5	sentence	4	, but not	18.76207890903996	
5	sentence	5	last	14.805288851147296	
5	sentence	6	.	5.677412846194246	
6	sentence	1	That dress is	18.034614825617545	
6	sentence	2	snug	13.42197735580945	
6	sentence	3		0.0	
6	sentence	4	, but not	18.76207890903996	
6	sentence	5	new	14.581166563987711	
6	sentence	6	.	4.0957262423921845	
7	sentence	1	That dress is	18.034614825617545	
7	sentence	2	snug	13.42197735580945	
7	sentence	3		0.0	
7	sentence	4	, but not	18.76207890903996	
7	sentence	5	old	12.746031879331543	
7	sentence	6	.	5.117151155853905	
8	sentence	1	That dress is	18.034614825617545	
8	sentence	2	snug	13.42197735580945	
8	sentence	3		0.0	
8	sentence	4	, but not	18.76207890903996	
8	sentence	5	big	7.428350328432811	
8	sentence	6	.	4.691518516504876	
9	sentence	1	That dress is	18.034614825617545	
9	sentence	2	snug	13.42197735580945	
9	sentence	3		0.0	
9	sentence	4	, but not	18.76207890903996	
9	sentence	5	nice	11.587952991147253	
9	sentence	6	.	2.845226113408681	
10	sentence	1	That dress is	18.034614825617545	
10	sentence	2	snug	13.42197735580945	
10	sentence	3		0.0	
10	sentence	4	, but not	18.76207890903996	
10	sentence	5	wrong	9.872397155705391	
10	sentence	6	.	3.3662982890795643	
11	sentence	1	That dress is	18.034614825617545	
11	sentence	2	snug	13.42197735580945	
11	sentence	3		0.0	
11	sentence	4	, but not	18.76207890903996	
11	sentence	5	bad	8.113265044118515	
11	sentence	6	.	3.9788764138817676	
12	sentence	1	That dress is	18.034614825617545	
12	sentence	2	snug	13.42197735580945	
12	sentence	3		0.0	
12	sentence	4	, but not	18.76207890903996	
12	sentence	5	same	16.359087436216047	
12	sentence	6	.	7.621023180125018	
13	sentence	1	That dress is	18.034614825617545	
13	sentence	2	snug	13.42197735580945	
13	sentence	3		0.0	
13	sentence	4	, but not	18.76207890903996	
13	sentence	5	next	15.282833765728661	
13	sentence	6	.	10.982044353545508	
14	sentence	1	That dress is	18.034614825617545	
14	sentence	2	snug	13.42197735580945	
14	sentence	3		0.0	
14	sentence	4	, but not	18.76207890903996	
14	sentence	5	dead	13.98323929724721	
14	sentence	6	.	3.986270292007662	
15	sentence	1	That dress is	18.034614825617545	
15	sentence	2	snug	13.42197735580945	
15	sentence	3		0.0	
15	sentence	4	, but not	18.76207890903996	
15	sentence	5	many	11.978873684142037	
15	sentence	6	.	7.091064144936101	
16	sentence	1	That dress is	18.034614825617545	
16	sentence	2	snug	13.42197735580945	
16	sentence	3		0.0	
16	sentence	4	, but not	18.76207890903996	
16	sentence	5	real	12.462230236461357	
16	sentence	6	.	5.1454092812518715	
17	sentence	1	That dress is	18.034614825617545	
17	sentence	2	snug	13.42197735580945	
17	sentence	3		0.0	
17	sentence	4	, but not	18.76207890903996	
17	sentence	5	live	16.492711076630414	
17	sentence	6	.	6.741437862274684	
18	sentence	1	That dress is	18.034614825617545	
18	sentence	2	snug	13.42197735580945	
18	sentence	3		0.0	
18	sentence	4	, but not	18.76207890903996	
18	sentence	5	ready	10.522188886501288	
18	sentence	6	.	4.100671087569792	
19	sentence	1	That dress is	18.034614825617545	
19	sentence	2	snug	13.42197735580945	
19	sentence	3		0.0	
19	sentence	4	, but not	18.76207890903996	
19	sentence	5	happy	13.721440426797807	
19	sentence	6	.	3.5939221430107158	
20	sentence	1	That dress is	18.034614825617545	
20	sentence	2	snug	13.42197735580945	
20	sentence	3		0.0	
20	sentence	4	, but not	18.76207890903996	
20	sentence	5	whole	13.989876451709307	
20	sentence	6	.	3.115926633884091	
21	sentence	1	That dress is	18.034614825617545	
21	sentence	2	snug	13.42197735580945	
21	sentence	3		0.0	
21	sentence	4	, but not	18.76207890903996	
21	sentence	5	hard	8.655981752348435	
21	sentence	6	.	3.629560043957205	
