item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The boy was	15.419889319940996	
1	sentence	2	quiet	10.805905913907251	
1	sentence	3		0.0	
1	sentence	4	, but not	23.509698166256285	
1	sentence	5	good	12.172268862967869	
1	sentence	6	.	4.01167832091553	
2	sentence	1	The boy was	15.419889319940996	
2	sentence	2	quiet	10.805905913907251	
2	sentence	3		0.0	
2	sentence	4	, but not	23.509698166256285	
2	sentence	5	little	13.374980688704076	
2	sentence	6	.	2.3638093534084423	
3	sentence	1	The boy was	15.419889319940996	
3	sentence	2	quiet	10.805905913907251	
3	sentence	3		0.0	
3	sentence	4	, but not	23.509698166256285	
3	sentence	5	other	13.950530948775517	
3	sentence	6	.	8.70220724924734	
4	sentence	1	The boy was	15.419889319940996	
4	sentence	2	quiet	10.805905913907251	
4	sentence	3		0.0	
4	sentence	4	, but not	23.509698166256285	
4	sentence	5	great	11.53845913595135	
4	sentence	6	.	2.674008269394259	
5	sentence	1	The boy was	15.419889319940996	
5	sentence	2	quiet	10.805905913907251	
5	sentence	3		0.0	
5	sentence	4	, but not	23.509698166256285	
5	sentence	5	last	14.022989303375828	
5	sentence	6	.	6.687581839122297	
6	sentence	1	The boy was	15.419889319940996	
6	sentence	2	quiet	10.805905913907251	
6	sentence	3		0.0	
6	sentence	4	, but not	23.509698166256285	
6	sentence	5	new	15.204468838967117	
6	sentence	6	.	5.052790776352119	
7	sentence	1	The boy was	15.419889319940996	
7	sentence	2	quiet	10.805905913907251	
7	sentence	3		0.0	
7	sentence	4	, but not	23.509698166256285	
7	sentence	5	old	13.675105548932953	
7	sentence	6	.	4.193353570015664	
8	sentence	1	The boy was	15.419889319940996	
8	sentence	2	quiet	10.805905913907251	
8	sentence	3		0.0	
8	sentence	4	, but not	23.509698166256285	
8	sentence	5	big	12.367266920099741	
8	sentence	6	.	3.980807779050957	
9	sentence	1	The boy was	15.419889319940996	
9	sentence	2	quiet	10.805905913907251	
9	sentence	3		0.0	
9	sentence	4	, but not	23.509698166256285	
9	sentence	5	nice	12.477500919996768	
9	sentence	6	.	2.429035149609369	
10	sentence	1	The boy was	15.419889319940996	
10	sentence	2	quiet	10.805905913907251	
10	sentence	3		0.0	
10	sentence	4	, but not	23.509698166256285	
10	sentence	5	wrong	11.750055582683293	
10	sentence	6	.	3.123995715897272	
11	sentence	1	The boy was	15.419889319940996	
11	sentence	2	quiet	10.805905913907251	
11	sentence	3		0.0	
11	sentence	4	, but not	23.509698166256285	
11	sentence	5	bad	8.152112485295406	
11	sentence	6	.	3.6580616967887933	
12	sentence	1	The boy was	15.419889319940996	
12	sentence	2	quiet	10.805905913907251	
12	sentence	3		0.0	
12	sentence	4	, but not	23.509698166256285	
12	sentence	5	same	19.53165139668228	
12	sentence	6	.	5.6288105490604154	
13	sentence	1	The boy was	15.419889319940996	
13	sentence	2	quiet	10.805905913907251	
13	sentence	3		0.0	
13	sentence	4	, but not	23.509698166256285	
13	sentence	5	next	12.853221098377693	
13	sentence	6	.	12.709172557598626	
14	sentence	1	The boy was	15.419889319940996	
14	sentence	2	quiet	10.805905913907251	
14	sentence	3		0.0	
14	sentence	4	, but not	23.509698166256285	
14	sentence	5	dead	9.04409981606476	
14	sentence	6	.	1.7843893117099374	
15	sentence	1	The boy was	15.419889319940996	
15	sentence	2	quiet	10.805905913907251	
15	sentence	3		0.0	
15	sentence	4	, but not	23.509698166256285	
15	sentence	5	many	11.905748036856377	
15	sentence	6	.	8.12546893302374	
16	sentence	1	The boy was	15.419889319940996	
16	sentence	2	quiet	10.805905913907251	
16	sentence	3		0.0	
