item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The girl is	16.803636447333478	
1	sentence	2	pretty	9.248353979466069	
1	sentence	3		0.0	
1	sentence	4	, but not	19.8212612376374	
1	sentence	5	good	6.5796186981472635	
1	sentence	6	.	5.730623590440595	
2	sentence	1	The girl is	16.803636447333478	
2	sentence	2	pretty	9.248353979466069	
2	sentence	3		0.0	
2	sentence	4	, but not	19.8212612376374	
2	sentence	5	little	14.77108906912732	
2	sentence	6	.	3.4353249018645595	
3	sentence	1	The girl is	16.803636447333478	
3	sentence	2	pretty	9.248353979466069	
3	sentence	3		0.0	
3	sentence	4	, but not	19.8212612376374	
3	sentence	5	other	12.900523206671	
3	sentence	6	.	7.613001909288777	
4	sentence	1	The girl is	16.803636447333478	
4	sentence	2	pretty	9.248353979466069	
4	sentence	3		0.0	
4	sentence	4	, but not	19.8212612376374	
4	sentence	5	great	6.928504079548764	
4	sentence	6	.	4.409948864477587	
5	sentence	1	The girl is	16.803636447333478	
5	sentence	2	pretty	9.248353979466069	
5	sentence	3		0.0	
5	sentence	4	, but not	19.8212612376374	
5	sentence	5	last	12.659395274994102	
5	sentence	6	.	7.128455924956089	
6	sentence	1	The girl is	16.803636447333478	
6	sentence	2	pretty	9.248353979466069	
6	sentence	3		0.0	
6	sentence	4	, but not	19.8212612376374	
6	sentence	5	new	13.502247850342554	
6	sentence	6	.	5.71539177498428	
7	sentence	1	The girl is	16.803636447333478	
7	sentence	2	pretty	9.248353979466069	
7	sentence	3		0.0	
7	sentence	4	, but not	19.8212612376374	
7	sentence	5	old	11.332690837291844	
7	sentence	6	.	5.511901902483404	
8	sentence	1	The girl is	16.803636447333478	
8	sentence	2	pretty	9.248353979466069	
8	sentence	3		0.0	
8	sentence	4	, but not	19.8212612376374	
8	sentence	5	big	7.954577340098004	
8	sentence	6	.	4.86101464220151	
9	sentence	1	The girl is	16.803636447333478	
9	sentence	2	pretty	9.248353979466069	
9	sentence	3		0.0	
9	sentence	4	, but not	19.8212612376374	
9	sentence	5	nice	8.542840557721224	
9	sentence	6	.	4.015109718765545	
10	sentence	1	The girl is	16.803636447333478	
10	sentence	2	pretty	9.248353979466069	
10	sentence	3		0.0	
10	sentence	4	, but not	19.8212612376374	
10	sentence	5	wrong	13.188474446941205	
10	sentence	6	.	4.8207569432875435	
11	sentence	1	The girl is	16.803636447333478	
11	sentence	2	pretty	9.248353979466069	
11	sentence	3		0.0	
11	sentence	4	, but not	19.8212612376374	
11	sentence	5	bad	6.392853794477495	
11	sentence	6	.	4.795652979706401	
12	sentence	1	The girl is	16.803636447333478	
12	sentence	2	pretty	9.248353979466069	
12	sentence	3		0.0	
12	sentence	4	, but not	19.8212612376374	
12	sentence	5	same	16.73242875057024	
12	sentence	6	.	7.2832148573002895	
13	sentence	1	The girl is	16.803636447333478	
13	sentence	2	pretty	9.248353979466069	
13	sentence	3		0.0	
13	sentence	4	, but not	19.8212612376374	
13	sentence	5	next	14.410261212449907	
13	sentence	6	.	10.041417577389739	
14	sentence	1	The girl is	16.803636447333478	
14	sentence	2	pretty	9.248353979466069	
14	sentence	3		0.0	
14	sentence	4	, but not	19.8212612376374	
14	sentence	5	dead	11.31277937390555	
14	sentence	6	.	3.8596171084327633	
15	sentence	1	The girl is	16.803636447333478	
15	sentence	2	pretty	9.248353979466069	
15	sentence	3		0.0	
15	sentence	4	, but not	19.8212612376374	
15	sentence	5	many	10.05727850538291	
15	sentence	6	.	6.846211756972117	
16	sentence	1	The girl is	16.803636447333478	
16	sentence	2	pretty	9.248353979466069	
16	sentence	3		0.0	
16	sentence	4	, but not	19.8212612376374	
16	sentence	5	real	11.351534632381581	
16	sentence	6	.	4.620293965441854	
17	sentence	1	The girl is	16.803636447333478	
17	sentence	2	pretty	9.248353979466069	
17	sentence	3		0.0	
17	sentence	4	, but not	19.8212612376374	
17	sentence	5	live	15.38834443410239	
17	sentence	6	.	6.318199565390967	
18	sentence	1	The girl is	16.803636447333478	
18	sentence	2	pretty	9.248353979466069	
18	sentence	3		0.0	
18	sentence	4	, but not	19.8212612376374	
18	sentence	5	ready	8.381710700058463	
18	sentence	6	.	6.529694886324204	
19	sentence	1	The girl is	16.803636447333478	
19	sentence	2	pretty	9.248353979466069	
19	sentence	3		0.0	
19	sentence	4	, but not	19.8212612376374	
19	sentence	5	happy	9.826915311788817	
19	sentence	6	.	5.208515219298263	
20	sentence	1	The girl is	16.803636447333478	
20	sentence	2	pretty	9.248353979466069	
20	sentence	3		0.0	
20	sentence	4	, but not	19.8212612376374	
20	sentence	5	whole	13.990777640799827	
20	sentence	6	.	3.962972834191182	
21	sentence	1	The girl is	16.803636447333478	
