item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The doctors	13.542838507668591	
1	sentence	2	dislike	16.355486807437583	
1	sentence	3	coffee	14.833035844106899	
1	sentence	4	, but do not	24.216019562494882	
1	sentence	5	have	5.492691440382028	
1	sentence	6	it.	8.432260356748012	
2	sentence	1	The doctors	13.542838507668591	
2	sentence	2	dislike	16.355486807437583	
2	sentence	3	coffee	14.833035844106899	
2	sentence	4	, but do not	24.216019562494882	
2	sentence	5	know	5.1081107158286505	
2	sentence	6	it.	8.06811185904774	
3	sentence	1	The doctors	13.542838507668591	
3	sentence	2	dislike	16.355486807437583	
3	sentence	3	coffee	14.833035844106899	
3	sentence	4	, but do not	24.216019562494882	
3	sentence	5	get	7.482912856314941	
3	sentence	6	it.	5.339197096469622	
4	sentence	1	The doctors	13.542838507668591	
4	sentence	2	dislike	16.355486807437583	
4	sentence	3	coffee	14.833035844106899	
4	sentence	4	, but do not	24.216019562494882	
4	sentence	5	go	7.557297416604917	
4	sentence	6	it.	14.296154163255451	
5	sentence	1	The doctors	13.542838507668591	
5	sentence	2	dislike	16.355486807437583	
5	sentence	3	coffee	14.833035844106899	
5	sentence	4	, but do not	24.216019562494882	
5	sentence	5	come	10.046923773939762	
5	sentence	6	it.	14.3793837912793	
6	sentence	1	The doctors	13.542838507668591	
6	sentence	2	dislike	16.355486807437583	
6	sentence	3	coffee	14.833035844106899	
6	sentence	4	, but do not	24.216019562494882	
6	sentence	5	see	7.289543818852041	
6	sentence	6	it.	8.367314548302689	
7	sentence	1	The doctors	13.542838507668591	
7	sentence	2	dislike	16.355486807437583	
7	sentence	3	coffee	14.833035844106899	
7	sentence	4	, but do not	24.216019562494882	
7	sentence	5	let	7.785712390730037	
7	sentence	6	it.	10.051381564250125	
8	sentence	1	The doctors	13.542838507668591	
8	sentence	2	dislike	16.355486807437583	
8	sentence	3	coffee	14.833035844106899	
8	sentence	4	, but do not	24.216019562494882	
8	sentence	5	take	6.653587748352754	
8	sentence	6	it.	3.974434617957934	
9	sentence	1	The doctors	13.542838507668591	
9	sentence	2	dislike	16.355486807437583	
9	sentence	3	coffee	14.833035844106899	
9	sentence	4	, but do not	24.216019562494882	
9	sentence	5	say	7.121512641375456	
9	sentence	6	it.	8.390924498595787	
10	sentence	1	The doctors	13.542838507668591	
10	sentence	2	dislike	16.355486807437583	
10	sentence	3	coffee	14.833035844106899	
10	sentence	4	, but do not	24.216019562494882	
10	sentence	5	make	8.099716938814145	
10	sentence	6	it.	5.597573512166854	
11	sentence	1	The doctors	13.542838507668591	
11	sentence	2	dislike	16.355486807437583	
11	sentence	3	coffee	14.833035844106899	
11	sentence	4	, but do not	24.216019562494882	
11	sentence	5	give	6.035550894212165	
11	sentence	6	it.	6.694300255386928	
12	sentence	1	The doctors	13.542838507668591	
12	sentence	2	dislike	16.355486807437583	
12	sentence	3	coffee	14.833035844106899	
12	sentence	4	, but do not	24.216019562494882	
12	sentence	5	find	7.677536679198537	
12	sentence	6	it.	8.856054329576667	
13	sentence	1	The doctors	13.542838507668591	
13	sentence	2	dislike	16.355486807437583	
13	sentence	3	coffee	14.833035844106899	
13	sentence	4	, but do not	24.216019562494882	
13	sentence	5	keep	10.2671496221614	
13	sentence	6	it.	4.122732420083195	
14	sentence	1	The doctors	13.542838507668591	
14	sentence	2	dislike	16.355486807437583	
14	sentence	3	coffee	14.833035844106899	
14	sentence	4	, but do not	24.216019562494882	
14	sentence	5	leave	10.439803693293175	
14	sentence	6	it.	5.330688942748789	
15	sentence	1	The doctors	13.542838507668591	
15	sentence	2	dislike	16.355486807437583	
15	sentence	3	coffee	14.833035844106899	
15	sentence	4	, but do not	24.216019562494882	
15	sentence	5	believe	4.259413482073276	
15	sentence	6	it.	7.185115953248144	
16	sentence	1	The doctors	13.542838507668591	
16	sentence	2	dislike	16.355486807437583	
16	sentence	3	coffee	14.833035844106899	
16	sentence	4	, but do not	24.216019562494882	
16	sentence	5	remember	10.450810582948396	
16	sentence	6	it.	5.478221164103733	
17	sentence	1	The doctors	13.542838507668591	
17	sentence	2	dislike	16.355486807437583	
17	sentence	3	coffee	14.833035844106899	
17	sentence	4	, but do not	24.216019562494882	
17	sentence	5	run	11.624145020194822	
17	sentence	6	it.	4.17398987137237	
18	sentence	1	The doctors	13.542838507668591	
18	sentence	2	dislike	16.355486807437583	
18	sentence	3	coffee	14.833035844106899	
18	sentence	4	, but do not	24.216019562494882	
18	sentence	5	happen	12.51013359610208	
18	sentence	6	it.	15.683678545608831	
19	sentence	1	The doctors	13.542838507668591	
19	sentence	2	dislike	16.355486807437583	
19	sentence	3	coffee	14.833035844106899	
19	sentence	4	, but do not	24.216019562494882	
19	sentence	5	buy	7.23891212643803	
19	sentence	6	it.	2.3390266534191113	
20	sentence	1	The doctors	13.542838507668591	
20	sentence	2	dislike	16.355486807437583	
20	sentence	3	coffee	14.833035844106899	
20	sentence	4	, but do not	24.216019562494882	
20	sentence	5	save	13.807845886452489	
20	sentence	6	it.	4.675094345330129	
21	sentence	1	The doctors	13.542838507668591	
21	sentence	2	dislike	16.355486807437583	
21	sentence	3	coffee	14.833035844106899	
21	sentence	4	, but do not	24.216019562494882	
21	sentence	5	lose	12.553919003150545	
21	sentence	6	it.	5.282840961521643	
22	sentence	1	The doctors	13.542838507668591	
22	sentence	2	dislike	16.355486807437583	
22	sentence	3	coffee	14.833035844106899	
22	sentence	4	, but do not	24.216019562494882	
22	sentence	5	follow	9.639426705124217	
22	sentence	6	it.	4.707697612402144	
23	sentence	1	The doctors	13.542838507668591	
23	sentence	2	dislike	16.355486807437583	
23	sentence	3	coffee	14.833035844106899	
23	sentence	4	, but do not	24.216019562494882	
23	sentence	5	expect	7.02049140811985	
23	sentence	6	it.	8.627318435825035	
24	sentence	1	The doctors	13.542838507668591	
24	sentence	2	dislike	16.355486807437583	
24	sentence	3	coffee	14.833035844106899	
24	sentence	4	, but do not	24.216019562494882	
24	sentence	5	realize	9.847192754256145	
24	sentence	6	it.	4.832495963087487	
25	sentence	1	The doctors	13.542838507668591	
25	sentence	2	dislike	16.355486807437583	
25	sentence	3	coffee	14.833035844106899	
25	sentence	4	, but do not	24.216019562494882	
25	sentence	5	slow	14.825542903974107	
25	sentence	6	it.	8.285071240781537	
26	sentence	1	The doctors	13.542838507668591	
26	sentence	2	dislike	16.355486807437583	
26	sentence	3	coffee	14.833035844106899	
26	sentence	4	, but do not	24.216019562494882	
26	sentence	5	allow	7.059433783720017	
26	sentence	6	it.	3.9907445926525087	
27	sentence	1	The doctors	13.542838507668591	
27	sentence	2	dislike	16.355486807437583	
27	sentence	3	coffee	14.833035844106899	
27	sentence	4	, but do not	24.216019562494882	
27	sentence	5	consider	6.153170517067843	
27	sentence	6	it.	7.534444146979953	
28	sentence	1	The doctors	13.542838507668591	
28	sentence	2	dislike	16.355486807437583	
28	sentence	3	coffee	14.833035844106899	
28	sentence	4	, but do not	24.216019562494882	
28	sentence	5	apologize	13.688531202589907	
28	sentence	6	it.	13.803570913699993	
29	sentence	1	The doctors	13.542838507668591	
29	sentence	2	dislike	16.355486807437583	
