item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The writer was	16.760456419216048	
1	sentence	2	smart	15.158377488535884	
1	sentence	3		0.0	
1	sentence	4	, but not	20.261420219608908	
1	sentence	5	good	5.73731405952446	
1	sentence	6	.	5.432176592953535	
2	sentence	1	The writer was	16.760456419216048	
2	sentence	2	smart	15.158377488535884	
2	sentence	3		0.0	
2	sentence	4	, but not	20.261420219608908	
2	sentence	5	little	16.98231541469028	
2	sentence	6	.	4.09414881751847	
3	sentence	1	The writer was	16.760456419216048	
3	sentence	2	smart	15.158377488535884	
3	sentence	3		0.0	
3	sentence	4	, but not	20.261420219608908	
3	sentence	5	other	12.497272045539956	
3	sentence	6	.	7.772629326513601	
4	sentence	1	The writer was	16.760456419216048	
4	sentence	2	smart	15.158377488535884	
4	sentence	3		0.0	
4	sentence	4	, but not	20.261420219608908	
4	sentence	5	great	5.511650807813145	
4	sentence	6	.	4.090282647527075	
5	sentence	1	The writer was	16.760456419216048	
5	sentence	2	smart	15.158377488535884	
5	sentence	3		0.0	
5	sentence	4	, but not	20.261420219608908	
5	sentence	5	last	11.738534120936693	
5	sentence	6	.	6.447203063872556	
6	sentence	1	The writer was	16.760456419216048	
6	sentence	2	smart	15.158377488535884	
6	sentence	3		0.0	
6	sentence	4	, but not	20.261420219608908	
6	sentence	5	new	12.919320222479703	
6	sentence	6	.	5.335862180886742	
7	sentence	1	The writer was	16.760456419216048	
7	sentence	2	smart	15.158377488535884	
7	sentence	3		0.0	
7	sentence	4	, but not	20.261420219608908	
7	sentence	5	old	12.427411316898276	
7	sentence	6	.	5.626925619206959	
8	sentence	1	The writer was	16.760456419216048	
8	sentence	2	smart	15.158377488535884	
8	sentence	3		0.0	
8	sentence	4	, but not	20.261420219608908	
8	sentence	5	big	10.810058950960286	
8	sentence	6	.	5.957981215228211	
9	sentence	1	The writer was	16.760456419216048	
9	sentence	2	smart	15.158377488535884	
9	sentence	3		0.0	
9	sentence	4	, but not	20.261420219608908	
9	sentence	5	nice	8.437160658419046	
9	sentence	6	.	3.2211841437957505	
10	sentence	1	The writer was	16.760456419216048	
10	sentence	2	smart	15.158377488535884	
10	sentence	3		0.0	
10	sentence	4	, but not	20.261420219608908	
10	sentence	5	wrong	11.018540447919802	
10	sentence	6	.	3.2343906915555056	
11	sentence	1	The writer was	16.760456419216048	
11	sentence	2	smart	15.158377488535884	
11	sentence	3		0.0	
11	sentence	4	, but not	20.261420219608908	
11	sentence	5	bad	8.057059737955342	
11	sentence	6	.	4.478065345074216	
12	sentence	1	The writer was	16.760456419216048	
12	sentence	2	smart	15.158377488535884	
12	sentence	3		0.0	
12	sentence	4	, but not	20.261420219608908	
12	sentence	5	same	16.335968840356465	
12	sentence	6	.	6.641491176621668	
13	sentence	1	The writer was	16.760456419216048	
13	sentence	2	smart	15.158377488535884	
13	sentence	3		0.0	
13	sentence	4	, but not	20.261420219608908	
13	sentence	5	next	13.336998664226327	
13	sentence	6	.	11.541505980594035	
14	sentence	1	The writer was	16.760456419216048	
14	sentence	2	smart	15.158377488535884	
14	sentence	3		0.0	
14	sentence	4	, but not	20.261420219608908	
14	sentence	5	dead	12.567551035988535	
14	sentence	6	.	3.934141662600541	
15	sentence	1	The writer was	16.760456419216048	
15	sentence	2	smart	15.158377488535884	
15	sentence	3		0.0	
15	sentence	4	, but not	20.261420219608908	
15	sentence	5	many	9.257482130643263	
15	sentence	6	.	10.491946769242968	
16	sentence	1	The writer was	16.760456419216048	
16	sentence	2	smart	15.158377488535884	
16	sentence	3		0.0	
16	sentence	4	, but not	20.261420219608908	
16	sentence	5	real	12.0351367764759	
16	sentence	6	.	5.269931599782579	
17	sentence	1	The writer was	16.760456419216048	
17	sentence	2	smart	15.158377488535884	
17	sentence	3		0.0	
17	sentence	4	, but not	20.261420219608908	
17	sentence	5	live	14.79371648253604	
17	sentence	6	.	5.451929832301034	
18	sentence	1	The writer was	16.760456419216048	
18	sentence	2	smart	15.158377488535884	
18	sentence	3		0.0	
18	sentence	4	, but not	20.261420219608908	
18	sentence	5	ready	10.060049489853611	
18	sentence	6	.	5.944338175500566	
19	sentence	1	The writer was	16.760456419216048	
19	sentence	2	smart	15.158377488535884	
19	sentence	3		0.0	
19	sentence	4	, but not	20.261420219608908	
19	sentence	5	happy	11.121630976430591	
19	sentence	6	.	4.863403825187296	
20	sentence	1	The writer was	16.760456419216048	
20	sentence	2	smart	15.158377488535884	
20	sentence	3		0.0	
20	sentence	4	, but not	20.261420219608908	
20	sentence	5	whole	14.333639501837508	
20	sentence	6	.	5.172717374486472	
21	sentence	1	The writer was	16.760456419216048	
21	sentence	2	smart	15.158377488535884	
21	sentence	3		0.0	
21	sentence	4	, but not	20.261420219608908	
21	sentence	5	hard	7.459044416097598	
21	sentence	6	.	6.8168164822866455	
22	sentence	1	The writer was	16.760456419216048	
22	sentence	2	smart	15.158377488535884	
22	sentence	3		0.0	
22	sentence	4	, but not	20.261420219608908	
22	sentence	5	open	13.199511605542977	
22	sentence	6	.	7.836305559030254	
23	sentence	1	The writer was	16.760456419216048	
23	sentence	2	smart	15.158377488535884	
23	sentence	3		0.0	
23	sentence	4	, but not	20.261420219608908	
23	sentence	5	few	15.926006228258151	
23	sentence	6	.	4.831243757406554	
24	sentence	1	The writer was	16.760456419216048	
24	sentence	2	smart	15.158377488535884	
24	sentence	3		0.0	
24	sentence	4	, but not	20.261420219608908	
24	sentence	5	true	11.152439260575552	
24	sentence	6	.	3.60200979915019	
25	sentence	1	The writer was	16.760456419216048	
25	sentence	2	smart	15.158377488535884	
25	sentence	3		0.0	
25	sentence	4	, but not	20.261420219608908	
25	sentence	5	young	13.860431301780302	
25	sentence	6	.	3.7142188478097244	
26	sentence	1	The writer was	16.760456419216048	
26	sentence	2	smart	15.158377488535884	
26	sentence	3		0.0	
26	sentence	4	, but not	20.261420219608908	
26	sentence	5	second	15.023474297199098	
26	sentence	6	.	9.2973153763749	
27	sentence	1	The writer was	16.760456419216048	
27	sentence	2	smart	15.158377488535884	
27	sentence	3		0.0	
27	sentence	4	, but not	20.261420219608908	
27	sentence	5	easy	9.219574402670686	
27	sentence	6	.	5.400737476445211	
28	sentence	1	The writer was	16.760456419216048	
28	sentence	2	smart	15.158377488535884	
28	sentence	3		0.0	
28	sentence	4	, but not	20.261420219608908	
28	sentence	5	different	14.644815279280227	
28	sentence	6	.	5.612986081389227	
29	sentence	1	The writer was	16.760456419216048	
29	sentence	2	smart	15.158377488535884	
29	sentence	3		0.0	
29	sentence	4	, but not	20.261420219608908	
29	sentence	5	married	14.611288293390427	
29	sentence	6	.	4.742079696032033	
30	sentence	1	The writer was	16.760456419216048	
30	sentence	2	smart	15.158377488535884	
30	sentence	3		0.0	
30	sentence	4	, but not	20.261420219608908	
30	sentence	5	important	11.59057951019123	
30	sentence	6	.	3.5136681588120946	
31	sentence	1	The writer was	16.760456419216048	
31	sentence	2	smart	15.158377488535884	
31	sentence	3		0.0	
31	sentence	4	, but not	20.261420219608908	
31	sentence	5	able	9.072577391325227	
31	sentence	6	.	9.554535380727732	
32	sentence	1	The writer was	16.760456419216048	
32	sentence	2	smart	15.158377488535884	
32	sentence	3		0.0	
32	sentence	4	, but not	20.261420219608908	
32	sentence	5	high	10.720991199870248	
32	sentence	6	.	5.607447552100841	
33	sentence	1	The writer was	16.760456419216048	
33	sentence	2	smart	15.158377488535884	
33	sentence	3		0.0	
33	sentence	4	, but not	20.261420219608908	
33	sentence	5	free	14.63027517804568	
33	sentence	6	.	3.7279392797302573	
34	sentence	1	The writer was	16.760456419216048	
34	sentence	2	smart	15.158377488535884	
34	sentence	3		0.0	
34	sentence	4	, but not	20.261420219608908	
34	sentence	5	stupid	8.932338610228072	
34	sentence	6	.	2.3584940576008764	
35	sentence	1	The writer was	16.760456419216048	
35	sentence	2	smart	15.158377488535884	
35	sentence	3		0.0	
35	sentence	4	, but not	20.261420219608908	
35	sentence	5	full	11.818135946923242	
35	sentence	6	.	8.990443980717977	
36	sentence	1	The writer was	16.760456419216048	
36	sentence	2	smart	15.158377488535884	
36	sentence	3		0.0	
36	sentence	4	, but not	20.261420219608908	
36	sentence	5	hot	11.299810506169289	
36	sentence	6	.	3.801364176828418	
37	sentence	1	The writer was	16.760456419216048	
37	sentence	2	smart	15.158377488535884	
37	sentence	3		0.0	
37	sentence	4	, but not	20.261420219608908	
37	sentence	5	clear	11.045562362023368	
37	sentence	6	.	4.239139135293663	
38	sentence	1	The writer was	16.760456419216048	
38	sentence	2	smart	15.158377488535884	
38	sentence	3		0.0	
38	sentence	4	, but not	20.261420219608908	
38	sentence	5	alive	17.16189281941519	
38	sentence	6	.	3.882287517504197	
39	sentence	1	The writer was	16.760456419216048	
39	sentence	2	smart	15.158377488535884	
39	sentence	3		0.0	
39	sentence	4	, but not	20.261420219608908	
39	sentence	5	black	14.185156560388595	
39	sentence	6	.	3.6160308567444313	
40	sentence	1	The writer was	16.760456419216048	
40	sentence	2	smart	15.158377488535884	
40	sentence	3		0.0	
40	sentence	4	, but not	20.261420219608908	
40	sentence	5	white	14.833715519543109	
40	sentence	6	.	3.9752348532323984	
41	sentence	1	The writer was	16.760456419216048	
41	sentence	2	smart	15.158377488535884	
41	sentence	3		0.0	
41	sentence	4	, but not	20.261420219608908	
41	sentence	5	small	15.115888142744321	
41	sentence	6	.	3.6083356650142258	
42	sentence	1	The writer was	16.760456419216048	
42	sentence	2	smart	15.158377488535884	
42	sentence	3		0.0	
42	sentence	4	, but not	20.261420219608908	
42	sentence	5	safe	13.58691009384809	
42	sentence	6	.	3.2755629942067603	
43	sentence	1	The writer was	16.760456419216048	
43	sentence	2	smart	15.158377488535884	
43	sentence	3		0.0	
43	sentence	4	, but not	20.261420219608908	
43	sentence	5	poor	13.515178193965024	
43	sentence	6	.	2.8858592504494807	
44	sentence	1	The writer was	16.760456419216048	
44	sentence	2	smart	15.158377488535884	
44	sentence	3		0.0	
44	sentence	4	, but not	20.261420219608908	
44	sentence	5	special	12.113373748145202	
44	sentence	6	.	3.929066798538881	
45	sentence	1	The writer was	16.760456419216048	
45	sentence	2	smart	15.158377488535884	
45	sentence	3		0.0	
45	sentence	4	, but not	20.261420219608908	
45	sentence	5	serious	11.000786334905934	
45	sentence	6	.	3.0724071120138605	
46	sentence	1	The writer was	16.760456419216048	
46	sentence	2	smart	15.158377488535884	
46	sentence	3		0.0	
46	sentence	4	, but not	20.261420219608908	
46	sentence	5	possible	14.419449213589603	
46	sentence	6	.	5.06297662083212	
47	sentence	1	The writer was	16.760456419216048	
47	sentence	2	smart	15.158377488535884	
47	sentence	3		0.0	
47	sentence	4	, but not	20.261420219608908	
47	sentence	5	lucky	12.45837369749841	
47	sentence	6	.	4.0880000937848235	
48	sentence	1	The writer was	16.760456419216048	
48	sentence	2	smart	15.158377488535884	
48	sentence	3		0.0	
48	sentence	4	, but not	20.261420219608908	
48	sentence	5	quiet	13.420496929150824	
48	sentence	6	.	3.3465158126814187	
49	sentence	1	The writer was	16.760456419216048	
49	sentence	2	smart	15.158377488535884	
49	sentence	3		0.0	
49	sentence	4	, but not	20.261420219608908	
49	sentence	5	strong	8.212532054335322	
49	sentence	6	.	4.592304132979233	
50	sentence	1	The writer was	16.760456419216048	
50	sentence	2	smart	15.158377488535884	
50	sentence	3		0.0	
50	sentence	4	, but not	20.261420219608908	
50	sentence	5	general	14.766342347963509	
50	sentence	6	.	4.153887679226271	
51	sentence	1	The writer was	16.760456419216048	
51	sentence	2	smart	15.158377488535884	
51	sentence	3		0.0	
51	sentence	4	, but not	20.261420219608908	
51	sentence	5	busy	14.240257050002624	
51	sentence	6	.	3.285132108900767	
52	sentence	1	The writer was	16.760456419216048	
52	sentence	2	smart	15.158377488535884	
52	sentence	3		0.0	
52	sentence	4	, but not	20.261420219608908	
52	sentence	5	entire	16.250038052818166	
52	sentence	6	.	4.979501401582839	
53	sentence	1	The writer was	16.760456419216048	
53	sentence	2	smart	15.158377488535884	
53	sentence	3		0.0	
53	sentence	4	, but not	20.261420219608908	
53	sentence	5	dangerous	12.808194664520604	
53	sentence	6	.	2.987837395174488	
54	sentence	1	The writer was	16.760456419216048	
54	sentence	2	smart	15.158377488535884	
54	sentence	3		0.0	
54	sentence	4	, but not	20.261420219608908	
54	sentence	5	short	12.828887617072416	
54	sentence	6	.	4.4902399969287945	
55	sentence	1	The writer was	16.760456419216048	
55	sentence	2	smart	15.158377488535884	
55	sentence	3		0.0	
55	sentence	4	, but not	20.261420219608908	
55	sentence	5	single	15.3569720468626	
55	sentence	6	.	8.203618537506403	
56	sentence	1	The writer was	16.760456419216048	
56	sentence	2	smart	15.158377488535884	
56	sentence	3		0.0	
56	sentence	4	, but not	20.261420219608908	
56	sentence	5	normal	13.722415912393501	
56	sentence	6	.	3.8198763893672907	
57	sentence	1	The writer was	16.760456419216048	
57	sentence	2	smart	15.158377488535884	
57	sentence	3		0.0	
57	sentence	4	, but not	20.261420219608908	
57	sentence	5	major	15.359976927738474	
57	sentence	6	.	4.44336302974842	
58	sentence	1	The writer was	16.760456419216048	
58	sentence	2	smart	15.158377488535884	
58	sentence	3		0.0	
58	sentence	4	, but not	20.261420219608908	
58	sentence	5	interested	9.95224801257039	
58	sentence	6	.	5.881843119830038	
59	sentence	1	The writer was	16.760456419216048	
59	sentence	2	smart	15.158377488535884	
59	sentence	3		0.0	
59	sentence	4	, but not	20.261420219608908	
59	sentence	5	difficult	11.348108737976393	
59	sentence	6	.	4.1585171082221954	
60	sentence	1	The writer was	16.760456419216048	
60	sentence	2	smart	15.158377488535884	
60	sentence	3		0.0	
60	sentence	4	, but not	20.261420219608908	
60	sentence	5	personal	14.545874348169457	
60	sentence	6	.	3.6743453581377854	
61	sentence	1	The writer was	16.760456419216048	
61	sentence	2	smart	15.158377488535884	
61	sentence	3		0.0	
61	sentence	4	, but not	20.261420219608908	
61	sentence	5	certain	12.402348629153341	
61	sentence	6	.	4.989225644627924	
62	sentence	1	The writer was	16.760456419216048	
62	sentence	2	smart	15.158377488535884	
62	sentence	3		0.0	
62	sentence	4	, but not	20.261420219608908	
62	sentence	5	angry	13.057632797887194	
62	sentence	6	.	2.8481950499105255	
63	sentence	1	The writer was	16.760456419216048	
63	sentence	2	smart	15.158377488535884	
63	sentence	3		0.0	
63	sentence	4	, but not	20.261420219608908	
63	sentence	5	rich	11.509414705873638	
63	sentence	6	.	3.277364684457199	
64	sentence	1	The writer was	16.760456419216048	
64	sentence	2	smart	15.158377488535884	
64	sentence	3		0.0	
64	sentence	4	, but not	20.261420219608908	
64	sentence	5	tough	9.130671754925476	
64	sentence	6	.	3.844698301401018	
65	sentence	1	The writer was	16.760456419216048	
65	sentence	2	smart	15.158377488535884	
65	sentence	3		0.0	
65	sentence	4	, but not	20.261420219608908	
65	sentence	5	third	17.077624072214828	
65	sentence	6	.	9.594697457287817	
66	sentence	1	The writer was	16.760456419216048	
66	sentence	2	smart	15.158377488535884	
66	sentence	3		0.0	
66	sentence	4	, but not	20.261420219608908	
66	sentence	5	private	17.989170645901506	
66	sentence	6	.	3.283725290816709	
67	sentence	1	The writer was	16.760456419216048	
67	sentence	2	smart	15.158377488535884	
67	sentence	3		0.0	
67	sentence	4	, but not	20.261420219608908	
67	sentence	5	impossible	11.255882009555307	
67	sentence	6	.	4.448041645782492	
68	sentence	1	The writer was	16.760456419216048	
68	sentence	2	smart	15.158377488535884	
68	sentence	3		0.0	
68	sentence	4	, but not	20.261420219608908	
68	sentence	5	green	16.134883973245255	
68	sentence	6	.	3.965082029421364	
69	sentence	1	The writer was	16.760456419216048	
69	sentence	2	smart	15.158377488535884	
69	sentence	3		0.0	
69	sentence	4	, but not	20.261420219608908	
69	sentence	5	huge	13.068771770218277	
69	sentence	6	.	5.330988880491893	
70	sentence	1	The writer was	16.760456419216048	
70	sentence	2	smart	15.158377488535884	
70	sentence	3		0.0	
