item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	rainy	20.475138588287198	
1	sentence	3		0.0	
1	sentence	4	, but not	20.82704570486436	
1	sentence	5	good	9.522555550765093	
1	sentence	6	.	5.786925894818855	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	rainy	20.475138588287198	
2	sentence	3		0.0	
2	sentence	4	, but not	20.82704570486436	
2	sentence	5	little	15.78117207072994	
2	sentence	6	.	4.953258568887683	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	rainy	20.475138588287198	
3	sentence	3		0.0	
3	sentence	4	, but not	20.82704570486436	
3	sentence	5	other	14.44151252390349	
3	sentence	6	.	10.271799345110125	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	rainy	20.475138588287198	
4	sentence	3		0.0	
4	sentence	4	, but not	20.82704570486436	
4	sentence	5	great	10.162749273781639	
4	sentence	6	.	5.016346620738385	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	rainy	20.475138588287198	
5	sentence	3		0.0	
5	sentence	4	, but not	20.82704570486436	
5	sentence	5	last	12.453569190163906	
5	sentence	6	.	8.153180153591963	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	rainy	20.475138588287198	
6	sentence	3		0.0	
6	sentence	4	, but not	20.82704570486436	
6	sentence	5	new	14.76304578451177	
6	sentence	6	.	6.100309929498651	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	rainy	20.475138588287198	
7	sentence	3		0.0	
7	sentence	4	, but not	20.82704570486436	
7	sentence	5	old	13.734033684424585	
7	sentence	6	.	4.705723251570238	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	rainy	20.475138588287198	
8	sentence	3		0.0	
8	sentence	4	, but not	20.82704570486436	
8	sentence	5	big	11.614767150208575	
8	sentence	6	.	6.634687542953535	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	rainy	20.475138588287198	
9	sentence	3		0.0	
9	sentence	4	, but not	20.82704570486436	
9	sentence	5	nice	11.461232046407915	
9	sentence	6	.	4.41747000976512	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	rainy	20.475138588287198	
10	sentence	3		0.0	
10	sentence	4	, but not	20.82704570486436	
10	sentence	5	wrong	11.470235682145884	
10	sentence	6	.	4.98342845343264	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	rainy	20.475138588287198	
11	sentence	3		0.0	
11	sentence	4	, but not	20.82704570486436	
11	sentence	5	bad	5.457986373333819	
11	sentence	6	.	5.461083780875858	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	rainy	20.475138588287198	
12	sentence	3		0.0	
12	sentence	4	, but not	20.82704570486436	
12	sentence	5	same	16.972821972362652	
12	sentence	6	.	8.116075928564216	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	rainy	20.475138588287198	
13	sentence	3		0.0	
13	sentence	4	, but not	20.82704570486436	
13	sentence	5	next	15.396998601093806	
13	sentence	6	.	11.57238924917477	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	rainy	20.475138588287198	
14	sentence	3		0.0	
14	sentence	4	, but not	20.82704570486436	
14	sentence	5	dead	9.267624979460548	
14	sentence	6	.	3.557954379339871	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	rainy	20.475138588287198	
15	sentence	3		0.0	
15	sentence	4	, but not	20.82704570486436	
15	sentence	5	many	10.93959353186774	
15	sentence	6	.	9.745780776417778	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	rainy	20.475138588287198	
16	sentence	3		0.0	
16	sentence	4	, but not	20.82704570486436	
16	sentence	5	real	13.899390187714951	
16	sentence	6	.	6.829621622539287	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	rainy	20.475138588287198	
17	sentence	3		0.0	
17	sentence	4	, but not	20.82704570486436	
17	sentence	5	live	15.502994948473573	
17	sentence	6	.	4.828955012288872	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	rainy	20.475138588287198	
18	sentence	3		0.0	
18	sentence	4	, but not	20.82704570486436	
18	sentence	5	ready	12.22634296012155	
18	sentence	6	.	6.041093551084171	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	rainy	20.475138588287198	
19	sentence	3		0.0	
19	sentence	4	, but not	20.82704570486436	
19	sentence	5	happy	13.172759360235965	
19	sentence	6	.	4.295392252633776	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	rainy	20.475138588287198	
20	sentence	3		0.0	
20	sentence	4	, but not	20.82704570486436	
20	sentence	5	whole	15.355194434183282	
20	sentence	6	.	4.330578183173798	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	rainy	20.475138588287198	
