item_number	condition_name	region_number	content	metric_value	oovs
2	sentence	1	The movie is	14.852908955362048	
2	sentence	2	good	9.61107295737237	
2	sentence	3		0.0	
2	sentence	4	, but not	17.18565480237165	
2	sentence	5	little	17.54926791807979	
2	sentence	6	.	4.472280192664494	
3	sentence	1	The movie is	14.852908955362048	
3	sentence	2	good	9.61107295737237	
3	sentence	3		0.0	
3	sentence	4	, but not	17.18565480237165	
3	sentence	5	other	13.506822588855504	
3	sentence	6	.	9.87785863676619	
4	sentence	1	The movie is	14.852908955362048	
4	sentence	2	good	9.61107295737237	
4	sentence	3		0.0	
4	sentence	4	, but not	17.18565480237165	
4	sentence	5	great	2.561009648384614	
4	sentence	6	.	2.9274873071255216	
5	sentence	1	The movie is	14.852908955362048	
5	sentence	2	good	9.61107295737237	
5	sentence	3		0.0	
5	sentence	4	, but not	17.18565480237165	
5	sentence	5	last	11.721626162565068	
5	sentence	6	.	4.5821317031460005	
6	sentence	1	The movie is	14.852908955362048	
6	sentence	2	good	9.61107295737237	
6	sentence	3		0.0	
6	sentence	4	, but not	17.18565480237165	
6	sentence	5	new	11.82889930914484	
6	sentence	6	.	5.06024966392004	
7	sentence	1	The movie is	14.852908955362048	
7	sentence	2	good	9.61107295737237	
7	sentence	3		0.0	
7	sentence	4	, but not	17.18565480237165	
7	sentence	5	old	13.620776917455995	
7	sentence	6	.	5.228372336166883	
8	sentence	1	The movie is	14.852908955362048	
8	sentence	2	good	9.61107295737237	
8	sentence	3		0.0	
8	sentence	4	, but not	17.18565480237165	
8	sentence	5	big	10.675607730029967	
8	sentence	6	.	6.650605569186793	
9	sentence	1	The movie is	14.852908955362048	
9	sentence	2	good	9.61107295737237	
9	sentence	3		0.0	
9	sentence	4	, but not	17.18565480237165	
9	sentence	5	nice	10.39431565800117	
9	sentence	6	.	3.1956392166977956	
10	sentence	1	The movie is	14.852908955362048	
10	sentence	2	good	9.61107295737237	
10	sentence	3		0.0	
10	sentence	4	, but not	17.18565480237165	
10	sentence	5	wrong	14.201412360548147	
10	sentence	6	.	3.204589537813998	
11	sentence	1	The movie is	14.852908955362048	
11	sentence	2	good	9.61107295737237	
11	sentence	3		0.0	
11	sentence	4	, but not	17.18565480237165	
11	sentence	5	bad	5.992792567554654	
11	sentence	6	.	3.335480373906156	
12	sentence	1	The movie is	14.852908955362048	
12	sentence	2	good	9.61107295737237	
12	sentence	3		0.0	
12	sentence	4	, but not	17.18565480237165	
12	sentence	5	same	17.256495660140597	
12	sentence	6	.	6.188616141410668	
13	sentence	1	The movie is	14.852908955362048	
13	sentence	2	good	9.61107295737237	
13	sentence	3		0.0	
13	sentence	4	, but not	17.18565480237165	
13	sentence	5	next	13.238650729295731	
13	sentence	6	.	10.155956647003162	
14	sentence	1	The movie is	14.852908955362048	
14	sentence	2	good	9.61107295737237	
14	sentence	3		0.0	
14	sentence	4	, but not	17.18565480237165	
14	sentence	5	dead	11.890185670745103	
14	sentence	6	.	3.432916112856575	
15	sentence	1	The movie is	14.852908955362048	
15	sentence	2	good	9.61107295737237	
15	sentence	3		0.0	
15	sentence	4	, but not	17.18565480237165	
15	sentence	5	many	9.03740831508499	
15	sentence	6	.	10.938885651276788	
16	sentence	1	The movie is	14.852908955362048	
16	sentence	2	good	9.61107295737237	
16	sentence	3		0.0	
16	sentence	4	, but not	17.18565480237165	
16	sentence	5	real	11.28416765217741	
16	sentence	6	.	5.387980835300112	
17	sentence	1	The movie is	14.852908955362048	
17	sentence	2	good	9.61107295737237	
17	sentence	3		0.0	
17	sentence	4	, but not	17.18565480237165	
17	sentence	5	live	13.572236534076476	
17	sentence	6	.	4.848842054138742	
18	sentence	1	The movie is	14.852908955362048	
18	sentence	2	good	9.61107295737237	
18	sentence	3		0.0	
18	sentence	4	, but not	17.18565480237165	
18	sentence	5	ready	11.55841600275747	
18	sentence	6	.	5.65454465707432	
19	sentence	1	The movie is	14.852908955362048	
19	sentence	2	good	9.61107295737237	
19	sentence	3		0.0	
19	sentence	4	, but not	17.18565480237165	
19	sentence	5	happy	13.121746554267641	
19	sentence	6	.	4.27060267333841	
20	sentence	1	The movie is	14.852908955362048	
20	sentence	2	good	9.61107295737237	
20	sentence	3		0.0	
20	sentence	4	, but not	17.18565480237165	
20	sentence	5	whole	13.453075946669067	
20	sentence	6	.	3.862860701228036	
21	sentence	1	The movie is	14.852908955362048	
21	sentence	2	good	9.61107295737237	
21	sentence	3		0.0	
21	sentence	4	, but not	17.18565480237165	
21	sentence	5	hard	11.147109862190614	
21	sentence	6	.	4.6679035787149035	
22	sentence	1	The movie is	14.852908955362048	
22	sentence	2	good	9.61107295737237	
22	sentence	3		0.0	
22	sentence	4	, but not	17.18565480237165	
22	sentence	5	open	14.320110658590037	
22	sentence	6	.	6.29748184733743	
23	sentence	1	The movie is	14.852908955362048	
23	sentence	2	good	9.61107295737237	
23	sentence	3		0.0	
23	sentence	4	, but not	17.18565480237165	
23	sentence	5	few	16.63078700391032	
23	sentence	6	.	5.284329987312813	
24	sentence	1	The movie is	14.852908955362048	
24	sentence	2	good	9.61107295737237	
24	sentence	3		0.0	
24	sentence	4	, but not	17.18565480237165	
24	sentence	5	true	9.696798053660238	
24	sentence	6	.	3.26368690423408	
25	sentence	1	The movie is	14.852908955362048	
25	sentence	2	good	9.61107295737237	
25	sentence	3		0.0	
25	sentence	4	, but not	17.18565480237165	
25	sentence	5	young	17.03726043198793	
25	sentence	6	.	4.956048127484677	
26	sentence	1	The movie is	14.852908955362048	
26	sentence	2	good	9.61107295737237	
26	sentence	3		0.0	
26	sentence	4	, but not	17.18565480237165	
26	sentence	5	second	14.768971618729898	
26	sentence	6	.	10.247817396343212	
27	sentence	1	The movie is	14.852908955362048	
27	sentence	2	good	9.61107295737237	
27	sentence	3		0.0	
27	sentence	4	, but not	17.18565480237165	
27	sentence	5	easy	10.551251890705293	
27	sentence	6	.	4.379695396364311	
28	sentence	1	The movie is	14.852908955362048	
28	sentence	2	good	9.61107295737237	
28	sentence	3		0.0	
28	sentence	4	, but not	17.18565480237165	
28	sentence	5	different	14.719198463708995	
28	sentence	6	.	5.695970806118248	
29	sentence	1	The movie is	14.852908955362048	
29	sentence	2	good	9.61107295737237	
29	sentence	3		0.0	
29	sentence	4	, but not	17.18565480237165	
29	sentence	5	married	18.01997755418526	
29	sentence	6	.	4.709545737968315	
30	sentence	1	The movie is	14.852908955362048	
30	sentence	2	good	9.61107295737237	
30	sentence	3		0.0	
30	sentence	4	, but not	17.18565480237165	
30	sentence	5	important	11.317826720743072	
30	sentence	6	.	3.8901897763460416	
31	sentence	1	The movie is	14.852908955362048	
31	sentence	2	good	9.61107295737237	
31	sentence	3		0.0	
31	sentence	4	, but not	17.18565480237165	
31	sentence	5	able	12.112722965794337	
31	sentence	6	.	9.93593305037894	
32	sentence	1	The movie is	14.852908955362048	
32	sentence	2	good	9.61107295737237	
32	sentence	3		0.0	
32	sentence	4	, but not	17.18565480237165	
32	sentence	5	high	8.528449737427628	
32	sentence	6	.	5.685126956016045	
33	sentence	1	The movie is	14.852908955362048	
33	sentence	2	good	9.61107295737237	
33	sentence	3		0.0	
33	sentence	4	, but not	17.18565480237165	
33	sentence	5	free	13.377480628517018	
33	sentence	6	.	2.6778797708478317	
34	sentence	1	The movie is	14.852908955362048	
34	sentence	2	good	9.61107295737237	
34	sentence	3		0.0	
34	sentence	4	, but not	17.18565480237165	
34	sentence	5	stupid	12.835919643700896	
34	sentence	6	.	2.7768977501861887	
35	sentence	1	The movie is	14.852908955362048	
35	sentence	2	good	9.61107295737237	
35	sentence	3		0.0	
35	sentence	4	, but not	17.18565480237165	
35	sentence	5	full	11.31896043037756	
35	sentence	6	.	6.423900102611249	
36	sentence	1	The movie is	14.852908955362048	
36	sentence	2	good	9.61107295737237	
36	sentence	3		0.0	
36	sentence	4	, but not	17.18565480237165	
36	sentence	5	hot	12.230958974470708	
36	sentence	6	.	3.502928186231014	
37	sentence	1	The movie is	14.852908955362048	
37	sentence	2	good	9.61107295737237	
37	sentence	3		0.0	
37	sentence	4	, but not	17.18565480237165	
37	sentence	5	clear	11.585162744619653	
37	sentence	6	.	4.557981211381241	
38	sentence	1	The movie is	14.852908955362048	
38	sentence	2	good	9.61107295737237	
38	sentence	3		0.0	
38	sentence	4	, but not	17.18565480237165	
38	sentence	5	alive	16.640175880786224	
38	sentence	6	.	3.116190799235816	
39	sentence	1	The movie is	14.852908955362048	
39	sentence	2	good	9.61107295737237	
39	sentence	3		0.0	
39	sentence	4	, but not	17.18565480237165	
39	sentence	5	black	13.38016630959289	
39	sentence	6	.	5.394480059676218	
40	sentence	1	The movie is	14.852908955362048	
40	sentence	2	good	9.61107295737237	
40	sentence	3		0.0	
40	sentence	4	, but not	17.18565480237165	
40	sentence	5	white	15.413469035601636	
40	sentence	6	.	5.557282964566573	
41	sentence	1	The movie is	14.852908955362048	
41	sentence	2	good	9.61107295737237	
41	sentence	3		0.0	
41	sentence	4	, but not	17.18565480237165	
41	sentence	5	small	15.888383303555402	
41	sentence	6	.	4.2852597227755425	
42	sentence	1	The movie is	14.852908955362048	
42	sentence	2	good	9.61107295737237	
42	sentence	3		0.0	
42	sentence	4	, but not	17.18565480237165	
42	sentence	5	safe	12.767996127638535	
42	sentence	6	.	3.4166014946304273	
43	sentence	1	The movie is	14.852908955362048	
43	sentence	2	good	9.61107295737237	
43	sentence	3		0.0	
43	sentence	4	, but not	17.18565480237165	
43	sentence	5	poor	13.719794896794351	
43	sentence	6	.	2.2875842347889335	
44	sentence	1	The movie is	14.852908955362048	
44	sentence	2	good	9.61107295737237	
44	sentence	3		0.0	
44	sentence	4	, but not	17.18565480237165	
44	sentence	5	special	10.938584337672477	
44	sentence	6	.	3.563999225552397	
45	sentence	1	The movie is	14.852908955362048	
45	sentence	2	good	9.61107295737237	
45	sentence	3		0.0	
45	sentence	4	, but not	17.18565480237165	
45	sentence	5	serious	12.829513633921557	
45	sentence	6	.	3.418915349215135	
46	sentence	1	The movie is	14.852908955362048	
46	sentence	2	good	9.61107295737237	
46	sentence	3		0.0	
46	sentence	4	, but not	17.18565480237165	
46	sentence	5	possible	14.006414303416275	
46	sentence	6	.	5.350879705960082	
47	sentence	1	The movie is	14.852908955362048	
47	sentence	2	good	9.61107295737237	
47	sentence	3		0.0	
47	sentence	4	, but not	17.18565480237165	
47	sentence	5	lucky	16.143677102218568	
47	sentence	6	.	4.458119485157751	
48	sentence	1	The movie is	14.852908955362048	
48	sentence	2	good	9.61107295737237	
48	sentence	3		0.0	
48	sentence	4	, but not	17.18565480237165	
48	sentence	5	quiet	16.777651932579918	
48	sentence	6	.	3.380002554630916	
49	sentence	1	The movie is	14.852908955362048	
49	sentence	2	good	9.61107295737237	
49	sentence	3		0.0	
49	sentence	4	, but not	17.18565480237165	
49	sentence	5	strong	8.936552185174211	
49	sentence	6	.	4.296798038821928	
50	sentence	1	The movie is	14.852908955362048	
50	sentence	2	good	9.61107295737237	
50	sentence	3		0.0	
50	sentence	4	, but not	17.18565480237165	
50	sentence	5	general	15.312601898801201	
50	sentence	6	.	4.038032254403143	
51	sentence	1	The movie is	14.852908955362048	
51	sentence	2	good	9.61107295737237	
51	sentence	3		0.0	
51	sentence	4	, but not	17.18565480237165	
51	sentence	5	busy	18.373893084159196	
51	sentence	6	.	3.6954421259538246	
52	sentence	1	The movie is	14.852908955362048	
52	sentence	2	good	9.61107295737237	
52	sentence	3		0.0	
52	sentence	4	, but not	17.18565480237165	
52	sentence	5	entire	15.405103799463669	
52	sentence	6	.	3.8684862537377587	
53	sentence	1	The movie is	14.852908955362048	
53	sentence	2	good	9.61107295737237	
53	sentence	3		0.0	
53	sentence	4	, but not	17.18565480237165	
53	sentence	5	dangerous	14.639827782405206	
53	sentence	6	.	3.1331606713617512	
54	sentence	1	The movie is	14.852908955362048	
54	sentence	2	good	9.61107295737237	
54	sentence	3		0.0	
54	sentence	4	, but not	17.18565480237165	
54	sentence	5	short	14.434901510804323	
54	sentence	6	.	3.656455034864433	
55	sentence	1	The movie is	14.852908955362048	
55	sentence	2	good	9.61107295737237	
55	sentence	3		0.0	
55	sentence	4	, but not	17.18565480237165	
55	sentence	5	single	15.590415793698948	
55	sentence	6	.	6.536005273749662	
56	sentence	1	The movie is	14.852908955362048	
56	sentence	2	good	9.61107295737237	
56	sentence	3		0.0	
56	sentence	4	, but not	17.18565480237165	
56	sentence	5	normal	14.868936190578605	
56	sentence	6	.	3.3198781078198816	
57	sentence	1	The movie is	14.852908955362048	
57	sentence	2	good	9.61107295737237	
57	sentence	3		0.0	
57	sentence	4	, but not	17.18565480237165	
57	sentence	5	major	13.635537156483645	
57	sentence	6	.	4.4686406958069345	
58	sentence	1	The movie is	14.852908955362048	
58	sentence	2	good	9.61107295737237	
58	sentence	3		0.0	
58	sentence	4	, but not	17.18565480237165	
58	sentence	5	interested	15.197282715883464	
58	sentence	6	.	5.996733034051222	
59	sentence	1	The movie is	14.852908955362048	
59	sentence	2	good	9.61107295737237	
59	sentence	3		0.0	
59	sentence	4	, but not	17.18565480237165	
59	sentence	5	difficult	13.342412678075487	
59	sentence	6	.	3.948826229261811	
60	sentence	1	The movie is	14.852908955362048	
60	sentence	2	good	9.61107295737237	
60	sentence	3		0.0	
60	sentence	4	, but not	17.18565480237165	
60	sentence	5	personal	15.56770858034023	
60	sentence	6	.	3.6623175794670444	
61	sentence	1	The movie is	14.852908955362048	
61	sentence	2	good	9.61107295737237	
61	sentence	3		0.0	
61	sentence	4	, but not	17.18565480237165	
61	sentence	5	certain	14.459567950521672	
61	sentence	6	.	4.486482863938046	
62	sentence	1	The movie is	14.852908955362048	
62	sentence	2	good	9.61107295737237	
62	sentence	3		0.0	
62	sentence	4	, but not	17.18565480237165	
62	sentence	5	angry	16.37945568552303	
62	sentence	6	.	3.7168312642763306	
63	sentence	1	The movie is	14.852908955362048	
63	sentence	2	good	9.61107295737237	
63	sentence	3		0.0	
63	sentence	4	, but not	17.18565480237165	
63	sentence	5	rich	12.854510280328562	
63	sentence	6	.	3.517108843725256	
64	sentence	1	The movie is	14.852908955362048	
64	sentence	2	good	9.61107295737237	
64	sentence	3		0.0	
64	sentence	4	, but not	17.18565480237165	
64	sentence	5	tough	13.923246245181433	
64	sentence	6	.	3.8373181818871935	
65	sentence	1	The movie is	14.852908955362048	
65	sentence	2	good	9.61107295737237	
65	sentence	3		0.0	
65	sentence	4	, but not	17.18565480237165	
65	sentence	5	third	17.43452109342412	
65	sentence	6	.	10.024103739962078	
66	sentence	1	The movie is	14.852908955362048	
66	sentence	2	good	9.61107295737237	
66	sentence	3		0.0	
66	sentence	4	, but not	17.18565480237165	
66	sentence	5	private	20.397333637036866	
66	sentence	6	.	3.169760643257167	
67	sentence	1	The movie is	14.852908955362048	
67	sentence	2	good	9.61107295737237	
67	sentence	3		0.0	
67	sentence	4	, but not	17.18565480237165	
67	sentence	5	impossible	12.143057953684123	
67	sentence	6	.	3.972473843755447	
68	sentence	1	The movie is	14.852908955362048	
68	sentence	2	good	9.61107295737237	
68	sentence	3		0.0	
68	sentence	4	, but not	17.18565480237165	
68	sentence	5	green	14.8701909759993	
68	sentence	6	.	4.800120401045214	
69	sentence	1	The movie is	14.852908955362048	
69	sentence	2	good	9.61107295737237	
69	sentence	3		0.0	
69	sentence	4	, but not	17.18565480237165	
69	sentence	5	huge	10.117371307386186	
69	sentence	6	.	4.24547910373507	
70	sentence	1	The movie is	14.852908955362048	
70	sentence	2	good	9.61107295737237	
70	sentence	3		0.0	
70	sentence	4	, but not	17.18565480237165	
70	sentence	5	grand	13.981703836140305	
70	sentence	6	.	4.5819583446339305	
71	sentence	1	The movie is	14.852908955362048	
71	sentence	2	good	9.61107295737237	
71	sentence	3		0.0	
71	sentence	4	, but not	17.18565480237165	
71	sentence	5	nervous	20.510550504030455	
71	sentence	6	.	4.233158266627258	
72	sentence	1	The movie is	14.852908955362048	
72	sentence	2	good	9.61107295737237	
72	sentence	3		0.0	
72	sentence	4	, but not	17.18565480237165	
72	sentence	5	final	13.764835089263512	
72	sentence	6	.	3.2887000609755668	
73	sentence	1	The movie is	14.852908955362048	
73	sentence	2	good	9.61107295737237	
73	sentence	3		0.0	
73	sentence	4	, but not	17.18565480237165	
73	sentence	5	surprised	15.972982257445421	
73	sentence	6	.	5.4657764994873	
74	sentence	1	The movie is	14.852908955362048	
74	sentence	2	good	9.61107295737237	
74	sentence	3		0.0	
74	sentence	4	, but not	17.18565480237165	
74	sentence	5	guilty	18.313707411524454	
74	sentence	6	.	3.70197918651312	
75	sentence	1	The movie is	14.852908955362048	
75	sentence	2	good	9.61107295737237	
75	sentence	3		0.0	
75	sentence	4	, but not	17.18565480237165	
75	sentence	5	low	14.394187025969666	
75	sentence	6	.	6.459728216369593	
76	sentence	1	The movie is	14.852908955362048	
76	sentence	2	good	9.61107295737237	
76	sentence	3		0.0	
76	sentence	4	, but not	17.18565480237165	
76	sentence	5	empty	17.93489429715041	
76	sentence	6	.	3.2064266564905144	
77	sentence	1	The movie is	14.852908955362048	
77	sentence	2	good	9.61107295737237	
77	sentence	3		0.0	
77	sentence	4	, but not	17.18565480237165	
77	sentence	5	fresh	13.174403514378213	
77	sentence	6	.	4.324804725584333	
78	sentence	1	The movie is	14.852908955362048	
78	sentence	2	good	9.61107295737237	
78	sentence	3		0.0	
78	sentence	4	, but not	17.18565480237165	
78	sentence	5	complete	11.24981514956347	
78	sentence	6	.	2.7520555441996595	
79	sentence	1	The movie is	14.852908955362048	
79	sentence	2	good	9.61107295737237	
79	sentence	3		0.0	
79	sentence	4	, but not	17.18565480237165	
79	sentence	5	medical	19.06140542580353	
79	sentence	6	.	3.5625050402817013	
