item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	likely	7.018269392270702	
1	sentence	3		0.0	
1	sentence	4	, but not	22.105707304996045	
1	sentence	5	good	13.639108892176763	
1	sentence	6	.	4.701319463812245	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	likely	7.018269392270702	
2	sentence	3		0.0	
2	sentence	4	, but not	22.105707304996045	
2	sentence	5	little	20.812948286973135	
2	sentence	6	.	6.792923964498181	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	likely	7.018269392270702	
3	sentence	3		0.0	
3	sentence	4	, but not	22.105707304996045	
3	sentence	5	other	16.06545664088375	
3	sentence	6	.	7.939400215124664	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	likely	7.018269392270702	
4	sentence	3		0.0	
4	sentence	4	, but not	22.105707304996045	
4	sentence	5	great	13.430968608796558	
4	sentence	6	.	4.834748075900535	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	likely	7.018269392270702	
5	sentence	3		0.0	
5	sentence	4	, but not	22.105707304996045	
5	sentence	5	last	18.488293191790724	
5	sentence	6	.	5.9778156303869165	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	likely	7.018269392270702	
6	sentence	3		0.0	
6	sentence	4	, but not	22.105707304996045	
6	sentence	5	new	16.227268925705136	
6	sentence	6	.	6.786999506141259	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	likely	7.018269392270702	
7	sentence	3		0.0	
7	sentence	4	, but not	22.105707304996045	
7	sentence	5	old	19.497878131636444	
7	sentence	6	.	7.251411825502739	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	likely	7.018269392270702	
8	sentence	3		0.0	
8	sentence	4	, but not	22.105707304996045	
8	sentence	5	big	16.980239240129062	
8	sentence	6	.	8.131475255122472	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	likely	7.018269392270702	
9	sentence	3		0.0	
9	sentence	4	, but not	22.105707304996045	
9	sentence	5	nice	19.931065280907273	
9	sentence	6	.	4.168519275231075	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	likely	7.018269392270702	
10	sentence	3		0.0	
10	sentence	4	, but not	22.105707304996045	
10	sentence	5	wrong	15.07822669392778	
10	sentence	6	.	4.896212955492394	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	likely	7.018269392270702	
11	sentence	3		0.0	
11	sentence	4	, but not	22.105707304996045	
11	sentence	5	bad	16.941759153894417	
11	sentence	6	.	5.156050191826055	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	likely	7.018269392270702	
12	sentence	3		0.0	
12	sentence	4	, but not	22.105707304996045	
12	sentence	5	same	20.150135405715112	
12	sentence	6	.	6.070285886241625	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	likely	7.018269392270702	
13	sentence	3		0.0	
13	sentence	4	, but not	22.105707304996045	
13	sentence	5	next	17.43282052897239	
13	sentence	6	.	9.362960466278631	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	likely	7.018269392270702	
14	sentence	3		0.0	
14	sentence	4	, but not	22.105707304996045	
14	sentence	5	dead	14.444516028918159	
