item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The mother	12.22175859058015	
1	sentence	2	believes	10.966015570485094	
1	sentence	3	it	4.630396226353535	
1	sentence	4	, but does not	27.077766619566166	
1	sentence	5	have	5.7462795151139385	
1	sentence	6	it.	7.642372762437826	
2	sentence	1	The mother	12.22175859058015	
2	sentence	2	believes	10.966015570485094	
2	sentence	3	it	4.630396226353535	
2	sentence	4	, but does not	27.077766619566166	
2	sentence	5	know	1.584354398682245	
2	sentence	6	it.	7.082108664340373	
3	sentence	1	The mother	12.22175859058015	
3	sentence	2	believes	10.966015570485094	
3	sentence	3	it	4.630396226353535	
3	sentence	4	, but does not	27.077766619566166	
3	sentence	5	get	8.499983169056815	
3	sentence	6	it.	4.563591629417688	
4	sentence	1	The mother	12.22175859058015	
4	sentence	2	believes	10.966015570485094	
4	sentence	3	it	4.630396226353535	
4	sentence	4	, but does not	27.077766619566166	
4	sentence	5	go	7.836597929536722	
4	sentence	6	it.	15.337850327809068	
5	sentence	1	The mother	12.22175859058015	
5	sentence	2	believes	10.966015570485094	
5	sentence	3	it	4.630396226353535	
5	sentence	4	, but does not	27.077766619566166	
5	sentence	5	come	9.696520129696445	
5	sentence	6	it.	13.951010092440821	
6	sentence	1	The mother	12.22175859058015	
6	sentence	2	believes	10.966015570485094	
6	sentence	3	it	4.630396226353535	
6	sentence	4	, but does not	27.077766619566166	
6	sentence	5	see	6.436059276027249	
6	sentence	6	it.	4.549041381206742	
7	sentence	1	The mother	12.22175859058015	
7	sentence	2	believes	10.966015570485094	
7	sentence	3	it	4.630396226353535	
7	sentence	4	, but does not	27.077766619566166	
7	sentence	5	let	7.57857442223906	
7	sentence	6	it.	6.242411110721998	
8	sentence	1	The mother	12.22175859058015	
8	sentence	2	believes	10.966015570485094	
8	sentence	3	it	4.630396226353535	
8	sentence	4	, but does not	27.077766619566166	
8	sentence	5	take	7.439689488569497	
8	sentence	6	it.	6.238858981051078	
9	sentence	1	The mother	12.22175859058015	
9	sentence	2	believes	10.966015570485094	
9	sentence	3	it	4.630396226353535	
9	sentence	4	, but does not	27.077766619566166	
9	sentence	5	say	6.492898854206804	
9	sentence	6	it.	6.675650886683991	
10	sentence	1	The mother	12.22175859058015	
10	sentence	2	believes	10.966015570485094	
10	sentence	3	it	4.630396226353535	
10	sentence	4	, but does not	27.077766619566166	
10	sentence	5	make	8.909835712258579	
10	sentence	6	it.	5.680259331048676	
11	sentence	1	The mother	12.22175859058015	
11	sentence	2	believes	10.966015570485094	
11	sentence	3	it	4.630396226353535	
11	sentence	4	, but does not	27.077766619566166	
11	sentence	5	give	6.20616937868833	
11	sentence	6	it.	7.047840777190657	
12	sentence	1	The mother	12.22175859058015	
12	sentence	2	believes	10.966015570485094	
12	sentence	3	it	4.630396226353535	
12	sentence	4	, but does not	27.077766619566166	
12	sentence	5	find	9.081631245997249	
12	sentence	6	it.	4.492216507543835	
13	sentence	1	The mother	12.22175859058015	
13	sentence	2	believes	10.966015570485094	
13	sentence	3	it	4.630396226353535	
13	sentence	4	, but does not	27.077766619566166	
13	sentence	5	keep	10.581496071755423	
13	sentence	6	it.	5.536828207986206	
14	sentence	1	The mother	12.22175859058015	
14	sentence	2	believes	10.966015570485094	
14	sentence	3	it	4.630396226353535	
14	sentence	4	, but does not	27.077766619566166	
14	sentence	5	leave	9.646857043572092	
14	sentence	6	it.	5.22850321496419	
15	sentence	1	The mother	12.22175859058015	
15	sentence	2	believes	10.966015570485094	
15	sentence	3	it	4.630396226353535	
15	sentence	4	, but does not	27.077766619566166	
15	sentence	5	believe	2.929616452343203	
15	sentence	6	it.	4.425733432173776	
16	sentence	1	The mother	12.22175859058015	
16	sentence	2	believes	10.966015570485094	
16	sentence	3	it	4.630396226353535	
16	sentence	4	, but does not	27.077766619566166	
16	sentence	5	remember	8.439115069263451	
16	sentence	6	it.	6.232152689563334	
17	sentence	1	The mother	12.22175859058015	
17	sentence	2	believes	10.966015570485094	
17	sentence	3	it	4.630396226353535	
17	sentence	4	, but does not	27.077766619566166	
17	sentence	5	run	12.42618404870172	
17	sentence	6	it.	8.287016020597495	
18	sentence	1	The mother	12.22175859058015	
18	sentence	2	believes	10.966015570485094	
18	sentence	3	it	4.630396226353535	
18	sentence	4	, but does not	27.077766619566166	
18	sentence	5	happen	12.397918356067114	
18	sentence	6	it.	15.449764254239723	
19	sentence	1	The mother	12.22175859058015	
19	sentence	2	believes	10.966015570485094	
19	sentence	3	it	4.630396226353535	
19	sentence	4	, but does not	27.077766619566166	
19	sentence	5	buy	9.985693134718378	
19	sentence	6	it.	2.8821751240940228	
20	sentence	1	The mother	12.22175859058015	
20	sentence	2	believes	10.966015570485094	
20	sentence	3	it	4.630396226353535	
20	sentence	4	, but does not	27.077766619566166	
20	sentence	5	save	12.278801796218326	
20	sentence	6	it.	5.769058789203368	
21	sentence	1	The mother	12.22175859058015	
21	sentence	2	believes	10.966015570485094	
21	sentence	3	it	4.630396226353535	
21	sentence	4	, but does not	27.077766619566166	
21	sentence	5	lose	13.573498198803206	
21	sentence	6	it.	5.285693121803552	
22	sentence	1	The mother	12.22175859058015	
22	sentence	2	believes	10.966015570485094	
22	sentence	3	it	4.630396226353535	
