item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	She is	5.10444507760816	
1	sentence	2	pretty	8.687341756837363	
1	sentence	3		0.0	
1	sentence	4	, but not	23.693314411554056	
1	sentence	5	good	6.815217043633622	
1	sentence	6	.	5.785840340326608	
2	sentence	1	She is	5.10444507760816	
2	sentence	2	pretty	8.687341756837363	
2	sentence	3		0.0	
2	sentence	4	, but not	23.693314411554056	
2	sentence	5	little	15.267440630545835	
2	sentence	6	.	3.5960196434206386	
3	sentence	1	She is	5.10444507760816	
3	sentence	2	pretty	8.687341756837363	
3	sentence	3		0.0	
3	sentence	4	, but not	23.693314411554056	
3	sentence	5	other	13.133050629943552	
3	sentence	6	.	6.831696421239296	
4	sentence	1	She is	5.10444507760816	
4	sentence	2	pretty	8.687341756837363	
4	sentence	3		0.0	
4	sentence	4	, but not	23.693314411554056	
4	sentence	5	great	6.683079333322708	
4	sentence	6	.	4.579326322145126	
5	sentence	1	She is	5.10444507760816	
5	sentence	2	pretty	8.687341756837363	
5	sentence	3		0.0	
5	sentence	4	, but not	23.693314411554056	
5	sentence	5	last	12.846067995963008	
5	sentence	6	.	6.69493375348138	
6	sentence	1	She is	5.10444507760816	
6	sentence	2	pretty	8.687341756837363	
6	sentence	3		0.0	
6	sentence	4	, but not	23.693314411554056	
6	sentence	5	new	13.365163918992826	
6	sentence	6	.	5.924420520738842	
7	sentence	1	She is	5.10444507760816	
7	sentence	2	pretty	8.687341756837363	
7	sentence	3		0.0	
7	sentence	4	, but not	23.693314411554056	
7	sentence	5	old	11.79410653094469	
7	sentence	6	.	5.242741830611773	
8	sentence	1	She is	5.10444507760816	
8	sentence	2	pretty	8.687341756837363	
8	sentence	3		0.0	
8	sentence	4	, but not	23.693314411554056	
8	sentence	5	big	8.289259706260651	
8	sentence	6	.	5.116005407433857	
9	sentence	1	She is	5.10444507760816	
9	sentence	2	pretty	8.687341756837363	
9	sentence	3		0.0	
9	sentence	4	, but not	23.693314411554056	
9	sentence	5	nice	8.683856700400279	
9	sentence	6	.	4.247520881766113	
10	sentence	1	She is	5.10444507760816	
10	sentence	2	pretty	8.687341756837363	
10	sentence	3		0.0	
10	sentence	4	, but not	23.693314411554056	
10	sentence	5	wrong	12.37615085591271	
10	sentence	6	.	4.8023940116896195	
11	sentence	1	She is	5.10444507760816	
11	sentence	2	pretty	8.687341756837363	
11	sentence	3		0.0	
