item_number	condition_name	region_number	content	metric_value	oovs
2	sentence	1	That movie is	15.526438075595333	
2	sentence	2	good	7.814656382939644	
2	sentence	3		0.0	
2	sentence	4	, but not	17.314079407250436	
2	sentence	5	little	17.122089154699502	
2	sentence	6	.	4.77313460329833	
3	sentence	1	That movie is	15.526438075595333	
3	sentence	2	good	7.814656382939644	
3	sentence	3		0.0	
3	sentence	4	, but not	17.314079407250436	
3	sentence	5	other	12.66541054019068	
3	sentence	6	.	8.912147847016778	
4	sentence	1	That movie is	15.526438075595333	
4	sentence	2	good	7.814656382939644	
4	sentence	3		0.0	
4	sentence	4	, but not	17.314079407250436	
4	sentence	5	great	2.5830891250676826	
4	sentence	6	.	2.6819985833533453	
5	sentence	1	That movie is	15.526438075595333	
5	sentence	2	good	7.814656382939644	
5	sentence	3		0.0	
5	sentence	4	, but not	17.314079407250436	
5	sentence	5	last	12.100382866629628	
5	sentence	6	.	4.140557991888498	
6	sentence	1	That movie is	15.526438075595333	
6	sentence	2	good	7.814656382939644	
6	sentence	3		0.0	
6	sentence	4	, but not	17.314079407250436	
6	sentence	5	new	11.40554062440552	
6	sentence	6	.	4.697915927151671	
7	sentence	1	That movie is	15.526438075595333	
7	sentence	2	good	7.814656382939644	
7	sentence	3		0.0	
7	sentence	4	, but not	17.314079407250436	
7	sentence	5	old	13.040030029606083	
7	sentence	6	.	4.671618060008239	
8	sentence	1	That movie is	15.526438075595333	
8	sentence	2	good	7.814656382939644	
8	sentence	3		0.0	
8	sentence	4	, but not	17.314079407250436	
8	sentence	5	big	10.656862996947126	
8	sentence	6	.	6.687625866680918	
9	sentence	1	That movie is	15.526438075595333	
9	sentence	2	good	7.814656382939644	
9	sentence	3		0.0	
9	sentence	4	, but not	17.314079407250436	
9	sentence	5	nice	9.956956897551013	
9	sentence	6	.	3.0297172344513923	
10	sentence	1	That movie is	15.526438075595333	
10	sentence	2	good	7.814656382939644	
10	sentence	3		0.0	
10	sentence	4	, but not	17.314079407250436	
10	sentence	5	wrong	13.746155021657396	
10	sentence	6	.	3.095186902051243	
11	sentence	1	That movie is	15.526438075595333	
11	sentence	2	good	7.814656382939644	
11	sentence	3		0.0	
11	sentence	4	, but not	17.314079407250436	
11	sentence	5	bad	5.780392617877878	
