item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	quiet	16.272807179931196	
1	sentence	3		0.0	
1	sentence	4	, but not	20.260322970296404	
1	sentence	5	good	10.602050750255943	
1	sentence	6	.	3.834178466613042	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	quiet	16.272807179931196	
2	sentence	3		0.0	
2	sentence	4	, but not	20.260322970296404	
2	sentence	5	little	13.975519340015278	
2	sentence	6	.	3.682653840000968	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	quiet	16.272807179931196	
3	sentence	3		0.0	
3	sentence	4	, but not	20.260322970296404	
3	sentence	5	other	13.813420876062859	
3	sentence	6	.	7.989043351261515	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	quiet	16.272807179931196	
4	sentence	3		0.0	
4	sentence	4	, but not	20.260322970296404	
4	sentence	5	great	9.499765785733961	
4	sentence	6	.	3.318568631916212	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	quiet	16.272807179931196	
5	sentence	3		0.0	
5	sentence	4	, but not	20.260322970296404	
5	sentence	5	last	14.222734081671515	
5	sentence	6	.	5.589025114505719	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	quiet	16.272807179931196	
6	sentence	3		0.0	
6	sentence	4	, but not	20.260322970296404	
6	sentence	5	new	12.955191675866063	
6	sentence	6	.	5.071414433648751	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	quiet	16.272807179931196	
7	sentence	3		0.0	
7	sentence	4	, but not	20.260322970296404	
7	sentence	5	old	13.585952494448087	
7	sentence	6	.	4.278875382810213	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	quiet	16.272807179931196	
8	sentence	3		0.0	
8	sentence	4	, but not	20.260322970296404	
8	sentence	5	big	12.066066136407066	
8	sentence	6	.	4.427809606734992	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	quiet	16.272807179931196	
9	sentence	3		0.0	
9	sentence	4	, but not	20.260322970296404	
9	sentence	5	nice	12.237564484125047	
9	sentence	6	.	2.9103561152730775	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	quiet	16.272807179931196	
10	sentence	3		0.0	
10	sentence	4	, but not	20.260322970296404	
10	sentence	5	wrong	12.17068662257993	
10	sentence	6	.	3.166145911901333	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	quiet	16.272807179931196	
11	sentence	3		0.0	
11	sentence	4	, but not	20.260322970296404	
11	sentence	5	bad	8.816700227510333	
11	sentence	6	.	4.1866782354050756	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	quiet	16.272807179931196	
12	sentence	3		0.0	
12	sentence	4	, but not	20.260322970296404	
12	sentence	5	same	17.795944698004124	
12	sentence	6	.	5.05023752191741	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	quiet	16.272807179931196	
13	sentence	3		0.0	
13	sentence	4	, but not	20.260322970296404	
13	sentence	5	next	14.466206480844976	
13	sentence	6	.	10.184388130913199	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	quiet	16.272807179931196	
14	sentence	3		0.0	
14	sentence	4	, but not	20.260322970296404	
14	sentence	5	dead	8.069816723065742	
14	sentence	6	.	2.8449452657398218	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	quiet	16.272807179931196	
15	sentence	3		0.0	
15	sentence	4	, but not	20.260322970296404	
15	sentence	5	many	11.059805277237222	
15	sentence	6	.	8.339993212403973	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	quiet	16.272807179931196	
16	sentence	3		0.0	
16	sentence	4	, but not	20.260322970296404	
16	sentence	5	real	13.097411697101158	
16	sentence	6	.	3.844487106705759	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	quiet	16.272807179931196	
17	sentence	3		0.0	
17	sentence	4	, but not	20.260322970296404	
17	sentence	5	live	13.715811778600369	
17	sentence	6	.	3.591919577024069	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	quiet	16.272807179931196	
18	sentence	3		0.0	
18	sentence	4	, but not	20.260322970296404	
18	sentence	5	ready	11.716058052260735	
18	sentence	6	.	4.4631128294429026	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	quiet	16.272807179931196	
19	sentence	3		0.0	
19	sentence	4	, but not	20.260322970296404	
19	sentence	5	happy	11.76798855765406	
19	sentence	6	.	3.002983563270674	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	quiet	16.272807179931196	
20	sentence	3		0.0	
20	sentence	4	, but not	20.260322970296404	
20	sentence	5	whole	13.980428412801507	
20	sentence	6	.	3.342406459221703	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	quiet	16.272807179931196	
21	sentence	3		0.0	
21	sentence	4	, but not	20.260322970296404	
21	sentence	5	hard	8.858438353082926	
21	sentence	6	.	4.346186640635502	
22	sentence	1	It is	4.183671634702692	
22	sentence	2	quiet	16.272807179931196	
22	sentence	3		0.0	
22	sentence	4	, but not	20.260322970296404	
22	sentence	5	open	11.303101566176199	
22	sentence	6	.	3.912595676100448	
23	sentence	1	It is	4.183671634702692	
23	sentence	2	quiet	16.272807179931196	
23	sentence	3		0.0	
23	sentence	4	, but not	20.260322970296404	
23	sentence	5	few	14.744614747784103	
23	sentence	6	.	5.060104854528013	
24	sentence	1	It is	4.183671634702692	
24	sentence	2	quiet	16.272807179931196	
24	sentence	3		0.0	
24	sentence	4	, but not	20.260322970296404	
24	sentence	5	true	11.308935217693465	
24	sentence	6	.	2.3439173240616973	
25	sentence	1	It is	4.183671634702692	
25	sentence	2	quiet	16.272807179931196	
25	sentence	3		0.0	
25	sentence	4	, but not	20.260322970296404	
25	sentence	5	young	15.755256349036726	
25	sentence	6	.	3.6382021721630613	
26	sentence	1	It is	4.183671634702692	
26	sentence	2	quiet	16.272807179931196	
26	sentence	3		0.0	
26	sentence	4	, but not	20.260322970296404	
