item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The staff were	17.87852732729543	
1	sentence	2	polite	10.115467803406437	
1	sentence	3		0.0	
1	sentence	4	, but not	19.866395332633935	
1	sentence	5	good	7.783932026328305	
1	sentence	6	.	5.585105629892555	
2	sentence	1	The staff were	17.87852732729543	
2	sentence	2	polite	10.115467803406437	
2	sentence	3		0.0	
2	sentence	4	, but not	19.866395332633935	
2	sentence	5	little	16.90518738715374	
2	sentence	6	.	4.134104858862823	
3	sentence	1	The staff were	17.87852732729543	
3	sentence	2	polite	10.115467803406437	
3	sentence	3		0.0	
3	sentence	4	, but not	19.866395332633935	
3	sentence	5	other	13.398326301662797	
3	sentence	6	.	8.85572790650533	
4	sentence	1	The staff were	17.87852732729543	
4	sentence	2	polite	10.115467803406437	
4	sentence	3		0.0	
4	sentence	4	, but not	19.866395332633935	
4	sentence	5	great	8.659486070842416	
4	sentence	6	.	3.8585043806816812	
5	sentence	1	The staff were	17.87852732729543	
5	sentence	2	polite	10.115467803406437	
5	sentence	3		0.0	
5	sentence	4	, but not	19.866395332633935	
5	sentence	5	last	14.092101563520954	
5	sentence	6	.	11.14986571218804	
6	sentence	1	The staff were	17.87852732729543	
6	sentence	2	polite	10.115467803406437	
6	sentence	3		0.0	
6	sentence	4	, but not	19.866395332633935	
6	sentence	5	new	13.810545326140431	
6	sentence	6	.	5.80871953633619	
7	sentence	1	The staff were	17.87852732729543	
7	sentence	2	polite	10.115467803406437	
7	sentence	3		0.0	
7	sentence	4	, but not	19.866395332633935	
7	sentence	5	old	15.50464873364427	
7	sentence	6	.	6.316051846046992	
8	sentence	1	The staff were	17.87852732729543	
8	sentence	2	polite	10.115467803406437	
8	sentence	3		0.0	
8	sentence	4	, but not	19.866395332633935	
8	sentence	5	big	11.355128381854009	
8	sentence	6	.	7.144997216316074	
9	sentence	1	The staff were	17.87852732729543	
9	sentence	2	polite	10.115467803406437	
9	sentence	3		0.0	
9	sentence	4	, but not	19.866395332633935	
9	sentence	5	nice	6.523048788764262	
9	sentence	6	.	2.975912118163661	
10	sentence	1	The staff were	17.87852732729543	
10	sentence	2	polite	10.115467803406437	
10	sentence	3		0.0	
10	sentence	4	, but not	19.866395332633935	
10	sentence	5	wrong	12.78990946908087	
10	sentence	6	.	4.2021855670680734	
11	sentence	1	The staff were	17.87852732729543	
11	sentence	2	polite	10.115467803406437	
11	sentence	3		0.0	
11	sentence	4	, but not	19.866395332633935	
11	sentence	5	bad	10.441193313112148	
11	sentence	6	.	4.648977575918055	
12	sentence	1	The staff were	17.87852732729543	
12	sentence	2	polite	10.115467803406437	
12	sentence	3		0.0	
12	sentence	4	, but not	19.866395332633935	
12	sentence	5	same	18.056276900406967	
12	sentence	6	.	7.498981539350355	
13	sentence	1	The staff were	17.87852732729543	
13	sentence	2	polite	10.115467803406437	
13	sentence	3		0.0	
13	sentence	4	, but not	19.866395332633935	
13	sentence	5	next	13.337282091634949	
13	sentence	6	.	13.115899144138305	
14	sentence	1	The staff were	17.87852732729543	
14	sentence	2	polite	10.115467803406437	
14	sentence	3		0.0	
14	sentence	4	, but not	19.866395332633935	
14	sentence	5	dead	15.685150717100218	
14	sentence	6	.	5.744260438792809	
15	sentence	1	The staff were	17.87852732729543	
15	sentence	2	polite	10.115467803406437	
15	sentence	3		0.0	
15	sentence	4	, but not	19.866395332633935	
15	sentence	5	many	10.250961239200985	
15	sentence	6	.	7.812738432417222	
16	sentence	1	The staff were	17.87852732729543	
16	sentence	2	polite	10.115467803406437	
16	sentence	3		0.0	
16	sentence	4	, but not	19.866395332633935	
16	sentence	5	real	11.336053442081514	
16	sentence	6	.	5.8472691035617865	
17	sentence	1	The staff were	17.87852732729543	
17	sentence	2	polite	10.115467803406437	
17	sentence	3		0.0	
17	sentence	4	, but not	19.866395332633935	
17	sentence	5	live	16.146834703688413	
17	sentence	6	.	6.416904536304753	
18	sentence	1	The staff were	17.87852732729543	
18	sentence	2	polite	10.115467803406437	
18	sentence	3		0.0	
18	sentence	4	, but not	19.866395332633935	
18	sentence	5	ready	10.29656278304256	
18	sentence	6	.	5.824447693722895	
19	sentence	1	The staff were	17.87852732729543	
19	sentence	2	polite	10.115467803406437	
19	sentence	3		0.0	
19	sentence	4	, but not	19.866395332633935	
19	sentence	5	happy	9.067203277451066	
19	sentence	6	.	4.326248003990374	
20	sentence	1	The staff were	17.87852732729543	
20	sentence	2	polite	10.115467803406437	
20	sentence	3		0.0	
20	sentence	4	, but not	19.866395332633935	
20	sentence	5	whole	14.136096101472866	
20	sentence	6	.	7.675474951179994	
21	sentence	1	The staff were	17.87852732729543	
21	sentence	2	polite	10.115467803406437	
21	sentence	3		0.0	
21	sentence	4	, but not	19.866395332633935	
21	sentence	5	hard	9.721584881233191	
21	sentence	6	.	7.770201619414022	
22	sentence	1	The staff were	17.87852732729543	
22	sentence	2	polite	10.115467803406437	
22	sentence	3		0.0	
22	sentence	4	, but not	19.866395332633935	
22	sentence	5	open	9.623095232598285	
22	sentence	6	.	8.774181988633426	
23	sentence	1	The staff were	17.87852732729543	
23	sentence	2	polite	10.115467803406437	
23	sentence	3		0.0	
23	sentence	4	, but not	19.866395332633935	
23	sentence	5	few	15.491550534954557	
23	sentence	6	.	4.266228466596366	
24	sentence	1	The staff were	17.87852732729543	
24	sentence	2	polite	10.115467803406437	
24	sentence	3		0.0	
24	sentence	4	, but not	19.866395332633935	
24	sentence	5	true	11.84827005907682	
24	sentence	6	.	3.881737173021436	
25	sentence	1	The staff were	17.87852732729543	
25	sentence	2	polite	10.115467803406437	
25	sentence	3		0.0	
25	sentence	4	, but not	19.866395332633935	
25	sentence	5	young	15.564911454506598	
25	sentence	6	.	3.9338176472863156	
26	sentence	1	The staff were	17.87852732729543	
26	sentence	2	polite	10.115467803406437	
26	sentence	3		0.0	
26	sentence	4	, but not	19.866395332633935	
