item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The teenager is	19.621145664746457	
1	sentence	2	overweight	16.61350756301283	
1	sentence	3		0.0	
1	sentence	4	, but not	21.250093101005618	
1	sentence	5	good	12.367731961187674	
1	sentence	6	.	7.2359615920798275	
2	sentence	1	The teenager is	19.621145664746457	
2	sentence	2	overweight	16.61350756301283	
2	sentence	3		0.0	
2	sentence	4	, but not	21.250093101005618	
2	sentence	5	little	15.838754613961223	
2	sentence	6	.	5.2910496934473255	
3	sentence	1	The teenager is	19.621145664746457	
3	sentence	2	overweight	16.61350756301283	
3	sentence	3		0.0	
3	sentence	4	, but not	21.250093101005618	
3	sentence	5	other	13.264265137384633	
3	sentence	6	.	11.469761010029503	
4	sentence	1	The teenager is	19.621145664746457	
4	sentence	2	overweight	16.61350756301283	
4	sentence	3		0.0	
4	sentence	4	, but not	21.250093101005618	
4	sentence	5	great	13.442752860033677	
4	sentence	6	.	5.6633494808678915	
5	sentence	1	The teenager is	19.621145664746457	
5	sentence	2	overweight	16.61350756301283	
5	sentence	3		0.0	
5	sentence	4	, but not	21.250093101005618	
5	sentence	5	last	15.767143789864365	
5	sentence	6	.	9.529743737640555	
6	sentence	1	The teenager is	19.621145664746457	
6	sentence	2	overweight	16.61350756301283	
6	sentence	3		0.0	
6	sentence	4	, but not	21.250093101005618	
6	sentence	5	new	14.646840546976787	
6	sentence	6	.	7.1143031286512874	
7	sentence	1	The teenager is	19.621145664746457	
7	sentence	2	overweight	16.61350756301283	
7	sentence	3		0.0	
7	sentence	4	, but not	21.250093101005618	
7	sentence	5	old	11.146913114038028	
7	sentence	6	.	7.4177362471521615	
8	sentence	1	The teenager is	19.621145664746457	
8	sentence	2	overweight	16.61350756301283	
8	sentence	3		0.0	
8	sentence	4	, but not	21.250093101005618	
8	sentence	5	big	11.375107950370044	
8	sentence	6	.	6.14583855269626	
9	sentence	1	The teenager is	19.621145664746457	
9	sentence	2	overweight	16.61350756301283	
9	sentence	3		0.0	
9	sentence	4	, but not	21.250093101005618	
9	sentence	5	nice	18.858516804650073	
9	sentence	6	.	4.440651207309616	
10	sentence	1	The teenager is	19.621145664746457	
10	sentence	2	overweight	16.61350756301283	
10	sentence	3		0.0	
10	sentence	4	, but not	21.250093101005618	
10	sentence	5	wrong	13.701678932283066	
10	sentence	6	.	4.022456473645102	
11	sentence	1	The teenager is	19.621145664746457	
11	sentence	2	overweight	16.61350756301283	
11	sentence	3		0.0	
11	sentence	4	, but not	21.250093101005618	
11	sentence	5	bad	10.067225293978211	
11	sentence	6	.	6.478266570271397	
12	sentence	1	The teenager is	19.621145664746457	
12	sentence	2	overweight	16.61350756301283	
12	sentence	3		0.0	
12	sentence	4	, but not	21.250093101005618	
12	sentence	5	same	17.00964552170419	
12	sentence	6	.	7.835807497273356	
13	sentence	1	The teenager is	19.621145664746457	
13	sentence	2	overweight	16.61350756301283	
13	sentence	3		0.0	
13	sentence	4	, but not	21.250093101005618	
13	sentence	5	next	16.837695891510347	
13	sentence	6	.	11.720782759645237	
14	sentence	1	The teenager is	19.621145664746457	
14	sentence	2	overweight	16.61350756301283	
14	sentence	3		0.0	
14	sentence	4	, but not	21.250093101005618	
14	sentence	5	dead	10.334274450793153	
14	sentence	6	.	3.4598802407894493	
15	sentence	1	The teenager is	19.621145664746457	
15	sentence	2	overweight	16.61350756301283	
15	sentence	3		0.0	
15	sentence	4	, but not	21.250093101005618	
15	sentence	5	many	10.87352398878168	
15	sentence	6	.	10.008119672390889	
16	sentence	1	The teenager is	19.621145664746457	
16	sentence	2	overweight	16.61350756301283	
16	sentence	3		0.0	
16	sentence	4	, but not	21.250093101005618	
16	sentence	5	real	15.766769555616087	
16	sentence	6	.	6.608908031519803	
17	sentence	1	The teenager is	19.621145664746457	
17	sentence	2	overweight	16.61350756301283	
17	sentence	3		0.0	
17	sentence	4	, but not	21.250093101005618	
17	sentence	5	live	14.996001100619669	
17	sentence	6	.	9.370870980287716	
18	sentence	1	The teenager is	19.621145664746457	
18	sentence	2	overweight	16.61350756301283	
18	sentence	3		0.0	
18	sentence	4	, but not	21.250093101005618	
18	sentence	5	ready	10.905289872326643	
18	sentence	6	.	8.395763746425764	
19	sentence	1	The teenager is	19.621145664746457	
19	sentence	2	overweight	16.61350756301283	
19	sentence	3		0.0	
19	sentence	4	, but not	21.250093101005618	
19	sentence	5	happy	14.959282116729854	
19	sentence	6	.	5.4206633863741756	
20	sentence	1	The teenager is	19.621145664746457	
20	sentence	2	overweight	16.61350756301283	
20	sentence	3		0.0	
20	sentence	4	, but not	21.250093101005618	
20	sentence	5	whole	14.692783304397674	
20	sentence	6	.	4.335456987013473	
21	sentence	1	The teenager is	19.621145664746457	
21	sentence	2	overweight	16.61350756301283	
21	sentence	3		0.0	
21	sentence	4	, but not	21.250093101005618	
21	sentence	5	hard	12.617148080774955	
21	sentence	6	.	7.943424609154853	
22	sentence	1	The teenager is	19.621145664746457	
22	sentence	2	overweight	16.61350756301283	
22	sentence	3		0.0	
22	sentence	4	, but not	21.250093101005618	
22	sentence	5	open	16.659296223978547	
22	sentence	6	.	9.057718778221284	
23	sentence	1	The teenager is	19.621145664746457	
23	sentence	2	overweight	16.61350756301283	
23	sentence	3		0.0	
23	sentence	4	, but not	21.250093101005618	
23	sentence	5	few	16.48569556033642	
23	sentence	6	.	6.340982451116065	
24	sentence	1	The teenager is	19.621145664746457	
