item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	His achievement was	17.948875798734953	
1	sentence	2	amazing	10.787576690908896	
1	sentence	3		0.0	
1	sentence	4	, but not	21.366954624336294	
1	sentence	5	good	8.000400397593891	
1	sentence	6	.	6.5825761118115	
2	sentence	1	His achievement was	17.948875798734953	
2	sentence	2	amazing	10.787576690908896	
2	sentence	3		0.0	
2	sentence	4	, but not	21.366954624336294	
2	sentence	5	little	15.301765615935638	
2	sentence	6	.	4.901089351574958	
3	sentence	1	His achievement was	17.948875798734953	
3	sentence	2	amazing	10.787576690908896	
3	sentence	3		0.0	
3	sentence	4	, but not	21.366954624336294	
3	sentence	5	other	12.686572661414045	
3	sentence	6	.	10.996156561944707	
4	sentence	1	His achievement was	17.948875798734953	
4	sentence	2	amazing	10.787576690908896	
4	sentence	3		0.0	
4	sentence	4	, but not	21.366954624336294	
4	sentence	5	great	5.600854769162666	
4	sentence	6	.	3.8319791524738083	
5	sentence	1	His achievement was	17.948875798734953	
5	sentence	2	amazing	10.787576690908896	
5	sentence	3		0.0	
5	sentence	4	, but not	21.366954624336294	
5	sentence	5	last	11.418039635539625	
5	sentence	6	.	8.308951031853839	
6	sentence	1	His achievement was	17.948875798734953	
6	sentence	2	amazing	10.787576690908896	
6	sentence	3		0.0	
6	sentence	4	, but not	21.366954624336294	
6	sentence	5	new	10.178906011934295	
6	sentence	6	.	5.656737779838122	
7	sentence	1	His achievement was	17.948875798734953	
7	sentence	2	amazing	10.787576690908896	
7	sentence	3		0.0	
7	sentence	4	, but not	21.366954624336294	
7	sentence	5	old	15.045106962955224	
7	sentence	6	.	7.712315698786618	
8	sentence	1	His achievement was	17.948875798734953	
8	sentence	2	amazing	10.787576690908896	
8	sentence	3		0.0	
8	sentence	4	, but not	21.366954624336294	
8	sentence	5	big	10.696824197771006	
8	sentence	6	.	7.022822117004342	
9	sentence	1	His achievement was	17.948875798734953	
9	sentence	2	amazing	10.787576690908896	
9	sentence	3		0.0	
9	sentence	4	, but not	21.366954624336294	
9	sentence	5	nice	11.971851288542007	
9	sentence	6	.	3.5338093910199397	
10	sentence	1	His achievement was	17.948875798734953	
10	sentence	2	amazing	10.787576690908896	
10	sentence	3		0.0	
10	sentence	4	, but not	21.366954624336294	
10	sentence	5	wrong	14.659381521877703	
10	sentence	6	.	4.180772695139749	
11	sentence	1	His achievement was	17.948875798734953	
11	sentence	2	amazing	10.787576690908896	
11	sentence	3		0.0	
11	sentence	4	, but not	21.366954624336294	
11	sentence	5	bad	10.70657630200553	
11	sentence	6	.	5.102873156179275	
12	sentence	1	His achievement was	17.948875798734953	
12	sentence	2	amazing	10.787576690908896	
12	sentence	3		0.0	
12	sentence	4	, but not	21.366954624336294	
12	sentence	5	same	17.56058850409018	
12	sentence	6	.	8.162015246332086	
13	sentence	1	His achievement was	17.948875798734953	
13	sentence	2	amazing	10.787576690908896	
13	sentence	3		0.0	
13	sentence	4	, but not	21.366954624336294	
13	sentence	5	next	13.295165604230457	
13	sentence	6	.	14.356458159953986	
14	sentence	1	His achievement was	17.948875798734953	
14	sentence	2	amazing	10.787576690908896	
14	sentence	3		0.0	
14	sentence	4	, but not	21.366954624336294	
14	sentence	5	dead	14.339741446290121	
14	sentence	6	.	5.177668067074208	
15	sentence	1	His achievement was	17.948875798734953	
15	sentence	2	amazing	10.787576690908896	
15	sentence	3		0.0	
15	sentence	4	, but not	21.366954624336294	
15	sentence	5	many	8.656653172617403	
15	sentence	6	.	12.683225191097652	
16	sentence	1	His achievement was	17.948875798734953	
16	sentence	2	amazing	10.787576690908896	
16	sentence	3		0.0	
16	sentence	4	, but not	21.366954624336294	
16	sentence	5	real	11.947999358659146	
16	sentence	6	.	5.941713032317796	
17	sentence	1	His achievement was	17.948875798734953	
17	sentence	2	amazing	10.787576690908896	
17	sentence	3		0.0	
17	sentence	4	, but not	21.366954624336294	
17	sentence	5	live	15.587911726302387	
17	sentence	6	.	5.7073299162424345	
18	sentence	1	His achievement was	17.948875798734953	
18	sentence	2	amazing	10.787576690908896	
18	sentence	3		0.0	
18	sentence	4	, but not	21.366954624336294	
18	sentence	5	ready	13.983041173233415	
18	sentence	6	.	6.201869124486156	
19	sentence	1	His achievement was	17.948875798734953	
19	sentence	2	amazing	10.787576690908896	
19	sentence	3		0.0	
19	sentence	4	, but not	21.366954624336294	
19	sentence	5	happy	13.441491195306948	
19	sentence	6	.	4.077092954067104	
20	sentence	1	His achievement was	17.948875798734953	
20	sentence	2	amazing	10.787576690908896	
20	sentence	3		0.0	
20	sentence	4	, but not	21.366954624336294	
20	sentence	5	whole	15.213105119762844	
20	sentence	6	.	5.474106651164492	
21	sentence	1	His achievement was	17.948875798734953	
21	sentence	2	amazing	10.787576690908896	
21	sentence	3		0.0	
21	sentence	4	, but not	21.366954624336294	
21	sentence	5	hard	9.992680445857632	
21	sentence	6	.	6.200965871603825	
22	sentence	1	His achievement was	17.948875798734953	
22	sentence	2	amazing	10.787576690908896	
22	sentence	3		0.0	
22	sentence	4	, but not	21.366954624336294	
22	sentence	5	open	15.208977536142136	
22	sentence	6	.	8.283485216775281	
23	sentence	1	His achievement was	17.948875798734953	
23	sentence	2	amazing	10.787576690908896	
23	sentence	3		0.0	
23	sentence	4	, but not	21.366954624336294	
23	sentence	5	few	15.019031641362009	
23	sentence	6	.	8.475704034269212	
24	sentence	1	His achievement was	17.948875798734953	
24	sentence	2	amazing	10.787576690908896	
24	sentence	3		0.0	
24	sentence	4	, but not	21.366954624336294	
24	sentence	5	true	9.669143931332103	
24	sentence	6	.	3.7083256902952595	
25	sentence	1	His achievement was	17.948875798734953	
25	sentence	2	amazing	10.787576690908896	
25	sentence	3		0.0	
25	sentence	4	, but not	21.366954624336294	
25	sentence	5	young	17.51619771811068	
25	sentence	6	.	5.114917101219197	
26	sentence	1	His achievement was	17.948875798734953	
26	sentence	2	amazing	10.787576690908896	
26	sentence	3		0.0	
26	sentence	4	, but not	21.366954624336294	
26	sentence	5	second	13.369913391879054	
26	sentence	6	.	12.34532055798844	
27	sentence	1	His achievement was	17.948875798734953	
27	sentence	2	amazing	10.787576690908896	
27	sentence	3		0.0	
27	sentence	4	, but not	21.366954624336294	
27	sentence	5	easy	7.367273097735996	
27	sentence	6	.	3.943438012810279	
28	sentence	1	His achievement was	17.948875798734953	
28	sentence	2	amazing	10.787576690908896	
28	sentence	3		0.0	
28	sentence	4	, but not	21.366954624336294	
28	sentence	5	different	14.283573288379536	
28	sentence	6	.	8.435153964848778	
29	sentence	1	His achievement was	17.948875798734953	
29	sentence	2	amazing	10.787576690908896	
29	sentence	3		0.0	
29	sentence	4	, but not	21.366954624336294	
29	sentence	5	married	19.61624622298868	
29	sentence	6	.	5.801441918482279	
30	sentence	1	His achievement was	17.948875798734953	
30	sentence	2	amazing	10.787576690908896	
30	sentence	3		0.0	
30	sentence	4	, but not	21.366954624336294	
30	sentence	5	important	11.228820195476741	
30	sentence	6	.	4.418055438708657	
31	sentence	1	His achievement was	17.948875798734953	
31	sentence	2	amazing	10.787576690908896	
31	sentence	3		0.0	
31	sentence	4	, but not	21.366954624336294	
31	sentence	5	able	11.314057548966764	
31	sentence	6	.	10.832926452149609	
32	sentence	1	His achievement was	17.948875798734953	
32	sentence	2	amazing	10.787576690908896	
32	sentence	3		0.0	
32	sentence	4	, but not	21.366954624336294	
32	sentence	5	high	10.265695336865702	
32	sentence	6	.	6.6796871475170905	
33	sentence	1	His achievement was	17.948875798734953	
33	sentence	2	amazing	10.787576690908896	
33	sentence	3		0.0	
33	sentence	4	, but not	21.366954624336294	
33	sentence	5	free	14.020915880537027	
33	sentence	6	.	4.3087123089431	
34	sentence	1	His achievement was	17.948875798734953	
34	sentence	2	amazing	10.787576690908896	
34	sentence	3		0.0	
34	sentence	4	, but not	21.366954624336294	
34	sentence	5	stupid	13.706173870846017	
34	sentence	6	.	2.837491021703475	
35	sentence	1	His achievement was	17.948875798734953	
35	sentence	2	amazing	10.787576690908896	
35	sentence	3		0.0	
35	sentence	4	, but not	21.366954624336294	
35	sentence	5	full	13.477252579796756	
35	sentence	6	.	9.606672953232696	
36	sentence	1	His achievement was	17.948875798734953	
36	sentence	2	amazing	10.787576690908896	
36	sentence	3		0.0	
36	sentence	4	, but not	21.366954624336294	
36	sentence	5	hot	14.696012450650274	
36	sentence	6	.	5.1206510027989625	
37	sentence	1	His achievement was	17.948875798734953	
37	sentence	2	amazing	10.787576690908896	
37	sentence	3		0.0	
37	sentence	4	, but not	21.366954624336294	
37	sentence	5	clear	11.631133019264679	
37	sentence	6	.	4.897067709267183	
38	sentence	1	His achievement was	17.948875798734953	
38	sentence	2	amazing	10.787576690908896	
38	sentence	3		0.0	
38	sentence	4	, but not	21.366954624336294	
38	sentence	5	alive	19.02102665110336	
38	sentence	6	.	4.21703902069249	
39	sentence	1	His achievement was	17.948875798734953	
39	sentence	2	amazing	10.787576690908896	
39	sentence	3		0.0	
39	sentence	4	, but not	21.366954624336294	
39	sentence	5	black	15.329954260342657	
39	sentence	6	.	6.457588064262256	
40	sentence	1	His achievement was	17.948875798734953	
40	sentence	2	amazing	10.787576690908896	
40	sentence	3		0.0	
40	sentence	4	, but not	21.366954624336294	
40	sentence	5	white	17.18669546939202	
40	sentence	6	.	6.8890526353020425	
41	sentence	1	His achievement was	17.948875798734953	
41	sentence	2	amazing	10.787576690908896	
41	sentence	3		0.0	
41	sentence	4	, but not	21.366954624336294	
41	sentence	5	small	13.415834135520631	
41	sentence	6	.	4.017273948444002	
42	sentence	1	His achievement was	17.948875798734953	
42	sentence	2	amazing	10.787576690908896	
42	sentence	3		0.0	
