item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	cold	14.0422389775216	
1	sentence	3		0.0	
1	sentence	4	, but not	20.414720395108493	
1	sentence	5	good	9.910084745884863	
1	sentence	6	.	4.868901766570079	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	cold	14.0422389775216	
2	sentence	3		0.0	
2	sentence	4	, but not	20.414720395108493	
2	sentence	5	little	16.116770760456387	
2	sentence	6	.	4.826405541472482	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	cold	14.0422389775216	
3	sentence	3		0.0	
3	sentence	4	, but not	20.414720395108493	
3	sentence	5	other	14.620934456312021	
3	sentence	6	.	8.314774364412054	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	cold	14.0422389775216	
4	sentence	3		0.0	
4	sentence	4	, but not	20.414720395108493	
4	sentence	5	great	10.563343646922156	
4	sentence	6	.	4.614073352960146	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	cold	14.0422389775216	
5	sentence	3		0.0	
5	sentence	4	, but not	20.414720395108493	
5	sentence	5	last	14.252930107579404	
5	sentence	6	.	5.752286869108576	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	cold	14.0422389775216	
6	sentence	3		0.0	
6	sentence	4	, but not	20.414720395108493	
6	sentence	5	new	13.372400948941134	
6	sentence	6	.	6.159501542411405	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	cold	14.0422389775216	
7	sentence	3		0.0	
7	sentence	4	, but not	20.414720395108493	
7	sentence	5	old	13.837442036874169	
7	sentence	6	.	4.699203045310728	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	cold	14.0422389775216	
8	sentence	3		0.0	
8	sentence	4	, but not	20.414720395108493	
8	sentence	5	big	13.309034285196033	
8	sentence	6	.	5.157431556477785	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	cold	14.0422389775216	
9	sentence	3		0.0	
9	sentence	4	, but not	20.414720395108493	
9	sentence	5	nice	12.324148805736625	
9	sentence	6	.	3.9724160575847574	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	cold	14.0422389775216	
10	sentence	3		0.0	
10	sentence	4	, but not	20.414720395108493	
10	sentence	5	wrong	12.972861861346312	
10	sentence	6	.	4.574592327697476	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	cold	14.0422389775216	
11	sentence	3		0.0	
11	sentence	4	, but not	20.414720395108493	
11	sentence	5	bad	8.869086142963145	
11	sentence	6	.	5.578150307526362	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	cold	14.0422389775216	
12	sentence	3		0.0	
12	sentence	4	, but not	20.414720395108493	
12	sentence	5	same	16.815466101990424	
12	sentence	6	.	6.1289691184384285	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	cold	14.0422389775216	
13	sentence	3		0.0	
13	sentence	4	, but not	20.414720395108493	
13	sentence	5	next	16.46502874914754	
13	sentence	6	.	10.022399047926726	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	cold	14.0422389775216	
14	sentence	3		0.0	
14	sentence	4	, but not	20.414720395108493	
14	sentence	5	dead	8.352796976795407	
14	sentence	6	.	3.4791340425188424	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	cold	14.0422389775216	
15	sentence	3		0.0	
15	sentence	4	, but not	20.414720395108493	
15	sentence	5	many	13.128554315519395	
15	sentence	6	.	9.019846134709482	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	cold	14.0422389775216	
16	sentence	3		0.0	
16	sentence	4	, but not	20.414720395108493	
16	sentence	5	real	12.373888940088563	
16	sentence	6	.	4.473315528222687	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	cold	14.0422389775216	
17	sentence	3		0.0	
17	sentence	4	, but not	20.414720395108493	
