item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	That house is	15.437630018308097	
1	sentence	2	old	9.988698015594252	
1	sentence	3		0.0	
1	sentence	4	, but not	20.36201527985568	
1	sentence	5	good	8.865375445288128	
1	sentence	6	.	3.54892253844716	
2	sentence	1	That house is	15.437630018308097	
2	sentence	2	old	9.988698015594252	
2	sentence	3		0.0	
2	sentence	4	, but not	20.36201527985568	
2	sentence	5	little	12.930583022319405	
2	sentence	6	.	2.845114668650922	
3	sentence	1	That house is	15.437630018308097	
3	sentence	2	old	9.988698015594252	
3	sentence	3		0.0	
3	sentence	4	, but not	20.36201527985568	
3	sentence	5	other	13.432321080362943	
3	sentence	6	.	4.909221379238355	
4	sentence	1	That house is	15.437630018308097	
4	sentence	2	old	9.988698015594252	
4	sentence	3		0.0	
4	sentence	4	, but not	20.36201527985568	
4	sentence	5	great	8.838221448508701	
4	sentence	6	.	2.610125313731269	
5	sentence	1	That house is	15.437630018308097	
5	sentence	2	old	9.988698015594252	
5	sentence	3		0.0	
5	sentence	4	, but not	20.36201527985568	
5	sentence	5	last	12.26641629363379	
5	sentence	6	.	4.113889330149806	
6	sentence	1	That house is	15.437630018308097	
6	sentence	2	old	9.988698015594252	
6	sentence	3		0.0	
6	sentence	4	, but not	20.36201527985568	
6	sentence	5	new	6.340593082394512	
6	sentence	6	.	2.460484757059397	
8	sentence	1	That house is	15.437630018308097	
8	sentence	2	old	9.988698015594252	
8	sentence	3		0.0	
8	sentence	4	, but not	20.36201527985568	
8	sentence	5	big	8.30617041635469	
8	sentence	6	.	4.165190723006276	
9	sentence	1	That house is	15.437630018308097	
9	sentence	2	old	9.988698015594252	
9	sentence	3		0.0	
9	sentence	4	, but not	20.36201527985568	
9	sentence	5	nice	10.499524324839985	
9	sentence	6	.	2.982953775820588	
10	sentence	1	That house is	15.437630018308097	
10	sentence	2	old	9.988698015594252	
10	sentence	3		0.0	
10	sentence	4	, but not	20.36201527985568	
10	sentence	5	wrong	11.428869039099155	
10	sentence	6	.	3.0793947671184165	
11	sentence	1	That house is	15.437630018308097	
11	sentence	2	old	9.988698015594252	
11	sentence	3		0.0	
11	sentence	4	, but not	20.36201527985568	
11	sentence	5	bad	6.235488293076818	
11	sentence	6	.	4.033111830761958	
12	sentence	1	That house is	15.437630018308097	
12	sentence	2	old	9.988698015594252	
12	sentence	3		0.0	
12	sentence	4	, but not	20.36201527985568	
12	sentence	5	same	14.926693468183164	
12	sentence	6	.	4.91935425306189	
13	sentence	1	That house is	15.437630018308097	
13	sentence	2	old	9.988698015594252	
13	sentence	3		0.0	
13	sentence	4	, but not	20.36201527985568	
13	sentence	5	next	13.519429605094352	
13	sentence	6	.	7.775858472766202	
14	sentence	1	That house is	15.437630018308097	
14	sentence	2	old	9.988698015594252	
14	sentence	3		0.0	
14	sentence	4	, but not	20.36201527985568	
14	sentence	5	dead	7.257268866660523	
14	sentence	6	.	2.1471951408549246	
15	sentence	1	That house is	15.437630018308097	
15	sentence	2	old	9.988698015594252	
15	sentence	3		0.0	
15	sentence	4	, but not	20.36201527985568	
15	sentence	5	many	8.774964853660153	
15	sentence	6	.	7.482725739190803	
16	sentence	1	That house is	15.437630018308097	
16	sentence	2	old	9.988698015594252	
16	sentence	3		0.0	
16	sentence	4	, but not	20.36201527985568	
16	sentence	5	real	11.317842543146952	
16	sentence	6	.	3.016349366965128	
17	sentence	1	That house is	15.437630018308097	
17	sentence	2	old	9.988698015594252	
17	sentence	3		0.0	
17	sentence	4	, but not	20.36201527985568	
17	sentence	5	live	12.335528553778916	
17	sentence	6	.	3.29313377371481	
18	sentence	1	That house is	15.437630018308097	
18	sentence	2	old	9.988698015594252	
18	sentence	3		0.0	
18	sentence	4	, but not	20.36201527985568	
18	sentence	5	ready	8.983688502192086	
18	sentence	6	.	4.893184684976002	
19	sentence	1	That house is	15.437630018308097	
19	sentence	2	old	9.988698015594252	
19	sentence	3		0.0	
19	sentence	4	, but not	20.36201527985568	
19	sentence	5	happy	12.488931574903713	
19	sentence	6	.	3.3656320282901215	
20	sentence	1	That house is	15.437630018308097	
20	sentence	2	old	9.988698015594252	
20	sentence	3		0.0	
20	sentence	4	, but not	20.36201527985568	
20	sentence	5	whole	10.644760233840609	
20	sentence	6	.	2.2586711994564816	
21	sentence	1	That house is	15.437630018308097	
21	sentence	2	old	9.988698015594252	
21	sentence	3		0.0	
21	sentence	4	, but not	20.36201527985568	
21	sentence	5	hard	10.501736709660683	
21	sentence	6	.	5.315514225532559	
22	sentence	1	That house is	15.437630018308097	
22	sentence	2	old	9.988698015594252	
22	sentence	3		0.0	
22	sentence	4	, but not	20.36201527985568	
22	sentence	5	open	11.374990314236854	
22	sentence	6	.	3.9593508795640115	
23	sentence	1	That house is	15.437630018308097	
23	sentence	2	old	9.988698015594252	
23	sentence	3		0.0	
23	sentence	4	, but not	20.36201527985568	
23	sentence	5	few	14.37129682307043	
23	sentence	6	.	4.897260329836149	
24	sentence	1	That house is	15.437630018308097	
