Item,Sentence,surprisal_at_strong,predicted_token
176651:43,"a, a contractor friend helped me, uh, with some of the, uh, foundation work",6.403007507324219,all
108182:30,i guess you have  to take some things and leave some things.,4.628084659576416,all all
20718:26,"well, i know that we have some relatives that  live around, like the mumblex area in there,",5.822098731994629,all
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.",2.5346121788024902,all all
88808:43,"although, um, i have also done oh, free lance magazine writing and some educational writing.",6.568638324737549,all
148561:14,"i mean, some people sing,",8.128393173217773,all
176908:22,"and you say you have some strong feelings about, uh, the issue.",6.666845321655273,all
34501:47,"but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,",6.993315696716309,all
1686:32,"and, uh, quite honestly, i, i have some little children",5.915713787078857,all
9196:49,"but i do think that, um, congress has backed down much too much on some of the air pollution standards.",8.925067901611328,all
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.",8.391377449035645,all all
68658:113,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.",8.171649932861328,all all
16209:29,and i have two different kinds of breads and some ham,4.335719108581543,all
112844:32,"i have worked in anoth-, at some other ones that  were not very good in my opinion.",6.894820690155029,all
99256:38,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.",6.423707008361816,all all
89238:15,and she was wanting some more information.,2.304199695587158,enough
86088:57,"and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.",6.860134124755859,all
112290:7,and some of those,8.058670043945312,all
145433:59,"even with my gas card you know, i find that i'll go in  to get some gas",1.5524654388427734,enough
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day",8.42415714263916,all
102781:19,i went to dinner with some friends last weekend,6.656649112701416,all
80692:12,and you get some beautiful effects with them.,6.558083534240723,all
4490:19,"um, there's been some progressive medical schools  out here, that  have taken that approach.",8.852973937988281,all
176346:41,"he crashed and killed some people because he was, uh, smoking some marijuana",6.97976541519165,all all
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.,3.636654853820801,all
134426:32,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries.",3.1889567375183105,all all all all
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make some money .",1.8758305311203003,enough
36420:35,"we've, uh, just save the fees and buy some of our own equipment.",5.412220478057861,all
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed some strong influence there.",3.8708674907684326,all
114255:29,"um, uh, i think there's some problems,",6.1044158935546875,all
140052:14,"but my son needed some money,",1.4546877145767212,enough
155121:37,"uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet.",2.205453872680664,all
56319:15,and i shred up some just regular white cheese.,1.639434576034546,all
120254:15,"i've read some things about him that he was, he wasn't too good himself.",6.5703444480896,all
99947:44,"so but, uh, you know, we probably did some ice skating on it,",2.4257378578186035,all
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",9.45201587677002,all
35674:45,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,2.6063146591186523,enough all
140964:11,and spend some time with him.,3.9633495807647705,all
47593:18,"then my father got us some tickets,",3.6744818687438965,enough
54511:40,"there's, there is, you know some blood and everything",3.6414337158203125,all
38844:23,"i do do some crafts like it mentioned in the thing,",5.344125747680664,all
72387:13,and i see some of the problems the kids have  when they don't have a real good family structure .,8.704407691955566,all
15535:31,"now, i've seen, you know, some different clips of it, um,",6.5493035316467285,all
91704:14,"i'm doing some reviews of books,  just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done  for the journal,",7.098371982574463,all
29385:35,"and they go back and forth, where everyone's giving some opinions",5.9359130859375,all
165513:41,"and then with that i try and handle, you know, some of the clothes that the girls need  and things like that,",6.654830455780029,all
5156:27,"i've been trying  to do some bibs for him. and, uh, work on his christmas stocking.",4.433291912078857,all
71923:26,because i work some weird hours and do some traveling.,5.507119655609131,all all
1177:17,"i've even had some of them,",6.324663162231445,all
109067:60,"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,",3.563680648803711,all all all all
8885:15,what  are some of your things you like  to do .,8.308306694030762,all
102431:45,"i know they do do some, they do have some classes   in, um, high schools and things for kids  to, uh, give them an idea of what family life is like  and the, uh, you know, and, uh, that kind of thing",2.4265522956848145,all all
57403:47,"it had, uh, leather, leather designs and, um, some other, other little things on it",2.883028984069824,all
88674:10,i did some typing for my father when he had the company,3.3162858486175537,all
96886:11,there's some men out there that  are more feminine than most women.,9.828231811523438,all
9967:56,"they don't understand that to make that work, they've got  to take some responsibility for themselves.",6.764664649963379,all
97989:5,"some of the changing roles of women in that respect, i have been a product of .",8.542476654052734,all
2345:39,"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,",5.320329189300537,all all all
113850:63,"if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.",8.291158676147461,all
82800:12,"my wife did some teaching at like, uh, like a private tutoring place. a sylvan learning center this year",2.617051124572754,all
116717:11,i know some people that  went to b y u.,8.563138961791992,all
20142:232,"well, i think in a way, though, uh, uh, i also have, uh, an opposite point of view, which  is, uh, although i believe we should, uh, permit, uh, you know, constant immigration into this country uh, i think we should, uh, primarily for economic reasons, i think we should have, um, some quotas,",8.099832534790039,all
171282:63,"but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it .",11.34485912322998,all
1939:10,"i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties .",3.9909675121307373,all
11991:7,"and some of it runs off right away into the, in to the streams and rivers",6.870270729064941,all
134021:50,"and i think that it's, it's very surprising some of these very expensive volvos can be gotten  for a lot less money than you would think if you're willing  to buy ones that  are about, the vintage of the cars that you and i currently own",7.264313220977783,all
15332:88,"everybody i know  has been, well, i'm going  to go  get a goo-, good job and make some money and buy a nice car.",1.7496787309646606,enough
145355:18,"uh, i got in some problems with, uh, financial problems because of credit cards",5.0445990562438965,all
