item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	This movie is	14.090796731148856	
1	sentence	2	memorable	14.045506647887994	
1	sentence	3		0.0	
1	sentence	4	, but not	20.091945419760982	
1	sentence	5	good	8.142319105224674	
1	sentence	6	.	4.344524600297564	
2	sentence	1	This movie is	14.090796731148856	
2	sentence	2	memorable	14.045506647887994	
2	sentence	3		0.0	
2	sentence	4	, but not	20.091945419760982	
2	sentence	5	little	16.168388945355744	
2	sentence	6	.	5.017630643209727	
3	sentence	1	This movie is	14.090796731148856	
3	sentence	2	memorable	14.045506647887994	
3	sentence	3		0.0	
3	sentence	4	, but not	20.091945419760982	
3	sentence	5	other	12.613482786519766	
3	sentence	6	.	10.120616276042666	
4	sentence	1	This movie is	14.090796731148856	
4	sentence	2	memorable	14.045506647887994	
4	sentence	3		0.0	
4	sentence	4	, but not	20.091945419760982	
4	sentence	5	great	5.668179097669421	
4	sentence	6	.	3.066804261214052	
5	sentence	1	This movie is	14.090796731148856	
5	sentence	2	memorable	14.045506647887994	
5	sentence	3		0.0	
5	sentence	4	, but not	20.091945419760982	
5	sentence	5	last	10.864543054753623	
5	sentence	6	.	4.452597122238546	
6	sentence	1	This movie is	14.090796731148856	
6	sentence	2	memorable	14.045506647887994	
6	sentence	3		0.0	
6	sentence	4	, but not	20.091945419760982	
6	sentence	5	new	12.35268554302899	
6	sentence	6	.	5.141520409550561	
7	sentence	1	This movie is	14.090796731148856	
7	sentence	2	memorable	14.045506647887994	
7	sentence	3		0.0	
7	sentence	4	, but not	20.091945419760982	
7	sentence	5	old	13.438383124840556	
7	sentence	6	.	5.514575888739019	
8	sentence	1	This movie is	14.090796731148856	
8	sentence	2	memorable	14.045506647887994	
8	sentence	3		0.0	
8	sentence	4	, but not	20.091945419760982	
8	sentence	5	big	11.735793405412544	
8	sentence	6	.	6.485098409094271	
9	sentence	1	This movie is	14.090796731148856	
9	sentence	2	memorable	14.045506647887994	
9	sentence	3		0.0	
9	sentence	4	, but not	20.091945419760982	
9	sentence	5	nice	11.749122748785014	
9	sentence	6	.	3.612450865884071	
10	sentence	1	This movie is	14.090796731148856	
10	sentence	2	memorable	14.045506647887994	
10	sentence	3		0.0	
10	sentence	4	, but not	20.091945419760982	
10	sentence	5	wrong	13.230595061929316	
10	sentence	6	.	3.7724511414959663	
11	sentence	1	This movie is	14.090796731148856	
11	sentence	2	memorable	14.045506647887994	
11	sentence	3		0.0	
11	sentence	4	, but not	20.091945419760982	
11	sentence	5	bad	7.703892676477961	
11	sentence	6	.	4.413132607310359	
12	sentence	1	This movie is	14.090796731148856	
12	sentence	2	memorable	14.045506647887994	
12	sentence	3		0.0	
12	sentence	4	, but not	20.091945419760982	
12	sentence	5	same	17.825300072714594	
12	sentence	6	.	6.415252814925867	
13	sentence	1	This movie is	14.090796731148856	
13	sentence	2	memorable	14.045506647887994	
13	sentence	3		0.0	
13	sentence	4	, but not	20.091945419760982	
13	sentence	5	next	13.789987207986895	
13	sentence	6	.	10.87578246495281	
14	sentence	1	This movie is	14.090796731148856	
14	sentence	2	memorable	14.045506647887994	
14	sentence	3		0.0	
14	sentence	4	, but not	20.091945419760982	
14	sentence	5	dead	11.928579077723716	
14	sentence	6	.	3.75287779600127	
15	sentence	1	This movie is	14.090796731148856	
15	sentence	2	memorable	14.045506647887994	
15	sentence	3		0.0	
15	sentence	4	, but not	20.091945419760982	
15	sentence	5	many	8.266840047894176	
15	sentence	6	.	11.26838033275881	
16	sentence	1	This movie is	14.090796731148856	
16	sentence	2	memorable	14.045506647887994	
16	sentence	3		0.0	
16	sentence	4	, but not	20.091945419760982	
16	sentence	5	real	11.205074206906811	
16	sentence	6	.	5.105603552744372	
17	sentence	1	This movie is	14.090796731148856	
17	sentence	2	memorable	14.045506647887994	
17	sentence	3		0.0	
17	sentence	4	, but not	20.091945419760982	
17	sentence	5	live	14.95549574668846	
17	sentence	6	.	4.839625503879004	
18	sentence	1	This movie is	14.090796731148856	
18	sentence	2	memorable	14.045506647887994	
18	sentence	3		0.0	
18	sentence	4	, but not	20.091945419760982	
18	sentence	5	ready	14.259122858871672	
18	sentence	6	.	6.4171473758077715	
19	sentence	1	This movie is	14.090796731148856	
19	sentence	2	memorable	14.045506647887994	
19	sentence	3		0.0	
19	sentence	4	, but not	20.091945419760982	
19	sentence	5	happy	12.653558871754422	
19	sentence	6	.	4.226623613825074	
20	sentence	1	This movie is	14.090796731148856	
20	sentence	2	memorable	14.045506647887994	
20	sentence	3		0.0	
20	sentence	4	, but not	20.091945419760982	
20	sentence	5	whole	13.165082054701449	
20	sentence	6	.	4.4561709217234755	
21	sentence	1	This movie is	14.090796731148856	
21	sentence	2	memorable	14.045506647887994	
21	sentence	3		0.0	
21	sentence	4	, but not	20.091945419760982	
21	sentence	5	hard	10.112013015915904	
21	sentence	6	.	6.653009886645855	
22	sentence	1	This movie is	14.090796731148856	
22	sentence	2	memorable	14.045506647887994	
22	sentence	3		0.0	
22	sentence	4	, but not	20.091945419760982	
22	sentence	5	open	15.494646222670088	
22	sentence	6	.	7.077949435911907	
23	sentence	1	This movie is	14.090796731148856	
23	sentence	2	memorable	14.045506647887994	
23	sentence	3		0.0	
23	sentence	4	, but not	20.091945419760982	
23	sentence	5	few	15.00937447155076	
23	sentence	6	.	7.215638746192671	
24	sentence	1	This movie is	14.090796731148856	
24	sentence	2	memorable	14.045506647887994	
24	sentence	3		0.0	
24	sentence	4	, but not	20.091945419760982	
24	sentence	5	true	9.82802425592158	
24	sentence	6	.	3.3324080758311427	
25	sentence	1	This movie is	14.090796731148856	
25	sentence	2	memorable	14.045506647887994	
25	sentence	3		0.0	
25	sentence	4	, but not	20.091945419760982	
25	sentence	5	young	16.553707131516024	
25	sentence	6	.	4.8580840578308075	
26	sentence	1	This movie is	14.090796731148856	
26	sentence	2	memorable	14.045506647887994	
26	sentence	3		0.0	
26	sentence	4	, but not	20.091945419760982	
26	sentence	5	second	14.591354816224824	
26	sentence	6	.	10.816208362624536	
27	sentence	1	This movie is	14.090796731148856	
27	sentence	2	memorable	14.045506647887994	
27	sentence	3		0.0	
27	sentence	4	, but not	20.091945419760982	
27	sentence	5	easy	9.521141165444398	
27	sentence	6	.	4.967089757635371	
28	sentence	1	This movie is	14.090796731148856	
28	sentence	2	memorable	14.045506647887994	
28	sentence	3		0.0	
28	sentence	4	, but not	20.091945419760982	
28	sentence	5	different	13.445768747799208	
28	sentence	6	.	5.466743729915753	
29	sentence	1	This movie is	14.090796731148856	
29	sentence	2	memorable	14.045506647887994	
29	sentence	3		0.0	
29	sentence	4	, but not	20.091945419760982	
29	sentence	5	married	18.61398774406971	
29	sentence	6	.	5.174589921589066	
30	sentence	1	This movie is	14.090796731148856	
30	sentence	2	memorable	14.045506647887994	
30	sentence	3		0.0	
30	sentence	4	, but not	20.091945419760982	
30	sentence	5	important	10.619353580793948	
30	sentence	6	.	3.5267443437224957	
31	sentence	1	This movie is	14.090796731148856	
31	sentence	2	memorable	14.045506647887994	
31	sentence	3		0.0	
31	sentence	4	, but not	20.091945419760982	
31	sentence	5	able	12.244983127752665	
31	sentence	6	.	10.923891515843964	
32	sentence	1	This movie is	14.090796731148856	
32	sentence	2	memorable	14.045506647887994	
32	sentence	3		0.0	
32	sentence	4	, but not	20.091945419760982	
32	sentence	5	high	10.202775828012847	
32	sentence	6	.	6.891891036971883	
33	sentence	1	This movie is	14.090796731148856	
33	sentence	2	memorable	14.045506647887994	
33	sentence	3		0.0	
33	sentence	4	, but not	20.091945419760982	
33	sentence	5	free	14.7484011178255	
33	sentence	6	.	3.339656800599708	
34	sentence	1	This movie is	14.090796731148856	
34	sentence	2	memorable	14.045506647887994	
34	sentence	3		0.0	
34	sentence	4	, but not	20.091945419760982	
34	sentence	5	stupid	11.488215436397684	
34	sentence	6	.	2.7523499784979366	
35	sentence	1	This movie is	14.090796731148856	
35	sentence	2	memorable	14.045506647887994	
35	sentence	3		0.0	
35	sentence	4	, but not	20.091945419760982	
35	sentence	5	full	11.071153380471753	
35	sentence	6	.	8.652239409865661	
36	sentence	1	This movie is	14.090796731148856	
36	sentence	2	memorable	14.045506647887994	
36	sentence	3		0.0	
36	sentence	4	, but not	20.091945419760982	
36	sentence	5	hot	12.942731876776355	
36	sentence	6	.	4.297250009228396	
37	sentence	1	This movie is	14.090796731148856	
37	sentence	2	memorable	14.045506647887994	
37	sentence	3		0.0	
37	sentence	4	, but not	20.091945419760982	
37	sentence	5	clear	12.615695171340466	
37	sentence	6	.	5.435287415142342	
38	sentence	1	This movie is	14.090796731148856	
38	sentence	2	memorable	14.045506647887994	
38	sentence	3		0.0	
38	sentence	4	, but not	20.091945419760982	
38	sentence	5	alive	16.184459004252364	
38	sentence	6	.	2.9529431472103296	
39	sentence	1	This movie is	14.090796731148856	
39	sentence	2	memorable	14.045506647887994	
39	sentence	3		0.0	
39	sentence	4	, but not	20.091945419760982	
39	sentence	5	black	14.173797450264408	
39	sentence	6	.	6.4231860306448665	
40	sentence	1	This movie is	14.090796731148856	
40	sentence	2	memorable	14.045506647887994	
40	sentence	3		0.0	
40	sentence	4	, but not	20.091945419760982	
40	sentence	5	white	16.23948244563881	
40	sentence	6	.	6.037805242799674	
41	sentence	1	This movie is	14.090796731148856	
41	sentence	2	memorable	14.045506647887994	
41	sentence	3		0.0	
41	sentence	4	, but not	20.091945419760982	
41	sentence	5	small	14.804095979480913	
41	sentence	6	.	4.05923427560151	
42	sentence	1	This movie is	14.090796731148856	
42	sentence	2	memorable	14.045506647887994	
42	sentence	3		0.0	
42	sentence	4	, but not	20.091945419760982	
42	sentence	5	safe	14.402179403720563	
42	sentence	6	.	3.793503193822781	
43	sentence	1	This movie is	14.090796731148856	
43	sentence	2	memorable	14.045506647887994	
43	sentence	3		0.0	
43	sentence	4	, but not	20.091945419760982	
43	sentence	5	poor	14.252001401264744	
43	sentence	6	.	3.4044660548202454	
44	sentence	1	This movie is	14.090796731148856	
44	sentence	2	memorable	14.045506647887994	
44	sentence	3		0.0	
44	sentence	4	, but not	20.091945419760982	
44	sentence	5	special	10.36977235786184	
44	sentence	6	.	3.1912192625706215	
45	sentence	1	This movie is	14.090796731148856	
45	sentence	2	memorable	14.045506647887994	
45	sentence	3		0.0	
45	sentence	4	, but not	20.091945419760982	
45	sentence	5	serious	12.322031355339202	
45	sentence	6	.	3.228521611612161	
46	sentence	1	This movie is	14.090796731148856	
46	sentence	2	memorable	14.045506647887994	
46	sentence	3		0.0	
46	sentence	4	, but not	20.091945419760982	
46	sentence	5	possible	14.283745271030398	
46	sentence	6	.	6.7917840634882625	
47	sentence	1	This movie is	14.090796731148856	
47	sentence	2	memorable	14.045506647887994	
47	sentence	3		0.0	
47	sentence	4	, but not	20.091945419760982	
47	sentence	5	lucky	17.006618627049004	
47	sentence	6	.	4.862159358725653	
48	sentence	1	This movie is	14.090796731148856	
48	sentence	2	memorable	14.045506647887994	
48	sentence	3		0.0	
48	sentence	4	, but not	20.091945419760982	
48	sentence	5	quiet	15.66971080263636	
48	sentence	6	.	3.3855727287270607	
49	sentence	1	This movie is	14.090796731148856	
49	sentence	2	memorable	14.045506647887994	
49	sentence	3		0.0	
49	sentence	4	, but not	20.091945419760982	
49	sentence	5	strong	10.407680085834418	
49	sentence	6	.	4.640027598767154	
50	sentence	1	This movie is	14.090796731148856	
50	sentence	2	memorable	14.045506647887994	
50	sentence	3		0.0	
50	sentence	4	, but not	20.091945419760982	
50	sentence	5	general	15.228752789268945	
50	sentence	6	.	3.4387170876701774	
51	sentence	1	This movie is	14.090796731148856	
51	sentence	2	memorable	14.045506647887994	
51	sentence	3		0.0	
51	sentence	4	, but not	20.091945419760982	
51	sentence	5	busy	17.823043660335276	
51	sentence	6	.	3.770375654865354	
52	sentence	1	This movie is	14.090796731148856	
52	sentence	2	memorable	14.045506647887994	
52	sentence	3		0.0	
52	sentence	4	, but not	20.091945419760982	
52	sentence	5	entire	14.11203779240897	
52	sentence	6	.	4.64292894608721	
53	sentence	1	This movie is	14.090796731148856	
53	sentence	2	memorable	14.045506647887994	
53	sentence	3		0.0	
53	sentence	4	, but not	20.091945419760982	
53	sentence	5	dangerous	13.877580035863135	
53	sentence	6	.	2.876970843087589	
54	sentence	1	This movie is	14.090796731148856	
54	sentence	2	memorable	14.045506647887994	
54	sentence	3		0.0	
54	sentence	4	, but not	20.091945419760982	
54	sentence	5	short	12.295658847725296	
54	sentence	6	.	3.4630983801523945	
55	sentence	1	This movie is	14.090796731148856	
55	sentence	2	memorable	14.045506647887994	
55	sentence	3		0.0	
55	sentence	4	, but not	20.091945419760982	
55	sentence	5	single	14.69355378667354	
55	sentence	6	.	5.813968446840522	
56	sentence	1	This movie is	14.090796731148856	
56	sentence	2	memorable	14.045506647887994	
56	sentence	3		0.0	
56	sentence	4	, but not	20.091945419760982	
56	sentence	5	normal	14.982011343867883	
56	sentence	6	.	3.348347083947806	
57	sentence	1	This movie is	14.090796731148856	
57	sentence	2	memorable	14.045506647887994	
57	sentence	3		0.0	
57	sentence	4	, but not	20.091945419760982	
57	sentence	5	major	13.246610086377661	
57	sentence	6	.	3.888465134323189	
58	sentence	1	This movie is	14.090796731148856	
58	sentence	2	memorable	14.045506647887994	
58	sentence	3		0.0	
58	sentence	4	, but not	20.091945419760982	
58	sentence	5	interested	16.08253520604503	
58	sentence	6	.	6.637831385811307	
59	sentence	1	This movie is	14.090796731148856	
59	sentence	2	memorable	14.045506647887994	
59	sentence	3		0.0	
59	sentence	4	, but not	20.091945419760982	
59	sentence	5	difficult	10.962493365795424	
59	sentence	6	.	4.316260627489469	
60	sentence	1	This movie is	14.090796731148856	
60	sentence	2	memorable	14.045506647887994	
60	sentence	3		0.0	
60	sentence	4	, but not	20.091945419760982	
60	sentence	5	personal	13.075882220935547	
60	sentence	6	.	3.075353862753744	
61	sentence	1	This movie is	14.090796731148856	
61	sentence	2	memorable	14.045506647887994	
61	sentence	3		0.0	
61	sentence	4	, but not	20.091945419760982	
61	sentence	5	certain	13.496136274861493	
61	sentence	6	.	4.665117115805624	
62	sentence	1	This movie is	14.090796731148856	
62	sentence	2	memorable	14.045506647887994	
62	sentence	3		0.0	
