item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The manager	13.095507505190804	
1	sentence	2	likes	13.173986628432521	
1	sentence	3	spaghetti	18.241195398337073	
1	sentence	4	, but does not	22.37716914967116	
1	sentence	5	have	4.982665194428111	
1	sentence	6	it.	8.311087400342856	
2	sentence	1	The manager	13.095507505190804	
2	sentence	2	likes	13.173986628432521	
2	sentence	3	spaghetti	18.241195398337073	
2	sentence	4	, but does not	22.37716914967116	
2	sentence	5	know	4.8009634599997435	
2	sentence	6	it.	7.491408111336961	
3	sentence	1	The manager	13.095507505190804	
3	sentence	2	likes	13.173986628432521	
3	sentence	3	spaghetti	18.241195398337073	
3	sentence	4	, but does not	22.37716914967116	
3	sentence	5	get	8.166473724573054	
3	sentence	6	it.	4.846532499120306	
4	sentence	1	The manager	13.095507505190804	
4	sentence	2	likes	13.173986628432521	
4	sentence	3	spaghetti	18.241195398337073	
4	sentence	4	, but does not	22.37716914967116	
4	sentence	5	go	8.322353295870276	
4	sentence	6	it.	17.000204362102426	
5	sentence	1	The manager	13.095507505190804	
5	sentence	2	likes	13.173986628432521	
5	sentence	3	spaghetti	18.241195398337073	
5	sentence	4	, but does not	22.37716914967116	
5	sentence	5	come	10.383877686955005	
5	sentence	6	it.	13.29932053309265	
6	sentence	1	The manager	13.095507505190804	
6	sentence	2	likes	13.173986628432521	
6	sentence	3	spaghetti	18.241195398337073	
6	sentence	4	, but does not	22.37716914967116	
6	sentence	5	see	7.713694311715934	
6	sentence	6	it.	6.586121362176386	
7	sentence	1	The manager	13.095507505190804	
7	sentence	2	likes	13.173986628432521	
7	sentence	3	spaghetti	18.241195398337073	
7	sentence	4	, but does not	22.37716914967116	
7	sentence	5	let	9.097854713418439	
7	sentence	6	it.	8.106757564575169	
8	sentence	1	The manager	13.095507505190804	
8	sentence	2	likes	13.173986628432521	
8	sentence	3	spaghetti	18.241195398337073	
8	sentence	4	, but does not	22.37716914967116	
8	sentence	5	take	8.509118199540044	
8	sentence	6	it.	7.281977270144681	
9	sentence	1	The manager	13.095507505190804	
9	sentence	2	likes	13.173986628432521	
9	sentence	3	spaghetti	18.241195398337073	
9	sentence	4	, but does not	22.37716914967116	
9	sentence	5	say	8.65520163904412	
9	sentence	6	it.	6.945124826893448	
10	sentence	1	The manager	13.095507505190804	
10	sentence	2	likes	13.173986628432521	
10	sentence	3	spaghetti	18.241195398337073	
10	sentence	4	, but does not	22.37716914967116	
10	sentence	5	make	7.036176225878537	
10	sentence	6	it.	5.8983627413760145	
11	sentence	1	The manager	13.095507505190804	
11	sentence	2	likes	13.173986628432521	
11	sentence	3	spaghetti	18.241195398337073	
11	sentence	4	, but does not	22.37716914967116	
11	sentence	5	give	7.709775858998676	
11	sentence	6	it.	8.321372650795055	
12	sentence	1	The manager	13.095507505190804	
12	sentence	2	likes	13.173986628432521	
12	sentence	3	spaghetti	18.241195398337073	
12	sentence	4	, but does not	22.37716914967116	
12	sentence	5	find	8.435085859719036	
12	sentence	6	it.	8.29867162881177	
13	sentence	1	The manager	13.095507505190804	
13	sentence	2	likes	13.173986628432521	
13	sentence	3	spaghetti	18.241195398337073	
13	sentence	4	, but does not	22.37716914967116	
13	sentence	5	keep	10.082002731270947	
13	sentence	6	it.	5.012021773017138	
14	sentence	1	The manager	13.095507505190804	
14	sentence	2	likes	13.173986628432521	
14	sentence	3	spaghetti	18.241195398337073	
14	sentence	4	, but does not	22.37716914967116	
14	sentence	5	leave	10.925790892240094	
14	sentence	6	it.	6.414804800120369	
15	sentence	1	The manager	13.095507505190804	
15	sentence	2	likes	13.173986628432521	
15	sentence	3	spaghetti	18.241195398337073	
15	sentence	4	, but does not	22.37716914967116	
15	sentence	5	believe	6.5375200969384615	
15	sentence	6	it.	8.832245567339172	
16	sentence	1	The manager	13.095507505190804	
16	sentence	2	likes	13.173986628432521	
16	sentence	3	spaghetti	18.241195398337073	
16	sentence	4	, but does not	22.37716914967116	
16	sentence	5	remember	10.293268971313235	
16	sentence	6	it.	5.498635418769823	
17	sentence	1	The manager	13.095507505190804	
17	sentence	2	likes	13.173986628432521	
17	sentence	3	spaghetti	18.241195398337073	
17	sentence	4	, but does not	22.37716914967116	
17	sentence	5	run	12.09558111101754	
17	sentence	6	it.	4.556538792888455	
18	sentence	1	The manager	13.095507505190804	
18	sentence	2	likes	13.173986628432521	
18	sentence	3	spaghetti	18.241195398337073	
18	sentence	4	, but does not	22.37716914967116	
18	sentence	5	happen	13.458828422375126	
18	sentence	6	it.	15.156910476524024	
19	sentence	1	The manager	13.095507505190804	
19	sentence	2	likes	13.173986628432521	
19	sentence	3	spaghetti	18.241195398337073	
19	sentence	4	, but does not	22.37716914967116	
19	sentence	5	buy	8.406776139525812	
19	sentence	6	it.	2.966347990966529	
20	sentence	1	The manager	13.095507505190804	
20	sentence	2	likes	13.173986628432521	
20	sentence	3	spaghetti	18.241195398337073	
20	sentence	4	, but does not	22.37716914967116	
20	sentence	5	save	12.517321095046938	
20	sentence	6	it.	4.409320611853985	
21	sentence	1	The manager	13.095507505190804	
21	sentence	2	likes	13.173986628432521	
21	sentence	3	spaghetti	18.241195398337073	
21	sentence	4	, but does not	22.37716914967116	
21	sentence	5	lose	14.51493948479346	
21	sentence	6	it.	5.42380757319725	
22	sentence	1	The manager	13.095507505190804	
22	sentence	2	likes	13.173986628432521	
22	sentence	3	spaghetti	18.241195398337073	
22	sentence	4	, but does not	22.37716914967116	
22	sentence	5	follow	8.631668908961261	
22	sentence	6	it.	3.67716673352519	
23	sentence	1	The manager	13.095507505190804	
23	sentence	2	likes	13.173986628432521	
23	sentence	3	spaghetti	18.241195398337073	
23	sentence	4	, but does not	22.37716914967116	
23	sentence	5	expect	8.530229413898756	
23	sentence	6	it.	7.937114393712045	
24	sentence	1	The manager	13.095507505190804	
24	sentence	2	likes	13.173986628432521	
24	sentence	3	spaghetti	18.241195398337073	
