item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	He is	4.918527704441844	
1	sentence	2	hungry	13.513661994915017	
1	sentence	3		0.0	
1	sentence	4	, but not	20.300525978727396	
1	sentence	5	good	8.670816975811862	
1	sentence	6	.	4.368386849139477	
2	sentence	1	He is	4.918527704441844	
2	sentence	2	hungry	13.513661994915017	
2	sentence	3		0.0	
2	sentence	4	, but not	20.300525978727396	
2	sentence	5	little	14.83984910880348	
2	sentence	6	.	2.915835826494868	
3	sentence	1	He is	4.918527704441844	
3	sentence	2	hungry	13.513661994915017	
3	sentence	3		0.0	
3	sentence	4	, but not	20.300525978727396	
3	sentence	5	other	14.893232523631296	
3	sentence	6	.	6.99046461314041	
4	sentence	1	He is	4.918527704441844	
4	sentence	2	hungry	13.513661994915017	
4	sentence	3		0.0	
4	sentence	4	, but not	20.300525978727396	
4	sentence	5	great	10.807617485248636	
4	sentence	6	.	3.0416459511152367	
5	sentence	1	He is	4.918527704441844	
5	sentence	2	hungry	13.513661994915017	
5	sentence	3		0.0	
5	sentence	4	, but not	20.300525978727396	
5	sentence	5	last	13.718687328522796	
5	sentence	6	.	4.540413527560907	
6	sentence	1	He is	4.918527704441844	
6	sentence	2	hungry	13.513661994915017	
6	sentence	3		0.0	
6	sentence	4	, but not	20.300525978727396	
6	sentence	5	new	13.441412771218154	
6	sentence	6	.	5.2037413248756135	
7	sentence	1	He is	4.918527704441844	
7	sentence	2	hungry	13.513661994915017	
7	sentence	3		0.0	
7	sentence	4	, but not	20.300525978727396	
7	sentence	5	old	10.822333696717665	
7	sentence	6	.	3.7082128696762933	
8	sentence	1	He is	4.918527704441844	
8	sentence	2	hungry	13.513661994915017	
8	sentence	3		0.0	
8	sentence	4	, but not	20.300525978727396	
8	sentence	5	big	9.954715619644968	
8	sentence	6	.	4.666818712153261	
9	sentence	1	He is	4.918527704441844	
9	sentence	2	hungry	13.513661994915017	
9	sentence	3		0.0	
9	sentence	4	, but not	20.300525978727396	
9	sentence	5	nice	12.795638555146411	
9	sentence	6	.	2.6289708286475135	
10	sentence	1	He is	4.918527704441844	
10	sentence	2	hungry	13.513661994915017	
10	sentence	3		0.0	
10	sentence	4	, but not	20.300525978727396	
10	sentence	5	wrong	13.669970834908792	
10	sentence	6	.	2.464346111536569	
11	sentence	1	He is	4.918527704441844	
11	sentence	2	hungry	13.513661994915017	
11	sentence	3		0.0	
11	sentence	4	, but not	20.300525978727396	
11	sentence	5	bad	9.988022467741663	
11	sentence	6	.	3.8594141689047454	
12	sentence	1	He is	4.918527704441844	
12	sentence	2	hungry	13.513661994915017	
12	sentence	3		0.0	
12	sentence	4	, but not	20.300525978727396	
12	sentence	5	same	17.155467547578954	
12	sentence	6	.	5.909196616484467	
13	sentence	1	He is	4.918527704441844	
13	sentence	2	hungry	13.513661994915017	
13	sentence	3		0.0	
13	sentence	4	, but not	20.300525978727396	
13	sentence	5	next	14.81983858341029	
13	sentence	6	.	8.49375877295679	
14	sentence	1	He is	4.918527704441844	
14	sentence	2	hungry	13.513661994915017	
14	sentence	3		0.0	
14	sentence	4	, but not	20.300525978727396	
14	sentence	5	dead	8.877493342867922	
14	sentence	6	.	1.8589680404127364	
15	sentence	1	He is	4.918527704441844	
15	sentence	2	hungry	13.513661994915017	
15	sentence	3		0.0	
15	sentence	4	, but not	20.300525978727396	
15	sentence	5	many	10.861221037869557	
15	sentence	6	.	5.849598436585072	
16	sentence	1	He is	4.918527704441844	
16	sentence	2	hungry	13.513661994915017	
16	sentence	3		0.0	
16	sentence	4	, but not	20.300525978727396	
16	sentence	5	real	12.68180530233213	
16	sentence	6	.	5.48627132802532	
17	sentence	1	He is	4.918527704441844	
17	sentence	2	hungry	13.513661994915017	
17	sentence	3		0.0	
17	sentence	4	, but not	20.300525978727396	
17	sentence	5	live	13.52328201647368	
17	sentence	6	.	5.030056389734565	
18	sentence	1	He is	4.918527704441844	
18	sentence	2	hungry	13.513661994915017	
18	sentence	3		0.0	
18	sentence	4	, but not	20.300525978727396	
18	sentence	5	ready	4.952480519375179	
18	sentence	6	.	4.394527524140021	
19	sentence	1	He is	4.918527704441844	
19	sentence	2	hungry	13.513661994915017	
19	sentence	3		0.0	
19	sentence	4	, but not	20.300525978727396	
19	sentence	5	happy	8.297122065127494	
19	sentence	6	.	2.613284291062317	
20	sentence	1	He is	4.918527704441844	
20	sentence	2	hungry	13.513661994915017	
20	sentence	3		0.0	
20	sentence	4	, but not	20.300525978727396	
20	sentence	5	whole	13.658017352743224	
20	sentence	6	.	3.189057784614578	
21	sentence	1	He is	4.918527704441844	
