item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	Copying is	18.21494671823179	
1	sentence	2	allowed	6.117894811584071	
1	sentence	3		0.0	
1	sentence	4	, but not	15.838115354447966	
1	sentence	5	good	11.2503194026958	
1	sentence	6	.	4.686814791003778	
2	sentence	1	Copying is	18.21494671823179	
2	sentence	2	allowed	6.117894811584071	
2	sentence	3		0.0	
2	sentence	4	, but not	15.838115354447966	
2	sentence	5	little	19.844983148636214	
2	sentence	6	.	6.344778452185909	
3	sentence	1	Copying is	18.21494671823179	
3	sentence	2	allowed	6.117894811584071	
3	sentence	3		0.0	
3	sentence	4	, but not	15.838115354447966	
3	sentence	5	other	11.095364410129616	
3	sentence	6	.	8.905523075305544	
4	sentence	1	Copying is	18.21494671823179	
4	sentence	2	allowed	6.117894811584071	
4	sentence	3		0.0	
4	sentence	4	, but not	15.838115354447966	
4	sentence	5	great	13.94654507885912	
4	sentence	6	.	5.085688649705062	
5	sentence	1	Copying is	18.21494671823179	
5	sentence	2	allowed	6.117894811584071	
5	sentence	3		0.0	
5	sentence	4	, but not	15.838115354447966	
5	sentence	5	last	15.45164918409318	
5	sentence	6	.	5.9032982994904755	
6	sentence	1	Copying is	18.21494671823179	
6	sentence	2	allowed	6.117894811584071	
6	sentence	3		0.0	
6	sentence	4	, but not	15.838115354447966	
6	sentence	5	new	12.678419307901942	
6	sentence	6	.	4.093301974945622	
7	sentence	1	Copying is	18.21494671823179	
7	sentence	2	allowed	6.117894811584071	
7	sentence	3		0.0	
7	sentence	4	, but not	15.838115354447966	
7	sentence	5	old	14.467853386709638	
7	sentence	6	.	5.01238482839311	
8	sentence	1	Copying is	18.21494671823179	
8	sentence	2	allowed	6.117894811584071	
8	sentence	3		0.0	
8	sentence	4	, but not	15.838115354447966	
8	sentence	5	big	16.195208607861893	
8	sentence	6	.	6.36692018658859	
9	sentence	1	Copying is	18.21494671823179	
9	sentence	2	allowed	6.117894811584071	
9	sentence	3		0.0	
9	sentence	4	, but not	15.838115354447966	
9	sentence	5	nice	15.446938235320745	
9	sentence	6	.	3.404979595015722	
10	sentence	1	Copying is	18.21494671823179	
10	sentence	2	allowed	6.117894811584071	
10	sentence	3		0.0	
10	sentence	4	, but not	15.838115354447966	
10	sentence	5	wrong	14.819765662766324	
10	sentence	6	.	3.8020772168988954	
11	sentence	1	Copying is	18.21494671823179	
11	sentence	2	allowed	6.117894811584071	
11	sentence	3		0.0	
11	sentence	4	, but not	15.838115354447966	
11	sentence	5	bad	14.257687835632872	
11	sentence	6	.	5.414059940511647	
12	sentence	1	Copying is	18.21494671823179	
12	sentence	2	allowed	6.117894811584071	
12	sentence	3		0.0	
12	sentence	4	, but not	15.838115354447966	
12	sentence	5	same	12.923850933434032	
12	sentence	6	.	8.708853346807283	
13	sentence	1	Copying is	18.21494671823179	
13	sentence	2	allowed	6.117894811584071	
13	sentence	3		0.0	
13	sentence	4	, but not	15.838115354447966	
13	sentence	5	next	15.881248087336406	
13	sentence	6	.	7.838577793813454	
14	sentence	1	Copying is	18.21494671823179	
14	sentence	2	allowed	6.117894811584071	
14	sentence	3		0.0	
14	sentence	4	, but not	15.838115354447966	
14	sentence	5	dead	15.017295304518898	
14	sentence	6	.	3.25703736702112	
15	sentence	1	Copying is	18.21494671823179	
15	sentence	2	allowed	6.117894811584071	
15	sentence	3		0.0	
15	sentence	4	, but not	15.838115354447966	
15	sentence	5	many	10.638116200072478	
15	sentence	6	.	9.44122289138026	
16	sentence	1	Copying is	18.21494671823179	
16	sentence	2	allowed	6.117894811584071	
16	sentence	3		0.0	
16	sentence	4	, but not	15.838115354447966	
16	sentence	5	real	12.897434398261504	
16	sentence	6	.	6.066521529979539	
17	sentence	1	Copying is	18.21494671823179	
17	sentence	2	allowed	6.117894811584071	
17	sentence	3		0.0	
17	sentence	4	, but not	15.838115354447966	
17	sentence	5	live	14.310586947315858	
17	sentence	6	.	3.267600197471812	
18	sentence	1	Copying is	18.21494671823179	
18	sentence	2	allowed	6.117894811584071	
18	sentence	3		0.0	
18	sentence	4	, but not	15.838115354447966	
18	sentence	5	ready	13.305812018249467	
18	sentence	6	.	4.0125244755577745	
19	sentence	1	Copying is	18.21494671823179	
19	sentence	2	allowed	6.117894811584071	
19	sentence	3		0.0	
19	sentence	4	, but not	15.838115354447966	
19	sentence	5	happy	15.594320487804138	
19	sentence	6	.	3.561029429137298	
20	sentence	1	Copying is	18.21494671823179	
20	sentence	2	allowed	6.117894811584071	
20	sentence	3		0.0	
20	sentence	4	, but not	15.838115354447966	
20	sentence	5	whole	13.969263299107494	
20	sentence	6	.	6.523598445316419	
21	sentence	1	Copying is	18.21494671823179	
21	sentence	2	allowed	6.117894811584071	
21	sentence	3		0.0	
21	sentence	4	, but not	15.838115354447966	
21	sentence	5	hard	10.771079427107532	
21	sentence	6	.	5.111507373183191	
22	sentence	1	Copying is	18.21494671823179	
22	sentence	2	allowed	6.117894811584071	
22	sentence	3		0.0	
22	sentence	4	, but not	15.838115354447966	
22	sentence	5	open	10.826135889162941	
22	sentence	6	.	7.1880788703572085	
23	sentence	1	Copying is	18.21494671823179	
23	sentence	2	allowed	6.117894811584071	
23	sentence	3		0.0	
23	sentence	4	, but not	15.838115354447966	
23	sentence	5	few	18.160708893594485	
23	sentence	6	.	5.862316209651075	
24	sentence	1	Copying is	18.21494671823179	
24	sentence	2	allowed	6.117894811584071	
24	sentence	3		0.0	
24	sentence	4	, but not	15.838115354447966	
24	sentence	5	true	10.118216774097828	
24	sentence	6	.	2.427239134786409	
25	sentence	1	Copying is	18.21494671823179	
25	sentence	2	allowed	6.117894811584071	
25	sentence	3		0.0	
25	sentence	4	, but not	15.838115354447966	
25	sentence	5	young	19.66246690437336	
25	sentence	6	.	6.618818359793122	
26	sentence	1	Copying is	18.21494671823179	
26	sentence	2	allowed	6.117894811584071	
26	sentence	3		0.0	
26	sentence	4	, but not	15.838115354447966	
26	sentence	5	second	14.87614295158036	
26	sentence	6	.	9.73449321107635	
27	sentence	1	Copying is	18.21494671823179	
27	sentence	2	allowed	6.117894811584071	
27	sentence	3		0.0	
27	sentence	4	, but not	15.838115354447966	
27	sentence	5	easy	11.405318422820605	
27	sentence	6	.	5.485598875860446	
28	sentence	1	Copying is	18.21494671823179	
28	sentence	2	allowed	6.117894811584071	
28	sentence	3		0.0	
28	sentence	4	, but not	15.838115354447966	
28	sentence	5	different	14.503933970999448	
28	sentence	6	.	7.648355350930739	
29	sentence	1	Copying is	18.21494671823179	
29	sentence	2	allowed	6.117894811584071	
29	sentence	3		0.0	
29	sentence	4	, but not	15.838115354447966	
29	sentence	5	married	14.574267995896303	
29	sentence	6	.	5.017848373245719	
30	sentence	1	Copying is	18.21494671823179	
30	sentence	2	allowed	6.117894811584071	
30	sentence	3		0.0	
30	sentence	4	, but not	15.838115354447966	
30	sentence	5	important	13.408660395187841	
30	sentence	6	.	3.1447949537273185	
31	sentence	1	Copying is	18.21494671823179	
31	sentence	2	allowed	6.117894811584071	
31	sentence	3		0.0	
31	sentence	4	, but not	15.838115354447966	
31	sentence	5	able	11.453374503055294	
31	sentence	6	.	6.248130393776441	
32	sentence	1	Copying is	18.21494671823179	
32	sentence	2	allowed	6.117894811584071	
32	sentence	3		0.0	
32	sentence	4	, but not	15.838115354447966	
32	sentence	5	high	14.350387860309134	
32	sentence	6	.	8.611427238885312	
33	sentence	1	Copying is	18.21494671823179	
33	sentence	2	allowed	6.117894811584071	
33	sentence	3		0.0	
33	sentence	4	, but not	15.838115354447966	
33	sentence	5	free	9.287989101183912	
33	sentence	6	.	2.6570136317666	
34	sentence	1	Copying is	18.21494671823179	
34	sentence	2	allowed	6.117894811584071	
34	sentence	3		0.0	
34	sentence	4	, but not	15.838115354447966	
34	sentence	5	stupid	17.830612272834447	
34	sentence	6	.	4.312883232191825	
35	sentence	1	Copying is	18.21494671823179	
35	sentence	2	allowed	6.117894811584071	
35	sentence	3		0.0	
35	sentence	4	, but not	15.838115354447966	
35	sentence	5	full	11.519988199248683	
35	sentence	6	.	6.13763222852769	
36	sentence	1	Copying is	18.21494671823179	
36	sentence	2	allowed	6.117894811584071	
36	sentence	3		0.0	
36	sentence	4	, but not	15.838115354447966	
36	sentence	5	hot	15.823593999322366	
36	sentence	6	.	7.900899490971912	
37	sentence	1	Copying is	18.21494671823179	
37	sentence	2	allowed	6.117894811584071	
37	sentence	3		0.0	
37	sentence	4	, but not	15.838115354447966	
37	sentence	5	clear	14.59361810791018	
37	sentence	6	.	3.2879257950813825	
