item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The film was	15.20474882672272	
1	sentence	2	emotional	16.450818854602648	
1	sentence	3		0.0	
1	sentence	4	, but not	20.111071954328736	
1	sentence	5	good	10.046399570819933	
1	sentence	6	.	5.3422399855113385	
2	sentence	1	The film was	15.20474882672272	
2	sentence	2	emotional	16.450818854602648	
2	sentence	3		0.0	
2	sentence	4	, but not	20.111071954328736	
2	sentence	5	little	15.824301191982713	
2	sentence	6	.	5.513699809115524	
3	sentence	1	The film was	15.20474882672272	
3	sentence	2	emotional	16.450818854602648	
3	sentence	3		0.0	
3	sentence	4	, but not	20.111071954328736	
3	sentence	5	other	14.4677460695355	
3	sentence	6	.	10.991403649405463	
4	sentence	1	The film was	15.20474882672272	
4	sentence	2	emotional	16.450818854602648	
4	sentence	3		0.0	
4	sentence	4	, but not	20.111071954328736	
4	sentence	5	great	8.87899784709767	
4	sentence	6	.	3.9609970974980704	
5	sentence	1	The film was	15.20474882672272	
5	sentence	2	emotional	16.450818854602648	
5	sentence	3		0.0	
5	sentence	4	, but not	20.111071954328736	
5	sentence	5	last	10.96319643087215	
5	sentence	6	.	10.156658336218682	
6	sentence	1	The film was	15.20474882672272	
6	sentence	2	emotional	16.450818854602648	
6	sentence	3		0.0	
6	sentence	4	, but not	20.111071954328736	
6	sentence	5	new	12.467078771354482	
6	sentence	6	.	6.447417698220833	
7	sentence	1	The film was	15.20474882672272	
7	sentence	2	emotional	16.450818854602648	
7	sentence	3		0.0	
7	sentence	4	, but not	20.111071954328736	
7	sentence	5	old	13.91075342542276	
7	sentence	6	.	8.62201105121941	
8	sentence	1	The film was	15.20474882672272	
8	sentence	2	emotional	16.450818854602648	
8	sentence	3		0.0	
8	sentence	4	, but not	20.111071954328736	
8	sentence	5	big	11.147517805038461	
8	sentence	6	.	6.6228482572681395	
9	sentence	1	The film was	15.20474882672272	
9	sentence	2	emotional	16.450818854602648	
9	sentence	3		0.0	
9	sentence	4	, but not	20.111071954328736	
9	sentence	5	nice	13.07224857148812	
9	sentence	6	.	3.9122379521866537	
10	sentence	1	The film was	15.20474882672272	
10	sentence	2	emotional	16.450818854602648	
10	sentence	3		0.0	
10	sentence	4	, but not	20.111071954328736	
10	sentence	5	wrong	11.628309752068116	
10	sentence	6	.	4.61993039411793	
11	sentence	1	The film was	15.20474882672272	
11	sentence	2	emotional	16.450818854602648	
11	sentence	3		0.0	
11	sentence	4	, but not	20.111071954328736	
11	sentence	5	bad	7.622352262050886	
11	sentence	6	.	5.544969350730098	
12	sentence	1	The film was	15.20474882672272	
12	sentence	2	emotional	16.450818854602648	
12	sentence	3		0.0	
12	sentence	4	, but not	20.111071954328736	
12	sentence	5	same	17.578061941417843	
12	sentence	6	.	8.58097943037656	
13	sentence	1	The film was	15.20474882672272	
13	sentence	2	emotional	16.450818854602648	
13	sentence	3		0.0	
13	sentence	4	, but not	20.111071954328736	
13	sentence	5	next	14.376829160983384	
13	sentence	6	.	15.387883520598077	
14	sentence	1	The film was	15.20474882672272	
14	sentence	2	emotional	16.450818854602648	
14	sentence	3		0.0	
14	sentence	4	, but not	20.111071954328736	
14	sentence	5	dead	11.860301965331182	
14	sentence	6	.	5.172958838128283	
15	sentence	1	The film was	15.20474882672272	
15	sentence	2	emotional	16.450818854602648	
15	sentence	3		0.0	
15	sentence	4	, but not	20.111071954328736	
15	sentence	5	many	9.741882961618623	
15	sentence	6	.	14.0499726933656	
16	sentence	1	The film was	15.20474882672272	
16	sentence	2	emotional	16.450818854602648	
16	sentence	3		0.0	
16	sentence	4	, but not	20.111071954328736	
16	sentence	5	real	11.414588975632713	
16	sentence	6	.	5.157345565152354	
17	sentence	1	The film was	15.20474882672272	
17	sentence	2	emotional	16.450818854602648	
17	sentence	3		0.0	
17	sentence	4	, but not	20.111071954328736	
17	sentence	5	live	14.785900215019627	
17	sentence	6	.	6.405006088587461	
18	sentence	1	The film was	15.20474882672272	
18	sentence	2	emotional	16.450818854602648	
18	sentence	3		0.0	
18	sentence	4	, but not	20.111071954328736	
18	sentence	5	ready	13.15896084819194	
18	sentence	6	.	7.866729977898489	
19	sentence	1	The film was	15.20474882672272	
19	sentence	2	emotional	16.450818854602648	
19	sentence	3		0.0	
19	sentence	4	, but not	20.111071954328736	
19	sentence	5	happy	12.070929805773467	
19	sentence	6	.	4.578462625272493	
20	sentence	1	The film was	15.20474882672272	
20	sentence	2	emotional	16.450818854602648	
20	sentence	3		0.0	
20	sentence	4	, but not	20.111071954328736	
20	sentence	5	whole	13.837018271622442	
20	sentence	6	.	5.965066900443758	
21	sentence	1	The film was	15.20474882672272	
21	sentence	2	emotional	16.450818854602648	
21	sentence	3		0.0	
21	sentence	4	, but not	20.111071954328736	
21	sentence	5	hard	9.880371647260597	
21	sentence	6	.	6.95475688723767	
22	sentence	1	The film was	15.20474882672272	
22	sentence	2	emotional	16.450818854602648	
22	sentence	3		0.0	
