item_number	condition_name	region_number	content	metric_value	oovs
2	sentence	1	The layout is	17.61008390712994	
2	sentence	2	good	8.236143896437577	
2	sentence	3		0.0	
2	sentence	4	, but not	16.002467651039947	
2	sentence	5	little	17.64942098291384	
2	sentence	6	.	4.1330953207022585	
3	sentence	1	The layout is	17.61008390712994	
3	sentence	2	good	8.236143896437577	
3	sentence	3		0.0	
3	sentence	4	, but not	16.002467651039947	
3	sentence	5	other	13.645488760593171	
3	sentence	6	.	9.779589813854992	
4	sentence	1	The layout is	17.61008390712994	
4	sentence	2	good	8.236143896437577	
4	sentence	3		0.0	
4	sentence	4	, but not	16.002467651039947	
4	sentence	5	great	2.8892916801954005	
4	sentence	6	.	3.1839347654106764	
5	sentence	1	The layout is	17.61008390712994	
5	sentence	2	good	8.236143896437577	
5	sentence	3		0.0	
5	sentence	4	, but not	16.002467651039947	
5	sentence	5	last	12.195132924504174	
5	sentence	6	.	6.968720502626523	
6	sentence	1	The layout is	17.61008390712994	
6	sentence	2	good	8.236143896437577	
6	sentence	3		0.0	
6	sentence	4	, but not	16.002467651039947	
6	sentence	5	new	11.270620234803646	
6	sentence	6	.	4.384224731457434	
7	sentence	1	The layout is	17.61008390712994	
7	sentence	2	good	8.236143896437577	
7	sentence	3		0.0	
7	sentence	4	, but not	16.002467651039947	
7	sentence	5	old	14.73766940041166	
7	sentence	6	.	5.363525934243326	
8	sentence	1	The layout is	17.61008390712994	
8	sentence	2	good	8.236143896437577	
8	sentence	3		0.0	
8	sentence	4	, but not	16.002467651039947	
8	sentence	5	big	11.123909402589222	
8	sentence	6	.	5.995819462209839	
9	sentence	1	The layout is	17.61008390712994	
9	sentence	2	good	8.236143896437577	
9	sentence	3		0.0	
9	sentence	4	, but not	16.002467651039947	
9	sentence	5	nice	9.334750496022906	
9	sentence	6	.	2.960091778076093	
10	sentence	1	The layout is	17.61008390712994	
10	sentence	2	good	8.236143896437577	
10	sentence	3		0.0	
10	sentence	4	, but not	16.002467651039947	
10	sentence	5	wrong	14.410027316044735	
10	sentence	6	.	3.17390920876128	
11	sentence	1	The layout is	17.61008390712994	
11	sentence	2	good	8.236143896437577	
11	sentence	3		0.0	
11	sentence	4	, but not	16.002467651039947	
11	sentence	5	bad	7.728922343553931	
11	sentence	6	.	3.5661410974862426	
12	sentence	1	The layout is	17.61008390712994	
12	sentence	2	good	8.236143896437577	
12	sentence	3		0.0	
12	sentence	4	, but not	16.002467651039947	
12	sentence	5	same	15.69780038503648	
12	sentence	6	.	6.145772511358329	
13	sentence	1	The layout is	17.61008390712994	
