item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The fish is	19.42139675886715	
1	sentence	2	small	7.942328047772952	
1	sentence	3		0.0	
1	sentence	4	, but not	19.69377754984149	
1	sentence	5	good	11.232753094736672	
1	sentence	6	.	6.372162905717492	
2	sentence	1	The fish is	19.42139675886715	
2	sentence	2	small	7.942328047772952	
2	sentence	3		0.0	
2	sentence	4	, but not	19.69377754984149	
2	sentence	5	little	13.882695487830397	
2	sentence	6	.	3.1118396381689872	
3	sentence	1	The fish is	19.42139675886715	
3	sentence	2	small	7.942328047772952	
3	sentence	3		0.0	
3	sentence	4	, but not	19.69377754984149	
3	sentence	5	other	13.59682454970503	
3	sentence	6	.	11.139213794724201	
4	sentence	1	The fish is	19.42139675886715	
4	sentence	2	small	7.942328047772952	
4	sentence	3		0.0	
4	sentence	4	, but not	19.69377754984149	
4	sentence	5	great	9.548049570998392	
4	sentence	6	.	4.062214734940962	
5	sentence	1	The fish is	19.42139675886715	
5	sentence	2	small	7.942328047772952	
5	sentence	3		0.0	
5	sentence	4	, but not	19.69377754984149	
5	sentence	5	last	13.719067066215901	
5	sentence	6	.	9.315700321752134	
6	sentence	1	The fish is	19.42139675886715	
6	sentence	2	small	7.942328047772952	
6	sentence	3		0.0	
6	sentence	4	, but not	19.69377754984149	
6	sentence	5	new	14.18911628894206	
6	sentence	6	.	5.037795609023391	
7	sentence	1	The fish is	19.42139675886715	
7	sentence	2	small	7.942328047772952	
7	sentence	3		0.0	
7	sentence	4	, but not	19.69377754984149	
7	sentence	5	old	12.824283985474121	
7	sentence	6	.	4.621651252522463	
8	sentence	1	The fish is	19.42139675886715	
8	sentence	2	small	7.942328047772952	
8	sentence	3		0.0	
8	sentence	4	, but not	19.69377754984149	
8	sentence	5	big	6.1968148983426	
8	sentence	6	.	4.366660487290116	
9	sentence	1	The fish is	19.42139675886715	
9	sentence	2	small	7.942328047772952	
9	sentence	3		0.0	
9	sentence	4	, but not	19.69377754984149	
9	sentence	5	nice	15.872961275287233	
9	sentence	6	.	4.146552963132273	
10	sentence	1	The fish is	19.42139675886715	
10	sentence	2	small	7.942328047772952	
10	sentence	3		0.0	
10	sentence	4	, but not	19.69377754984149	
10	sentence	5	wrong	13.371590566690267	
10	sentence	6	.	4.803199578426262	
11	sentence	1	The fish is	19.42139675886715	
11	sentence	2	small	7.942328047772952	
11	sentence	3		0.0	
11	sentence	4	, but not	19.69377754984149	
11	sentence	5	bad	6.908157156090487	
11	sentence	6	.	5.79121858178439	
12	sentence	1	The fish is	19.42139675886715	
12	sentence	2	small	7.942328047772952	
12	sentence	3		0.0	
12	sentence	4	, but not	19.69377754984149	
12	sentence	5	same	17.679764225970867	
12	sentence	6	.	8.322027904694844	
13	sentence	1	The fish is	19.42139675886715	
13	sentence	2	small	7.942328047772952	
13	sentence	3		0.0	
13	sentence	4	, but not	19.69377754984149	
13	sentence	5	next	16.57856894352475	
13	sentence	6	.	14.166645723710928	
14	sentence	1	The fish is	19.42139675886715	
14	sentence	2	small	7.942328047772952	
14	sentence	3		0.0	
14	sentence	4	, but not	19.69377754984149	
14	sentence	5	dead	8.777556288243355	
14	sentence	6	.	3.4305685496722975	
15	sentence	1	The fish is	19.42139675886715	
15	sentence	2	small	7.942328047772952	
15	sentence	3		0.0	
15	sentence	4	, but not	19.69377754984149	
15	sentence	5	many	10.191952615828749	
15	sentence	6	.	5.955553508128631	
16	sentence	1	The fish is	19.42139675886715	
16	sentence	2	small	7.942328047772952	
16	sentence	3		0.0	
16	sentence	4	, but not	19.69377754984149	
16	sentence	5	real	14.33355970188751	
16	sentence	6	.	4.879251682499002	
17	sentence	1	The fish is	19.42139675886715	
17	sentence	2	small	7.942328047772952	
17	sentence	3		0.0	
17	sentence	4	, but not	19.69377754984149	
17	sentence	5	live	13.236227837710375	
17	sentence	6	.	5.355000754240057	
18	sentence	1	The fish is	19.42139675886715	
18	sentence	2	small	7.942328047772952	
18	sentence	3		0.0	
18	sentence	4	, but not	19.69377754984149	
18	sentence	5	ready	12.12326619022283	
18	sentence	6	.	7.368644831359278	
19	sentence	1	The fish is	19.42139675886715	
19	sentence	2	small	7.942328047772952	
19	sentence	3		0.0	
19	sentence	4	, but not	19.69377754984149	
19	sentence	5	happy	14.757534084516918	
19	sentence	6	.	4.101593258543718	
20	sentence	1	The fish is	19.42139675886715	
20	sentence	2	small	7.942328047772952	
20	sentence	3		0.0	
20	sentence	4	, but not	19.69377754984149	
20	sentence	5	whole	11.845353233318187	
20	sentence	6	.	3.0955219242551237	
21	sentence	1	The fish is	19.42139675886715	
21	sentence	2	small	7.942328047772952	
21	sentence	3		0.0	
21	sentence	4	, but not	19.69377754984149	
21	sentence	5	hard	8.193233537116704	
21	sentence	6	.	5.080648870104179	
22	sentence	1	The fish is	19.42139675886715	
22	sentence	2	small	7.942328047772952	
22	sentence	3		0.0	
22	sentence	4	, but not	19.69377754984149	
22	sentence	5	open	13.947493047230676	
22	sentence	6	.	5.2657331593097165	
23	sentence	1	The fish is	19.42139675886715	
23	sentence	2	small	7.942328047772952	
23	sentence	3		0.0	
23	sentence	4	, but not	19.69377754984149	
23	sentence	5	few	15.151745837518614	
23	sentence	6	.	3.752545869485105	
24	sentence	1	The fish is	19.42139675886715	
24	sentence	2	small	7.942328047772952	
24	sentence	3		0.0	
24	sentence	4	, but not	19.69377754984149	
24	sentence	5	true	14.314726913687428	
24	sentence	6	.	4.367818618461027	
