item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The homemaker is	24.753870881531896	
1	sentence	2	content	12.378273809754962	
1	sentence	3		0.0	
1	sentence	4	, but not	22.833666354487647	
1	sentence	5	good	11.117262617098676	
1	sentence	6	.	4.628183497567535	
2	sentence	1	The homemaker is	24.753870881531896	
2	sentence	2	content	12.378273809754962	
2	sentence	3		0.0	
2	sentence	4	, but not	22.833666354487647	
2	sentence	5	little	15.902364805139946	
2	sentence	6	.	4.817520917728909	
3	sentence	1	The homemaker is	24.753870881531896	
3	sentence	2	content	12.378273809754962	
3	sentence	3		0.0	
3	sentence	4	, but not	22.833666354487647	
3	sentence	5	other	13.330682085425437	
3	sentence	6	.	7.60599602402323	
4	sentence	1	The homemaker is	24.753870881531896	
4	sentence	2	content	12.378273809754962	
4	sentence	3		0.0	
4	sentence	4	, but not	22.833666354487647	
4	sentence	5	great	13.387950932301544	
4	sentence	6	.	4.230189502108064	
5	sentence	1	The homemaker is	24.753870881531896	
5	sentence	2	content	12.378273809754962	
5	sentence	3		0.0	
5	sentence	4	, but not	22.833666354487647	
5	sentence	5	last	16.618307942763714	
5	sentence	6	.	4.428852509529824	
6	sentence	1	The homemaker is	24.753870881531896	
6	sentence	2	content	12.378273809754962	
6	sentence	3		0.0	
6	sentence	4	, but not	22.833666354487647	
6	sentence	5	new	11.952245266343647	
6	sentence	6	.	4.624420517166656	
7	sentence	1	The homemaker is	24.753870881531896	
7	sentence	2	content	12.378273809754962	
7	sentence	3		0.0	
7	sentence	4	, but not	22.833666354487647	
7	sentence	5	old	13.787655123241196	
7	sentence	6	.	4.724929586087994	
8	sentence	1	The homemaker is	24.753870881531896	
8	sentence	2	content	12.378273809754962	
8	sentence	3		0.0	
8	sentence	4	, but not	22.833666354487647	
8	sentence	5	big	14.228855288181023	
8	sentence	6	.	6.651039653397571	
9	sentence	1	The homemaker is	24.753870881531896	
9	sentence	2	content	12.378273809754962	
9	sentence	3		0.0	
9	sentence	4	, but not	22.833666354487647	
9	sentence	5	nice	13.719797648516765	
9	sentence	6	.	2.8901828942921717	
10	sentence	1	The homemaker is	24.753870881531896	
10	sentence	2	content	12.378273809754962	
10	sentence	3		0.0	
10	sentence	4	, but not	22.833666354487647	
10	sentence	5	wrong	14.516300211527088	
10	sentence	6	.	2.5617447022344013	
11	sentence	1	The homemaker is	24.753870881531896	
11	sentence	2	content	12.378273809754962	
11	sentence	3		0.0	
11	sentence	4	, but not	22.833666354487647	
11	sentence	5	bad	13.885088110469201	
11	sentence	6	.	4.824962263066441	
12	sentence	1	The homemaker is	24.753870881531896	
12	sentence	2	content	12.378273809754962	
12	sentence	3		0.0	
12	sentence	4	, but not	22.833666354487647	
12	sentence	5	same	16.19947377760329	
12	sentence	6	.	5.252205691923451	
13	sentence	1	The homemaker is	24.753870881531896	
13	sentence	2	content	12.378273809754962	
13	sentence	3		0.0	
13	sentence	4	, but not	22.833666354487647	
13	sentence	5	next	15.487438085807126	
13	sentence	6	.	6.533461994308703	
14	sentence	1	The homemaker is	24.753870881531896	
14	sentence	2	content	12.378273809754962	
14	sentence	3		0.0	
14	sentence	4	, but not	22.833666354487647	
14	sentence	5	dead	10.716094509834882	
14	sentence	6	.	3.056248997999998	
15	sentence	1	The homemaker is	24.753870881531896	
15	sentence	2	content	12.378273809754962	
15	sentence	3		0.0	
15	sentence	4	, but not	22.833666354487647	
15	sentence	5	many	12.414468590524944	
15	sentence	6	.	10.745211860556559	
16	sentence	1	The homemaker is	24.753870881531896	
16	sentence	2	content	12.378273809754962	
16	sentence	3		0.0	
16	sentence	4	, but not	22.833666354487647	
16	sentence	5	real	12.397011663531766	
16	sentence	6	.	5.217408442174379	
