item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The sales will	20.25669791998152	
1	sentence	2	double	9.518686629051283	
1	sentence	3		0.0	
1	sentence	4	, but not	22.1399330563963	
1	sentence	5	have	10.365574605319582	
1	sentence	6	.	10.315665927969798	
2	sentence	1	The sales will	20.25669791998152	
2	sentence	2	double	9.518686629051283	
2	sentence	3		0.0	
2	sentence	4	, but not	22.1399330563963	
2	sentence	5	know	14.946796176277216	
2	sentence	6	.	7.266306898928665	
3	sentence	1	The sales will	20.25669791998152	
3	sentence	2	double	9.518686629051283	
3	sentence	3		0.0	
3	sentence	4	, but not	22.1399330563963	
3	sentence	5	get	10.004328486835268	
3	sentence	6	.	12.853398584473384	
4	sentence	1	The sales will	20.25669791998152	
4	sentence	2	double	9.518686629051283	
4	sentence	3		0.0	
4	sentence	4	, but not	22.1399330563963	
4	sentence	5	go	8.943968765010018	
4	sentence	6	.	14.138787285993567	
5	sentence	1	The sales will	20.25669791998152	
5	sentence	2	double	9.518686629051283	
5	sentence	3		0.0	
5	sentence	4	, but not	22.1399330563963	
5	sentence	5	come	10.558327256961789	
5	sentence	6	.	15.802448388433481	
6	sentence	1	The sales will	20.25669791998152	
6	sentence	2	double	9.518686629051283	
6	sentence	3		0.0	
6	sentence	4	, but not	22.1399330563963	
6	sentence	5	see	11.400090150234375	
6	sentence	6	.	10.55661706148161	
7	sentence	1	The sales will	20.25669791998152	
7	sentence	2	double	9.518686629051283	
7	sentence	3		0.0	
7	sentence	4	, but not	22.1399330563963	
7	sentence	5	let	12.003597910030074	
7	sentence	6	.	12.421640954996528	
8	sentence	1	The sales will	20.25669791998152	
8	sentence	2	double	9.518686629051283	
8	sentence	3		0.0	
8	sentence	4	, but not	22.1399330563963	
8	sentence	5	take	8.823399295726741	
8	sentence	6	.	12.706041097491715	
9	sentence	1	The sales will	20.25669791998152	
9	sentence	2	double	9.518686629051283	
9	sentence	3		0.0	
9	sentence	4	, but not	22.1399330563963	
9	sentence	5	say	13.156217380945376	
9	sentence	6	.	7.81329428034481	
10	sentence	1	The sales will	20.25669791998152	
10	sentence	2	double	9.518686629051283	
10	sentence	3		0.0	
10	sentence	4	, but not	22.1399330563963	
10	sentence	5	make	9.518902639260768	
10	sentence	6	.	8.38822815459556	
11	sentence	1	The sales will	20.25669791998152	
11	sentence	2	double	9.518686629051283	
11	sentence	3		0.0	
11	sentence	4	, but not	22.1399330563963	
11	sentence	5	give	12.588129792060174	
11	sentence	6	.	12.660746370699279	
12	sentence	1	The sales will	20.25669791998152	
12	sentence	2	double	9.518686629051283	
12	sentence	3		0.0	
12	sentence	4	, but not	22.1399330563963	
12	sentence	5	find	14.571064991006633	
12	sentence	6	.	9.472659944096774	
13	sentence	1	The sales will	20.25669791998152	
13	sentence	2	double	9.518686629051283	
13	sentence	3		0.0	
13	sentence	4	, but not	22.1399330563963	
13	sentence	5	keep	10.401346996699045	
13	sentence	6	.	8.475309850033433	
14	sentence	1	The sales will	20.25669791998152	
14	sentence	2	double	9.518686629051283	
14	sentence	3		0.0	
14	sentence	4	, but not	22.1399330563963	
14	sentence	5	leave	12.748081912529829	
14	sentence	6	.	9.883355202287765	
15	sentence	1	The sales will	20.25669791998152	
15	sentence	2	double	9.518686629051283	
15	sentence	3		0.0	
15	sentence	4	, but not	22.1399330563963	
15	sentence	5	believe	16.830074996285315	
15	sentence	6	.	11.402894155374042	
16	sentence	1	The sales will	20.25669791998152	
16	sentence	2	double	9.518686629051283	
16	sentence	3		0.0	
16	sentence	4	, but not	22.1399330563963	
16	sentence	5	remember	15.416658281879236	
16	sentence	6	.	4.798854608734863	
17	sentence	1	The sales will	20.25669791998152	
17	sentence	2	double	9.518686629051283	
17	sentence	3		0.0	
17	sentence	4	, but not	22.1399330563963	
17	sentence	5	run	12.377325841383406	
17	sentence	6	.	8.661507210955355	
18	sentence	1	The sales will	20.25669791998152	
18	sentence	2	double	9.518686629051283	
18	sentence	3		0.0	
18	sentence	4	, but not	22.1399330563963	
18	sentence	5	happen	11.705575365725345	
18	sentence	6	.	8.486370398275723	
19	sentence	1	The sales will	20.25669791998152	
19	sentence	2	double	9.518686629051283	
19	sentence	3		0.0	
19	sentence	4	, but not	22.1399330563963	
19	sentence	5	buy	11.162539457695422	
19	sentence	6	.	6.2566290884514775	
20	sentence	1	The sales will	20.25669791998152	
20	sentence	2	double	9.518686629051283	
20	sentence	3		0.0	
20	sentence	4	, but not	22.1399330563963	
20	sentence	5	save	12.43663096284573	
20	sentence	6	.	7.577676672801556	
21	sentence	1	The sales will	20.25669791998152	
21	sentence	2	double	9.518686629051283	
21	sentence	3		0.0	
21	sentence	4	, but not	22.1399330563963	
21	sentence	5	lose	12.213411240637873	
21	sentence	6	.	6.341056747621238	
22	sentence	1	The sales will	20.25669791998152	
22	sentence	2	double	9.518686629051283	
22	sentence	3		0.0	
22	sentence	4	, but not	22.1399330563963	
22	sentence	5	follow	11.14089991263326	
22	sentence	6	.	6.614078517935343	
23	sentence	1	The sales will	20.25669791998152	
23	sentence	2	double	9.518686629051283	
23	sentence	3		0.0	
23	sentence	4	, but not	22.1399330563963	
23	sentence	5	expect	14.065320425128597	
23	sentence	6	.	12.419341890919792	
24	sentence	1	The sales will	20.25669791998152	
24	sentence	2	double	9.518686629051283	
24	sentence	3		0.0	
24	sentence	4	, but not	22.1399330563963	
24	sentence	5	realize	14.147409808177226	
24	sentence	6	.	6.355979338271302	
25	sentence	1	The sales will	20.25669791998152	
25	sentence	2	double	9.518686629051283	
25	sentence	3		0.0	
25	sentence	4	, but not	22.1399330563963	
25	sentence	5	slow	13.4879650351537	
25	sentence	6	.	5.621305914107366	
26	sentence	1	The sales will	20.25669791998152	
26	sentence	2	double	9.518686629051283	
26	sentence	3		0.0	
26	sentence	4	, but not	22.1399330563963	
26	sentence	5	allow	12.884303178902828	
26	sentence	6	.	12.22152331831377	
27	sentence	1	The sales will	20.25669791998152	
27	sentence	2	double	9.518686629051283	
27	sentence	3		0.0	
27	sentence	4	, but not	22.1399330563963	
27	sentence	5	consider	14.83089362820775	
27	sentence	6	.	8.042128892138036	
28	sentence	1	The sales will	20.25669791998152	
28	sentence	2	double	9.518686629051283	
28	sentence	3		0.0	
28	sentence	4	, but not	22.1399330563963	
28	sentence	5	apologize	18.97021059328762	
28	sentence	6	.	5.547360941472997	
29	sentence	1	The sales will	20.25669791998152	
29	sentence	2	double	9.518686629051283	
29	sentence	3		0.0	
29	sentence	4	, but not	22.1399330563963	
29	sentence	5	recognize	17.38013329991527	
29	sentence	6	.	6.479136802484763	
30	sentence	1	The sales will	20.25669791998152	
30	sentence	2	double	9.518686629051283	
30	sentence	3		0.0	
30	sentence	4	, but not	22.1399330563963	
30	sentence	5	settle	18.78727608721787	
30	sentence	6	.	6.034730193002248	
31	sentence	1	The sales will	20.25669791998152	
31	sentence	2	double	9.518686629051283	
31	sentence	3		0.0	
31	sentence	4	, but not	22.1399330563963	
31	sentence	5	add	10.77628568591445	
31	sentence	6	.	8.57846366815974	
32	sentence	1	The sales will	20.25669791998152	
32	sentence	2	double	9.518686629051283	
32	sentence	3		0.0	
32	sentence	4	, but not	22.1399330563963	
32	sentence	5	assume	15.678908434804502	
32	sentence	6	.	7.224178028773312	
33	sentence	1	The sales will	20.25669791998152	
33	sentence	2	double	9.518686629051283	
33	sentence	3		0.0	
33	sentence	4	, but not	22.1399330563963	
33	sentence	5	appear	14.497891188578732	
33	sentence	6	.	11.539139499318162	
34	sentence	1	The sales will	20.25669791998152	
34	sentence	2	double	9.518686629051283	
34	sentence	3		0.0	
34	sentence	4	, but not	22.1399330563963	
34	sentence	5	remove	14.394448439598978	
34	sentence	6	.	4.694450132771483	
35	sentence	1	The sales will	20.25669791998152	
35	sentence	2	double	9.518686629051283	
35	sentence	3		0.0	
35	sentence	4	, but not	22.1399330563963	
35	sentence	5	identify	18.871676917094096	
35	sentence	6	.	7.79617787900034	
36	sentence	1	The sales will	20.25669791998152	
36	sentence	2	double	9.518686629051283	
36	sentence	3		0.0	
36	sentence	4	, but not	22.1399330563963	
36	sentence	5	replace	11.159039266785063	
36	sentence	6	.	5.392784310738711	
37	sentence	1	The sales will	20.25669791998152	
37	sentence	2	double	9.518686629051283	
37	sentence	3		0.0	
37	sentence	4	, but not	22.1399330563963	
37	sentence	5	apply	15.604810053645563	
37	sentence	6	.	7.6006473635813965	
38	sentence	1	The sales will	20.25669791998152	
38	sentence	2	double	9.518686629051283	
38	sentence	3		0.0	
38	sentence	4	, but not	22.1399330563963	
38	sentence	5	succeed	14.751291802221202	
38	sentence	6	.	4.686741870359812	
39	sentence	1	The sales will	20.25669791998152	
39	sentence	2	double	9.518686629051283	
39	sentence	3		0.0	
39	sentence	4	, but not	22.1399330563963	
39	sentence	5	develop	15.773721782294565	
39	sentence	6	.	6.683452879640383	
40	sentence	1	The sales will	20.25669791998152	
40	sentence	2	double	9.518686629051283	
40	sentence	3		0.0	
40	sentence	4	, but not	22.1399330563963	
40	sentence	5	approve	17.49456092477093	
40	sentence	6	.	4.493451256985705	
41	sentence	1	The sales will	20.25669791998152	
41	sentence	2	double	9.518686629051283	
41	sentence	3		0.0	
41	sentence	4	, but not	22.1399330563963	
41	sentence	5	expose	19.93472231999522	
41	sentence	6	.	11.121024221638347	
42	sentence	1	The sales will	20.25669791998152	
42	sentence	2	double	9.518686629051283	
42	sentence	3		0.0	
42	sentence	4	, but not	22.1399330563963	
42	sentence	5	establish	16.512570257290847	
42	sentence	6	.	8.90162938809001	
43	sentence	1	The sales will	20.25669791998152	
43	sentence	2	double	9.518686629051283	
43	sentence	3		0.0	
43	sentence	4	, but not	22.1399330563963	
43	sentence	5	reduce	11.566866542290265	
43	sentence	6	.	5.1831807989649645	
44	sentence	1	The sales will	20.25669791998152	
44	sentence	2	double	9.518686629051283	
44	sentence	3		0.0	
44	sentence	4	, but not	22.1399330563963	
44	sentence	5	participate	15.39686789427915	
44	sentence	6	.	7.46368725974029	
45	sentence	1	The sales will	20.25669791998152	
45	sentence	2	double	9.518686629051283	
45	sentence	3		0.0	
45	sentence	4	, but not	22.1399330563963	
45	sentence	5	organize	20.296144548714015	
45	sentence	6	.	5.509705340066584	
46	sentence	1	The sales will	20.25669791998152	
46	sentence	2	double	9.518686629051283	
46	sentence	3		0.0	
46	sentence	4	, but not	22.1399330563963	
46	sentence	5	obtain	17.17549320744542	
46	sentence	6	.	6.960191539004935	
47	sentence	1	The sales will	20.25669791998152	
47	sentence	2	double	9.518686629051283	
47	sentence	3		0.0	
47	sentence	4	, but not	22.1399330563963	
47	sentence	5	kitten	25.396801880419574	
47	sentence	6	.	7.956405859641978	
48	sentence	1	The sales will	20.25669791998152	
48	sentence	2	double	9.518686629051283	
48	sentence	3		0.0	
48	sentence	4	, but not	22.1399330563963	
48	sentence	5	acquire	18.576516164099722	
48	sentence	6	.	4.7910249265716836	
49	sentence	1	The sales will	20.25669791998152	
49	sentence	2	double	9.518686629051283	
49	sentence	3		0.0	
49	sentence	4	, but not	22.1399330563963	
49	sentence	5	qualify	16.47532294269758	
49	sentence	6	.	7.1808156990459695	
50	sentence	1	The sales will	20.25669791998152	
50	sentence	2	double	9.518686629051283	
50	sentence	3		0.0	
50	sentence	4	, but not	22.1399330563963	
50	sentence	5	criticize	22.853199112076737	
50	sentence	6	.	6.368906930171358	
51	sentence	1	The sales will	20.25669791998152	
51	sentence	2	double	9.518686629051283	
51	sentence	3		0.0	
51	sentence	4	, but not	22.1399330563963	
51	sentence	5	rave	16.277991424958802	
51	sentence	6	.	5.615644933171566	
52	sentence	1	The sales will	20.25669791998152	
52	sentence	2	double	9.518686629051283	
52	sentence	3		0.0	
52	sentence	4	, but not	22.1399330563963	
52	sentence	5	enlighten	22.416482556342732	
52	sentence	6	.	7.070550054341186	
53	sentence	1	The sales will	20.25669791998152	
53	sentence	2	double	9.518686629051283	
53	sentence	3		0.0	
53	sentence	4	, but not	22.1399330563963	
53	sentence	5	disclose	15.947036266805656	
53	sentence	6	.	6.826471588306084	
54	sentence	1	The sales will	20.25669791998152	
54	sentence	2	double	9.518686629051283	
54	sentence	3		0.0	
54	sentence	4	, but not	22.1399330563963	
54	sentence	5	reopen	17.350502752963415	
54	sentence	6	.	4.493718861990447	
55	sentence	1	The sales will	20.25669791998152	
55	sentence	2	double	9.518686629051283	
55	sentence	3		0.0	
55	sentence	4	, but not	22.1399330563963	
55	sentence	5	stabilize	15.675980602156214	
55	sentence	6	.	4.372369623368159	
56	sentence	1	The sales will	20.25669791998152	
56	sentence	2	double	9.518686629051283	
56	sentence	3		0.0	
56	sentence	4	, but not	22.1399330563963	
56	sentence	5	soar	12.921396397040917	
56	sentence	6	.	4.963763957132986	
57	sentence	1	The sales will	20.25669791998152	
57	sentence	2	double	9.518686629051283	
57	sentence	3		0.0	
57	sentence	4	, but not	22.1399330563963	
57	sentence	5	authorize	18.309599089960642	
57	sentence	6	.	8.662246736354065	
58	sentence	1	The sales will	20.25669791998152	
58	sentence	2	double	9.518686629051283	
58	sentence	3		0.0	
58	sentence	4	, but not	22.1399330563963	
58	sentence	5	sympathize	25.32641815253662	
58	sentence	6	.	7.190700573886961	
59	sentence	1	The sales will	20.25669791998152	
59	sentence	2	double	9.518686629051283	
59	sentence	3		0.0	
59	sentence	4	, but not	22.1399330563963	
59	sentence	5	sharpen	21.713948508296856	
59	sentence	6	.	5.240858276619523	
60	sentence	1	The sales will	20.25669791998152	
60	sentence	2	double	9.518686629051283	
60	sentence	3		0.0	
60	sentence	4	, but not	22.1399330563963	
60	sentence	5	specialize	20.044769202768105	
60	sentence	6	.	5.537264871936746	
61	sentence	1	The sales will	20.25669791998152	
61	sentence	2	double	9.518686629051283	
61	sentence	3		0.0	
61	sentence	4	, but not	22.1399330563963	
61	sentence	5	minimize	18.295466243643343	
61	sentence	6	.	5.391184184155083	
62	sentence	1	The sales will	20.25669791998152	
62	sentence	2	double	9.518686629051283	
62	sentence	3		0.0	
62	sentence	4	, but not	22.1399330563963	
62	sentence	5	socialize	20.622287288330718	
62	sentence	6	.	5.582979236397287	
63	sentence	1	The sales will	20.25669791998152	
63	sentence	2	double	9.518686629051283	
63	sentence	3		0.0	
63	sentence	4	, but not	22.1399330563963	
63	sentence	5	utilize	19.055513988115575	
63	sentence	6	.	6.150541246301453	
64	sentence	1	The sales will	20.25669791998152	
64	sentence	2	double	9.518686629051283	
64	sentence	3		0.0	
64	sentence	4	, but not	22.1399330563963	
64	sentence	5	rectify	20.5554189879461	
64	sentence	6	.	5.282984395052463	
65	sentence	1	The sales will	20.25669791998152	
65	sentence	2	double	9.518686629051283	
65	sentence	3		0.0	
65	sentence	4	, but not	22.1399330563963	
65	sentence	5	terrorize	19.595299047832142	
65	sentence	6	.	7.758552890505782	
66	sentence	1	The sales will	20.25669791998152	
66	sentence	2	double	9.518686629051283	
66	sentence	3		0.0	
66	sentence	4	, but not	22.1399330563963	
66	sentence	5	enslave	22.264868316020642	
66	sentence	6	.	7.029789478156096	
67	sentence	1	The sales will	20.25669791998152	
67	sentence	2	double	9.518686629051283	
67	sentence	3		0.0	
67	sentence	4	, but not	22.1399330563963	
67	sentence	5	finalize	13.53000172260819	
67	sentence	6	.	5.428459015972485	
68	sentence	1	The sales will	20.25669791998152	
68	sentence	2	double	9.518686629051283	
68	sentence	3		0.0	
68	sentence	4	, but not	22.1399330563963	
68	sentence	5	maximize	17.49251364329506	
68	sentence	6	.	5.091105071311336	
69	sentence	1	The sales will	20.25669791998152	
69	sentence	2	double	9.518686629051283	
69	sentence	3		0.0	
69	sentence	4	, but not	22.1399330563963	
69	sentence	5	summarize	21.73342419989261	
69	sentence	6	.	5.106112621390926	
70	sentence	1	The sales will	20.25669791998152	
70	sentence	2	double	9.518686629051283	
70	sentence	3		0.0	
70	sentence	4	, but not	22.1399330563963	
70	sentence	5	repose	27.740130851832667	
70	sentence	6	.	4.420541619909529	
71	sentence	1	The sales will	20.25669791998152	
71	sentence	2	double	9.518686629051283	
71	sentence	3		0.0	
71	sentence	4	, but not	22.1399330563963	
71	sentence	5	symbolize	24.484379227109397	
71	sentence	6	.	9.05694072870878	
72	sentence	1	The sales will	20.25669791998152	
72	sentence	2	double	9.518686629051283	
72	sentence	3		0.0	
72	sentence	4	, but not	22.1399330563963	
72	sentence	5	sterilize	23.304376764515048	
72	sentence	6	.	4.708617375618958	
73	sentence	1	The sales will	20.25669791998152	
73	sentence	2	double	9.518686629051283	
73	sentence	3		0.0	
73	sentence	4	, but not	22.1399330563963	
73	sentence	5	revolutionize	15.637018405555535	
73	sentence	6	.	8.385024461775288	
74	sentence	1	The sales will	20.25669791998152	
74	sentence	2	double	9.518686629051283	
74	sentence	3		0.0	
74	sentence	4	, but not	22.1399330563963	
