item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	That plant is	17.30492924229393	
1	sentence	2	rare	12.397738118249011	
1	sentence	3		0.0	
1	sentence	4	, but not	19.54091868182402	
1	sentence	5	good	11.357316689103587	
1	sentence	6	.	5.144459937019108	
2	sentence	1	That plant is	17.30492924229393	
2	sentence	2	rare	12.397738118249011	
2	sentence	3		0.0	
2	sentence	4	, but not	19.54091868182402	
2	sentence	5	little	15.739213807364244	
2	sentence	6	.	5.032420119288023	
3	sentence	1	That plant is	17.30492924229393	
3	sentence	2	rare	12.397738118249011	
3	sentence	3		0.0	
3	sentence	4	, but not	19.54091868182402	
3	sentence	5	other	12.592553185840366	
3	sentence	6	.	11.781968683377396	
4	sentence	1	That plant is	17.30492924229393	
4	sentence	2	rare	12.397738118249011	
4	sentence	3		0.0	
4	sentence	4	, but not	19.54091868182402	
4	sentence	5	great	9.716970930675844	
4	sentence	6	.	4.00470580028425	
5	sentence	1	That plant is	17.30492924229393	
5	sentence	2	rare	12.397738118249011	
5	sentence	3		0.0	
5	sentence	4	, but not	19.54091868182402	
5	sentence	5	last	14.75705803653933	
5	sentence	6	.	7.419420989200013	
6	sentence	1	That plant is	17.30492924229393	
6	sentence	2	rare	12.397738118249011	
6	sentence	3		0.0	
6	sentence	4	, but not	19.54091868182402	
6	sentence	5	new	10.515355671817208	
6	sentence	6	.	4.534456736465623	
7	sentence	1	That plant is	17.30492924229393	
7	sentence	2	rare	12.397738118249011	
7	sentence	3		0.0	
7	sentence	4	, but not	19.54091868182402	
7	sentence	5	old	14.217467284971493	
7	sentence	6	.	4.587704972929861	
8	sentence	1	That plant is	17.30492924229393	
8	sentence	2	rare	12.397738118249011	
8	sentence	3		0.0	
8	sentence	4	, but not	19.54091868182402	
8	sentence	5	big	12.147005299486725	
8	sentence	6	.	6.231377907721197	
9	sentence	1	That plant is	17.30492924229393	
9	sentence	2	rare	12.397738118249011	
9	sentence	3		0.0	
9	sentence	4	, but not	19.54091868182402	
9	sentence	5	nice	16.508980635402036	
9	sentence	6	.	4.152565820571739	
10	sentence	1	That plant is	17.30492924229393	
10	sentence	2	rare	12.397738118249011	
10	sentence	3		0.0	
10	sentence	4	, but not	19.54091868182402	
10	sentence	5	wrong	13.831378616535348	
10	sentence	6	.	4.236880659122533	
11	sentence	1	That plant is	17.30492924229393	
11	sentence	2	rare	12.397738118249011	
11	sentence	3		0.0	
11	sentence	4	, but not	19.54091868182402	
11	sentence	5	bad	8.587895196733056	
11	sentence	6	.	5.529846916239731	
12	sentence	1	That plant is	17.30492924229393	
12	sentence	2	rare	12.397738118249011	
12	sentence	3		0.0	
12	sentence	4	, but not	19.54091868182402	
12	sentence	5	same	16.97513341919025	
12	sentence	6	.	6.899915059530538	
13	sentence	1	That plant is	17.30492924229393	
13	sentence	2	rare	12.397738118249011	
13	sentence	3		0.0	
13	sentence	4	, but not	19.54091868182402	
13	sentence	5	next	15.658775457763898	
13	sentence	6	.	13.58513385702998	
14	sentence	1	That plant is	17.30492924229393	
14	sentence	2	rare	12.397738118249011	
14	sentence	3		0.0	
14	sentence	4	, but not	19.54091868182402	
14	sentence	5	dead	10.020893167835771	
14	sentence	6	.	3.2212144127423024	
15	sentence	1	That plant is	17.30492924229393	
15	sentence	2	rare	12.397738118249011	
15	sentence	3		0.0	
15	sentence	4	, but not	19.54091868182402	
15	sentence	5	many	10.369074108299337	
15	sentence	6	.	9.261203835207935	
16	sentence	1	That plant is	17.30492924229393	
16	sentence	2	rare	12.397738118249011	
16	sentence	3		0.0	
16	sentence	4	, but not	19.54091868182402	
16	sentence	5	real	12.58724786502655	
16	sentence	6	.	4.2051309419467495	
17	sentence	1	That plant is	17.30492924229393	
17	sentence	2	rare	12.397738118249011	
17	sentence	3		0.0	
17	sentence	4	, but not	19.54091868182402	
17	sentence	5	live	14.672789289338967	
17	sentence	6	.	5.085070888023163	
18	sentence	1	That plant is	17.30492924229393	
18	sentence	2	rare	12.397738118249011	
18	sentence	3		0.0	
18	sentence	4	, but not	19.54091868182402	
18	sentence	5	ready	14.541499109531507	
18	sentence	6	.	7.049808946647131	
19	sentence	1	That plant is	17.30492924229393	
19	sentence	2	rare	12.397738118249011	
19	sentence	3		0.0	
19	sentence	4	, but not	19.54091868182402	
19	sentence	5	happy	16.772628663313515	
19	sentence	6	.	4.568691602946373	
20	sentence	1	That plant is	17.30492924229393	
20	sentence	2	rare	12.397738118249011	
20	sentence	3		0.0	
20	sentence	4	, but not	19.54091868182402	
20	sentence	5	whole	15.073142886768276	
20	sentence	6	.	4.151529109152338	
21	sentence	1	That plant is	17.30492924229393	
21	sentence	2	rare	12.397738118249011	
21	sentence	3		0.0	
21	sentence	4	, but not	19.54091868182402	
21	sentence	5	hard	9.618569337158178	
21	sentence	6	.	8.04712258038849	
22	sentence	1	That plant is	17.30492924229393	
22	sentence	2	rare	12.397738118249011	
22	sentence	3		0.0	
22	sentence	4	, but not	19.54091868182402	
22	sentence	5	open	13.437596132230206	
22	sentence	6	.	7.299535322936567	
23	sentence	1	That plant is	17.30492924229393	
23	sentence	2	rare	12.397738118249011	
23	sentence	3		0.0	
23	sentence	4	, but not	19.54091868182402	
23	sentence	5	few	14.039838099715556	
23	sentence	6	.	5.045929700478599	
24	sentence	1	That plant is	17.30492924229393	
24	sentence	2	rare	12.397738118249011	
24	sentence	3		0.0	
24	sentence	4	, but not	19.54091868182402	
24	sentence	5	true	11.193380074578744	
24	sentence	6	.	2.6918843181075904	
25	sentence	1	That plant is	17.30492924229393	
25	sentence	2	rare	12.397738118249011	
25	sentence	3		0.0	
25	sentence	4	, but not	19.54091868182402	
25	sentence	5	young	17.777293523483355	
25	sentence	6	.	4.029484716655261	
26	sentence	1	That plant is	17.30492924229393	
26	sentence	2	rare	12.397738118249011	
26	sentence	3		0.0	
26	sentence	4	, but not	19.54091868182402	
26	sentence	5	second	14.520707094972796	
26	sentence	6	.	9.338590524651371	
27	sentence	1	That plant is	17.30492924229393	
27	sentence	2	rare	12.397738118249011	
27	sentence	3		0.0	
27	sentence	4	, but not	19.54091868182402	
27	sentence	5	easy	10.059802522766972	
27	sentence	6	.	6.589166486992563	
28	sentence	1	That plant is	17.30492924229393	
28	sentence	2	rare	12.397738118249011	
28	sentence	3		0.0	
28	sentence	4	, but not	19.54091868182402	
28	sentence	5	different	13.137284154877191	
28	sentence	6	.	5.994693319811989	
29	sentence	1	That plant is	17.30492924229393	
29	sentence	2	rare	12.397738118249011	
29	sentence	3		0.0	
29	sentence	4	, but not	19.54091868182402	
29	sentence	5	married	19.72816565286416	
29	sentence	6	.	5.293494942777293	
30	sentence	1	That plant is	17.30492924229393	
30	sentence	2	rare	12.397738118249011	
30	sentence	3		0.0	
30	sentence	4	, but not	19.54091868182402	
30	sentence	5	important	10.702483802845599	
30	sentence	6	.	3.5084467655319	
31	sentence	1	That plant is	17.30492924229393	
31	sentence	2	rare	12.397738118249011	
31	sentence	3		0.0	
31	sentence	4	, but not	19.54091868182402	
31	sentence	5	able	13.58145618002393	
31	sentence	6	.	10.897805875291697	
