item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	His story was	13.601730182838242	
1	sentence	2	sad	13.306731093535678	
1	sentence	3		0.0	
1	sentence	4	, but not	19.159780018045012	
1	sentence	5	good	9.200885391966727	
1	sentence	6	.	3.8604457208446203	
2	sentence	1	His story was	13.601730182838242	
2	sentence	2	sad	13.306731093535678	
2	sentence	3		0.0	
2	sentence	4	, but not	19.159780018045012	
2	sentence	5	little	14.440329283265553	
2	sentence	6	.	3.769789537991213	
3	sentence	1	His story was	13.601730182838242	
3	sentence	2	sad	13.306731093535678	
3	sentence	3		0.0	
3	sentence	4	, but not	19.159780018045012	
3	sentence	5	other	14.016266845518903	
3	sentence	6	.	8.402259875114154	
4	sentence	1	His story was	13.601730182838242	
4	sentence	2	sad	13.306731093535678	
4	sentence	3		0.0	
4	sentence	4	, but not	19.159780018045012	
4	sentence	5	great	9.551234689692372	
4	sentence	6	.	2.991362007621271	
5	sentence	1	His story was	13.601730182838242	
5	sentence	2	sad	13.306731093535678	
5	sentence	3		0.0	
5	sentence	4	, but not	19.159780018045012	
5	sentence	5	last	12.600307539602468	
5	sentence	6	.	6.106176601684883	
6	sentence	1	His story was	13.601730182838242	
6	sentence	2	sad	13.306731093535678	
6	sentence	3		0.0	
6	sentence	4	, but not	19.159780018045012	
6	sentence	5	new	9.21303699814609	
6	sentence	6	.	4.91096631521401	
7	sentence	1	His story was	13.601730182838242	
7	sentence	2	sad	13.306731093535678	
7	sentence	3		0.0	
7	sentence	4	, but not	19.159780018045012	
7	sentence	5	old	13.180095452191168	
7	sentence	6	.	5.036315182364764	
8	sentence	1	His story was	13.601730182838242	
8	sentence	2	sad	13.306731093535678	
8	sentence	3		0.0	
8	sentence	4	, but not	19.159780018045012	
8	sentence	5	big	12.737805605175474	
8	sentence	6	.	6.216546811841392	
9	sentence	1	His story was	13.601730182838242	
9	sentence	2	sad	13.306731093535678	
9	sentence	3		0.0	
9	sentence	4	, but not	19.159780018045012	
9	sentence	5	nice	12.544480595271194	
9	sentence	6	.	2.5894968546735293	
10	sentence	1	His story was	13.601730182838242	
10	sentence	2	sad	13.306731093535678	
10	sentence	3		0.0	
10	sentence	4	, but not	19.159780018045012	
10	sentence	5	wrong	10.063825540935955	
10	sentence	6	.	2.6564866769243562	
11	sentence	1	His story was	13.601730182838242	
11	sentence	2	sad	13.306731093535678	
11	sentence	3		0.0	
11	sentence	4	, but not	19.159780018045012	
11	sentence	5	bad	7.549951005690661	
11	sentence	6	.	3.867738473171807	
