item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	That song is	15.189362054897979	
1	sentence	2	silly	13.378672124322195	
1	sentence	3		0.0	
1	sentence	4	, but not	19.895011009963042	
1	sentence	5	good	9.168582234620468	
1	sentence	6	.	4.507264903503006	
2	sentence	1	That song is	15.189362054897979	
2	sentence	2	silly	13.378672124322195	
2	sentence	3		0.0	
2	sentence	4	, but not	19.895011009963042	
2	sentence	5	little	13.740602045826337	
2	sentence	6	.	6.243171789986765	
3	sentence	1	That song is	15.189362054897979	
3	sentence	2	silly	13.378672124322195	
3	sentence	3		0.0	
3	sentence	4	, but not	19.895011009963042	
3	sentence	5	other	11.932995592197875	
3	sentence	6	.	10.537646687160839	
4	sentence	1	That song is	15.189362054897979	
4	sentence	2	silly	13.378672124322195	
4	sentence	3		0.0	
4	sentence	4	, but not	19.895011009963042	
4	sentence	5	great	9.836810505588858	
4	sentence	6	.	3.649408561693282	
5	sentence	1	That song is	15.189362054897979	
5	sentence	2	silly	13.378672124322195	
5	sentence	3		0.0	
5	sentence	4	, but not	19.895011009963042	
5	sentence	5	last	13.038362485823317	
5	sentence	6	.	6.948461634285488	
6	sentence	1	That song is	15.189362054897979	
6	sentence	2	silly	13.378672124322195	
6	sentence	3		0.0	
6	sentence	4	, but not	19.895011009963042	
6	sentence	5	new	11.631648967217268	
6	sentence	6	.	5.325989688796613	
7	sentence	1	That song is	15.189362054897979	
7	sentence	2	silly	13.378672124322195	
7	sentence	3		0.0	
7	sentence	4	, but not	19.895011009963042	
7	sentence	5	old	11.545443007437587	
7	sentence	6	.	5.415514913737947	
8	sentence	1	That song is	15.189362054897979	
8	sentence	2	silly	13.378672124322195	
8	sentence	3		0.0	
8	sentence	4	, but not	19.895011009963042	
8	sentence	5	big	12.663357755269981	
8	sentence	6	.	7.47641053625112	
9	sentence	1	That song is	15.189362054897979	
9	sentence	2	silly	13.378672124322195	
9	sentence	3		0.0	
9	sentence	4	, but not	19.895011009963042	
9	sentence	5	nice	11.79227250795589	
9	sentence	6	.	3.425348188288008	
10	sentence	1	That song is	15.189362054897979	
10	sentence	2	silly	13.378672124322195	
10	sentence	3		0.0	
10	sentence	4	, but not	19.895011009963042	
10	sentence	5	wrong	8.644632273252697	
10	sentence	6	.	3.2686716493866874	
11	sentence	1	That song is	15.189362054897979	
11	sentence	2	silly	13.378672124322195	
11	sentence	3		0.0	
11	sentence	4	, but not	19.895011009963042	
11	sentence	5	bad	5.692870646853795	
11	sentence	6	.	4.457247533117877	
12	sentence	1	That song is	15.189362054897979	
12	sentence	2	silly	13.378672124322195	
12	sentence	3		0.0	
12	sentence	4	, but not	19.895011009963042	
12	sentence	5	same	16.39376876965844	
12	sentence	6	.	7.150604538664806	
13	sentence	1	That song is	15.189362054897979	
13	sentence	2	silly	13.378672124322195	
13	sentence	3		0.0	
13	sentence	4	, but not	19.895011009963042	
13	sentence	5	next	13.650125412860431	
13	sentence	6	.	9.945969957883294	
14	sentence	1	That song is	15.189362054897979	
14	sentence	2	silly	13.378672124322195	
14	sentence	3		0.0	
14	sentence	4	, but not	19.895011009963042	
14	sentence	5	dead	9.716362112091788	
14	sentence	6	.	3.5989677700217286	
15	sentence	1	That song is	15.189362054897979	
15	sentence	2	silly	13.378672124322195	
15	sentence	3		0.0	
15	sentence	4	, but not	19.895011009963042	
15	sentence	5	many	8.891549828888241	
15	sentence	6	.	11.465594902295	
16	sentence	1	That song is	15.189362054897979	
16	sentence	2	silly	13.378672124322195	
16	sentence	3		0.0	
16	sentence	4	, but not	19.895011009963042	
16	sentence	5	real	10.339770328384125	
16	sentence	6	.	4.270709646547247	
17	sentence	1	That song is	15.189362054897979	
17	sentence	2	silly	13.378672124322195	
17	sentence	3		0.0	
17	sentence	4	, but not	19.895011009963042	
17	sentence	5	live	15.671639760048436	
17	sentence	6	.	4.068730469651551	
18	sentence	1	That song is	15.189362054897979	
18	sentence	2	silly	13.378672124322195	
18	sentence	3		0.0	
18	sentence	4	, but not	19.895011009963042	
18	sentence	5	ready	14.446771065436272	
18	sentence	6	.	6.037789420395796	
19	sentence	1	That song is	15.189362054897979	
19	sentence	2	silly	13.378672124322195	
19	sentence	3		0.0	
19	sentence	4	, but not	19.895011009963042	
19	sentence	5	happy	14.418901620829255	
19	sentence	6	.	3.8929043505072602	
20	sentence	1	That song is	15.189362054897979	
20	sentence	2	silly	13.378672124322195	
20	sentence	3		0.0	
20	sentence	4	, but not	19.895011009963042	
20	sentence	5	whole	14.140570402117714	
20	sentence	6	.	6.057978119815279	
21	sentence	1	That song is	15.189362054897979	
21	sentence	2	silly	13.378672124322195	
21	sentence	3		0.0	
21	sentence	4	, but not	19.895011009963042	
21	sentence	5	hard	8.606174200797359	
21	sentence	6	.	5.794938910487854	
22	sentence	1	That song is	15.189362054897979	
22	sentence	2	silly	13.378672124322195	
22	sentence	3		0.0	
22	sentence	4	, but not	19.895011009963042	
22	sentence	5	open	15.391657507888612	
22	sentence	6	.	8.036916441955686	
23	sentence	1	That song is	15.189362054897979	
23	sentence	2	silly	13.378672124322195	
23	sentence	3		0.0	
23	sentence	4	, but not	19.895011009963042	
23	sentence	5	few	15.43163453111637	
23	sentence	6	.	6.9445080971074535	
24	sentence	1	That song is	15.189362054897979	
24	sentence	2	silly	13.378672124322195	
24	sentence	3		0.0	
24	sentence	4	, but not	19.895011009963042	
24	sentence	5	true	7.318048911336646	
24	sentence	6	.	2.771752717202977	
25	sentence	1	That song is	15.189362054897979	
25	sentence	2	silly	13.378672124322195	
25	sentence	3		0.0	
25	sentence	4	, but not	19.895011009963042	
25	sentence	5	young	15.616154029296473	
25	sentence	6	.	4.590490059977933	
26	sentence	1	That song is	15.189362054897979	
26	sentence	2	silly	13.378672124322195	
26	sentence	3		0.0	
26	sentence	4	, but not	19.895011009963042	
26	sentence	5	second	15.560294064296233	
26	sentence	6	.	11.084295606720087	
27	sentence	1	That song is	15.189362054897979	
27	sentence	2	silly	13.378672124322195	
27	sentence	3		0.0	
27	sentence	4	, but not	19.895011009963042	
27	sentence	5	easy	9.019670024475	
27	sentence	6	.	4.966744416472439	
28	sentence	1	That song is	15.189362054897979	
28	sentence	2	silly	13.378672124322195	
28	sentence	3		0.0	
28	sentence	4	, but not	19.895011009963042	
28	sentence	5	different	12.816386542146502	
28	sentence	6	.	6.147859004878597	
29	sentence	1	That song is	15.189362054897979	
29	sentence	2	silly	13.378672124322195	
29	sentence	3		0.0	
29	sentence	4	, but not	19.895011009963042	
29	sentence	5	married	16.95565947966775	
29	sentence	6	.	5.339294954597964	
30	sentence	1	That song is	15.189362054897979	
30	sentence	2	silly	13.378672124322195	
30	sentence	3		0.0	
30	sentence	4	, but not	19.895011009963042	
30	sentence	5	important	10.9375324917798	
30	sentence	6	.	3.7407736570335453	
31	sentence	1	That song is	15.189362054897979	
31	sentence	2	silly	13.378672124322195	
31	sentence	3		0.0	
31	sentence	4	, but not	19.895011009963042	
31	sentence	5	able	12.787680573925687	
31	sentence	6	.	10.578083248031701	
32	sentence	1	That song is	15.189362054897979	
32	sentence	2	silly	13.378672124322195	
32	sentence	3		0.0	
32	sentence	4	, but not	19.895011009963042	
32	sentence	5	high	12.84059069249833	
32	sentence	6	.	7.979490058971388	
33	sentence	1	That song is	15.189362054897979	
33	sentence	2	silly	13.378672124322195	
33	sentence	3		0.0	
33	sentence	4	, but not	19.895011009963042	
33	sentence	5	free	13.426553470183608	
33	sentence	6	.	3.064120299964687	
34	sentence	1	That song is	15.189362054897979	
34	sentence	2	silly	13.378672124322195	
34	sentence	3		0.0	
34	sentence	4	, but not	19.895011009963042	
34	sentence	5	stupid	5.036628878719938	
34	sentence	6	.	2.498798192105359	
35	sentence	1	That song is	15.189362054897979	
35	sentence	2	silly	13.378672124322195	
35	sentence	3		0.0	
35	sentence	4	, but not	19.895011009963042	
35	sentence	5	full	13.478274844673486	
35	sentence	6	.	10.806668141015875	
36	sentence	1	That song is	15.189362054897979	
36	sentence	2	silly	13.378672124322195	
