item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The skier	19.482747441978837	
1	sentence	2	participated	14.75355371804535	
1	sentence	3		0.0	
1	sentence	4	, but did not	25.44357821625136	
1	sentence	5	have	4.784640242641053	
1	sentence	6	.	12.982117279685145	
2	sentence	1	The skier	19.482747441978837	
2	sentence	2	participated	14.75355371804535	
2	sentence	3		0.0	
2	sentence	4	, but did not	25.44357821625136	
2	sentence	5	know	7.076714600478712	
2	sentence	6	.	9.503345088663718	
3	sentence	1	The skier	19.482747441978837	
3	sentence	2	participated	14.75355371804535	
3	sentence	3		0.0	
3	sentence	4	, but did not	25.44357821625136	
3	sentence	5	get	5.318760570050246	
3	sentence	6	.	12.540878590631523	
4	sentence	1	The skier	19.482747441978837	
4	sentence	2	participated	14.75355371804535	
4	sentence	3		0.0	
4	sentence	4	, but did not	25.44357821625136	
4	sentence	5	go	6.271450553302834	
4	sentence	6	.	13.107008329019303	
5	sentence	1	The skier	19.482747441978837	
5	sentence	2	participated	14.75355371804535	
5	sentence	3		0.0	
5	sentence	4	, but did not	25.44357821625136	
5	sentence	5	come	8.374999249091193	
5	sentence	6	.	13.518491267751244	
6	sentence	1	The skier	19.482747441978837	
6	sentence	2	participated	14.75355371804535	
6	sentence	3		0.0	
6	sentence	4	, but did not	25.44357821625136	
6	sentence	5	see	6.758241255194584	
6	sentence	6	.	10.72687163066855	
7	sentence	1	The skier	19.482747441978837	
7	sentence	2	participated	14.75355371804535	
7	sentence	3		0.0	
7	sentence	4	, but did not	25.44357821625136	
7	sentence	5	let	9.827182228862956	
7	sentence	6	.	14.916108967918463	
8	sentence	1	The skier	19.482747441978837	
8	sentence	2	participated	14.75355371804535	
8	sentence	3		0.0	
8	sentence	4	, but did not	25.44357821625136	
8	sentence	5	take	5.118215040532142	
8	sentence	6	.	14.511803897102931	
9	sentence	1	The skier	19.482747441978837	
9	sentence	2	participated	14.75355371804535	
9	sentence	3		0.0	
9	sentence	4	, but did not	25.44357821625136	
9	sentence	5	say	7.585100819874002	
9	sentence	6	.	9.587208644738647	
10	sentence	1	The skier	19.482747441978837	
10	sentence	2	participated	14.75355371804535	
10	sentence	3		0.0	
10	sentence	4	, but did not	25.44357821625136	
10	sentence	5	make	5.1295521368770185	
10	sentence	6	.	14.249782137138011	
11	sentence	1	The skier	19.482747441978837	
11	sentence	2	participated	14.75355371804535	
11	sentence	3		0.0	
11	sentence	4	, but did not	25.44357821625136	
11	sentence	5	give	6.9144070056228415	
11	sentence	6	.	15.63989313856037	
12	sentence	1	The skier	19.482747441978837	
12	sentence	2	participated	14.75355371804535	
12	sentence	3		0.0	
12	sentence	4	, but did not	25.44357821625136	
12	sentence	5	find	8.447358541684606	
12	sentence	6	.	12.381138352787733	
13	sentence	1	The skier	19.482747441978837	
13	sentence	2	participated	14.75355371804535	
13	sentence	3		0.0	
13	sentence	4	, but did not	25.44357821625136	
13	sentence	5	keep	9.63055515206211	
13	sentence	6	.	10.669579394151922	
14	sentence	1	The skier	19.482747441978837	
14	sentence	2	participated	14.75355371804535	
14	sentence	3		0.0	
14	sentence	4	, but did not	25.44357821625136	
14	sentence	5	leave	7.610372638522386	
14	sentence	6	.	7.701251022960708	
15	sentence	1	The skier	19.482747441978837	
15	sentence	2	participated	14.75355371804535	
15	sentence	3		0.0	
15	sentence	4	, but did not	25.44357821625136	
15	sentence	5	believe	10.71244435005297	
15	sentence	6	.	11.347434565985012	
16	sentence	1	The skier	19.482747441978837	
16	sentence	2	participated	14.75355371804535	
16	sentence	3		0.0	
16	sentence	4	, but did not	25.44357821625136	
16	sentence	5	remember	10.303054096216727	
16	sentence	6	.	8.680686716179576	
17	sentence	1	The skier	19.482747441978837	
17	sentence	2	participated	14.75355371804535	
17	sentence	3		0.0	
17	sentence	4	, but did not	25.44357821625136	
17	sentence	5	run	7.068723598589022	
17	sentence	6	.	8.028544326511685	
18	sentence	1	The skier	19.482747441978837	
18	sentence	2	participated	14.75355371804535	
18	sentence	3		0.0	
18	sentence	4	, but did not	25.44357821625136	
18	sentence	5	happen	11.826891927643969	
18	sentence	6	.	7.315105256284479	
19	sentence	1	The skier	19.482747441978837	
19	sentence	2	participated	14.75355371804535	
19	sentence	3		0.0	
19	sentence	4	, but did not	25.44357821625136	
19	sentence	5	buy	11.731374139215973	
19	sentence	6	.	6.313538147621982	
20	sentence	1	The skier	19.482747441978837	
20	sentence	2	participated	14.75355371804535	
20	sentence	3		0.0	
20	sentence	4	, but did not	25.44357821625136	
20	sentence	5	save	10.234789366575052	
20	sentence	6	.	6.356789720522167	
21	sentence	1	The skier	19.482747441978837	
21	sentence	2	participated	14.75355371804535	
21	sentence	3		0.0	
21	sentence	4	, but did not	25.44357821625136	
21	sentence	5	lose	6.674853059166638	
21	sentence	6	.	6.670684199709724	
22	sentence	1	The skier	19.482747441978837	
22	sentence	2	participated	14.75355371804535	
22	sentence	3		0.0	
22	sentence	4	, but did not	25.44357821625136	
22	sentence	5	follow	8.559100485464398	
22	sentence	6	.	9.194279194381785	
23	sentence	1	The skier	19.482747441978837	
23	sentence	2	participated	14.75355371804535	
23	sentence	3		0.0	
23	sentence	4	, but did not	25.44357821625136	
23	sentence	5	expect	10.937271078150488	
23	sentence	6	.	12.781146609054108	
24	sentence	1	The skier	19.482747441978837	
24	sentence	2	participated	14.75355371804535	
24	sentence	3		0.0	
24	sentence	4	, but did not	25.44357821625136	
24	sentence	5	realize	8.789892947755046	
24	sentence	6	.	9.644734777660446	
25	sentence	1	The skier	19.482747441978837	
25	sentence	2	participated	14.75355371804535	
25	sentence	3		0.0	
25	sentence	4	, but did not	25.44357821625136	
25	sentence	5	slow	13.942878408742725	
25	sentence	6	.	10.326244236859067	
26	sentence	1	The skier	19.482747441978837	
26	sentence	2	participated	14.75355371804535	
26	sentence	3		0.0	
26	sentence	4	, but did not	25.44357821625136	
26	sentence	5	allow	8.983812329700708	
26	sentence	6	.	12.076568084999353	
27	sentence	1	The skier	19.482747441978837	
27	sentence	2	participated	14.75355371804535	
27	sentence	3		0.0	
27	sentence	4	, but did not	25.44357821625136	
27	sentence	5	consider	10.238069419692309	
27	sentence	6	.	11.356167844995824	
28	sentence	1	The skier	19.482747441978837	
28	sentence	2	participated	14.75355371804535	
28	sentence	3		0.0	
28	sentence	4	, but did not	25.44357821625136	
28	sentence	5	apologize	11.254049362427713	
28	sentence	6	.	4.018697276862542	
29	sentence	1	The skier	19.482747441978837	
29	sentence	2	participated	14.75355371804535	
29	sentence	3		0.0	
29	sentence	4	, but did not	25.44357821625136	
29	sentence	5	recognize	10.53265781442461	
29	sentence	6	.	9.147232308342359	
30	sentence	1	The skier	19.482747441978837	
30	sentence	2	participated	14.75355371804535	
30	sentence	3		0.0	
30	sentence	4	, but did not	25.44357821625136	
30	sentence	5	settle	12.799240559786082	
30	sentence	6	.	5.604615685771734	
31	sentence	1	The skier	19.482747441978837	
31	sentence	2	participated	14.75355371804535	
31	sentence	3		0.0	
31	sentence	4	, but did not	25.44357821625136	
31	sentence	5	add	10.797241427956783	
31	sentence	6	.	9.64141276077638	
32	sentence	1	The skier	19.482747441978837	
32	sentence	2	participated	14.75355371804535	
32	sentence	3		0.0	
32	sentence	4	, but did not	25.44357821625136	
32	sentence	5	assume	13.231084868518973	
32	sentence	6	.	10.714063738693493	
33	sentence	1	The skier	19.482747441978837	
33	sentence	2	participated	14.75355371804535	
33	sentence	3		0.0	
33	sentence	4	, but did not	25.44357821625136	
33	sentence	5	appear	6.071785574957149	
33	sentence	6	.	8.526272437067705	
34	sentence	1	The skier	19.482747441978837	
34	sentence	2	participated	14.75355371804535	
34	sentence	3		0.0	
34	sentence	4	, but did not	25.44357821625136	
34	sentence	5	remove	10.586459491059324	
34	sentence	6	.	8.709210382790474	
35	sentence	1	The skier	19.482747441978837	
35	sentence	2	participated	14.75355371804535	
35	sentence	3		0.0	
35	sentence	4	, but did not	25.44357821625136	
35	sentence	5	identify	10.196793583485235	
35	sentence	6	.	9.399649181221893	
36	sentence	1	The skier	19.482747441978837	
36	sentence	2	participated	14.75355371804535	
36	sentence	3		0.0	
36	sentence	4	, but did not	25.44357821625136	
36	sentence	5	replace	12.25668895490099	
36	sentence	6	.	6.944182018001418	
37	sentence	1	The skier	19.482747441978837	
37	sentence	2	participated	14.75355371804535	
37	sentence	3		0.0	
37	sentence	4	, but did not	25.44357821625136	
37	sentence	5	apply	9.377132524640329	
37	sentence	6	.	5.6695119632136075	
38	sentence	1	The skier	19.482747441978837	
38	sentence	2	participated	14.75355371804535	
38	sentence	3		0.0	
38	sentence	4	, but did not	25.44357821625136	
38	sentence	5	succeed	8.434656591022483	
38	sentence	6	.	4.122842402988422	
39	sentence	1	The skier	19.482747441978837	
39	sentence	2	participated	14.75355371804535	
39	sentence	3		0.0	
39	sentence	4	, but did not	25.44357821625136	
39	sentence	5	develop	11.07063055321313	
39	sentence	6	.	8.589817274839099	
40	sentence	1	The skier	19.482747441978837	
40	sentence	2	participated	14.75355371804535	
40	sentence	3		0.0	
40	sentence	4	, but did not	25.44357821625136	
40	sentence	5	approve	13.707551107914126	
40	sentence	6	.	4.867559613962745	
41	sentence	1	The skier	19.482747441978837	
41	sentence	2	participated	14.75355371804535	
41	sentence	3		0.0	
41	sentence	4	, but did not	25.44357821625136	
41	sentence	5	expose	13.39218170551277	
41	sentence	6	.	12.003791906460247	
42	sentence	1	The skier	19.482747441978837	
42	sentence	2	participated	14.75355371804535	
42	sentence	3		0.0	
42	sentence	4	, but did not	25.44357821625136	
42	sentence	5	establish	12.614875158061151	
42	sentence	6	.	9.114804635556874	
43	sentence	1	The skier	19.482747441978837	
43	sentence	2	participated	14.75355371804535	
43	sentence	3		0.0	
43	sentence	4	, but did not	25.44357821625136	
43	sentence	5	reduce	12.282379035356273	
43	sentence	6	.	10.613457327591767	
44	sentence	1	The skier	19.482747441978837	
44	sentence	2	participated	14.75355371804535	
44	sentence	3		0.0	
44	sentence	4	, but did not	25.44357821625136	
44	sentence	5	participate	4.018978984444656	
44	sentence	6	.	5.9064070578874714	
45	sentence	1	The skier	19.482747441978837	
45	sentence	2	participated	14.75355371804535	
45	sentence	3		0.0	
45	sentence	4	, but did not	25.44357821625136	
45	sentence	5	organize	14.276761399544162	
45	sentence	6	.	7.0201928462379515	
46	sentence	1	The skier	19.482747441978837	
46	sentence	2	participated	14.75355371804535	
46	sentence	3		0.0	
46	sentence	4	, but did not	25.44357821625136	
46	sentence	5	obtain	11.11012327329606	
46	sentence	6	.	10.844379808766467	
47	sentence	1	The skier	19.482747441978837	
47	sentence	2	participated	14.75355371804535	
47	sentence	3		0.0	
47	sentence	4	, but did not	25.44357821625136	
47	sentence	5	kitten	25.23883100008786	
47	sentence	6	.	6.924858047350472	
48	sentence	1	The skier	19.482747441978837	
48	sentence	2	participated	14.75355371804535	
48	sentence	3		0.0	
48	sentence	4	, but did not	25.44357821625136	
48	sentence	5	acquire	14.188596213405852	
48	sentence	6	.	7.833569659020329	
49	sentence	1	The skier	19.482747441978837	
49	sentence	2	participated	14.75355371804535	
49	sentence	3		0.0	
49	sentence	4	, but did not	25.44357821625136	
49	sentence	5	qualify	7.301409245900368	
49	sentence	6	.	4.278437858946418	
50	sentence	1	The skier	19.482747441978837	
50	sentence	2	participated	14.75355371804535	
50	sentence	3		0.0	
50	sentence	4	, but did not	25.44357821625136	
50	sentence	5	criticize	13.0575942737734	
50	sentence	6	.	8.639624826390175	
51	sentence	1	The skier	19.482747441978837	
51	sentence	2	participated	14.75355371804535	
51	sentence	3		0.0	
51	sentence	4	, but did not	25.44357821625136	
51	sentence	5	rave	17.92006388920121	
51	sentence	6	.	8.872055251447641	
52	sentence	1	The skier	19.482747441978837	
52	sentence	2	participated	14.75355371804535	
52	sentence	3		0.0	
52	sentence	4	, but did not	25.44357821625136	
52	sentence	5	enlighten	17.834234873740172	
52	sentence	6	.	8.58370225970502	
53	sentence	1	The skier	19.482747441978837	
53	sentence	2	participated	14.75355371804535	
53	sentence	3		0.0	
53	sentence	4	, but did not	25.44357821625136	
53	sentence	5	disclose	9.633328888255225	
53	sentence	6	.	8.198825724992158	
54	sentence	1	The skier	19.482747441978837	
54	sentence	2	participated	14.75355371804535	
54	sentence	3		0.0	
54	sentence	4	, but did not	25.44357821625136	
54	sentence	5	reopen	17.406240266316242	
54	sentence	6	.	6.532549110397923	
55	sentence	1	The skier	19.482747441978837	
55	sentence	2	participated	14.75355371804535	
55	sentence	3		0.0	
55	sentence	4	, but did not	25.44357821625136	
55	sentence	5	stabilize	15.702968119729606	
55	sentence	6	.	4.566767461048521	
56	sentence	1	The skier	19.482747441978837	
56	sentence	2	participated	14.75355371804535	
