item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The paint was	18.871006872686333	
1	sentence	2	pale	11.10205247145637	
1	sentence	3		0.0	
1	sentence	4	, but not	18.968855885946777	
1	sentence	5	good	11.411464394831837	
1	sentence	6	.	3.9701857865683685	
2	sentence	1	The paint was	18.871006872686333	
2	sentence	2	pale	11.10205247145637	
2	sentence	3		0.0	
2	sentence	4	, but not	18.968855885946777	
2	sentence	5	little	16.346084171949613	
2	sentence	6	.	3.315141361649818	
3	sentence	1	The paint was	18.871006872686333	
3	sentence	2	pale	11.10205247145637	
3	sentence	3		0.0	
3	sentence	4	, but not	18.968855885946777	
3	sentence	5	other	14.080844267126077	
3	sentence	6	.	8.591991823476608	
4	sentence	1	The paint was	18.871006872686333	
4	sentence	2	pale	11.10205247145637	
4	sentence	3		0.0	
4	sentence	4	, but not	18.968855885946777	
4	sentence	5	great	10.866028984857078	
4	sentence	6	.	3.1180495877263414	
5	sentence	1	The paint was	18.871006872686333	
5	sentence	2	pale	11.10205247145637	
5	sentence	3		0.0	
5	sentence	4	, but not	18.968855885946777	
5	sentence	5	last	13.227315008812061	
5	sentence	6	.	5.23717406427274	
6	sentence	1	The paint was	18.871006872686333	
6	sentence	2	pale	11.10205247145637	
6	sentence	3		0.0	
6	sentence	4	, but not	18.968855885946777	
6	sentence	5	new	12.283738386228693	
6	sentence	6	.	3.8419940461988515	
7	sentence	1	The paint was	18.871006872686333	
7	sentence	2	pale	11.10205247145637	
7	sentence	3		0.0	
7	sentence	4	, but not	18.968855885946777	
7	sentence	5	old	12.217102676255992	
7	sentence	6	.	4.0676703685916324	
8	sentence	1	The paint was	18.871006872686333	
8	sentence	2	pale	11.10205247145637	
8	sentence	3		0.0	
8	sentence	4	, but not	18.968855885946777	
8	sentence	5	big	12.224763471456026	
8	sentence	6	.	4.246670255574945	
9	sentence	1	The paint was	18.871006872686333	
9	sentence	2	pale	11.10205247145637	
9	sentence	3		0.0	
9	sentence	4	, but not	18.968855885946777	
9	sentence	5	nice	14.655326858900962	
9	sentence	6	.	3.5231155097892906	
10	sentence	1	The paint was	18.871006872686333	
10	sentence	2	pale	11.10205247145637	
10	sentence	3		0.0	
10	sentence	4	, but not	18.968855885946777	
10	sentence	5	wrong	11.872234809578647	
10	sentence	6	.	3.4390782512369893	
11	sentence	1	The paint was	18.871006872686333	
11	sentence	2	pale	11.10205247145637	
11	sentence	3		0.0	
11	sentence	4	, but not	18.968855885946777	
11	sentence	5	bad	6.510206500259034	
11	sentence	6	.	4.512255152100441	
12	sentence	1	The paint was	18.871006872686333	
12	sentence	2	pale	11.10205247145637	
12	sentence	3		0.0	
12	sentence	4	, but not	18.968855885946777	
12	sentence	5	same	16.56342621508158	
12	sentence	6	.	6.160795539876497	
13	sentence	1	The paint was	18.871006872686333	
13	sentence	2	pale	11.10205247145637	
13	sentence	3		0.0	
13	sentence	4	, but not	18.968855885946777	
13	sentence	5	next	15.511035481366712	
13	sentence	6	.	13.150815749847077	
14	sentence	1	The paint was	18.871006872686333	
14	sentence	2	pale	11.10205247145637	
14	sentence	3		0.0	
14	sentence	4	, but not	18.968855885946777	
14	sentence	5	dead	7.517292876153021	
14	sentence	6	.	3.151043427398466	
15	sentence	1	The paint was	18.871006872686333	
15	sentence	2	pale	11.10205247145637	
15	sentence	3		0.0	
15	sentence	4	, but not	18.968855885946777	
15	sentence	5	many	12.855766441610463	
15	sentence	6	.	7.958438006644573	
16	sentence	1	The paint was	18.871006872686333	
16	sentence	2	pale	11.10205247145637	
16	sentence	3		0.0	
16	sentence	4	, but not	18.968855885946777	
16	sentence	5	real	13.861344873621684	
16	sentence	6	.	4.10200016949566	
17	sentence	1	The paint was	18.871006872686333	
17	sentence	2	pale	11.10205247145637	
17	sentence	3		0.0	
17	sentence	4	, but not	18.968855885946777	
17	sentence	5	live	15.291888308331286	
17	sentence	6	.	4.610253618284483	
18	sentence	1	The paint was	18.871006872686333	
18	sentence	2	pale	11.10205247145637	
18	sentence	3		0.0	
18	sentence	4	, but not	18.968855885946777	
18	sentence	5	ready	12.315757428235727	
18	sentence	6	.	5.841859217296245	
19	sentence	1	The paint was	18.871006872686333	
19	sentence	2	pale	11.10205247145637	
19	sentence	3		0.0	
19	sentence	4	, but not	18.968855885946777	
19	sentence	5	happy	15.600356390918819	
19	sentence	6	.	3.9904824910925933	
20	sentence	1	The paint was	18.871006872686333	
20	sentence	2	pale	11.10205247145637	
20	sentence	3		0.0	
20	sentence	4	, but not	18.968855885946777	
20	sentence	5	whole	12.466309664939823	
20	sentence	6	.	2.9820003040042047	
21	sentence	1	The paint was	18.871006872686333	
21	sentence	2	pale	11.10205247145637	
21	sentence	3		0.0	
21	sentence	4	, but not	18.968855885946777	
21	sentence	5	hard	9.359571032195428	
21	sentence	6	.	4.207760900643744	
22	sentence	1	The paint was	18.871006872686333	
22	sentence	2	pale	11.10205247145637	
22	sentence	3		0.0	
22	sentence	4	, but not	18.968855885946777	
22	sentence	5	open	14.8536269829294	
22	sentence	6	.	3.405130251817878	
23	sentence	1	The paint was	18.871006872686333	
23	sentence	2	pale	11.10205247145637	
23	sentence	3		0.0	
23	sentence	4	, but not	18.968855885946777	
23	sentence	5	few	18.002940264860186	
23	sentence	6	.	4.722329896337551	
24	sentence	1	The paint was	18.871006872686333	
24	sentence	2	pale	11.10205247145637	
24	sentence	3		0.0	
24	sentence	4	, but not	18.968855885946777	
24	sentence	5	true	13.330559633778023	
24	sentence	6	.	2.950540893543078	
25	sentence	1	The paint was	18.871006872686333	
25	sentence	2	pale	11.10205247145637	
25	sentence	3		0.0	
25	sentence	4	, but not	18.968855885946777	
25	sentence	5	young	15.22979844378619	
25	sentence	6	.	3.4120085259564847	
26	sentence	1	The paint was	18.871006872686333	
26	sentence	2	pale	11.10205247145637	
26	sentence	3		0.0	
26	sentence	4	, but not	18.968855885946777	
26	sentence	5	second	15.582084954091155	
26	sentence	6	.	10.769683615913129	
27	sentence	1	The paint was	18.871006872686333	
27	sentence	2	pale	11.10205247145637	
27	sentence	3		0.0	
27	sentence	4	, but not	18.968855885946777	
27	sentence	5	easy	13.455234672902696	
27	sentence	6	.	6.848474360726868	
28	sentence	1	The paint was	18.871006872686333	
28	sentence	2	pale	11.10205247145637	
28	sentence	3		0.0	
28	sentence	4	, but not	18.968855885946777	
28	sentence	5	different	12.899904069127894	
28	sentence	6	.	5.548363256362225	
29	sentence	1	The paint was	18.871006872686333	
29	sentence	2	pale	11.10205247145637	
29	sentence	3		0.0	
29	sentence	4	, but not	18.968855885946777	
29	sentence	5	married	19.832967752716332	
29	sentence	6	.	4.862449665440309	
30	sentence	1	The paint was	18.871006872686333	
30	sentence	2	pale	11.10205247145637	
30	sentence	3		0.0	
30	sentence	4	, but not	18.968855885946777	
30	sentence	5	important	15.241443733041413	
30	sentence	6	.	3.0229239197423117	
31	sentence	1	The paint was	18.871006872686333	
31	sentence	2	pale	11.10205247145637	
31	sentence	3		0.0	
31	sentence	4	, but not	18.968855885946777	
31	sentence	5	able	14.301653480499441	
31	sentence	6	.	12.145118993772062	
32	sentence	1	The paint was	18.871006872686333	
32	sentence	2	pale	11.10205247145637	
32	sentence	3		0.0	
32	sentence	4	, but not	18.968855885946777	
32	sentence	5	high	13.043422903342305	
32	sentence	6	.	4.478423412953313	
33	sentence	1	The paint was	18.871006872686333	
33	sentence	2	pale	11.10205247145637	
33	sentence	3		0.0	
33	sentence	4	, but not	18.968855885946777	
33	sentence	5	free	14.248655306809557	
33	sentence	6	.	3.5183667248336663	
34	sentence	1	The paint was	18.871006872686333	
34	sentence	2	pale	11.10205247145637	
34	sentence	3		0.0	
34	sentence	4	, but not	18.968855885946777	
34	sentence	5	stupid	13.888487863511457	
34	sentence	6	.	2.9682007600642746	
35	sentence	1	The paint was	18.871006872686333	
35	sentence	2	pale	11.10205247145637	
35	sentence	3		0.0	
35	sentence	4	, but not	18.968855885946777	
35	sentence	5	full	10.947083720278117	
35	sentence	6	.	4.144977258085069	
36	sentence	1	The paint was	18.871006872686333	
36	sentence	2	pale	11.10205247145637	
36	sentence	3		0.0	
36	sentence	4	, but not	18.968855885946777	
36	sentence	5	hot	10.626959341545705	
36	sentence	6	.	2.247540138327339	
37	sentence	1	The paint was	18.871006872686333	
37	sentence	2	pale	11.10205247145637	
37	sentence	3		0.0	
37	sentence	4	, but not	18.968855885946777	
37	sentence	5	clear	8.599545301502502	
37	sentence	6	.	2.796491045668385	
38	sentence	1	The paint was	18.871006872686333	
38	sentence	2	pale	11.10205247145637	
38	sentence	3		0.0	
38	sentence	4	, but not	18.968855885946777	
38	sentence	5	alive	14.32548339660299	
38	sentence	6	.	2.7824237247410615	
39	sentence	1	The paint was	18.871006872686333	
39	sentence	2	pale	11.10205247145637	
39	sentence	3		0.0	
39	sentence	4	, but not	18.968855885946777	
39	sentence	5	black	4.955208164217863	
39	sentence	6	.	2.3363518072502423	
