item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The food is	15.214960124635049	
1	sentence	2	cheap	8.317364423134048	
1	sentence	3		0.0	
1	sentence	4	, but not	18.791288098497198	
1	sentence	5	good	4.891515421366727	
1	sentence	6	.	4.663769803718765	
2	sentence	1	The food is	15.214960124635049	
2	sentence	2	cheap	8.317364423134048	
2	sentence	3		0.0	
2	sentence	4	, but not	18.791288098497198	
2	sentence	5	little	17.057001288584566	
2	sentence	6	.	4.356116918896321	
3	sentence	1	The food is	15.214960124635049	
3	sentence	2	cheap	8.317364423134048	
3	sentence	3		0.0	
3	sentence	4	, but not	18.791288098497198	
3	sentence	5	other	12.852633605642346	
3	sentence	6	.	11.649048108039755	
4	sentence	1	The food is	15.214960124635049	
4	sentence	2	cheap	8.317364423134048	
4	sentence	3		0.0	
4	sentence	4	, but not	18.791288098497198	
4	sentence	5	great	4.784814633049027	
4	sentence	6	.	3.731432247369281	
5	sentence	1	The food is	15.214960124635049	
5	sentence	2	cheap	8.317364423134048	
5	sentence	3		0.0	
5	sentence	4	, but not	18.791288098497198	
5	sentence	5	last	11.061350369372573	
5	sentence	6	.	5.781286239731761	
6	sentence	1	The food is	15.214960124635049	
6	sentence	2	cheap	8.317364423134048	
6	sentence	3		0.0	
6	sentence	4	, but not	18.791288098497198	
6	sentence	5	new	11.930124169859068	
6	sentence	6	.	4.726420331705673	
7	sentence	1	The food is	15.214960124635049	
7	sentence	2	cheap	8.317364423134048	
7	sentence	3		0.0	
7	sentence	4	, but not	18.791288098497198	
7	sentence	5	old	14.007960771412833	
7	sentence	6	.	6.331238602048781	
8	sentence	1	The food is	15.214960124635049	
8	sentence	2	cheap	8.317364423134048	
8	sentence	3		0.0	
8	sentence	4	, but not	18.791288098497198	
8	sentence	5	big	10.419923874714643	
8	sentence	6	.	6.011101840565508	
9	sentence	1	The food is	15.214960124635049	
9	sentence	2	cheap	8.317364423134048	
9	sentence	3		0.0	
9	sentence	4	, but not	18.791288098497198	
9	sentence	5	nice	10.798593899523167	
9	sentence	6	.	3.1185531529280675	
10	sentence	1	The food is	15.214960124635049	
10	sentence	2	cheap	8.317364423134048	
10	sentence	3		0.0	
10	sentence	4	, but not	18.791288098497198	
10	sentence	5	wrong	14.235671304600018	
10	sentence	6	.	3.7794002724867286	
11	sentence	1	The food is	15.214960124635049	
11	sentence	2	cheap	8.317364423134048	
11	sentence	3		0.0	
11	sentence	4	, but not	18.791288098497198	
11	sentence	5	bad	6.139729728937613	
11	sentence	6	.	4.2633267753110085	
12	sentence	1	The food is	15.214960124635049	
12	sentence	2	cheap	8.317364423134048	
12	sentence	3		0.0	
12	sentence	4	, but not	18.791288098497198	
12	sentence	5	same	15.038822028962093	
12	sentence	6	.	8.287576340074006	
13	sentence	1	The food is	15.214960124635049	
13	sentence	2	cheap	8.317364423134048	
13	sentence	3		0.0	
13	sentence	4	, but not	18.791288098497198	
13	sentence	5	next	13.17590595481615	
13	sentence	6	.	13.636862110825891	
14	sentence	1	The food is	15.214960124635049	
14	sentence	2	cheap	8.317364423134048	
14	sentence	3		0.0	
14	sentence	4	, but not	18.791288098497198	
14	sentence	5	dead	12.771006511959238	
14	sentence	6	.	4.701097950157934	
15	sentence	1	The food is	15.214960124635049	
15	sentence	2	cheap	8.317364423134048	
15	sentence	3		0.0	
15	sentence	4	, but not	18.791288098497198	
15	sentence	5	many	8.794437417321445	
15	sentence	6	.	8.696543516589127	
16	sentence	1	The food is	15.214960124635049	
16	sentence	2	cheap	8.317364423134048	
16	sentence	3		0.0	
16	sentence	4	, but not	18.791288098497198	
16	sentence	5	real	11.920746299872821	
16	sentence	6	.	7.183573612835206	
17	sentence	1	The food is	15.214960124635049	
17	sentence	2	cheap	8.317364423134048	
17	sentence	3		0.0	
17	sentence	4	, but not	18.791288098497198	
17	sentence	5	live	12.863222233490667	
17	sentence	6	.	7.272373070989898	
18	sentence	1	The food is	15.214960124635049	
18	sentence	2	cheap	8.317364423134048	
18	sentence	3		0.0	
18	sentence	4	, but not	18.791288098497198	
18	sentence	5	ready	9.586240038448988	
18	sentence	6	.	5.510736548041158	
19	sentence	1	The food is	15.214960124635049	
19	sentence	2	cheap	8.317364423134048	
19	sentence	3		0.0	
19	sentence	4	, but not	18.791288098497198	
19	sentence	5	happy	12.260044680384626	
19	sentence	6	.	4.277621285320121	
20	sentence	1	The food is	15.214960124635049	
20	sentence	2	cheap	8.317364423134048	
20	sentence	3		0.0	
20	sentence	4	, but not	18.791288098497198	
20	sentence	5	whole	11.864346997279474	
20	sentence	6	.	5.115194337252388	
21	sentence	1	The food is	15.214960124635049	
21	sentence	2	cheap	8.317364423134048	
21	sentence	3		0.0	
21	sentence	4	, but not	18.791288098497198	
21	sentence	5	hard	10.019063960361194	
21	sentence	6	.	4.84899511869801	
22	sentence	1	The food is	15.214960124635049	
22	sentence	2	cheap	8.317364423134048	
22	sentence	3		0.0	
22	sentence	4	, but not	18.791288098497198	
22	sentence	5	open	13.11783360499521	
22	sentence	6	.	7.225913677685819	
23	sentence	1	The food is	15.214960124635049	
23	sentence	2	cheap	8.317364423134048	
23	sentence	3		0.0	
23	sentence	4	, but not	18.791288098497198	
23	sentence	5	few	15.984401905462713	
23	sentence	6	.	5.235676783314328	
24	sentence	1	The food is	15.214960124635049	
24	sentence	2	cheap	8.317364423134048	
24	sentence	3		0.0	
24	sentence	4	, but not	18.791288098497198	
24	sentence	5	true	10.85574167061307	
24	sentence	6	.	4.690316357775345	
25	sentence	1	The food is	15.214960124635049	
25	sentence	2	cheap	8.317364423134048	
25	sentence	3		0.0	
25	sentence	4	, but not	18.791288098497198	
25	sentence	5	young	17.215676609854214	
25	sentence	6	.	5.20894723971723	
26	sentence	1	The food is	15.214960124635049	
26	sentence	2	cheap	8.317364423134048	
26	sentence	3		0.0	
26	sentence	4	, but not	18.791288098497198	
26	sentence	5	second	13.763079490363504	
26	sentence	6	.	11.851686322453558	
27	sentence	1	The food is	15.214960124635049	
27	sentence	2	cheap	8.317364423134048	
27	sentence	3		0.0	
27	sentence	4	, but not	18.791288098497198	
27	sentence	5	easy	8.42713750952676	
27	sentence	6	.	3.9856332682688658	
28	sentence	1	The food is	15.214960124635049	
28	sentence	2	cheap	8.317364423134048	
28	sentence	3		0.0	
28	sentence	4	, but not	18.791288098497198	
28	sentence	5	different	14.261493467731164	
28	sentence	6	.	5.595081311573201	
29	sentence	1	The food is	15.214960124635049	
29	sentence	2	cheap	8.317364423134048	
29	sentence	3		0.0	
29	sentence	4	, but not	18.791288098497198	
29	sentence	5	married	20.765838799248794	
29	sentence	6	.	5.9451224163885	
30	sentence	1	The food is	15.214960124635049	
30	sentence	2	cheap	8.317364423134048	
30	sentence	3		0.0	
30	sentence	4	, but not	18.791288098497198	
30	sentence	5	important	12.224470413018954	
30	sentence	6	.	2.894322172733138	
31	sentence	1	The food is	15.214960124635049	
31	sentence	2	cheap	8.317364423134048	
31	sentence	3		0.0	
31	sentence	4	, but not	18.791288098497198	
31	sentence	5	able	13.225128765354293	
31	sentence	6	.	10.927245865466393	
32	sentence	1	The food is	15.214960124635049	
32	sentence	2	cheap	8.317364423134048	
32	sentence	3		0.0	
32	sentence	4	, but not	18.791288098497198	
32	sentence	5	high	7.625670839281935	
32	sentence	6	.	8.664426788436403	
33	sentence	1	The food is	15.214960124635049	
33	sentence	2	cheap	8.317364423134048	
33	sentence	3		0.0	
33	sentence	4	, but not	18.791288098497198	
33	sentence	5	free	10.114339597216777	
33	sentence	6	.	2.114552489755862	
34	sentence	1	The food is	15.214960124635049	
34	sentence	2	cheap	8.317364423134048	
34	sentence	3		0.0	
34	sentence	4	, but not	18.791288098497198	
34	sentence	5	stupid	12.878037506966594	
34	sentence	6	.	2.9293264895938487	
35	sentence	1	The food is	15.214960124635049	
35	sentence	2	cheap	8.317364423134048	
35	sentence	3		0.0	
35	sentence	4	, but not	18.791288098497198	
35	sentence	5	full	10.734379705274616	
35	sentence	6	.	5.23253775597078	
36	sentence	1	The food is	15.214960124635049	
36	sentence	2	cheap	8.317364423134048	
36	sentence	3		0.0	
36	sentence	4	, but not	18.791288098497198	
36	sentence	5	hot	7.627376907178494	
36	sentence	6	.	2.545263088854266	
37	sentence	1	The food is	15.214960124635049	
37	sentence	2	cheap	8.317364423134048	
37	sentence	3		0.0	
37	sentence	4	, but not	18.791288098497198	
37	sentence	5	clear	12.42607260394396	
37	sentence	6	.	4.597179153200591	
38	sentence	1	The food is	15.214960124635049	
38	sentence	2	cheap	8.317364423134048	
38	sentence	3		0.0	
38	sentence	4	, but not	18.791288098497198	
38	sentence	5	alive	16.455760948057844	
38	sentence	6	.	3.3758078977763724	
39	sentence	1	The food is	15.214960124635049	
39	sentence	2	cheap	8.317364423134048	
39	sentence	3		0.0	
39	sentence	4	, but not	18.791288098497198	
39	sentence	5	black	13.714935355011573	
39	sentence	6	.	4.520623483926124	
40	sentence	1	The food is	15.214960124635049	
40	sentence	2	cheap	8.317364423134048	
40	sentence	3		0.0	
40	sentence	4	, but not	18.791288098497198	
40	sentence	5	white	12.982404834677387	
40	sentence	6	.	4.732113645379835	
41	sentence	1	The food is	15.214960124635049	
41	sentence	2	cheap	8.317364423134048	
41	sentence	3		0.0	
41	sentence	4	, but not	18.791288098497198	
41	sentence	5	small	13.809198358018874	
41	sentence	6	.	3.973046889948122	
42	sentence	1	The food is	15.214960124635049	
42	sentence	2	cheap	8.317364423134048	
42	sentence	3		0.0	
42	sentence	4	, but not	18.791288098497198	
42	sentence	5	safe	10.449939662804427	
42	sentence	6	.	2.7888156319430286	
43	sentence	1	The food is	15.214960124635049	
43	sentence	2	cheap	8.317364423134048	
43	sentence	3		0.0	
43	sentence	4	, but not	18.791288098497198	
43	sentence	5	poor	11.188325848435188	
43	sentence	6	.	2.972682971911061	
44	sentence	1	The food is	15.214960124635049	
44	sentence	2	cheap	8.317364423134048	
44	sentence	3		0.0	
44	sentence	4	, but not	18.791288098497198	
44	sentence	5	special	10.718859990860755	
44	sentence	6	.	3.6015182727340243	
45	sentence	1	The food is	15.214960124635049	
45	sentence	2	cheap	8.317364423134048	
45	sentence	3		0.0	
45	sentence	4	, but not	18.791288098497198	
45	sentence	5	serious	16.160358043491055	
45	sentence	6	.	3.2720229033214	
46	sentence	1	The food is	15.214960124635049	
46	sentence	2	cheap	8.317364423134048	
46	sentence	3		0.0	
46	sentence	4	, but not	18.791288098497198	
46	sentence	5	possible	12.494865664289083	
46	sentence	6	.	5.900510116754687	
47	sentence	1	The food is	15.214960124635049	
47	sentence	2	cheap	8.317364423134048	
