item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The coast was	19.698558495552824	
1	sentence	2	largely	8.303399431883987	
1	sentence	3	flooded	7.693928689617573	
1	sentence	4	, but not	21.35675261348711	
1	sentence	5	always	7.407647744852549	
1	sentence	6	.	6.350262634956622	
2	sentence	1	The coast was	19.698558495552824	
2	sentence	2	largely	8.303399431883987	
2	sentence	3	flooded	7.693928689617573	
2	sentence	4	, but not	21.35675261348711	
2	sentence	5	actually	12.855397710807013	
2	sentence	6	.	12.623708187009465	
3	sentence	1	The coast was	19.698558495552824	
3	sentence	2	largely	8.303399431883987	
3	sentence	3	flooded	7.693928689617573	
3	sentence	4	, but not	21.35675261348711	
3	sentence	5	sometimes	19.33702482207627	
3	sentence	6	.	5.390387560516287	
4	sentence	1	The coast was	19.698558495552824	
4	sentence	2	largely	8.303399431883987	
4	sentence	3	flooded	7.693928689617573	
4	sentence	4	, but not	21.35675261348711	
4	sentence	5	finally	16.367123841525565	
4	sentence	6	.	8.246874925920814	
5	sentence	1	The coast was	19.698558495552824	
5	sentence	2	largely	8.303399431883987	
5	sentence	3	flooded	7.693928689617573	
5	sentence	4	, but not	21.35675261348711	
5	sentence	5	absolutely	12.742621119399631	
5	sentence	6	.	9.340342683898362	
6	sentence	1	The coast was	19.698558495552824	
6	sentence	2	largely	8.303399431883987	
6	sentence	3	flooded	7.693928689617573	
6	sentence	4	, but not	21.35675261348711	
6	sentence	5	completely	3.4355914749733967	
6	sentence	6	.	7.832661590623774	
7	sentence	1	The coast was	19.698558495552824	
7	sentence	2	largely	8.303399431883987	
7	sentence	3	flooded	7.693928689617573	
7	sentence	4	, but not	21.35675261348711	
7	sentence	5	forever	12.154754149804	
7	sentence	6	.	4.318502937291418	
8	sentence	1	The coast was	19.698558495552824	
8	sentence	2	largely	8.303399431883987	
8	sentence	3	flooded	7.693928689617573	
8	sentence	4	, but not	21.35675261348711	
8	sentence	5	seriously	11.340101225752221	
8	sentence	6	.	7.625501608353486	
9	sentence	1	The coast was	19.698558495552824	
9	sentence	2	largely	8.303399431883987	
9	sentence	3	flooded	7.693928689617573	
9	sentence	4	, but not	21.35675261348711	
9	sentence	5	anywhere	12.662303845585493	
9	sentence	6	.	12.241222899074199	
10	sentence	1	The coast was	19.698558495552824	
10	sentence	2	largely	8.303399431883987	
10	sentence	3	flooded	7.693928689617573	
10	sentence	4	, but not	21.35675261348711	
10	sentence	5	quickly	8.483659263767521	
10	sentence	6	.	6.425259453483669	
11	sentence	1	The coast was	19.698558495552824	
11	sentence	2	largely	8.303399431883987	
11	sentence	3	flooded	7.693928689617573	
11	sentence	4	, but not	21.35675261348711	
11	sentence	5	forward	19.54098248738749	
11	sentence	6	.	7.229023124013419	
12	sentence	1	The coast was	19.698558495552824	
12	sentence	2	largely	8.303399431883987	
12	sentence	3	flooded	7.693928689617573	
12	sentence	4	, but not	21.35675261348711	
12	sentence	5	often	13.229455848850002	
12	sentence	6	.	5.822988592912975	
13	sentence	1	The coast was	19.698558495552824	
13	sentence	2	largely	8.303399431883987	
13	sentence	3	flooded	7.693928689617573	
13	sentence	4	, but not	21.35675261348711	
13	sentence	5	obviously	15.138843011120283	
13	sentence	6	.	10.218504673330155	
