item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The line was	14.945146174724837	
1	sentence	2	thin	11.082839945563183	
1	sentence	3		0.0	
1	sentence	4	, but not	19.346689731106807	
1	sentence	5	good	10.503437274112414	
1	sentence	6	.	4.8579664216976175	
2	sentence	1	The line was	14.945146174724837	
2	sentence	2	thin	11.082839945563183	
2	sentence	3		0.0	
2	sentence	4	, but not	19.346689731106807	
2	sentence	5	little	13.517420847732275	
2	sentence	6	.	4.091645438052511	
3	sentence	1	The line was	14.945146174724837	
3	sentence	2	thin	11.082839945563183	
3	sentence	3		0.0	
3	sentence	4	, but not	19.346689731106807	
3	sentence	5	other	14.739835005951326	
3	sentence	6	.	9.737210536959982	
4	sentence	1	The line was	14.945146174724837	
4	sentence	2	thin	11.082839945563183	
4	sentence	3		0.0	
4	sentence	4	, but not	19.346689731106807	
4	sentence	5	great	8.687553639463227	
4	sentence	6	.	4.028657824069913	
5	sentence	1	The line was	14.945146174724837	
5	sentence	2	thin	11.082839945563183	
5	sentence	3		0.0	
5	sentence	4	, but not	19.346689731106807	
5	sentence	5	last	11.477227808799363	
5	sentence	6	.	8.462935354338553	
6	sentence	1	The line was	14.945146174724837	
6	sentence	2	thin	11.082839945563183	
6	sentence	3		0.0	
6	sentence	4	, but not	19.346689731106807	
6	sentence	5	new	13.338437815048746	
6	sentence	6	.	5.29243793740509	
7	sentence	1	The line was	14.945146174724837	
7	sentence	2	thin	11.082839945563183	
7	sentence	3		0.0	
7	sentence	4	, but not	19.346689731106807	
7	sentence	5	old	12.618102928452545	
7	sentence	6	.	5.071211150155431	
8	sentence	1	The line was	14.945146174724837	
8	sentence	2	thin	11.082839945563183	
8	sentence	3		0.0	
8	sentence	4	, but not	19.346689731106807	
8	sentence	5	big	10.183048730028279	
8	sentence	6	.	4.973845580126564	
9	sentence	1	The line was	14.945146174724837	
9	sentence	2	thin	11.082839945563183	
9	sentence	3		0.0	
9	sentence	4	, but not	19.346689731106807	
9	sentence	5	nice	15.047796771614719	
9	sentence	6	.	3.9316575451914786	
10	sentence	1	The line was	14.945146174724837	
10	sentence	2	thin	11.082839945563183	
10	sentence	3		0.0	
10	sentence	4	, but not	19.346689731106807	
10	sentence	5	wrong	11.663453374876026	
10	sentence	6	.	4.010587262978456	
11	sentence	1	The line was	14.945146174724837	
11	sentence	2	thin	11.082839945563183	
