item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The food is	15.214960124635049	
1	sentence	2	palatable	13.551584166743037	
1	sentence	3		0.0	
1	sentence	4	, but not	17.768128224053573	
1	sentence	5	good	5.824415360984533	
1	sentence	6	.	5.140891640979007	
2	sentence	1	The food is	15.214960124635049	
2	sentence	2	palatable	13.551584166743037	
2	sentence	3		0.0	
2	sentence	4	, but not	17.768128224053573	
2	sentence	5	little	17.33841443639957	
2	sentence	6	.	5.904232509249963	
3	sentence	1	The food is	15.214960124635049	
3	sentence	2	palatable	13.551584166743037	
3	sentence	3		0.0	
3	sentence	4	, but not	17.768128224053573	
3	sentence	5	other	12.530759131454754	
3	sentence	6	.	12.153738764233307	
4	sentence	1	The food is	15.214960124635049	
4	sentence	2	palatable	13.551584166743037	
4	sentence	3		0.0	
4	sentence	4	, but not	17.768128224053573	
4	sentence	5	great	5.75448824703962	
4	sentence	6	.	4.6629339680355715	
5	sentence	1	The food is	15.214960124635049	
5	sentence	2	palatable	13.551584166743037	
5	sentence	3		0.0	
5	sentence	4	, but not	17.768128224053573	
5	sentence	5	last	11.950762087962605	
5	sentence	6	.	6.883674393844261	
6	sentence	1	The food is	15.214960124635049	
6	sentence	2	palatable	13.551584166743037	
6	sentence	3		0.0	
6	sentence	4	, but not	17.768128224053573	
6	sentence	5	new	13.019597114822375	
6	sentence	6	.	5.201014711928835	
7	sentence	1	The food is	15.214960124635049	
7	sentence	2	palatable	13.551584166743037	
7	sentence	3		0.0	
7	sentence	4	, but not	17.768128224053573	
7	sentence	5	old	15.134559955183196	
7	sentence	6	.	8.317890002115085	
8	sentence	1	The food is	15.214960124635049	
8	sentence	2	palatable	13.551584166743037	
8	sentence	3		0.0	
8	sentence	4	, but not	17.768128224053573	
8	sentence	5	big	11.269292528738985	
8	sentence	6	.	6.73187149930309	
9	sentence	1	The food is	15.214960124635049	
9	sentence	2	palatable	13.551584166743037	
9	sentence	3		0.0	
9	sentence	4	, but not	17.768128224053573	
9	sentence	5	nice	11.41332868676719	
9	sentence	6	.	3.4579887755952603	
10	sentence	1	The food is	15.214960124635049	
10	sentence	2	palatable	13.551584166743037	
10	sentence	3		0.0	
10	sentence	4	, but not	17.768128224053573	
10	sentence	5	wrong	14.280469345496764	
10	sentence	6	.	4.278485326158056	
11	sentence	1	The food is	15.214960124635049	
11	sentence	2	palatable	13.551584166743037	
11	sentence	3		0.0	
11	sentence	4	, but not	17.768128224053573	
11	sentence	5	bad	7.809717041206865	
11	sentence	6	.	5.0810819224190515	
12	sentence	1	The food is	15.214960124635049	
12	sentence	2	palatable	13.551584166743037	
12	sentence	3		0.0	
12	sentence	4	, but not	17.768128224053573	
12	sentence	5	same	14.683838830691602	
12	sentence	6	.	8.084278400211494	
13	sentence	1	The food is	15.214960124635049	
13	sentence	2	palatable	13.551584166743037	
13	sentence	3		0.0	
13	sentence	4	, but not	17.768128224053573	
13	sentence	5	next	14.087419507833864	
13	sentence	6	.	15.23664748087415	
14	sentence	1	The food is	15.214960124635049	
14	sentence	2	palatable	13.551584166743037	
14	sentence	3		0.0	
14	sentence	4	, but not	17.768128224053573	
14	sentence	5	dead	13.661551940183756	
14	sentence	6	.	4.799735847837884	
15	sentence	1	The food is	15.214960124635049	
15	sentence	2	palatable	13.551584166743037	
15	sentence	3		0.0	
15	sentence	4	, but not	17.768128224053573	
15	sentence	5	many	9.497227321807225	
15	sentence	6	.	13.167294439522149	
16	sentence	1	The food is	15.214960124635049	
16	sentence	2	palatable	13.551584166743037	
16	sentence	3		0.0	
16	sentence	4	, but not	17.768128224053573	
16	sentence	5	real	12.328540554709058	
16	sentence	6	.	5.951017981660077	
17	sentence	1	The food is	15.214960124635049	
17	sentence	2	palatable	13.551584166743037	
17	sentence	3		0.0	
17	sentence	4	, but not	17.768128224053573	
17	sentence	5	live	13.419158216196507	
17	sentence	6	.	5.554452474098674	
18	sentence	1	The food is	15.214960124635049	
18	sentence	2	palatable	13.551584166743037	
18	sentence	3		0.0	
18	sentence	4	, but not	17.768128224053573	
18	sentence	5	ready	10.169285990375633	
18	sentence	6	.	5.3887888097938665	
19	sentence	1	The food is	15.214960124635049	
19	sentence	2	palatable	13.551584166743037	
19	sentence	3		0.0	
19	sentence	4	, but not	17.768128224053573	
19	sentence	5	happy	12.910584879677078	
19	sentence	6	.	3.181859278780064	
20	sentence	1	The food is	15.214960124635049	
20	sentence	2	palatable	13.551584166743037	
20	sentence	3		0.0	
20	sentence	4	, but not	17.768128224053573	
20	sentence	5	whole	9.685962458725278	
20	sentence	6	.	4.697132374194339	
21	sentence	1	The food is	15.214960124635049	
21	sentence	2	palatable	13.551584166743037	
21	sentence	3		0.0	
21	sentence	4	, but not	17.768128224053573	
21	sentence	5	hard	9.731442926780646	
21	sentence	6	.	5.798329720432266	
22	sentence	1	The food is	15.214960124635049	
22	sentence	2	palatable	13.551584166743037	
22	sentence	3		0.0	
22	sentence	4	, but not	17.768128224053573	
22	sentence	5	open	14.487828139711448	
22	sentence	6	.	6.7811410891222685	
23	sentence	1	The food is	15.214960124635049	
23	sentence	2	palatable	13.551584166743037	
23	sentence	3		0.0	
23	sentence	4	, but not	17.768128224053573	
23	sentence	5	few	16.810314877631782	
23	sentence	6	.	8.18930201371798	
24	sentence	1	The food is	15.214960124635049	
24	sentence	2	palatable	13.551584166743037	
24	sentence	3		0.0	
24	sentence	4	, but not	17.768128224053573	
24	sentence	5	true	10.999953938875757	
24	sentence	6	.	4.90039213390836	
25	sentence	1	The food is	15.214960124635049	
25	sentence	2	palatable	13.551584166743037	
25	sentence	3		0.0	
25	sentence	4	, but not	17.768128224053573	
25	sentence	5	young	17.866205802257014	
25	sentence	6	.	5.140828351363489	
26	sentence	1	The food is	15.214960124635049	
26	sentence	2	palatable	13.551584166743037	
26	sentence	3		0.0	
26	sentence	4	, but not	17.768128224053573	
26	sentence	5	second	15.229912640266363	
26	sentence	6	.	13.180231662450652	
27	sentence	1	The food is	15.214960124635049	
27	sentence	2	palatable	13.551584166743037	
27	sentence	3		0.0	
27	sentence	4	, but not	17.768128224053573	
27	sentence	5	easy	8.211567575629282	
27	sentence	6	.	4.9541876191676435	
28	sentence	1	The food is	15.214960124635049	
28	sentence	2	palatable	13.551584166743037	
28	sentence	3		0.0	
28	sentence	4	, but not	17.768128224053573	
28	sentence	5	different	13.576259552245459	
28	sentence	6	.	6.206649554249538	
29	sentence	1	The food is	15.214960124635049	
29	sentence	2	palatable	13.551584166743037	
29	sentence	3		0.0	
29	sentence	4	, but not	17.768128224053573	
29	sentence	5	married	21.71135263441148	
29	sentence	6	.	5.913595244762933	
30	sentence	1	The food is	15.214960124635049	
30	sentence	2	palatable	13.551584166743037	
30	sentence	3		0.0	
30	sentence	4	, but not	17.768128224053573	
30	sentence	5	important	12.226517694494826	
30	sentence	6	.	3.201229684746742	
31	sentence	1	The food is	15.214960124635049	
31	sentence	2	palatable	13.551584166743037	
31	sentence	3		0.0	
31	sentence	4	, but not	17.768128224053573	
31	sentence	5	able	12.76445741261438	
31	sentence	6	.	11.085194044088194	
