item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The banana was	20.60766704318087	
1	sentence	2	soft	8.612669641555145	
1	sentence	3		0.0	
1	sentence	4	, but not	16.613859095551195	
1	sentence	5	good	10.501023325624905	
1	sentence	6	.	5.114362629152815	
2	sentence	1	The banana was	20.60766704318087	
2	sentence	2	soft	8.612669641555145	
2	sentence	3		0.0	
2	sentence	4	, but not	16.613859095551195	
2	sentence	5	little	16.02039581049649	
2	sentence	6	.	3.9080594617012907	
3	sentence	1	The banana was	20.60766704318087	
3	sentence	2	soft	8.612669641555145	
3	sentence	3		0.0	
3	sentence	4	, but not	16.613859095551195	
3	sentence	5	other	14.99799885109209	
3	sentence	6	.	9.689574094393398	
4	sentence	1	The banana was	20.60766704318087	
4	sentence	2	soft	8.612669641555145	
4	sentence	3		0.0	
4	sentence	4	, but not	16.613859095551195	
4	sentence	5	great	10.232080983789265	
4	sentence	6	.	4.49194331310294	
5	sentence	1	The banana was	20.60766704318087	
5	sentence	2	soft	8.612669641555145	
5	sentence	3		0.0	
5	sentence	4	, but not	16.613859095551195	
5	sentence	5	last	13.542557831982382	
5	sentence	6	.	6.691781655456366	
6	sentence	1	The banana was	20.60766704318087	
6	sentence	2	soft	8.612669641555145	
6	sentence	3		0.0	
6	sentence	4	, but not	16.613859095551195	
6	sentence	5	new	14.534531748379752	
6	sentence	6	.	4.837529379330288	
7	sentence	1	The banana was	20.60766704318087	
7	sentence	2	soft	8.612669641555145	
7	sentence	3		0.0	
7	sentence	4	, but not	16.613859095551195	
7	sentence	5	old	13.291325575601991	
7	sentence	6	.	5.157347628944164	
8	sentence	1	The banana was	20.60766704318087	
8	sentence	2	soft	8.612669641555145	
8	sentence	3		0.0	
8	sentence	4	, but not	16.613859095551195	
8	sentence	5	big	9.864682013987686	
8	sentence	6	.	4.856858853426061	
9	sentence	1	The banana was	20.60766704318087	
9	sentence	2	soft	8.612669641555145	
9	sentence	3		0.0	
9	sentence	4	, but not	16.613859095551195	
9	sentence	5	nice	13.237160671608656	
9	sentence	6	.	3.985803875058522	
10	sentence	1	The banana was	20.60766704318087	
10	sentence	2	soft	8.612669641555145	
10	sentence	3		0.0	
10	sentence	4	, but not	16.613859095551195	
10	sentence	5	wrong	13.396562447595548	
10	sentence	6	.	4.654846311896097	
11	sentence	1	The banana was	20.60766704318087	
11	sentence	2	soft	8.612669641555145	
11	sentence	3		0.0	
11	sentence	4	, but not	16.613859095551195	
11	sentence	5	bad	7.222654262486667	
11	sentence	6	.	5.204942795674541	
12	sentence	1	The banana was	20.60766704318087	
12	sentence	2	soft	8.612669641555145	
12	sentence	3		0.0	
12	sentence	4	, but not	16.613859095551195	
12	sentence	5	same	17.335201800481453	
12	sentence	6	.	7.1438112239557245	
13	sentence	1	The banana was	20.60766704318087	
13	sentence	2	soft	8.612669641555145	
13	sentence	3		0.0	
13	sentence	4	, but not	16.613859095551195	
13	sentence	5	next	15.999834940620538	
13	sentence	6	.	13.451918847394062	
14	sentence	1	The banana was	20.60766704318087	
14	sentence	2	soft	8.612669641555145	
14	sentence	3		0.0	
14	sentence	4	, but not	16.613859095551195	
14	sentence	5	dead	10.519360803790502	
14	sentence	6	.	3.9278501932666776	
15	sentence	1	The banana was	20.60766704318087	
15	sentence	2	soft	8.612669641555145	
15	sentence	3		0.0	
15	sentence	4	, but not	16.613859095551195	
15	sentence	5	many	12.818810809593064	
15	sentence	6	.	9.649718834882451	
16	sentence	1	The banana was	20.60766704318087	
16	sentence	2	soft	8.612669641555145	
16	sentence	3		0.0	
16	sentence	4	, but not	16.613859095551195	
16	sentence	5	real	14.433818708034492	
16	sentence	6	.	5.890594285036541	
17	sentence	1	The banana was	20.60766704318087	
17	sentence	2	soft	8.612669641555145	
17	sentence	3		0.0	
17	sentence	4	, but not	16.613859095551195	
17	sentence	5	live	16.67402894578206	
17	sentence	6	.	5.119106254628913	
18	sentence	1	The banana was	20.60766704318087	
18	sentence	2	soft	8.612669641555145	
18	sentence	3		0.0	
18	sentence	4	, but not	16.613859095551195	
18	sentence	5	ready	11.820496924754286	
18	sentence	6	.	6.456114516909663	
19	sentence	1	The banana was	20.60766704318087	
19	sentence	2	soft	8.612669641555145	
19	sentence	3		0.0	
19	sentence	4	, but not	16.613859095551195	
19	sentence	5	happy	13.995216169053295	
19	sentence	6	.	4.299425933727112	
20	sentence	1	The banana was	20.60766704318087	
20	sentence	2	soft	8.612669641555145	
20	sentence	3		0.0	
20	sentence	4	, but not	16.613859095551195	
20	sentence	5	whole	13.144372591815152	
20	sentence	6	.	3.223811006805029	
21	sentence	1	The banana was	20.60766704318087	
21	sentence	2	soft	8.612669641555145	
21	sentence	3		0.0	
21	sentence	4	, but not	16.613859095551195	
21	sentence	5	hard	6.913866980099132	
21	sentence	6	.	3.863370801770495	
22	sentence	1	The banana was	20.60766704318087	
22	sentence	2	soft	8.612669641555145	
22	sentence	3		0.0	
22	sentence	4	, but not	16.613859095551195	
22	sentence	5	open	13.990659316736034	
22	sentence	6	.	4.826661451656966	
23	sentence	1	The banana was	20.60766704318087	
23	sentence	2	soft	8.612669641555145	
23	sentence	3		0.0	
23	sentence	4	, but not	16.613859095551195	
23	sentence	5	few	18.807450340094682	
23	sentence	6	.	5.7887048833593795	
24	sentence	1	The banana was	20.60766704318087	
24	sentence	2	soft	8.612669641555145	
24	sentence	3		0.0	
24	sentence	4	, but not	16.613859095551195	
24	sentence	5	true	14.254395399764755	
24	sentence	6	.	5.145631826802088	
25	sentence	1	The banana was	20.60766704318087	
25	sentence	2	soft	8.612669641555145	
25	sentence	3		0.0	
25	sentence	4	, but not	16.613859095551195	
25	sentence	5	young	18.115282084126186	
25	sentence	6	.	4.250634455677333	
26	sentence	1	The banana was	20.60766704318087	
26	sentence	2	soft	8.612669641555145	
26	sentence	3		0.0	
26	sentence	4	, but not	16.613859095551195	
26	sentence	5	second	16.134074966855597	
26	sentence	6	.	11.426048523625004	
27	sentence	1	The banana was	20.60766704318087	
27	sentence	2	soft	8.612669641555145	
27	sentence	3		0.0	
27	sentence	4	, but not	16.613859095551195	
27	sentence	5	easy	12.143945384162574	
27	sentence	6	.	6.928336912412125	
28	sentence	1	The banana was	20.60766704318087	
28	sentence	2	soft	8.612669641555145	
28	sentence	3		0.0	
28	sentence	4	, but not	16.613859095551195	
28	sentence	5	different	14.237290693240544	
28	sentence	6	.	5.97685940684812	
29	sentence	1	The banana was	20.60766704318087	
29	sentence	2	soft	8.612669641555145	
29	sentence	3		0.0	
29	sentence	4	, but not	16.613859095551195	
29	sentence	5	married	19.210797811510208	
29	sentence	6	.	5.751973860684005	
30	sentence	1	The banana was	20.60766704318087	
30	sentence	2	soft	8.612669641555145	
30	sentence	3		0.0	
30	sentence	4	, but not	16.613859095551195	
30	sentence	5	important	14.614287670821474	
30	sentence	6	.	3.7869086910580974	
31	sentence	1	The banana was	20.60766704318087	
31	sentence	2	soft	8.612669641555145	
31	sentence	3		0.0	
31	sentence	4	, but not	16.613859095551195	
31	sentence	5	able	13.636446600741406	
31	sentence	6	.	12.508869179652937	
32	sentence	1	The banana was	20.60766704318087	
32	sentence	2	soft	8.612669641555145	
32	sentence	3		0.0	
32	sentence	4	, but not	16.613859095551195	
32	sentence	5	high	12.398578769446429	
32	sentence	6	.	6.609270570947822	
33	sentence	1	The banana was	20.60766704318087	
33	sentence	2	soft	8.612669641555145	
33	sentence	3		0.0	
33	sentence	4	, but not	16.613859095551195	
33	sentence	5	free	15.64878120195696	
33	sentence	6	.	4.382447462743417	
34	sentence	1	The banana was	20.60766704318087	
34	sentence	2	soft	8.612669641555145	
34	sentence	3		0.0	
34	sentence	4	, but not	16.613859095551195	
34	sentence	5	stupid	13.540554578065132	
34	sentence	6	.	3.6997107353482397	
35	sentence	1	The banana was	20.60766704318087	
35	sentence	2	soft	8.612669641555145	
35	sentence	3		0.0	
35	sentence	4	, but not	16.613859095551195	
35	sentence	5	full	9.497338078634382	
35	sentence	6	.	3.975510369439081	
36	sentence	1	The banana was	20.60766704318087	
36	sentence	2	soft	8.612669641555145	
36	sentence	3		0.0	
36	sentence	4	, but not	16.613859095551195	
36	sentence	5	hot	8.407909161229696	
36	sentence	6	.	2.782296285596772	
37	sentence	1	The banana was	20.60766704318087	
37	sentence	2	soft	8.612669641555145	
37	sentence	3		0.0	
37	sentence	4	, but not	16.613859095551195	
37	sentence	5	clear	12.291833953570107	
37	sentence	6	.	3.64864874234177	
38	sentence	1	The banana was	20.60766704318087	
38	sentence	2	soft	8.612669641555145	
38	sentence	3		0.0	
38	sentence	4	, but not	16.613859095551195	
38	sentence	5	alive	16.578478136685096	
38	sentence	6	.	3.191234053078596	
39	sentence	1	The banana was	20.60766704318087	
39	sentence	2	soft	8.612669641555145	
39	sentence	3		0.0	
39	sentence	4	, but not	16.613859095551195	
39	sentence	5	black	10.168494182251061	
39	sentence	6	.	3.342083819768684	
40	sentence	1	The banana was	20.60766704318087	
40	sentence	2	soft	8.612669641555145	
40	sentence	3		0.0	
40	sentence	4	, but not	16.613859095551195	
40	sentence	5	white	10.1894513001546	
40	sentence	6	.	3.5378076436871986	
41	sentence	1	The banana was	20.60766704318087	
41	sentence	2	soft	8.612669641555145	
41	sentence	3		0.0	
41	sentence	4	, but not	16.613859095551195	
41	sentence	5	small	13.231327020091388	
41	sentence	6	.	3.352402434855151	
42	sentence	1	The banana was	20.60766704318087	
42	sentence	2	soft	8.612669641555145	
42	sentence	3		0.0	
42	sentence	4	, but not	16.613859095551195	
42	sentence	5	safe	16.92134274944519	
42	sentence	6	.	4.384571448481573	
43	sentence	1	The banana was	20.60766704318087	
43	sentence	2	soft	8.612669641555145	
43	sentence	3		0.0	
43	sentence	4	, but not	16.613859095551195	
43	sentence	5	poor	13.478519747968313	
43	sentence	6	.	4.427494534518611	
44	sentence	1	The banana was	20.60766704318087	
44	sentence	2	soft	8.612669641555145	
44	sentence	3		0.0	
44	sentence	4	, but not	16.613859095551195	
44	sentence	5	special	13.774517024576484	
44	sentence	6	.	3.9816157535447108	
45	sentence	1	The banana was	20.60766704318087	
45	sentence	2	soft	8.612669641555145	
