item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	difficult	6.484083023523577	
1	sentence	3		0.0	
1	sentence	4	, but not	21.848577247569615	
1	sentence	5	good	18.102598019659755	
1	sentence	6	.	3.962712108492474	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	difficult	6.484083023523577	
2	sentence	3		0.0	
2	sentence	4	, but not	21.848577247569615	
2	sentence	5	little	21.325624441611545	
2	sentence	6	.	5.440609934221244	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	difficult	6.484083023523577	
3	sentence	3		0.0	
3	sentence	4	, but not	21.848577247569615	
3	sentence	5	other	20.887153985306213	
3	sentence	6	.	8.088660518155478	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	difficult	6.484083023523577	
4	sentence	3		0.0	
4	sentence	4	, but not	21.848577247569615	
4	sentence	5	great	16.101490445892527	
4	sentence	6	.	3.6629177989185555	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	difficult	6.484083023523577	
5	sentence	3		0.0	
5	sentence	4	, but not	21.848577247569615	
5	sentence	5	last	19.86257766175008	
5	sentence	6	.	6.432396045563872	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	difficult	6.484083023523577	
6	sentence	3		0.0	
6	sentence	4	, but not	21.848577247569615	
6	sentence	5	new	17.193715113269636	
6	sentence	6	.	6.34179489715874	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	difficult	6.484083023523577	
7	sentence	3		0.0	
7	sentence	4	, but not	21.848577247569615	
7	sentence	5	old	21.086004453817413	
7	sentence	6	.	6.470560371651536	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	difficult	6.484083023523577	
8	sentence	3		0.0	
8	sentence	4	, but not	21.848577247569615	
8	sentence	5	big	20.3147186750072	
8	sentence	6	.	6.427184283312125	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	difficult	6.484083023523577	
9	sentence	3		0.0	
9	sentence	4	, but not	21.848577247569615	
9	sentence	5	nice	20.653962021070726	
9	sentence	6	.	3.485269007640421	
10	sentence	1	It is	4.183671634702692	
