item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	silly	14.424409193240486	
1	sentence	3		0.0	
1	sentence	4	, but not	22.017233409999434	
1	sentence	5	good	9.651861738712201	
1	sentence	6	.	4.31579249071382	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	silly	14.424409193240486	
2	sentence	3		0.0	
2	sentence	4	, but not	22.017233409999434	
2	sentence	5	little	14.095750347441658	
2	sentence	6	.	6.1361579932444945	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	silly	14.424409193240486	
3	sentence	3		0.0	
3	sentence	4	, but not	22.017233409999434	
3	sentence	5	other	12.891354467588203	
3	sentence	6	.	9.998933735043003	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	silly	14.424409193240486	
4	sentence	3		0.0	
4	sentence	4	, but not	22.017233409999434	
4	sentence	5	great	11.072399910725206	
4	sentence	6	.	4.009169094039441	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	silly	14.424409193240486	
5	sentence	3		0.0	
5	sentence	4	, but not	22.017233409999434	
5	sentence	5	last	13.954653028951396	
5	sentence	6	.	8.25764791917086	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	silly	14.424409193240486	
6	sentence	3		0.0	
6	sentence	4	, but not	22.017233409999434	
6	sentence	5	new	10.581833845681718	
6	sentence	6	.	6.2564440351191495	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	silly	14.424409193240486	
7	sentence	3		0.0	
7	sentence	4	, but not	22.017233409999434	
7	sentence	5	old	12.719063623815048	
7	sentence	6	.	6.4167029726379425	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	silly	14.424409193240486	
8	sentence	3		0.0	
8	sentence	4	, but not	22.017233409999434	
8	sentence	5	big	13.051911966988893	
8	sentence	6	.	8.008352875369788	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	silly	14.424409193240486	
9	sentence	3		0.0	
9	sentence	4	, but not	22.017233409999434	
9	sentence	5	nice	11.315674185884873	
9	sentence	6	.	3.3110870426383783	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	silly	14.424409193240486	
10	sentence	3		0.0	
10	sentence	4	, but not	22.017233409999434	
10	sentence	5	wrong	7.029063023438852	
10	sentence	6	.	3.877261152550081	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	silly	14.424409193240486	
11	sentence	3		0.0	
11	sentence	4	, but not	22.017233409999434	
11	sentence	5	bad	8.000971379994755	
11	sentence	6	.	4.5946231470434675	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	silly	14.424409193240486	
12	sentence	3		0.0	
12	sentence	4	, but not	22.017233409999434	
12	sentence	5	same	15.653060130310426	
12	sentence	6	.	5.7384938605093785	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	silly	14.424409193240486	
13	sentence	3		0.0	
13	sentence	4	, but not	22.017233409999434	
13	sentence	5	next	14.007320995951623	
13	sentence	6	.	11.266336490935956	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	silly	14.424409193240486	
14	sentence	3		0.0	
14	sentence	4	, but not	22.017233409999434	
14	sentence	5	dead	10.724108901365089	
14	sentence	6	.	4.586063914475328	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	silly	14.424409193240486	
15	sentence	3		0.0	
15	sentence	4	, but not	22.017233409999434	
15	sentence	5	many	10.346264393280705	
15	sentence	6	.	11.657966440382898	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	silly	14.424409193240486	
16	sentence	3		0.0	
16	sentence	4	, but not	22.017233409999434	
16	sentence	5	real	11.358259841960919	
16	sentence	6	.	4.427308793255679	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	silly	14.424409193240486	
17	sentence	3		0.0	
17	sentence	4	, but not	22.017233409999434	
17	sentence	5	live	16.342960967009944	
17	sentence	6	.	5.473490609309101	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	silly	14.424409193240486	
18	sentence	3		0.0	
18	sentence	4	, but not	22.017233409999434	
18	sentence	5	ready	15.160259666666926	
18	sentence	6	.	5.406412903923683	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	silly	14.424409193240486	
19	sentence	3		0.0	
19	sentence	4	, but not	22.017233409999434	
19	sentence	5	happy	14.510787135671029	
19	sentence	6	.	3.6822895807464406	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	silly	14.424409193240486	
20	sentence	3		0.0	
20	sentence	4	, but not	22.017233409999434	
20	sentence	5	whole	16.251042431499204	
20	sentence	6	.	5.306104366773252	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	silly	14.424409193240486	
21	sentence	3		0.0	
21	sentence	4	, but not	22.017233409999434	
21	sentence	5	hard	8.274800780837312	
21	sentence	6	.	5.343359936533757	
22	sentence	1	It is	4.183671634702692	
22	sentence	2	silly	14.424409193240486	
22	sentence	3		0.0	
22	sentence	4	, but not	22.017233409999434	
22	sentence	5	open	14.740148702306499	
22	sentence	6	.	8.382442658220535	
23	sentence	1	It is	4.183671634702692	
23	sentence	2	silly	14.424409193240486	
23	sentence	3		0.0	
23	sentence	4	, but not	22.017233409999434	
23	sentence	5	few	15.024357600093929	
23	sentence	6	.	7.272174946976104	
24	sentence	1	It is	4.183671634702692	
24	sentence	2	silly	14.424409193240486	
24	sentence	3		0.0	
24	sentence	4	, but not	22.017233409999434	
24	sentence	5	true	5.76200492077823	
24	sentence	6	.	2.632578508714663	
25	sentence	1	It is	4.183671634702692	
25	sentence	2	silly	14.424409193240486	
25	sentence	3		0.0	
25	sentence	4	, but not	22.017233409999434	
25	sentence	5	young	16.31642335605121	
25	sentence	6	.	5.786158852196007	
26	sentence	1	It is	4.183671634702692	
26	sentence	2	silly	14.424409193240486	
26	sentence	3		0.0	
26	sentence	4	, but not	22.017233409999434	
26	sentence	5	second	14.862347191258749	
26	sentence	6	.	12.158335516525566	
27	sentence	1	It is	4.183671634702692	
27	sentence	2	silly	14.424409193240486	
27	sentence	3		0.0	
27	sentence	4	, but not	22.017233409999434	
27	sentence	5	easy	8.0745524373399	
27	sentence	6	.	3.9620324330562644	
28	sentence	1	It is	4.183671634702692	
28	sentence	2	silly	14.424409193240486	
28	sentence	3		0.0	
28	sentence	4	, but not	22.017233409999434	
28	sentence	5	different	12.574631217759254	
28	sentence	6	.	6.392895758244305	
29	sentence	1	It is	4.183671634702692	
29	sentence	2	silly	14.424409193240486	
29	sentence	3		0.0	
29	sentence	4	, but not	22.017233409999434	
29	sentence	5	married	17.083504503013128	
29	sentence	6	.	5.1642303746316935	
30	sentence	1	It is	4.183671634702692	
30	sentence	2	silly	14.424409193240486	
30	sentence	3		0.0	
30	sentence	4	, but not	22.017233409999434	
30	sentence	5	important	11.286847141877853	
30	sentence	6	.	3.8484523387040515	
31	sentence	1	It is	4.183671634702692	
31	sentence	2	silly	14.424409193240486	
31	sentence	3		0.0	
31	sentence	4	, but not	22.017233409999434	
31	sentence	5	able	12.54136839722118	
31	sentence	6	.	8.327891825158662	
32	sentence	1	It is	4.183671634702692	
32	sentence	2	silly	14.424409193240486	
32	sentence	3		0.0	
32	sentence	4	, but not	22.017233409999434	
32	sentence	5	high	13.40306476765937	
32	sentence	6	.	7.85928932049156	
33	sentence	1	It is	4.183671634702692	
33	sentence	2	silly	14.424409193240486	
33	sentence	3		0.0	
33	sentence	4	, but not	22.017233409999434	
33	sentence	5	free	13.82986792093017	
33	sentence	6	.	3.156230424148488	
34	sentence	1	It is	4.183671634702692	
34	sentence	2	silly	14.424409193240486	
34	sentence	3		0.0	
34	sentence	4	, but not	22.017233409999434	
34	sentence	5	stupid	5.5386311021152	
34	sentence	6	.	4.556149940114854	
35	sentence	1	It is	4.183671634702692	
35	sentence	2	silly	14.424409193240486	
35	sentence	3		0.0	
35	sentence	4	, but not	22.017233409999434	
35	sentence	5	full	15.08332150797694	
35	sentence	6	.	8.791790260359363	
36	sentence	1	It is	4.183671634702692	
36	sentence	2	silly	14.424409193240486	
36	sentence	3		0.0	
36	sentence	4	, but not	22.017233409999434	
36	sentence	5	hot	14.674393543506216	
36	sentence	6	.	4.85484734434157	
37	sentence	1	It is	4.183671634702692	
37	sentence	2	silly	14.424409193240486	
37	sentence	3		0.0	
37	sentence	4	, but not	22.017233409999434	
37	sentence	5	clear	12.32046012184092	
37	sentence	6	.	4.576481729099855	
38	sentence	1	It is	4.183671634702692	
38	sentence	2	silly	14.424409193240486	
38	sentence	3		0.0	
38	sentence	4	, but not	22.017233409999434	
38	sentence	5	alive	17.616535148346458	
38	sentence	6	.	3.7968142038171915	
39	sentence	1	It is	4.183671634702692	
39	sentence	2	silly	14.424409193240486	
39	sentence	3		0.0	
39	sentence	4	, but not	22.017233409999434	
39	sentence	5	black	14.183948554248934	
39	sentence	6	.	6.250505818150159	
40	sentence	1	It is	4.183671634702692	
40	sentence	2	silly	14.424409193240486	
40	sentence	3		0.0	
40	sentence	4	, but not	22.017233409999434	
40	sentence	5	white	15.544708308544442	
40	sentence	6	.	7.26116117801485	
41	sentence	1	It is	4.183671634702692	
41	sentence	2	silly	14.424409193240486	
41	sentence	3		0.0	
41	sentence	4	, but not	22.017233409999434	
41	sentence	5	small	13.318685951562454	
41	sentence	6	.	4.843497521280529	
42	sentence	1	It is	4.183671634702692	
42	sentence	2	silly	14.424409193240486	
42	sentence	3		0.0	
42	sentence	4	, but not	22.017233409999434	
42	sentence	5	safe	11.12212903818749	
42	sentence	6	.	3.5451650614911094	
43	sentence	1	It is	4.183671634702692	
43	sentence	2	silly	14.424409193240486	
43	sentence	3		0.0	
43	sentence	4	, but not	22.017233409999434	
43	sentence	5	poor	14.227117575476706	
43	sentence	6	.	4.516238270294424	
44	sentence	1	It is	4.183671634702692	
44	sentence	2	silly	14.424409193240486	
44	sentence	3		0.0	
44	sentence	4	, but not	22.017233409999434	
44	sentence	5	special	13.8689423792062	
44	sentence	6	.	4.916535457414248	
45	sentence	1	It is	4.183671634702692	
45	sentence	2	silly	14.424409193240486	
45	sentence	3		0.0	
45	sentence	4	, but not	22.017233409999434	
45	sentence	5	serious	11.016716055959451	
45	sentence	6	.	3.528649223563452	
46	sentence	1	It is	4.183671634702692	
46	sentence	2	silly	14.424409193240486	
46	sentence	3		0.0	
46	sentence	4	, but not	22.017233409999434	
46	sentence	5	possible	9.221272215400004	
