item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	His clothing was	15.70817162681411	
1	sentence	2	wet	9.44063058313069	
1	sentence	3		0.0	
1	sentence	4	, but not	20.058462461429805	
1	sentence	5	good	10.219247638381882	
1	sentence	6	.	3.9786927364106464	
2	sentence	1	His clothing was	15.70817162681411	
2	sentence	2	wet	9.44063058313069	
2	sentence	3		0.0	
2	sentence	4	, but not	20.058462461429805	
2	sentence	5	little	14.025672232729288	
2	sentence	6	.	2.83836108193419	
3	sentence	1	His clothing was	15.70817162681411	
3	sentence	2	wet	9.44063058313069	
3	sentence	3		0.0	
3	sentence	4	, but not	20.058462461429805	
3	sentence	5	other	14.55420106019363	
3	sentence	6	.	8.778958290813188	
4	sentence	1	His clothing was	15.70817162681411	
4	sentence	2	wet	9.44063058313069	
4	sentence	3		0.0	
4	sentence	4	, but not	20.058462461429805	
4	sentence	5	great	11.654193828953572	
4	sentence	6	.	2.559377189062624	
5	sentence	1	His clothing was	15.70817162681411	
5	sentence	2	wet	9.44063058313069	
5	sentence	3		0.0	
5	sentence	4	, but not	20.058462461429805	
5	sentence	5	last	14.202971211295567	
5	sentence	6	.	5.947371261531182	
6	sentence	1	His clothing was	15.70817162681411	
6	sentence	2	wet	9.44063058313069	
6	sentence	3		0.0	
6	sentence	4	, but not	20.058462461429805	
6	sentence	5	new	13.157030514918656	
6	sentence	6	.	3.443522970865888	
7	sentence	1	His clothing was	15.70817162681411	
7	sentence	2	wet	9.44063058313069	
7	sentence	3		0.0	
7	sentence	4	, but not	20.058462461429805	
7	sentence	5	old	11.950389229575535	
7	sentence	6	.	3.8274487854847803	
8	sentence	1	His clothing was	15.70817162681411	
8	sentence	2	wet	9.44063058313069	
8	sentence	3		0.0	
8	sentence	4	, but not	20.058462461429805	
8	sentence	5	big	11.281874779476109	
8	sentence	6	.	4.711797678798713	
9	sentence	1	His clothing was	15.70817162681411	
9	sentence	2	wet	9.44063058313069	
9	sentence	3		0.0	
9	sentence	4	, but not	20.058462461429805	
9	sentence	5	nice	13.033467171649159	
9	sentence	6	.	2.7217568446492058	
10	sentence	1	His clothing was	15.70817162681411	
10	sentence	2	wet	9.44063058313069	
10	sentence	3		0.0	
10	sentence	4	, but not	20.058462461429805	
10	sentence	5	wrong	11.012800354964606	
10	sentence	6	.	3.417998337720735	
11	sentence	1	His clothing was	15.70817162681411	
11	sentence	2	wet	9.44063058313069	
11	sentence	3		0.0	
11	sentence	4	, but not	20.058462461429805	
11	sentence	5	bad	7.986092816903312	
11	sentence	6	.	4.091602098424494	
12	sentence	1	His clothing was	15.70817162681411	
12	sentence	2	wet	9.44063058313069	
12	sentence	3		0.0	
12	sentence	4	, but not	20.058462461429805	
12	sentence	5	same	17.724889721834852	
12	sentence	6	.	6.259110454138127	
13	sentence	1	His clothing was	15.70817162681411	
13	sentence	2	wet	9.44063058313069	
13	sentence	3		0.0	
13	sentence	4	, but not	20.058462461429805	
13	sentence	5	next	14.891562228126116	
13	sentence	6	.	12.436626835262109	
14	sentence	1	His clothing was	15.70817162681411	
14	sentence	2	wet	9.44063058313069	
14	sentence	3		0.0	
14	sentence	4	, but not	20.058462461429805	
14	sentence	5	dead	9.6676483702002	
14	sentence	6	.	2.183429649617257	
15	sentence	1	His clothing was	15.70817162681411	
15	sentence	2	wet	9.44063058313069	
15	sentence	3		0.0	
15	sentence	4	, but not	20.058462461429805	
15	sentence	5	many	12.512797263398644	
15	sentence	6	.	7.240568663331141	
16	sentence	1	His clothing was	15.70817162681411	
16	sentence	2	wet	9.44063058313069	
16	sentence	3		0.0	
16	sentence	4	, but not	20.058462461429805	
16	sentence	5	real	13.523493899099542	
16	sentence	6	.	4.1551118517351115	
17	sentence	1	His clothing was	15.70817162681411	
17	sentence	2	wet	9.44063058313069	
17	sentence	3		0.0	
17	sentence	4	, but not	20.058462461429805	
17	sentence	5	live	15.600714114832614	
17	sentence	6	.	3.7890660414305204	
18	sentence	1	His clothing was	15.70817162681411	
18	sentence	2	wet	9.44063058313069	
18	sentence	3		0.0	
18	sentence	4	, but not	20.058462461429805	
18	sentence	5	ready	9.501543398413279	
18	sentence	6	.	4.548425855299303	
19	sentence	1	His clothing was	15.70817162681411	
19	sentence	2	wet	9.44063058313069	
19	sentence	3		0.0	
19	sentence	4	, but not	20.058462461429805	
19	sentence	5	happy	13.472113738188977	
19	sentence	6	.	3.4083174343036675	
20	sentence	1	His clothing was	15.70817162681411	
20	sentence	2	wet	9.44063058313069	
20	sentence	3		0.0	
20	sentence	4	, but not	20.058462461429805	
20	sentence	5	whole	12.5181906393297	
20	sentence	6	.	2.763976865609517	
21	sentence	1	His clothing was	15.70817162681411	
21	sentence	2	wet	9.44063058313069	
21	sentence	3		0.0	
21	sentence	4	, but not	20.058462461429805	
21	sentence	5	hard	8.99754892799042	
21	sentence	6	.	3.114162779816842	
22	sentence	1	His clothing was	15.70817162681411	
22	sentence	2	wet	9.44063058313069	
22	sentence	3		0.0	
22	sentence	4	, but not	20.058462461429805	
22	sentence	5	open	12.194456000790378	
22	sentence	6	.	3.461348628662516	
23	sentence	1	His clothing was	15.70817162681411	
23	sentence	2	wet	9.44063058313069	
23	sentence	3		0.0	
23	sentence	4	, but not	20.058462461429805	
23	sentence	5	few	17.167148609225556	
23	sentence	6	.	4.804476721591569	
24	sentence	1	His clothing was	15.70817162681411	
24	sentence	2	wet	9.44063058313069	
24	sentence	3		0.0	
24	sentence	4	, but not	20.058462461429805	
24	sentence	5	true	13.736609296603907	
24	sentence	6	.	2.7179966159707414	
25	sentence	1	His clothing was	15.70817162681411	
25	sentence	2	wet	9.44063058313069	
25	sentence	3		0.0	
25	sentence	4	, but not	20.058462461429805	
25	sentence	5	young	14.57665511509028	
25	sentence	6	.	2.8347580453986145	
26	sentence	1	His clothing was	15.70817162681411	
26	sentence	2	wet	9.44063058313069	
26	sentence	3		0.0	
26	sentence	4	, but not	20.058462461429805	
26	sentence	5	second	15.69724453710889	
26	sentence	6	.	9.310626833551682	
27	sentence	1	His clothing was	15.70817162681411	
27	sentence	2	wet	9.44063058313069	
27	sentence	3		0.0	
27	sentence	4	, but not	20.058462461429805	
27	sentence	5	easy	12.54568584968844	
27	sentence	6	.	5.8879450642826505	
28	sentence	1	His clothing was	15.70817162681411	
28	sentence	2	wet	9.44063058313069	
28	sentence	3		0.0	
28	sentence	4	, but not	20.058462461429805	
28	sentence	5	different	14.524922733710746	
28	sentence	6	.	6.733364996643183	
29	sentence	1	His clothing was	15.70817162681411	
29	sentence	2	wet	9.44063058313069	
29	sentence	3		0.0	
29	sentence	4	, but not	20.058462461429805	
29	sentence	5	married	15.517502029039152	
29	sentence	6	.	3.401706421204501	
30	sentence	1	His clothing was	15.70817162681411	
30	sentence	2	wet	9.44063058313069	
30	sentence	3		0.0	
30	sentence	4	, but not	20.058462461429805	
30	sentence	5	important	14.164689249074714	
30	sentence	6	.	2.619985939018488	
31	sentence	1	His clothing was	15.70817162681411	
31	sentence	2	wet	9.44063058313069	
31	sentence	3		0.0	
31	sentence	4	, but not	20.058462461429805	
31	sentence	5	able	11.577079560029102	
31	sentence	6	.	10.839517515261274	
32	sentence	1	His clothing was	15.70817162681411	
32	sentence	2	wet	9.44063058313069	
32	sentence	3		0.0	
32	sentence	4	, but not	20.058462461429805	
32	sentence	5	high	12.28924733450113	
32	sentence	6	.	4.069334472721381	
33	sentence	1	His clothing was	15.70817162681411	
33	sentence	2	wet	9.44063058313069	
33	sentence	3		0.0	
33	sentence	4	, but not	20.058462461429805	
33	sentence	5	free	13.362859351471265	
33	sentence	6	.	2.410056348138706	
34	sentence	1	His clothing was	15.70817162681411	
34	sentence	2	wet	9.44063058313069	
34	sentence	3		0.0	
34	sentence	4	, but not	20.058462461429805	
34	sentence	5	stupid	13.009053890393881	
34	sentence	6	.	2.635844459254548	
35	sentence	1	His clothing was	15.70817162681411	
35	sentence	2	wet	9.44063058313069	
35	sentence	3		0.0	
35	sentence	4	, but not	20.058462461429805	
35	sentence	5	full	8.602555685823205	
35	sentence	6	.	2.626086335627243	
36	sentence	1	His clothing was	15.70817162681411	
36	sentence	2	wet	9.44063058313069	
36	sentence	3		0.0	
36	sentence	4	, but not	20.058462461429805	
36	sentence	5	hot	8.091384723345145	
36	sentence	6	.	1.8191581843216171	
37	sentence	1	His clothing was	15.70817162681411	
37	sentence	2	wet	9.44063058313069	
37	sentence	3		0.0	
37	sentence	4	, but not	20.058462461429805	
37	sentence	5	clear	11.132489273075466	
37	sentence	6	.	2.5621007063216874	
38	sentence	1	His clothing was	15.70817162681411	
38	sentence	2	wet	9.44063058313069	
38	sentence	3		0.0	
38	sentence	4	, but not	20.058462461429805	
38	sentence	5	alive	13.714177255486568	
38	sentence	6	.	1.9988196885627993	
39	sentence	1	His clothing was	15.70817162681411	
39	sentence	2	wet	9.44063058313069	
39	sentence	3		0.0	
39	sentence	4	, but not	20.058462461429805	
39	sentence	5	black	9.474774642771784	
39	sentence	6	.	2.461502206421901	
40	sentence	1	His clothing was	15.70817162681411	
40	sentence	2	wet	9.44063058313069	
40	sentence	3		0.0	
40	sentence	4	, but not	20.058462461429805	
40	sentence	5	white	9.770782926269609	
40	sentence	6	.	2.4662227862227835	
41	sentence	1	His clothing was	15.70817162681411	
41	sentence	2	wet	9.44063058313069	
41	sentence	3		0.0	
41	sentence	4	, but not	20.058462461429805	
41	sentence	5	small	13.823673793776695	
41	sentence	6	.	2.351755261392119	
42	sentence	1	His clothing was	15.70817162681411	
42	sentence	2	wet	9.44063058313069	
42	sentence	3		0.0	
42	sentence	4	, but not	20.058462461429805	
42	sentence	5	safe	13.60358002823092	
42	sentence	6	.	2.9630374969200712	
43	sentence	1	His clothing was	15.70817162681411	
43	sentence	2	wet	9.44063058313069	
43	sentence	3		0.0	
43	sentence	4	, but not	20.058462461429805	
43	sentence	5	poor	11.503399440677061	
43	sentence	6	.	2.76411703146997	
44	sentence	1	His clothing was	15.70817162681411	
44	sentence	2	wet	9.44063058313069	
44	sentence	3		0.0	
44	sentence	4	, but not	20.058462461429805	
44	sentence	5	special	15.28147028727262	
44	sentence	6	.	3.522124201789717	
45	sentence	1	His clothing was	15.70817162681411	
45	sentence	2	wet	9.44063058313069	
45	sentence	3		0.0	
45	sentence	4	, but not	20.058462461429805	
45	sentence	5	serious	13.11716356058745	
45	sentence	6	.	1.817000833949194	
46	sentence	1	His clothing was	15.70817162681411	
46	sentence	2	wet	9.44063058313069	
46	sentence	3		0.0	
46	sentence	4	, but not	20.058462461429805	
46	sentence	5	possible	13.104461609925327	
46	sentence	6	.	6.973200994646801	
47	sentence	1	His clothing was	15.70817162681411	
47	sentence	2	wet	9.44063058313069	
47	sentence	3		0.0	
47	sentence	4	, but not	20.058462461429805	
47	sentence	5	lucky	15.730309233633172	
47	sentence	6	.	4.295012170975369	
48	sentence	1	His clothing was	15.70817162681411	
48	sentence	2	wet	9.44063058313069	
48	sentence	3		0.0	
48	sentence	4	, but not	20.058462461429805	
48	sentence	5	quiet	16.878591990024315	
48	sentence	6	.	2.387494116154665	
49	sentence	1	His clothing was	15.70817162681411	
49	sentence	2	wet	9.44063058313069	
49	sentence	3		0.0	
49	sentence	4	, but not	20.058462461429805	
49	sentence	5	strong	10.711409702425378	
49	sentence	6	.	3.7069501730536585	
50	sentence	1	His clothing was	15.70817162681411	
50	sentence	2	wet	9.44063058313069	
50	sentence	3		0.0	
50	sentence	4	, but not	20.058462461429805	
50	sentence	5	general	18.09291608434678	
50	sentence	6	.	2.7843994614341736	
51	sentence	1	His clothing was	15.70817162681411	
51	sentence	2	wet	9.44063058313069	
51	sentence	3		0.0	
51	sentence	4	, but not	20.058462461429805	
51	sentence	5	busy	17.547370605475468	
51	sentence	6	.	2.7417563631527404	
52	sentence	1	His clothing was	15.70817162681411	
52	sentence	2	wet	9.44063058313069	
52	sentence	3		0.0	
52	sentence	4	, but not	20.058462461429805	
52	sentence	5	entire	13.80236445540419	
52	sentence	6	.	3.0900982793775142	
53	sentence	1	His clothing was	15.70817162681411	
53	sentence	2	wet	9.44063058313069	
53	sentence	3		0.0	
53	sentence	4	, but not	20.058462461429805	
53	sentence	5	dangerous	10.055619216767386	
53	sentence	6	.	2.4068452600644465	
54	sentence	1	His clothing was	15.70817162681411	
54	sentence	2	wet	9.44063058313069	
54	sentence	3		0.0	
54	sentence	4	, but not	20.058462461429805	
54	sentence	5	short	13.200067453470565	
54	sentence	6	.	3.0767599929071983	
55	sentence	1	His clothing was	15.70817162681411	
55	sentence	2	wet	9.44063058313069	
55	sentence	3		0.0	
55	sentence	4	, but not	20.058462461429805	
55	sentence	5	single	15.664708171288062	
55	sentence	6	.	3.5935049130997223	
56	sentence	1	His clothing was	15.70817162681411	
56	sentence	2	wet	9.44063058313069	
56	sentence	3		0.0	
56	sentence	4	, but not	20.058462461429805	
56	sentence	5	normal	12.948692107524655	
56	sentence	6	.	2.7115168256341833	
57	sentence	1	His clothing was	15.70817162681411	
57	sentence	2	wet	9.44063058313069	
57	sentence	3		0.0	
57	sentence	4	, but not	20.058462461429805	
57	sentence	5	major	16.388058945649792	
57	sentence	6	.	3.2070096776769397	
58	sentence	1	His clothing was	15.70817162681411	
58	sentence	2	wet	9.44063058313069	
58	sentence	3		0.0	
58	sentence	4	, but not	20.058462461429805	
58	sentence	5	interested	16.08301400574503	
58	sentence	6	.	3.9971206774505963	
59	sentence	1	His clothing was	15.70817162681411	
59	sentence	2	wet	9.44063058313069	
59	sentence	3		0.0	
59	sentence	4	, but not	20.058462461429805	
59	sentence	5	difficult	10.924921347957332	
59	sentence	6	.	4.429292097185429	
60	sentence	1	His clothing was	15.70817162681411	
60	sentence	2	wet	9.44063058313069	
60	sentence	3		0.0	
60	sentence	4	, but not	20.058462461429805	
60	sentence	5	personal	14.82017154182236	
60	sentence	6	.	2.7047862845926676	
