item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	possible	5.186755974311101	
1	sentence	3		0.0	
1	sentence	4	, but not	18.161920167404514	
1	sentence	5	good	10.326603336634069	
1	sentence	6	.	4.1152387060284745	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	possible	5.186755974311101	
2	sentence	3		0.0	
2	sentence	4	, but not	18.161920167404514	
2	sentence	5	little	21.099343428218333	
2	sentence	6	.	6.364918308532547	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	possible	5.186755974311101	
3	sentence	3		0.0	
3	sentence	4	, but not	18.161920167404514	
3	sentence	5	other	16.303476502094256	
3	sentence	6	.	6.536437294168629	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	possible	5.186755974311101	
4	sentence	3		0.0	
4	sentence	4	, but not	18.161920167404514	
4	sentence	5	great	11.649631473191484	
4	sentence	6	.	4.123641778349632	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	possible	5.186755974311101	
5	sentence	3		0.0	
5	sentence	4	, but not	18.161920167404514	
5	sentence	5	last	17.993034064170487	
5	sentence	6	.	6.275275447458023	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	possible	5.186755974311101	
6	sentence	3		0.0	
6	sentence	4	, but not	18.161920167404514	
6	sentence	5	new	15.35347185595224	
6	sentence	6	.	6.197676875388725	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	possible	5.186755974311101	
7	sentence	3		0.0	
7	sentence	4	, but not	18.161920167404514	
7	sentence	5	old	18.696462368256274	
7	sentence	6	.	7.251037591254462	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	possible	5.186755974311101	
8	sentence	3		0.0	
8	sentence	4	, but not	18.161920167404514	
8	sentence	5	big	16.139925128707347	
8	sentence	6	.	8.062228848509674	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	possible	5.186755974311101	
9	sentence	3		0.0	
9	sentence	4	, but not	18.161920167404514	
9	sentence	5	nice	15.439237540145712	
9	sentence	6	.	3.6992030425628926	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	possible	5.186755974311101	
10	sentence	3		0.0	
10	sentence	4	, but not	18.161920167404514	
10	sentence	5	wrong	16.46702787548117	
10	sentence	6	.	3.9475556214372367	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	possible	5.186755974311101	
11	sentence	3		0.0	
11	sentence	4	, but not	18.161920167404514	
11	sentence	5	bad	16.257401661997505	
11	sentence	6	.	4.456587807669167	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	possible	5.186755974311101	
12	sentence	3		0.0	
12	sentence	4	, but not	18.161920167404514	
12	sentence	5	same	18.28433139889588	
12	sentence	6	.	4.616121666331923	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	possible	5.186755974311101	
13	sentence	3		0.0	
13	sentence	4	, but not	18.161920167404514	
13	sentence	5	next	16.387337994377376	
13	sentence	6	.	8.203033108562867	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	possible	5.186755974311101	
14	sentence	3		0.0	
14	sentence	4	, but not	18.161920167404514	
14	sentence	5	dead	16.561114768253987	
14	sentence	6	.	5.280697369761289	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	possible	5.186755974311101	
15	sentence	3		0.0	
15	sentence	4	, but not	18.161920167404514	
15	sentence	5	many	11.902030459875327	
15	sentence	6	.	5.817974266744419	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	possible	5.186755974311101	
16	sentence	3		0.0	
16	sentence	4	, but not	18.161920167404514	
16	sentence	5	real	11.856142736902715	
16	sentence	6	.	4.409157744283618	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	possible	5.186755974311101	
17	sentence	3		0.0	
17	sentence	4	, but not	18.161920167404514	
17	sentence	5	live	16.304764308183916	
17	sentence	6	.	5.179038768801584	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	possible	5.186755974311101	
18	sentence	3		0.0	
18	sentence	4	, but not	18.161920167404514	
18	sentence	5	ready	12.485186480698525	
18	sentence	6	.	4.623335306639712	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	possible	5.186755974311101	
19	sentence	3		0.0	
19	sentence	4	, but not	18.161920167404514	
19	sentence	5	happy	15.835771746864658	
19	sentence	6	.	4.2260994107052445	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	possible	5.186755974311101	
20	sentence	3		0.0	
20	sentence	4	, but not	18.161920167404514	
20	sentence	5	whole	17.383912790650626	
20	sentence	6	.	4.492746128117168	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	possible	5.186755974311101	
21	sentence	3		0.0	
21	sentence	4	, but not	18.161920167404514	
21	sentence	5	hard	11.081951139223523	
