item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The tank is	17.2968001383356	
1	sentence	2	partially	10.80414962707664	
1	sentence	3	full	10.045951727997085	
1	sentence	4	, but not	19.309426766092315	
1	sentence	5	always	8.461794077467427	
1	sentence	6	.	4.382157843959364	
2	sentence	1	The tank is	17.2968001383356	
2	sentence	2	partially	10.80414962707664	
2	sentence	3	full	10.045951727997085	
2	sentence	4	, but not	19.309426766092315	
2	sentence	5	actually	10.138352502860846	
2	sentence	6	.	8.532603462411267	
3	sentence	1	The tank is	17.2968001383356	
3	sentence	2	partially	10.80414962707664	
3	sentence	3	full	10.045951727997085	
3	sentence	4	, but not	19.309426766092315	
3	sentence	5	sometimes	18.472494177551862	
3	sentence	6	.	4.0043601151560155	
4	sentence	1	The tank is	17.2968001383356	
4	sentence	2	partially	10.80414962707664	
4	sentence	3	full	10.045951727997085	
4	sentence	4	, but not	19.309426766092315	
4	sentence	5	finally	16.85328164726214	
4	sentence	6	.	6.074723038633885	
5	sentence	1	The tank is	17.2968001383356	
5	sentence	2	partially	10.80414962707664	
5	sentence	3	full	10.045951727997085	
5	sentence	4	, but not	19.309426766092315	
5	sentence	5	absolutely	10.27955989024766	
5	sentence	6	.	7.491207235600753	
6	sentence	1	The tank is	17.2968001383356	
6	sentence	2	partially	10.80414962707664	
6	sentence	3	full	10.045951727997085	
6	sentence	4	, but not	19.309426766092315	
6	sentence	5	completely	1.818695550990796	
6	sentence	6	.	5.105696423375838	
7	sentence	1	The tank is	17.2968001383356	
7	sentence	2	partially	10.80414962707664	
7	sentence	3	full	10.045951727997085	
7	sentence	4	, but not	19.309426766092315	
7	sentence	5	forever	15.97408432227215	
7	sentence	6	.	3.970558644955439	
8	sentence	1	The tank is	17.2968001383356	
8	sentence	2	partially	10.80414962707664	
8	sentence	3	full	10.045951727997085	
8	sentence	4	, but not	19.309426766092315	
8	sentence	5	seriously	13.421157342530137	
8	sentence	6	.	7.632807431362138	
9	sentence	1	The tank is	17.2968001383356	
9	sentence	2	partially	10.80414962707664	
9	sentence	3	full	10.045951727997085	
9	sentence	4	, but not	19.309426766092315	
9	sentence	5	anywhere	14.304548292478763	
9	sentence	6	.	11.392646741105033	
10	sentence	1	The tank is	17.2968001383356	
10	sentence	2	partially	10.80414962707664	
10	sentence	3	full	10.045951727997085	
10	sentence	4	, but not	19.309426766092315	
10	sentence	5	quickly	15.153773856937589	
10	sentence	6	.	5.383461131235438	
11	sentence	1	The tank is	17.2968001383356	
11	sentence	2	partially	10.80414962707664	
11	sentence	3	full	10.045951727997085	
11	sentence	4	, but not	19.309426766092315	
11	sentence	5	forward	15.943650272375468	
11	sentence	6	.	4.620831927173753	
12	sentence	1	The tank is	17.2968001383356	
12	sentence	2	partially	10.80414962707664	
12	sentence	3	full	10.045951727997085	
12	sentence	4	, but not	19.309426766092315	
12	sentence	5	often	15.44032722222158	
12	sentence	6	.	5.121306944629354	
13	sentence	1	The tank is	17.2968001383356	
13	sentence	2	partially	10.80414962707664	
13	sentence	3	full	10.045951727997085	
13	sentence	4	, but not	19.309426766092315	
13	sentence	5	obviously	13.764572299772993	
13	sentence	6	.	6.955872022745864	
14	sentence	1	The tank is	17.2968001383356	
14	sentence	2	partially	10.80414962707664	
14	sentence	3	full	10.045951727997085	
14	sentence	4	, but not	19.309426766092315	
14	sentence	5	suddenly	15.598793412587778	
14	sentence	6	.	3.960212856610136	
15	sentence	1	The tank is	17.2968001383356	
15	sentence	2	partially	10.80414962707664	
15	sentence	3	full	10.045951727997085	
15	sentence	4	, but not	19.309426766092315	
15	sentence	5	immediately	10.537803535338425	
15	sentence	6	.	5.888700412085241	
16	sentence	1	The tank is	17.2968001383356	
16	sentence	2	partially	10.80414962707664	
16	sentence	3	full	10.045951727997085	
16	sentence	4	, but not	19.309426766092315	
16	sentence	5	everywhere	15.339063837393557	
16	sentence	6	.	4.760579525820043	
17	sentence	1	The tank is	17.2968001383356	
