item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The food is	15.214960124635049	
1	sentence	2	adequate	12.702938530470151	
1	sentence	3		0.0	
1	sentence	4	, but not	16.901833553479268	
1	sentence	5	good	4.924994596079587	
1	sentence	6	.	4.261011544865093	
2	sentence	1	The food is	15.214960124635049	
2	sentence	2	adequate	12.702938530470151	
2	sentence	3		0.0	
2	sentence	4	, but not	16.901833553479268	
2	sentence	5	little	15.702907581836502	
2	sentence	6	.	4.8450113125734235	
3	sentence	1	The food is	15.214960124635049	
3	sentence	2	adequate	12.702938530470151	
3	sentence	3		0.0	
3	sentence	4	, but not	16.901833553479268	
3	sentence	5	other	12.360324324449712	
3	sentence	6	.	10.58941484093175	
4	sentence	1	The food is	15.214960124635049	
4	sentence	2	adequate	12.702938530470151	
4	sentence	3		0.0	
4	sentence	4	, but not	16.901833553479268	
4	sentence	5	great	5.890650695346024	
4	sentence	6	.	3.691389870734195	
5	sentence	1	The food is	15.214960124635049	
5	sentence	2	adequate	12.702938530470151	
5	sentence	3		0.0	
5	sentence	4	, but not	16.901833553479268	
5	sentence	5	last	12.09378148455891	
5	sentence	6	.	6.43489736123802	
6	sentence	1	The food is	15.214960124635049	
6	sentence	2	adequate	12.702938530470151	
6	sentence	3		0.0	
6	sentence	4	, but not	16.901833553479268	
6	sentence	5	new	12.995212726652442	
6	sentence	6	.	5.714984864032338	
7	sentence	1	The food is	15.214960124635049	
7	sentence	2	adequate	12.702938530470151	
7	sentence	3		0.0	
7	sentence	4	, but not	16.901833553479268	
7	sentence	5	old	14.613225505969746	
7	sentence	6	.	7.467267938531253	
8	sentence	1	The food is	15.214960124635049	
8	sentence	2	adequate	12.702938530470151	
8	sentence	3		0.0	
8	sentence	4	, but not	16.901833553479268	
8	sentence	5	big	11.370232586183384	
8	sentence	6	.	7.653946162944988	
9	sentence	1	The food is	15.214960124635049	
9	sentence	2	adequate	12.702938530470151	
9	sentence	3		0.0	
9	sentence	4	, but not	16.901833553479268	
9	sentence	5	nice	11.334658318817715	
9	sentence	6	.	3.4082269714293134	
10	sentence	1	The food is	15.214960124635049	
10	sentence	2	adequate	12.702938530470151	
10	sentence	3		0.0	
10	sentence	4	, but not	16.901833553479268	
10	sentence	5	wrong	14.352901558734144	
10	sentence	6	.	3.7379720596509904	
11	sentence	1	The food is	15.214960124635049	
11	sentence	2	adequate	12.702938530470151	
11	sentence	3		0.0	
11	sentence	4	, but not	16.901833553479268	
11	sentence	5	bad	8.063179568603644	
11	sentence	6	.	4.24261284087579	
12	sentence	1	The food is	15.214960124635049	
12	sentence	2	adequate	12.702938530470151	
12	sentence	3		0.0	
12	sentence	4	, but not	16.901833553479268	
12	sentence	5	same	14.94596378024704	
12	sentence	6	.	6.712838523297405	
13	sentence	1	The food is	15.214960124635049	
13	sentence	2	adequate	12.702938530470151	
13	sentence	3		0.0	
13	sentence	4	, but not	16.901833553479268	
13	sentence	5	next	13.890270979635602	
13	sentence	6	.	12.473172460639852	
14	sentence	1	The food is	15.214960124635049	
14	sentence	2	adequate	12.702938530470151	
14	sentence	3		0.0	
14	sentence	4	, but not	16.901833553479268	
14	sentence	5	dead	14.632729714438796	
14	sentence	6	.	5.224850131477213	
15	sentence	1	The food is	15.214960124635049	
15	sentence	2	adequate	12.702938530470151	
15	sentence	3		0.0	
15	sentence	4	, but not	16.901833553479268	
15	sentence	5	many	9.486568525037352	
15	sentence	6	.	8.86411997193683	
16	sentence	1	The food is	15.214960124635049	
16	sentence	2	adequate	12.702938530470151	
16	sentence	3		0.0	
16	sentence	4	, but not	16.901833553479268	
16	sentence	5	real	13.079734632314874	
16	sentence	6	.	6.335150175460005	
17	sentence	1	The food is	15.214960124635049	
17	sentence	2	adequate	12.702938530470151	
17	sentence	3		0.0	
17	sentence	4	, but not	16.901833553479268	
17	sentence	5	live	13.570873055620435	
17	sentence	6	.	6.46362052772392	
18	sentence	1	The food is	15.214960124635049	
18	sentence	2	adequate	12.702938530470151	
18	sentence	3		0.0	
18	sentence	4	, but not	16.901833553479268	
18	sentence	5	ready	8.745309541206577	
18	sentence	6	.	4.429778808087371	
19	sentence	1	The food is	15.214960124635049	
19	sentence	2	adequate	12.702938530470151	
19	sentence	3		0.0	
19	sentence	4	, but not	16.901833553479268	
19	sentence	5	happy	11.98311821596533	
19	sentence	6	.	3.3241993439054607	
20	sentence	1	The food is	15.214960124635049	
20	sentence	2	adequate	12.702938530470151	
20	sentence	3		0.0	
20	sentence	4	, but not	16.901833553479268	
20	sentence	5	whole	9.822388728418106	
20	sentence	6	.	4.5517024687635415	
21	sentence	1	The food is	15.214960124635049	
21	sentence	2	adequate	12.702938530470151	
21	sentence	3		0.0	
21	sentence	4	, but not	16.901833553479268	
21	sentence	5	hard	10.769388493684248	
21	sentence	6	.	5.1446026826193245	
22	sentence	1	The food is	15.214960124635049	
22	sentence	2	adequate	12.702938530470151	
22	sentence	3		0.0	
22	sentence	4	, but not	16.901833553479268	
22	sentence	5	open	13.138401354177196	
22	sentence	6	.	6.726310268304791	
23	sentence	1	The food is	15.214960124635049	
23	sentence	2	adequate	12.702938530470151	
23	sentence	3		0.0	
23	sentence	4	, but not	16.901833553479268	
23	sentence	5	few	15.241674877724172	
23	sentence	6	.	5.8383624660389035	
24	sentence	1	The food is	15.214960124635049	
24	sentence	2	adequate	12.702938530470151	
24	sentence	3		0.0	
24	sentence	4	, but not	16.901833553479268	
24	sentence	5	true	11.334405160355644	
24	sentence	6	.	4.030355292833929	
25	sentence	1	The food is	15.214960124635049	
25	sentence	2	adequate	12.702938530470151	
25	sentence	3		0.0	
25	sentence	4	, but not	16.901833553479268	
25	sentence	5	young	16.555875488778103	
25	sentence	6	.	5.736384321313896	
26	sentence	1	The food is	15.214960124635049	
26	sentence	2	adequate	12.702938530470151	
26	sentence	3		0.0	
26	sentence	4	, but not	16.901833553479268	
26	sentence	5	second	14.565719770217818	
26	sentence	6	.	11.628545024334496	
27	sentence	1	The food is	15.214960124635049	
27	sentence	2	adequate	12.702938530470151	
27	sentence	3		0.0	
27	sentence	4	, but not	16.901833553479268	
27	sentence	5	easy	9.100512877270175	
27	sentence	6	.	3.9546588488831724	
28	sentence	1	The food is	15.214960124635049	
28	sentence	2	adequate	12.702938530470151	
28	sentence	3		0.0	
28	sentence	4	, but not	16.901833553479268	
28	sentence	5	different	13.968695068429042	
28	sentence	6	.	6.062261175752366	
29	sentence	1	The food is	15.214960124635049	
29	sentence	2	adequate	12.702938530470151	
29	sentence	3		0.0	
29	sentence	4	, but not	16.901833553479268	
29	sentence	5	married	19.717164266653768	
29	sentence	6	.	5.363037503514876	
30	sentence	1	The food is	15.214960124635049	
30	sentence	2	adequate	12.702938530470151	
30	sentence	3		0.0	
30	sentence	4	, but not	16.901833553479268	
30	sentence	5	important	11.453807899335468	
30	sentence	6	.	3.036993820409398	
31	sentence	1	The food is	15.214960124635049	
31	sentence	2	adequate	12.702938530470151	
31	sentence	3		0.0	
31	sentence	4	, but not	16.901833553479268	
31	sentence	5	able	11.77652990402651	
31	sentence	6	.	7.563023063017441	
32	sentence	1	The food is	15.214960124635049	
32	sentence	2	adequate	12.702938530470151	
32	sentence	3		0.0	
32	sentence	4	, but not	16.901833553479268	
32	sentence	5	high	6.5373164694798405	
32	sentence	6	.	7.882330180192953	
33	sentence	1	The food is	15.214960124635049	
33	sentence	2	adequate	12.702938530470151	
33	sentence	3		0.0	
33	sentence	4	, but not	16.901833553479268	
33	sentence	5	free	10.250930970254434	
33	sentence	6	.	3.9590199849437515	
34	sentence	1	The food is	15.214960124635049	
34	sentence	2	adequate	12.702938530470151	
34	sentence	3		0.0	
34	sentence	4	, but not	16.901833553479268	
34	sentence	5	stupid	14.728929930025416	
34	sentence	6	.	4.032501980281999	
35	sentence	1	The food is	15.214960124635049	
35	sentence	2	adequate	12.702938530470151	
35	sentence	3		0.0	
35	sentence	4	, but not	16.901833553479268	
35	sentence	5	full	8.25708794365965	
35	sentence	6	.	3.7695914139774196	
36	sentence	1	The food is	15.214960124635049	
36	sentence	2	adequate	12.702938530470151	
36	sentence	3		0.0	
36	sentence	4	, but not	16.901833553479268	
36	sentence	5	hot	8.220115801307767	
36	sentence	6	.	4.172037696302426	
37	sentence	1	The food is	15.214960124635049	
37	sentence	2	adequate	12.702938530470151	
37	sentence	3		0.0	
37	sentence	4	, but not	16.901833553479268	
37	sentence	5	clear	11.451133225149249	
37	sentence	6	.	3.8860525616968857	
38	sentence	1	The food is	15.214960124635049	
38	sentence	2	adequate	12.702938530470151	
38	sentence	3		0.0	
38	sentence	4	, but not	16.901833553479268	
38	sentence	5	alive	16.843111281220715	
38	sentence	6	.	3.3705613950291515	
39	sentence	1	The food is	15.214960124635049	
39	sentence	2	adequate	12.702938530470151	
39	sentence	3		0.0	
39	sentence	4	, but not	16.901833553479268	
39	sentence	5	black	14.13858641025736	
39	sentence	6	.	5.598942322085072	
40	sentence	1	The food is	15.214960124635049	
40	sentence	2	adequate	12.702938530470151	
40	sentence	3		0.0	
40	sentence	4	, but not	16.901833553479268	
40	sentence	5	white	12.894741837879597	
40	sentence	6	.	5.499858301408784	
41	sentence	1	The food is	15.214960124635049	
41	sentence	2	adequate	12.702938530470151	
41	sentence	3		0.0	
41	sentence	4	, but not	16.901833553479268	
41	sentence	5	small	12.661054563609627	
41	sentence	6	.	5.49269178434733	
42	sentence	1	The food is	15.214960124635049	
42	sentence	2	adequate	12.702938530470151	
42	sentence	3		0.0	
42	sentence	4	, but not	16.901833553479268	
42	sentence	5	safe	9.687224123452008	
42	sentence	6	.	3.0710522326903633	
43	sentence	1	The food is	15.214960124635049	
43	sentence	2	adequate	12.702938530470151	
43	sentence	3		0.0	
43	sentence	4	, but not	16.901833553479268	
43	sentence	5	poor	10.128974632874598	
43	sentence	6	.	3.5635967861493785	
44	sentence	1	The food is	15.214960124635049	
44	sentence	2	adequate	12.702938530470151	
44	sentence	3		0.0	
44	sentence	4	, but not	16.901833553479268	
44	sentence	5	special	10.731943055077192	
44	sentence	6	.	4.152875733308593	
45	sentence	1	The food is	15.214960124635049	
45	sentence	2	adequate	12.702938530470151	
45	sentence	3		0.0	
45	sentence	4	, but not	16.901833553479268	
45	sentence	5	serious	15.315927355338285	
45	sentence	6	.	3.589248342490868	
46	sentence	1	The food is	15.214960124635049	
46	sentence	2	adequate	12.702938530470151	
46	sentence	3		0.0	
46	sentence	4	, but not	16.901833553479268	
46	sentence	5	possible	11.641805574646622	
46	sentence	6	.	4.569276343959307	
47	sentence	1	The food is	15.214960124635049	
47	sentence	2	adequate	12.702938530470151	
47	sentence	3		0.0	
47	sentence	4	, but not	16.901833553479268	
47	sentence	5	lucky	17.60461193512744	
47	sentence	6	.	4.343668470661569	
48	sentence	1	The food is	15.214960124635049	
48	sentence	2	adequate	12.702938530470151	
48	sentence	3		0.0	
48	sentence	4	, but not	16.901833553479268	
48	sentence	5	quiet	17.813346590549028	
48	sentence	6	.	3.0293612303641066	
49	sentence	1	The food is	15.214960124635049	
49	sentence	2	adequate	12.702938530470151	
49	sentence	3		0.0	
49	sentence	4	, but not	16.901833553479268	
49	sentence	5	strong	8.454584564743259	
49	sentence	6	.	5.311407279829956	
50	sentence	1	The food is	15.214960124635049	
50	sentence	2	adequate	12.702938530470151	
50	sentence	3		0.0	
50	sentence	4	, but not	16.901833553479268	
50	sentence	5	general	13.904040598594282	
50	sentence	6	.	4.079362093162588	
51	sentence	1	The food is	15.214960124635049	
51	sentence	2	adequate	12.702938530470151	
51	sentence	3		0.0	
51	sentence	4	, but not	16.901833553479268	
51	sentence	5	busy	15.673078910870856	
51	sentence	6	.	3.788140086838275	
52	sentence	1	The food is	15.214960124635049	
52	sentence	2	adequate	12.702938530470151	
52	sentence	3		0.0	
52	sentence	4	, but not	16.901833553479268	
52	sentence	5	entire	12.72187863584437	
52	sentence	6	.	5.280983204927023	
53	sentence	1	The food is	15.214960124635049	
53	sentence	2	adequate	12.702938530470151	
53	sentence	3		0.0	
53	sentence	4	, but not	16.901833553479268	
53	sentence	5	dangerous	14.05343711188458	
53	sentence	6	.	2.5486191583032025	
54	sentence	1	The food is	15.214960124635049	
54	sentence	2	adequate	12.702938530470151	
54	sentence	3		0.0	
54	sentence	4	, but not	16.901833553479268	
54	sentence	5	short	13.384548427536876	
54	sentence	6	.	4.782374543198586	
55	sentence	1	The food is	15.214960124635049	
55	sentence	2	adequate	12.702938530470151	
55	sentence	3		0.0	
55	sentence	4	, but not	16.901833553479268	
55	sentence	5	single	15.89671689488561	
55	sentence	6	.	9.331776572024186	
56	sentence	1	The food is	15.214960124635049	
56	sentence	2	adequate	12.702938530470151	
56	sentence	3		0.0	
56	sentence	4	, but not	16.901833553479268	
56	sentence	5	normal	13.13666226561167	
56	sentence	6	.	3.0209643494183807	
57	sentence	1	The food is	15.214960124635049	
57	sentence	2	adequate	12.702938530470151	
57	sentence	3		0.0	
57	sentence	4	, but not	16.901833553479268	
57	sentence	5	major	14.531928618976293	
57	sentence	6	.	5.175543393405449	
58	sentence	1	The food is	15.214960124635049	
58	sentence	2	adequate	12.702938530470151	
58	sentence	3		0.0	
58	sentence	4	, but not	16.901833553479268	
58	sentence	5	interested	16.78072423065493	
58	sentence	6	.	4.672851863545528	
59	sentence	1	The food is	15.214960124635049	
59	sentence	2	adequate	12.702938530470151	
59	sentence	3		0.0	
59	sentence	4	, but not	16.901833553479268	
59	sentence	5	difficult	11.850066933813034	
59	sentence	6	.	4.000745383800181	
60	sentence	1	The food is	15.214960124635049	
60	sentence	2	adequate	12.702938530470151	
60	sentence	3		0.0	
60	sentence	4	, but not	16.901833553479268	
60	sentence	5	personal	14.3765333508239	
60	sentence	6	.	5.211947305078882	
61	sentence	1	The food is	15.214960124635049	
61	sentence	2	adequate	12.702938530470151	
61	sentence	3		0.0	
61	sentence	4	, but not	16.901833553479268	
61	sentence	5	certain	13.163309945466958	
61	sentence	6	.	3.2792647487839313	
62	sentence	1	The food is	15.214960124635049	
62	sentence	2	adequate	12.702938530470151	
62	sentence	3		0.0	
62	sentence	4	, but not	16.901833553479268	
62	sentence	5	angry	17.803682541431744	
62	sentence	6	.	3.824762416478303	
63	sentence	1	The food is	15.214960124635049	
63	sentence	2	adequate	12.702938530470151	
63	sentence	3		0.0	
63	sentence	4	, but not	16.901833553479268	
63	sentence	5	rich	8.154107484045415	
63	sentence	6	.	4.496654949805977	
64	sentence	1	The food is	15.214960124635049	
64	sentence	2	adequate	12.702938530470151	
64	sentence	3		0.0	
64	sentence	4	, but not	16.901833553479268	
64	sentence	5	tough	13.02015433861117	
64	sentence	6	.	4.489938683324483	
65	sentence	1	The food is	15.214960124635049	
65	sentence	2	adequate	12.702938530470151	
65	sentence	3		0.0	
65	sentence	4	, but not	16.901833553479268	
65	sentence	5	third	18.235372753709463	
65	sentence	6	.	11.243115393416458	
66	sentence	1	The food is	15.214960124635049	
66	sentence	2	adequate	12.702938530470151	
66	sentence	3		0.0	
66	sentence	4	, but not	16.901833553479268	
66	sentence	5	private	18.083059414660532	
66	sentence	6	.	2.761304943145712	
67	sentence	1	The food is	15.214960124635049	
67	sentence	2	adequate	12.702938530470151	
67	sentence	3		0.0	
67	sentence	4	, but not	16.901833553479268	
67	sentence	5	impossible	10.938520360126356	
67	sentence	6	.	3.556963071340298	
68	sentence	1	The food is	15.214960124635049	
68	sentence	2	adequate	12.702938530470151	
68	sentence	3		0.0	
68	sentence	4	, but not	16.901833553479268	
68	sentence	5	green	12.680250579168328	
68	sentence	6	.	4.994298788863075	
69	sentence	1	The food is	15.214960124635049	
69	sentence	2	adequate	12.702938530470151	
69	sentence	3		0.0	
69	sentence	4	, but not	16.901833553479268	
69	sentence	5	huge	10.539091341428087	
69	sentence	6	.	4.395674648421276	
70	sentence	1	The food is	15.214960124635049	
70	sentence	2	adequate	12.702938530470151	
70	sentence	3		0.0	
70	sentence	4	, but not	16.901833553479268	
70	sentence	5	grand	15.566796384360055	
70	sentence	6	.	6.224718051549186	
71	sentence	1	The food is	15.214960124635049	
71	sentence	2	adequate	12.702938530470151	
71	sentence	3		0.0	
71	sentence	4	, but not	16.901833553479268	
71	sentence	5	nervous	20.38640517147044	
71	sentence	6	.	3.249806872413546	
72	sentence	1	The food is	15.214960124635049	
72	sentence	2	adequate	12.702938530470151	
72	sentence	3		0.0	
72	sentence	4	, but not	16.901833553479268	
72	sentence	5	final	13.801049132090391	
72	sentence	6	.	3.718272478890561	
73	sentence	1	The food is	15.214960124635049	
73	sentence	2	adequate	12.702938530470151	
73	sentence	3		0.0	
73	sentence	4	, but not	16.901833553479268	
73	sentence	5	surprised	16.72560172726159	
73	sentence	6	.	4.636725187905287	
74	sentence	1	The food is	15.214960124635049	
74	sentence	2	adequate	12.702938530470151	
74	sentence	3		0.0	
74	sentence	4	, but not	16.901833553479268	
74	sentence	5	guilty	17.981663947156648	
74	sentence	6	.	4.21634937026253	
75	sentence	1	The food is	15.214960124635049	
75	sentence	2	adequate	12.702938530470151	
75	sentence	3		0.0	
75	sentence	4	, but not	16.901833553479268	
75	sentence	5	low	10.329421100385805	
75	sentence	6	.	7.557038066767416	
76	sentence	1	The food is	15.214960124635049	
76	sentence	2	adequate	12.702938530470151	
76	sentence	3		0.0	
76	sentence	4	, but not	16.901833553479268	
76	sentence	5	empty	13.793113164648977	
76	sentence	6	.	3.365959139292063	
77	sentence	1	The food is	15.214960124635049	
77	sentence	2	adequate	12.702938530470151	
77	sentence	3		0.0	
77	sentence	4	, but not	16.901833553479268	
77	sentence	5	fresh	8.347432493949695	
77	sentence	6	.	4.966837631069207	
78	sentence	1	The food is	15.214960124635049	
78	sentence	2	adequate	12.702938530470151	
78	sentence	3		0.0	
78	sentence	4	, but not	16.901833553479268	
78	sentence	5	complete	8.70452901503399	
78	sentence	6	.	2.7297564456714385	
79	sentence	1	The food is	15.214960124635049	
79	sentence	2	adequate	12.702938530470151	
79	sentence	3		0.0	
79	sentence	4	, but not	16.901833553479268	
79	sentence	5	medical	15.734541382705602	
79	sentence	6	.	4.687775142126196	
80	sentence	1	The food is	15.214960124635049	
80	sentence	2	adequate	12.702938530470151	
80	sentence	3		0.0	
80	sentence	4	, but not	16.901833553479268	
80	sentence	5	extra	11.744664958474651	
80	sentence	6	.	8.395690825781799	
81	sentence	1	The food is	15.214960124635049	
81	sentence	2	adequate	12.702938530470151	
81	sentence	3		0.0	
81	sentence	4	, but not	16.901833553479268	
81	sentence	5	heavy	9.888474093908046	
81	sentence	6	.	4.294771051298859	
82	sentence	1	The food is	15.214960124635049	
82	sentence	2	adequate	12.702938530470151	
82	sentence	3		0.0	
82	sentence	4	, but not	16.901833553479268	
82	sentence	5	responsible	15.845997147354359	
82	sentence	6	.	5.425968363222689	
83	sentence	1	The food is	15.214960124635049	
83	sentence	2	adequate	12.702938530470151	
83	sentence	3		0.0	
83	sentence	4	, but not	16.901833553479268	
83	sentence	5	large	9.536165569823773	
83	sentence	6	.	7.140561439785021	
84	sentence	1	The food is	15.214960124635049	
84	sentence	2	adequate	12.702938530470151	
84	sentence	3		0.0	
84	sentence	4	, but not	16.901833553479268	
84	sentence	5	military	18.420310513696464	
84	sentence	6	.	6.702527131482275	
85	sentence	1	The food is	15.214960124635049	
85	sentence	2	adequate	12.702938530470151	
85	sentence	3		0.0	
85	sentence	4	, but not	16.901833553479268	
85	sentence	5	common	12.67654125735452	
85	sentence	6	.	3.4770066171276697	
86	sentence	1	The food is	15.214960124635049	
86	sentence	2	adequate	12.702938530470151	
86	sentence	3		0.0	
86	sentence	4	, but not	16.901833553479268	
86	sentence	5	willing	14.60045751396969	
86	sentence	6	.	4.4483154421626665	
87	sentence	1	The food is	15.214960124635049	
87	sentence	2	adequate	12.702938530470151	
87	sentence	3		0.0	
87	sentence	4	, but not	16.901833553479268	
87	sentence	5	necessary	7.165853896351509	
87	sentence	6	.	2.7586859913383734	
88	sentence	1	The food is	15.214960124635049	
88	sentence	2	adequate	12.702938530470151	
88	sentence	3		0.0	
88	sentence	4	, but not	16.901833553479268	
88	sentence	5	local	13.982464687387722	
88	sentence	6	.	5.46044434937995	
89	sentence	1	The food is	15.214960124635049	
89	sentence	2	adequate	12.702938530470151	
89	sentence	3		0.0	
89	sentence	4	, but not	16.901833553479268	
89	sentence	5	due	12.792840053451572	
89	sentence	6	.	7.758030751177762	
90	sentence	1	The food is	15.214960124635049	
90	sentence	2	adequate	12.702938530470151	
90	sentence	3		0.0	
90	sentence	4	, but not	16.901833553479268	
90	sentence	5	national	17.495401575968348	
90	sentence	6	.	6.042011938439779	
91	sentence	1	The food is	15.214960124635049	
91	sentence	2	adequate	12.702938530470151	
91	sentence	3		0.0	
91	sentence	4	, but not	16.901833553479268	
91	sentence	5	natural	13.86858740701482	
91	sentence	6	.	4.264011266261442	
92	sentence	1	The food is	15.214960124635049	
92	sentence	2	adequate	12.702938530470151	
92	sentence	3		0.0	
92	sentence	4	, but not	16.901833553479268	
92	sentence	5	powerful	12.767854413934224	
92	sentence	6	.	3.6367451351449516	
93	sentence	1	The food is	15.214960124635049	
93	sentence	2	adequate	12.702938530470151	
93	sentence	3		0.0	
93	sentence	4	, but not	16.901833553479268	
93	sentence	5	fantastic	9.449475306899261	
93	sentence	6	.	3.544164122463088	
94	sentence	1	The food is	15.214960124635049	
94	sentence	2	adequate	12.702938530470151	
94	sentence	3		0.0	
94	sentence	4	, but not	16.901833553479268	
94	sentence	5	united	19.68962502873641	
94	sentence	6	.	4.659126272145469	
95	sentence	1	The food is	15.214960124635049	
95	sentence	2	adequate	12.702938530470151	
95	sentence	3		0.0	
95	sentence	4	, but not	16.901833553479268	
95	sentence	5	prepared	7.650234089408765	
95	sentence	6	.	5.517153908675453	
96	sentence	1	The food is	15.214960124635049	
96	sentence	2	adequate	12.702938530470151	
96	sentence	3		0.0	
96	sentence	4	, but not	16.901833553479268	
96	sentence	5	criminal	19.764692016185005	
96	sentence	6	.	3.9835625971524777	
97	sentence	1	The food is	15.214960124635049	
97	sentence	2	adequate	12.702938530470151	
97	sentence	3		0.0	
97	sentence	4	, but not	16.901833553479268	
97	sentence	5	original	10.937595781395316	
97	sentence	6	.	4.118525638451765	
98	sentence	1	The food is	15.214960124635049	
98	sentence	2	adequate	12.702938530470151	
98	sentence	3		0.0	
98	sentence	4	, but not	16.901833553479268	
98	sentence	5	jealous	19.364041232735005	
98	sentence	6	.	3.343158367371275	
99	sentence	1	The food is	15.214960124635049	
99	sentence	2	adequate	12.702938530470151	
99	sentence	3		0.0	
99	sentence	4	, but not	16.901833553479268	
99	sentence	5	incredible	10.964331516367846	
99	sentence	6	.	3.61362275566705	
100	sentence	1	The food is	15.214960124635049	
100	sentence	2	adequate	12.702938530470151	
100	sentence	3		0.0	
100	sentence	4	, but not	16.901833553479268	
100	sentence	5	comfortable	11.409351072018035	
100	sentence	6	.	3.2987916589628945	
101	sentence	1	The food is	15.214960124635049	
101	sentence	2	adequate	12.702938530470151	
101	sentence	3		0.0	
101	sentence	4	, but not	16.901833553479268	
101	sentence	5	concerned	16.120685085590022	
101	sentence	6	.	6.301136134702962	
102	sentence	1	The food is	15.214960124635049	
102	sentence	2	adequate	12.702938530470151	
102	sentence	3		0.0	
102	sentence	4	, but not	16.901833553479268	
102	sentence	5	usual	13.009664772769746	
102	sentence	6	.	3.650560845454063	
103	sentence	1	The food is	15.214960124635049	
103	sentence	2	adequate	12.702938530470151	
103	sentence	3		0.0	
103	sentence	4	, but not	16.901833553479268	
103	sentence	5	social	15.65278220634663	
103	sentence	6	.	6.716022954060781	
104	sentence	1	The food is	15.214960124635049	
104	sentence	2	adequate	12.702938530470151	
104	sentence	3		0.0	
104	sentence	4	, but not	16.901833553479268	
104	sentence	5	weak	14.626015511749111	
104	sentence	6	.	3.029335432966477	
105	sentence	1	The food is	15.214960124635049	
105	sentence	2	adequate	12.702938530470151	
105	sentence	3		0.0	
105	sentence	4	, but not	16.901833553479268	
105	sentence	5	naked	19.261809241617325	
105	sentence	6	.	3.9435766308268745	
106	sentence	1	The food is	15.214960124635049	
106	sentence	2	adequate	12.702938530470151	
106	sentence	3		0.0	
106	sentence	4	, but not	16.901833553479268	
106	sentence	5	flat	13.630772549124142	
106	sentence	6	.	4.400875059818065	
107	sentence	1	The food is	15.214960124635049	
107	sentence	2	adequate	12.702938530470151	
107	sentence	3		0.0	
107	sentence	4	, but not	16.901833553479268	
107	sentence	5	loose	16.0063455158516	
107	sentence	6	.	3.9392440438863385	
108	sentence	1	The food is	15.214960124635049	
108	sentence	2	adequate	12.702938530470151	
108	sentence	3		0.0	
108	sentence	4	, but not	16.901833553479268	
108	sentence	5	soft	11.694891803453746	
108	sentence	6	.	4.76617790507093	
109	sentence	1	The food is	15.214960124635049	
109	sentence	2	adequate	12.702938530470151	
109	sentence	3		0.0	
109	sentence	4	, but not	16.901833553479268	
109	sentence	5	expensive	11.071846814520033	
109	sentence	6	.	2.6592463105401007	
110	sentence	1	The food is	15.214960124635049	
110	sentence	2	adequate	12.702938530470151	
110	sentence	3		0.0	
110	sentence	4	, but not	16.901833553479268	
110	sentence	5	sudden	18.97212991967125	
110	sentence	6	.	4.341878131266087	
111	sentence	1	The food is	15.214960124635049	
111	sentence	2	adequate	12.702938530470151	
111	sentence	3		0.0	
111	sentence	4	, but not	16.901833553479268	
111	sentence	5	legal	13.264738433639808	
111	sentence	6	.	3.8043790326980433	
112	sentence	1	The food is	15.214960124635049	
112	sentence	2	adequate	12.702938530470151	
112	sentence	3		0.0	
112	sentence	4	, but not	16.901833553479268	
112	sentence	5	obvious	13.269460389301898	
112	sentence	6	.	3.46927668490199	
113	sentence	1	The food is	15.214960124635049	
113	sentence	2	adequate	12.702938530470151	
113	sentence	3		0.0	
113	sentence	4	, but not	16.901833553479268	
113	sentence	5	professional	14.34977560207206	
113	sentence	6	.	5.234448827187168	
114	sentence	1	The food is	15.214960124635049	
114	sentence	2	adequate	12.702938530470151	
114	sentence	3		0.0	
114	sentence	4	, but not	16.901833553479268	
114	sentence	5	pleased	16.650710850047474	
114	sentence	6	.	3.9348141147654143	
115	sentence	1	The food is	15.214960124635049	
115	sentence	2	adequate	12.702938530470151	
115	sentence	3		0.0	
115	sentence	4	, but not	16.901833553479268	
115	sentence	5	foreign	16.377695959039404	
115	sentence	6	.	5.002639603464619	
116	sentence	1	The food is	15.214960124635049	
116	sentence	2	adequate	12.702938530470151	
116	sentence	3		0.0	
116	sentence	4	, but not	16.901833553479268	
116	sentence	5	romantic	17.20138553949812	
116	sentence	6	.	3.783945773949033	
117	sentence	1	The food is	15.214960124635049	
117	sentence	2	adequate	12.702938530470151	
117	sentence	3		0.0	
117	sentence	4	, but not	16.901833553479268	
117	sentence	5	familiar	14.846109277294886	
117	sentence	6	.	4.614789144753037	
118	sentence	1	The food is	15.214960124635049	
118	sentence	2	adequate	12.702938530470151	
118	sentence	3		0.0	
118	sentence	4	, but not	16.901833553479268	
118	sentence	5	likely	11.153462901313487	
118	sentence	6	.	6.559105983413555	
119	sentence	1	The food is	15.214960124635049	
119	sentence	2	adequate	12.702938530470151	
119	sentence	3		0.0	
119	sentence	4	, but not	16.901833553479268	
119	sentence	5	political	17.6357394190724	
119	sentence	6	.	5.925828714684107	
120	sentence	1	The food is	15.214960124635049	
120	sentence	2	adequate	12.702938530470151	
120	sentence	3		0.0	
120	sentence	4	, but not	16.901833553479268	
120	sentence	5	particular	15.939093420058207	
120	sentence	6	.	5.9815854900938294	
