item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The runner	15.341232194655635	
1	sentence	2	started	8.901221445242163	
1	sentence	3		0.0	
1	sentence	4	, but did not	25.43545440075954	
1	sentence	5	have	5.082118289873151	
1	sentence	6	.	9.559079850294129	
2	sentence	1	The runner	15.341232194655635	
2	sentence	2	started	8.901221445242163	
2	sentence	3		0.0	
2	sentence	4	, but did not	25.43545440075954	
2	sentence	5	know	6.230907363188436	
2	sentence	6	.	9.012930368352988	
3	sentence	1	The runner	15.341232194655635	
3	sentence	2	started	8.901221445242163	
3	sentence	3		0.0	
3	sentence	4	, but did not	25.43545440075954	
3	sentence	5	get	4.149284391593277	
3	sentence	6	.	10.13086437824228	
4	sentence	1	The runner	15.341232194655635	
4	sentence	2	started	8.901221445242163	
4	sentence	3		0.0	
4	sentence	4	, but did not	25.43545440075954	
4	sentence	5	go	6.511450966720678	
4	sentence	6	.	9.746350382957434	
5	sentence	1	The runner	15.341232194655635	
5	sentence	2	started	8.901221445242163	
5	sentence	3		0.0	
5	sentence	4	, but did not	25.43545440075954	
5	sentence	5	come	6.305512061271516	
5	sentence	6	.	11.222729945844389	
6	sentence	1	The runner	15.341232194655635	
6	sentence	2	started	8.901221445242163	
6	sentence	3		0.0	
6	sentence	4	, but did not	25.43545440075954	
6	sentence	5	see	5.334330159432856	
6	sentence	6	.	8.236694928850943	
7	sentence	1	The runner	15.341232194655635	
7	sentence	2	started	8.901221445242163	
7	sentence	3		0.0	
7	sentence	4	, but did not	25.43545440075954	
7	sentence	5	let	8.161779974065706	
7	sentence	6	.	13.964483557274715	
8	sentence	1	The runner	15.341232194655635	
8	sentence	2	started	8.901221445242163	
8	sentence	3		0.0	
8	sentence	4	, but did not	25.43545440075954	
8	sentence	5	take	7.370802869662304	
8	sentence	6	.	8.876235805724814	
9	sentence	1	The runner	15.341232194655635	
9	sentence	2	started	8.901221445242163	
9	sentence	3		0.0	
9	sentence	4	, but did not	25.43545440075954	
9	sentence	5	say	9.594546800485661	
9	sentence	6	.	7.4180079797405245	
10	sentence	1	The runner	15.341232194655635	
10	sentence	2	started	8.901221445242163	
10	sentence	3		0.0	
10	sentence	4	, but did not	25.43545440075954	
10	sentence	5	make	5.331358299225947	
10	sentence	6	.	11.680778219193341	
11	sentence	1	The runner	15.341232194655635	
11	sentence	2	started	8.901221445242163	
11	sentence	3		0.0	
11	sentence	4	, but did not	25.43545440075954	
11	sentence	5	give	7.982081493554588	
11	sentence	6	.	12.059653247321695	
12	sentence	1	The runner	15.341232194655635	
12	sentence	2	started	8.901221445242163	
12	sentence	3		0.0	
12	sentence	4	, but did not	25.43545440075954	
12	sentence	5	find	6.93686725189492	
12	sentence	6	.	9.138814101547926	
13	sentence	1	The runner	15.341232194655635	
13	sentence	2	started	8.901221445242163	
13	sentence	3		0.0	
13	sentence	4	, but did not	25.43545440075954	
13	sentence	5	keep	8.321445915404324	
13	sentence	6	.	7.7147096972866285	
14	sentence	1	The runner	15.341232194655635	
14	sentence	2	started	8.901221445242163	
14	sentence	3		0.0	
14	sentence	4	, but did not	25.43545440075954	
14	sentence	5	leave	7.78083152309855	
14	sentence	6	.	5.695936753553377	
15	sentence	1	The runner	15.341232194655635	
15	sentence	2	started	8.901221445242163	
15	sentence	3		0.0	
15	sentence	4	, but did not	25.43545440075954	
15	sentence	5	believe	10.603966636986554	
15	sentence	6	.	9.924012588882338	
16	sentence	1	The runner	15.341232194655635	
16	sentence	2	started	8.901221445242163	
16	sentence	3		0.0	
16	sentence	4	, but did not	25.43545440075954	
16	sentence	5	remember	11.46721497886613	
16	sentence	6	.	6.535416405153108	
17	sentence	1	The runner	15.341232194655635	
17	sentence	2	started	8.901221445242163	
17	sentence	3		0.0	
17	sentence	4	, but did not	25.43545440075954	
17	sentence	5	run	3.96011998597867	
17	sentence	6	.	5.4845772989143216	
18	sentence	1	The runner	15.341232194655635	
18	sentence	2	started	8.901221445242163	
18	sentence	3		0.0	
18	sentence	4	, but did not	25.43545440075954	
18	sentence	5	happen	11.682685162826107	
18	sentence	6	.	7.337795271378111	
19	sentence	1	The runner	15.341232194655635	
19	sentence	2	started	8.901221445242163	
19	sentence	3		0.0	
19	sentence	4	, but did not	25.43545440075954	
19	sentence	5	buy	13.698707072076157	
19	sentence	6	.	6.36996978295369	
20	sentence	1	The runner	15.341232194655635	
20	sentence	2	started	8.901221445242163	
20	sentence	3		0.0	
20	sentence	4	, but did not	25.43545440075954	
