item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	Phoebe	10.996087360425564	
1	sentence	2	wants	10.784339977419657	
1	sentence	3	a car	14.243151174051345	
1	sentence	4	, but does not	24.068741402510927	
1	sentence	5	have	2.9797115588865224	
1	sentence	6	one.	4.049929670224531	
2	sentence	1	Phoebe	10.996087360425564	
2	sentence	2	wants	10.784339977419657	
2	sentence	3	a car	14.243151174051345	
2	sentence	4	, but does not	24.068741402510927	
2	sentence	5	know	2.891590400306833	
2	sentence	6	one.	11.131723950279126	
3	sentence	1	Phoebe	10.996087360425564	
3	sentence	2	wants	10.784339977419657	
3	sentence	3	a car	14.243151174051345	
3	sentence	4	, but does not	24.068741402510927	
3	sentence	5	get	7.4071668813607365	
3	sentence	6	one.	2.554022423236685	
4	sentence	1	Phoebe	10.996087360425564	
4	sentence	2	wants	10.784339977419657	
4	sentence	3	a car	14.243151174051345	
4	sentence	4	, but does not	24.068741402510927	
4	sentence	5	go	10.146209358282862	
4	sentence	6	one.	13.338531029645514	
5	sentence	1	Phoebe	10.996087360425564	
5	sentence	2	wants	10.784339977419657	
5	sentence	3	a car	14.243151174051345	
5	sentence	4	, but does not	24.068741402510927	
5	sentence	5	come	11.042962672272925	
5	sentence	6	one.	12.146464242067111	
6	sentence	1	Phoebe	10.996087360425564	
6	sentence	2	wants	10.784339977419657	
6	sentence	3	a car	14.243151174051345	
6	sentence	4	, but does not	24.068741402510927	
6	sentence	5	see	6.420773458018563	
6	sentence	6	one.	7.558846636323889	
7	sentence	1	Phoebe	10.996087360425564	
7	sentence	2	wants	10.784339977419657	
7	sentence	3	a car	14.243151174051345	
7	sentence	4	, but does not	24.068741402510927	
7	sentence	5	let	10.140331679206975	
7	sentence	6	one.	12.310660550394758	
8	sentence	1	Phoebe	10.996087360425564	
8	sentence	2	wants	10.784339977419657	
8	sentence	3	a car	14.243151174051345	
8	sentence	4	, but does not	24.068741402510927	
8	sentence	5	take	9.52398988607329	
8	sentence	6	one.	8.432848537413962	
9	sentence	1	Phoebe	10.996087360425564	
9	sentence	2	wants	10.784339977419657	
