item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The elephant is	19.30449808728389	
1	sentence	2	hungry	11.15614858238936	
1	sentence	3		0.0	
1	sentence	4	, but not	19.005091082639712	
1	sentence	5	good	9.265042487975192	
1	sentence	6	.	5.172789607199833	
2	sentence	1	The elephant is	19.30449808728389	
2	sentence	2	hungry	11.15614858238936	
2	sentence	3		0.0	
2	sentence	4	, but not	19.005091082639712	
2	sentence	5	little	14.715070880088287	
2	sentence	6	.	3.5892572855887126	
3	sentence	1	The elephant is	19.30449808728389	
3	sentence	2	hungry	11.15614858238936	
3	sentence	3		0.0	
3	sentence	4	, but not	19.005091082639712	
3	sentence	5	other	13.569429777214395	
3	sentence	6	.	11.771973051709251	
4	sentence	1	The elephant is	19.30449808728389	
4	sentence	2	hungry	11.15614858238936	
4	sentence	3		0.0	
4	sentence	4	, but not	19.005091082639712	
4	sentence	5	great	11.556886045095395	
4	sentence	6	.	3.8370399139580975	
5	sentence	1	The elephant is	19.30449808728389	
5	sentence	2	hungry	11.15614858238936	
5	sentence	3		0.0	
5	sentence	4	, but not	19.005091082639712	
5	sentence	5	last	13.121141175336605	
5	sentence	6	.	5.1469419906363605	
6	sentence	1	The elephant is	19.30449808728389	
6	sentence	2	hungry	11.15614858238936	
6	sentence	3		0.0	
6	sentence	4	, but not	19.005091082639712	
6	sentence	5	new	13.985600275078253	
6	sentence	6	.	6.341243864745376	
7	sentence	1	The elephant is	19.30449808728389	
7	sentence	2	hungry	11.15614858238936	
7	sentence	3		0.0	
7	sentence	4	, but not	19.005091082639712	
7	sentence	5	old	11.686481163895952	
7	sentence	6	.	5.289529366813698	
8	sentence	1	The elephant is	19.30449808728389	
8	sentence	2	hungry	11.15614858238936	
8	sentence	3		0.0	
8	sentence	4	, but not	19.005091082639712	
8	sentence	5	big	8.915089438277136	
8	sentence	6	.	6.381075046685202	
9	sentence	1	The elephant is	19.30449808728389	
9	sentence	2	hungry	11.15614858238936	
9	sentence	3		0.0	
9	sentence	4	, but not	19.005091082639712	
9	sentence	5	nice	13.993591276967944	
9	sentence	6	.	2.9923674181982145	
10	sentence	1	The elephant is	19.30449808728389	
10	sentence	2	hungry	11.15614858238936	
10	sentence	3		0.0	
10	sentence	4	, but not	19.005091082639712	
10	sentence	5	wrong	14.385920851838597	
10	sentence	6	.	2.9889576901622084	
11	sentence	1	The elephant is	19.30449808728389	
11	sentence	2	hungry	11.15614858238936	
11	sentence	3		0.0	
11	sentence	4	, but not	19.005091082639712	
11	sentence	5	bad	11.092703494555467	
11	sentence	6	.	4.731844320548584	
12	sentence	1	The elephant is	19.30449808728389	
12	sentence	2	hungry	11.15614858238936	
12	sentence	3		0.0	
12	sentence	4	, but not	19.005091082639712	
12	sentence	5	same	16.778532483752336	
12	sentence	6	.	6.7720672844627465	
13	sentence	1	The elephant is	19.30449808728389	
13	sentence	2	hungry	11.15614858238936	
13	sentence	3		0.0	
13	sentence	4	, but not	19.005091082639712	
13	sentence	5	next	13.982496332195481	
13	sentence	6	.	9.042699189356133	
14	sentence	1	The elephant is	19.30449808728389	
14	sentence	2	hungry	11.15614858238936	
14	sentence	3		0.0	
