item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The melody was	21.251039005585362	
1	sentence	2	okay	13.042122714501781	
1	sentence	3		0.0	
1	sentence	4	, but not	17.942900347522052	
1	sentence	5	good	5.270679380348531	
1	sentence	6	.	4.286083175707874	
2	sentence	1	The melody was	21.251039005585362	
2	sentence	2	okay	13.042122714501781	
2	sentence	3		0.0	
2	sentence	4	, but not	17.942900347522052	
2	sentence	5	little	17.147553593916854	
2	sentence	6	.	5.166530470604332	
3	sentence	1	The melody was	21.251039005585362	
3	sentence	2	okay	13.042122714501781	
3	sentence	3		0.0	
3	sentence	4	, but not	17.942900347522052	
3	sentence	5	other	13.319665564741769	
3	sentence	6	.	10.573175551106681	
4	sentence	1	The melody was	21.251039005585362	
4	sentence	2	okay	13.042122714501781	
4	sentence	3		0.0	
4	sentence	4	, but not	17.942900347522052	
4	sentence	5	great	3.375524126402449	
4	sentence	6	.	3.1416868832609257	
5	sentence	1	The melody was	21.251039005585362	
5	sentence	2	okay	13.042122714501781	
5	sentence	3		0.0	
5	sentence	4	, but not	17.942900347522052	
5	sentence	5	last	11.381803578933434	
5	sentence	6	.	6.233755395886725	
6	sentence	1	The melody was	21.251039005585362	
6	sentence	2	okay	13.042122714501781	
6	sentence	3		0.0	
6	sentence	4	, but not	17.942900347522052	
6	sentence	5	new	12.373634405765287	
6	sentence	6	.	5.235515463587819	
7	sentence	1	The melody was	21.251039005585362	
7	sentence	2	okay	13.042122714501781	
7	sentence	3		0.0	
7	sentence	4	, but not	17.942900347522052	
7	sentence	5	old	14.212577474242162	
7	sentence	6	.	6.697953080899928	
8	sentence	1	The melody was	21.251039005585362	
8	sentence	2	okay	13.042122714501781	
8	sentence	3		0.0	
8	sentence	4	, but not	17.942900347522052	
8	sentence	5	big	11.720023284259026	
8	sentence	6	.	7.36093725687821	
9	sentence	1	The melody was	21.251039005585362	
9	sentence	2	okay	13.042122714501781	
9	sentence	3		0.0	
9	sentence	4	, but not	17.942900347522052	
9	sentence	5	nice	8.73345787277032	
9	sentence	6	.	3.274730598176584	
10	sentence	1	The melody was	21.251039005585362	
10	sentence	2	okay	13.042122714501781	
10	sentence	3		0.0	
10	sentence	4	, but not	17.942900347522052	
10	sentence	5	wrong	14.104731969400317	
10	sentence	6	.	3.032061014017351	
11	sentence	1	The melody was	21.251039005585362	
11	sentence	2	okay	13.042122714501781	
11	sentence	3		0.0	
11	sentence	4	, but not	17.942900347522052	
11	sentence	5	bad	7.84213095538028	
11	sentence	6	.	3.6151303555845136	
12	sentence	1	The melody was	21.251039005585362	
12	sentence	2	okay	13.042122714501781	
12	sentence	3		0.0	
12	sentence	4	, but not	17.942900347522052	
12	sentence	5	same	16.78941141831531	
12	sentence	6	.	6.641221507825115	
13	sentence	1	The melody was	21.251039005585362	
13	sentence	2	okay	13.042122714501781	
13	sentence	3		0.0	
13	sentence	4	, but not	17.942900347522052	
13	sentence	5	next	12.870507418581216	
13	sentence	6	.	10.078452321426536	
14	sentence	1	The melody was	21.251039005585362	
14	sentence	2	okay	13.042122714501781	
14	sentence	3		0.0	
14	sentence	4	, but not	17.942900347522052	
14	sentence	5	dead	12.967445095774737	
14	sentence	6	.	3.7373522341772807	
15	sentence	1	The melody was	21.251039005585362	
15	sentence	2	okay	13.042122714501781	
15	sentence	3		0.0	
15	sentence	4	, but not	17.942900347522052	
15	sentence	5	many	9.541220483897932	
15	sentence	6	.	11.216639008281431	
16	sentence	1	The melody was	21.251039005585362	
16	sentence	2	okay	13.042122714501781	
16	sentence	3		0.0	
16	sentence	4	, but not	17.942900347522052	
16	sentence	5	real	12.329463757578889	
16	sentence	6	.	5.368769341302832	
17	sentence	1	The melody was	21.251039005585362	
17	sentence	2	okay	13.042122714501781	
17	sentence	3		0.0	
17	sentence	4	, but not	17.942900347522052	
17	sentence	5	live	14.212071157318022	
17	sentence	6	.	3.5193456500823777	
18	sentence	1	The melody was	21.251039005585362	
18	sentence	2	okay	13.042122714501781	
18	sentence	3		0.0	
18	sentence	4	, but not	17.942900347522052	
18	sentence	5	ready	11.627059094231042	
18	sentence	6	.	5.102606583070437	
19	sentence	1	The melody was	21.251039005585362	
19	sentence	2	okay	13.042122714501781	
19	sentence	3		0.0	
19	sentence	4	, but not	17.942900347522052	
19	sentence	5	happy	11.649920404044932	
19	sentence	6	.	3.5099258163293197	
20	sentence	1	The melody was	21.251039005585362	
20	sentence	2	okay	13.042122714501781	
20	sentence	3		0.0	
20	sentence	4	, but not	17.942900347522052	
20	sentence	5	whole	13.213019810872344	
20	sentence	6	.	4.39462108270209	
21	sentence	1	The melody was	21.251039005585362	
21	sentence	2	okay	13.042122714501781	
21	sentence	3		0.0	
21	sentence	4	, but not	17.942900347522052	
21	sentence	5	hard	11.16242526121525	
21	sentence	6	.	4.375560933437569	
22	sentence	1	The melody was	21.251039005585362	
22	sentence	2	okay	13.042122714501781	
22	sentence	3		0.0	
22	sentence	4	, but not	17.942900347522052	
22	sentence	5	open	14.795095095465356	
22	sentence	6	.	6.111736456821975	
23	sentence	1	The melody was	21.251039005585362	
23	sentence	2	okay	13.042122714501781	
23	sentence	3		0.0	
23	sentence	4	, but not	17.942900347522052	
23	sentence	5	few	17.105485261654604	
23	sentence	6	.	5.9972730595749315	
24	sentence	1	The melody was	21.251039005585362	
24	sentence	2	okay	13.042122714501781	
24	sentence	3		0.0	
24	sentence	4	, but not	17.942900347522052	
24	sentence	5	true	10.824447707462072	
