item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	It is	4.183671634702692	
1	sentence	2	damp	19.915229118415827	
1	sentence	3		0.0	
1	sentence	4	, but not	18.174942349762542	
1	sentence	5	good	10.153422310660048	
1	sentence	6	.	4.431575338858284	
2	sentence	1	It is	4.183671634702692	
2	sentence	2	damp	19.915229118415827	
2	sentence	3		0.0	
2	sentence	4	, but not	18.174942349762542	
2	sentence	5	little	15.673520562318272	
2	sentence	6	.	3.9143244457069213	
3	sentence	1	It is	4.183671634702692	
3	sentence	2	damp	19.915229118415827	
3	sentence	3		0.0	
3	sentence	4	, but not	18.174942349762542	
3	sentence	5	other	15.093303381033017	
3	sentence	6	.	8.322270744197862	
4	sentence	1	It is	4.183671634702692	
4	sentence	2	damp	19.915229118415827	
4	sentence	3		0.0	
4	sentence	4	, but not	18.174942349762542	
4	sentence	5	great	10.481174463923526	
4	sentence	6	.	4.030144786069273	
5	sentence	1	It is	4.183671634702692	
5	sentence	2	damp	19.915229118415827	
5	sentence	3		0.0	
5	sentence	4	, but not	18.174942349762542	
5	sentence	5	last	13.957810630421237	
5	sentence	6	.	4.681969007833067	
6	sentence	1	It is	4.183671634702692	
6	sentence	2	damp	19.915229118415827	
6	sentence	3		0.0	
6	sentence	4	, but not	18.174942349762542	
6	sentence	5	new	13.711839667296042	
6	sentence	6	.	4.610206151072845	
7	sentence	1	It is	4.183671634702692	
7	sentence	2	damp	19.915229118415827	
7	sentence	3		0.0	
7	sentence	4	, but not	18.174942349762542	
7	sentence	5	old	12.60759547641543	
7	sentence	6	.	3.8714536423957453	
8	sentence	1	It is	4.183671634702692	
8	sentence	2	damp	19.915229118415827	
8	sentence	3		0.0	
8	sentence	4	, but not	18.174942349762542	
8	sentence	5	big	12.211589600399934	
8	sentence	6	.	4.661644098154101	
9	sentence	1	It is	4.183671634702692	
9	sentence	2	damp	19.915229118415827	
9	sentence	3		0.0	
9	sentence	4	, but not	18.174942349762542	
9	sentence	5	nice	13.297386244218398	
9	sentence	6	.	3.609324909221989	
10	sentence	1	It is	4.183671634702692	
10	sentence	2	damp	19.915229118415827	
10	sentence	3		0.0	
10	sentence	4	, but not	18.174942349762542	
10	sentence	5	wrong	11.690259278770105	
10	sentence	6	.	3.7547414000060195	
11	sentence	1	It is	4.183671634702692	
11	sentence	2	damp	19.915229118415827	
11	sentence	3		0.0	
11	sentence	4	, but not	18.174942349762542	
11	sentence	5	bad	6.975480108736035	
11	sentence	6	.	5.099176561081629	
12	sentence	1	It is	4.183671634702692	
12	sentence	2	damp	19.915229118415827	
12	sentence	3		0.0	
12	sentence	4	, but not	18.174942349762542	
12	sentence	5	same	16.460260014204415	
12	sentence	6	.	5.6620080161911615	
13	sentence	1	It is	4.183671634702692	
13	sentence	2	damp	19.915229118415827	
13	sentence	3		0.0	
13	sentence	4	, but not	18.174942349762542	
13	sentence	5	next	16.46185601320442	
13	sentence	6	.	9.261402647152332	
14	sentence	1	It is	4.183671634702692	
14	sentence	2	damp	19.915229118415827	
14	sentence	3		0.0	
14	sentence	4	, but not	18.174942349762542	
14	sentence	5	dead	7.897538262043449	
14	sentence	6	.	3.1610906538618715	
15	sentence	1	It is	4.183671634702692	
15	sentence	2	damp	19.915229118415827	
15	sentence	3		0.0	
15	sentence	4	, but not	18.174942349762542	
15	sentence	5	many	13.847598644303522	
15	sentence	6	.	9.290888040746855	
16	sentence	1	It is	4.183671634702692	
16	sentence	2	damp	19.915229118415827	
16	sentence	3		0.0	
16	sentence	4	, but not	18.174942349762542	
16	sentence	5	real	13.76763359095835	
16	sentence	6	.	4.195657105641321	
17	sentence	1	It is	4.183671634702692	
17	sentence	2	damp	19.915229118415827	
17	sentence	3		0.0	
17	sentence	4	, but not	18.174942349762542	
17	sentence	5	live	15.330699977116797	
17	sentence	6	.	3.633169271868212	
18	sentence	1	It is	4.183671634702692	
18	sentence	2	damp	19.915229118415827	
18	sentence	3		0.0	
18	sentence	4	, but not	18.174942349762542	
18	sentence	5	ready	10.272847063419182	
18	sentence	6	.	5.146744898518472	
19	sentence	1	It is	4.183671634702692	
19	sentence	2	damp	19.915229118415827	
19	sentence	3		0.0	
19	sentence	4	, but not	18.174942349762542	
19	sentence	5	happy	14.081550083925219	
19	sentence	6	.	3.614981074643565	
20	sentence	1	It is	4.183671634702692	
20	sentence	2	damp	19.915229118415827	
20	sentence	3		0.0	
20	sentence	4	, but not	18.174942349762542	
20	sentence	5	whole	15.35056741294447	
20	sentence	6	.	2.9002655491816545	
21	sentence	1	It is	4.183671634702692	
21	sentence	2	damp	19.915229118415827	
21	sentence	3		0.0	
21	sentence	4	, but not	18.174942349762542	
21	sentence	5	hard	7.540749933869501	
21	sentence	6	.	3.9632280564450624	
22	sentence	1	It is	4.183671634702692	
22	sentence	2	damp	19.915229118415827	
22	sentence	3		0.0	
22	sentence	4	, but not	18.174942349762542	
22	sentence	5	open	13.430151347239658	
22	sentence	6	.	3.3726186514987724	
23	sentence	1	It is	4.183671634702692	
23	sentence	2	damp	19.915229118415827	
23	sentence	3		0.0	
23	sentence	4	, but not	18.174942349762542	
23	sentence	5	few	18.109939615059783	
23	sentence	6	.	5.629575527891453	
24	sentence	1	It is	4.183671634702692	
24	sentence	2	damp	19.915229118415827	
24	sentence	3		0.0	
24	sentence	4	, but not	18.174942349762542	
24	sentence	5	true	12.87402824740968	
24	sentence	6	.	2.723217321320333	
25	sentence	1	It is	4.183671634702692	
25	sentence	2	damp	19.915229118415827	
25	sentence	3		0.0	
25	sentence	4	, but not	18.174942349762542	
25	sentence	5	young	18.137732011439216	
25	sentence	6	.	3.712028820733637	
26	sentence	1	It is	4.183671634702692	
26	sentence	2	damp	19.915229118415827	
26	sentence	3		0.0	
26	sentence	4	, but not	18.174942349762542	
26	sentence	5	second	16.47728767250104	
26	sentence	6	.	7.626653892114267	
27	sentence	1	It is	4.183671634702692	
27	sentence	2	damp	19.915229118415827	
27	sentence	3		0.0	
27	sentence	4	, but not	18.174942349762542	
27	sentence	5	easy	12.18931165573777	
27	sentence	6	.	6.506806059286174	
28	sentence	1	It is	4.183671634702692	
28	sentence	2	damp	19.915229118415827	
28	sentence	3		0.0	
28	sentence	4	, but not	18.174942349762542	
28	sentence	5	different	15.16106179375055	
28	sentence	6	.	5.454271892040484	
29	sentence	1	It is	4.183671634702692	
29	sentence	2	damp	19.915229118415827	
29	sentence	3		0.0	
29	sentence	4	, but not	18.174942349762542	
29	sentence	5	married	19.0771260159536	
29	sentence	6	.	4.235011551672955	
30	sentence	1	It is	4.183671634702692	
30	sentence	2	damp	19.915229118415827	
30	sentence	3		0.0	
30	sentence	4	, but not	18.174942349762542	
30	sentence	5	important	14.05129214426302	
30	sentence	6	.	3.46578646898538	
31	sentence	1	It is	4.183671634702692	
31	sentence	2	damp	19.915229118415827	
31	sentence	3		0.0	
31	sentence	4	, but not	18.174942349762542	
31	sentence	5	able	13.259907784942374	
31	sentence	6	.	11.216367963623671	
32	sentence	1	It is	4.183671634702692	
32	sentence	2	damp	19.915229118415827	
32	sentence	3		0.0	
32	sentence	4	, but not	18.174942349762542	
32	sentence	5	high	10.240398752715594	
32	sentence	6	.	3.8748496118196822	
33	sentence	1	It is	4.183671634702692	
33	sentence	2	damp	19.915229118415827	
33	sentence	3		0.0	
33	sentence	4	, but not	18.174942349762542	
33	sentence	5	free	13.816427132799939	
33	sentence	6	.	2.9860577187033597	
34	sentence	1	It is	4.183671634702692	
34	sentence	2	damp	19.915229118415827	
34	sentence	3		0.0	
34	sentence	4	, but not	18.174942349762542	
34	sentence	5	stupid	12.298709132021	
34	sentence	6	.	3.2857643171253383	
35	sentence	1	It is	4.183671634702692	
35	sentence	2	damp	19.915229118415827	
35	sentence	3		0.0	
35	sentence	4	, but not	18.174942349762542	
35	sentence	5	full	9.581559358623105	
35	sentence	6	.	3.306583504942885	
36	sentence	1	It is	4.183671634702692	
36	sentence	2	damp	19.915229118415827	
36	sentence	3		0.0	
36	sentence	4	, but not	18.174942349762542	
36	sentence	5	hot	6.52591470765824	
36	sentence	6	.	2.5111542856565974	
37	sentence	1	It is	4.183671634702692	
37	sentence	2	damp	19.915229118415827	
37	sentence	3		0.0	
37	sentence	4	, but not	18.174942349762542	
37	sentence	5	clear	10.223998487129316	
37	sentence	6	.	3.2156538696746058	
38	sentence	1	It is	4.183671634702692	
38	sentence	2	damp	19.915229118415827	
38	sentence	3		0.0	
38	sentence	4	, but not	18.174942349762542	
38	sentence	5	alive	14.787917227548945	
38	sentence	6	.	2.6802816805497818	
