item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The train	12.813351392324074	
1	sentence	2	slowed	11.258207214994972	
1	sentence	3		0.0	
1	sentence	4	, but did not	24.629572785382248	
1	sentence	5	have	7.608390710453843	
1	sentence	6	.	13.770478871934225	
2	sentence	1	The train	12.813351392324074	
2	sentence	2	slowed	11.258207214994972	
2	sentence	3		0.0	
2	sentence	4	, but did not	24.629572785382248	
2	sentence	5	know	10.46571322361096	
2	sentence	6	.	11.025362655714229	
3	sentence	1	The train	12.813351392324074	
3	sentence	2	slowed	11.258207214994972	
3	sentence	3		0.0	
3	sentence	4	, but did not	24.629572785382248	
3	sentence	5	get	7.123515207362103	
3	sentence	6	.	15.54720962421859	
4	sentence	1	The train	12.813351392324074	
4	sentence	2	slowed	11.258207214994972	
4	sentence	3		0.0	
4	sentence	4	, but did not	24.629572785382248	
4	sentence	5	go	4.9939245546147975	
4	sentence	6	.	13.691664038558024	
5	sentence	1	The train	12.813351392324074	
5	sentence	2	slowed	11.258207214994972	
5	sentence	3		0.0	
5	sentence	4	, but did not	24.629572785382248	
5	sentence	5	come	6.350831553565676	
5	sentence	6	.	12.532000158263381	
6	sentence	1	The train	12.813351392324074	
6	sentence	2	slowed	11.258207214994972	
6	sentence	3		0.0	
6	sentence	4	, but did not	24.629572785382248	
6	sentence	5	see	8.504109376816317	
6	sentence	6	.	11.430602624219851	
7	sentence	1	The train	12.813351392324074	
7	sentence	2	slowed	11.258207214994972	
7	sentence	3		0.0	
7	sentence	4	, but did not	24.629572785382248	
7	sentence	5	let	9.570522887951938	
7	sentence	6	.	18.226425528280977	
8	sentence	1	The train	12.813351392324074	
8	sentence	2	slowed	11.258207214994972	
8	sentence	3		0.0	
8	sentence	4	, but did not	24.629572785382248	
8	sentence	5	take	7.302861467404253	
8	sentence	6	.	15.057178769184587	
9	sentence	1	The train	12.813351392324074	
9	sentence	2	slowed	11.258207214994972	
9	sentence	3		0.0	
9	sentence	4	, but did not	24.629572785382248	
9	sentence	5	say	11.508395880649926	
9	sentence	6	.	9.59438513679385	
10	sentence	1	The train	12.813351392324074	
10	sentence	2	slowed	11.258207214994972	
10	sentence	3		0.0	
10	sentence	4	, but did not	24.629572785382248	
10	sentence	5	make	6.0534694226402594	
10	sentence	6	.	16.522858947396063	
11	sentence	1	The train	12.813351392324074	
11	sentence	2	slowed	11.258207214994972	
11	sentence	3		0.0	
11	sentence	4	, but did not	24.629572785382248	
11	sentence	5	give	9.207801846253826	
11	sentence	6	.	15.361603195685033	
12	sentence	1	The train	12.813351392324074	
12	sentence	2	slowed	11.258207214994972	
12	sentence	3		0.0	
12	sentence	4	, but did not	24.629572785382248	
12	sentence	5	find	10.046306700188467	
12	sentence	6	.	13.245448859519035	
13	sentence	1	The train	12.813351392324074	
13	sentence	2	slowed	11.258207214994972	
13	sentence	3		0.0	
13	sentence	4	, but did not	24.629572785382248	
13	sentence	5	keep	9.407180645468475	
13	sentence	6	.	12.500323705696866	
14	sentence	1	The train	12.813351392324074	
14	sentence	2	slowed	11.258207214994972	
14	sentence	3		0.0	
14	sentence	4	, but did not	24.629572785382248	
14	sentence	5	leave	6.455352977731643	
14	sentence	6	.	7.544153126564774	
15	sentence	1	The train	12.813351392324074	
15	sentence	2	slowed	11.258207214994972	
15	sentence	3		0.0	
15	sentence	4	, but did not	24.629572785382248	
15	sentence	5	believe	14.63534385073191	
15	sentence	6	.	11.297688240257642	
16	sentence	1	The train	12.813351392324074	
16	sentence	2	slowed	11.258207214994972	
16	sentence	3		0.0	
16	sentence	4	, but did not	24.629572785382248	
16	sentence	5	remember	15.509004710225323	
16	sentence	6	.	8.064516905696753	
17	sentence	1	The train	12.813351392324074	
17	sentence	2	slowed	11.258207214994972	
17	sentence	3		0.0	
17	sentence	4	, but did not	24.629572785382248	
17	sentence	5	run	6.317744843262085	
17	sentence	6	.	7.474906719951976	
18	sentence	1	The train	12.813351392324074	
18	sentence	2	slowed	11.258207214994972	
18	sentence	3		0.0	
18	sentence	4	, but did not	24.629572785382248	
18	sentence	5	happen	11.184044856289912	
18	sentence	6	.	5.782834083589527	
19	sentence	1	The train	12.813351392324074	
19	sentence	2	slowed	11.258207214994972	
19	sentence	3		0.0	
19	sentence	4	, but did not	24.629572785382248	
19	sentence	5	buy	15.075509368044148	
19	sentence	6	.	9.859411089704041	
20	sentence	1	The train	12.813351392324074	
20	sentence	2	slowed	11.258207214994972	
20	sentence	3		0.0	
20	sentence	4	, but did not	24.629572785382248	
20	sentence	5	save	12.724745930599555	
20	sentence	6	.	8.402400212957259	
21	sentence	1	The train	12.813351392324074	
21	sentence	2	slowed	11.258207214994972	
21	sentence	3		0.0	
21	sentence	4	, but did not	24.629572785382248	
21	sentence	5	lose	8.843451784886742	
21	sentence	6	.	11.537424488323758	
22	sentence	1	The train	12.813351392324074	
22	sentence	2	slowed	11.258207214994972	
22	sentence	3		0.0	
22	sentence	4	, but did not	24.629572785382248	
22	sentence	5	follow	8.275011975532573	
22	sentence	6	.	8.598274693677928	
23	sentence	1	The train	12.813351392324074	
23	sentence	2	slowed	11.258207214994972	
23	sentence	3		0.0	
23	sentence	4	, but did not	24.629572785382248	
23	sentence	5	expect	13.343002922533248	
23	sentence	6	.	13.20837077585422	
24	sentence	1	The train	12.813351392324074	
24	sentence	2	slowed	11.258207214994972	
24	sentence	3		0.0	
24	sentence	4	, but did not	24.629572785382248	
24	sentence	5	realize	10.945899791709577	
24	sentence	6	.	9.80514368405079	
25	sentence	1	The train	12.813351392324074	
25	sentence	2	slowed	11.258207214994972	
25	sentence	3		0.0	
25	sentence	4	, but did not	24.629572785382248	
25	sentence	5	slow	6.275434359427421	
25	sentence	6	.	7.944053377726408	
26	sentence	1	The train	12.813351392324074	
26	sentence	2	slowed	11.258207214994972	
26	sentence	3		0.0	
26	sentence	4	, but did not	24.629572785382248	
26	sentence	5	allow	10.231046336161675	
26	sentence	6	.	13.384980447955844	
27	sentence	1	The train	12.813351392324074	
27	sentence	2	slowed	11.258207214994972	
27	sentence	3		0.0	
27	sentence	4	, but did not	24.629572785382248	
27	sentence	5	consider	14.132593158840093	
27	sentence	6	.	12.973077871555795	
28	sentence	1	The train	12.813351392324074	
28	sentence	2	slowed	11.258207214994972	
28	sentence	3		0.0	
28	sentence	4	, but did not	24.629572785382248	
28	sentence	5	apologize	16.94174952286597	
28	sentence	6	.	4.278350835725082	
29	sentence	1	The train	12.813351392324074	
29	sentence	2	slowed	11.258207214994972	
29	sentence	3		0.0	
29	sentence	4	, but did not	24.629572785382248	
29	sentence	5	recognize	13.374878874974765	
29	sentence	6	.	10.587228597473983	
30	sentence	1	The train	12.813351392324074	
30	sentence	2	slowed	11.258207214994972	
30	sentence	3		0.0	
30	sentence	4	, but did not	24.629572785382248	
30	sentence	5	settle	13.386788329581712	
30	sentence	6	.	5.8301533901479194	
31	sentence	1	The train	12.813351392324074	
31	sentence	2	slowed	11.258207214994972	
31	sentence	3		0.0	
31	sentence	4	, but did not	24.629572785382248	
31	sentence	5	add	13.416859152119773	
31	sentence	6	.	12.268433306163109	
32	sentence	1	The train	12.813351392324074	
32	sentence	2	slowed	11.258207214994972	
32	sentence	3		0.0	
32	sentence	4	, but did not	24.629572785382248	
32	sentence	5	assume	15.968388256875574	
32	sentence	6	.	11.83806667236643	
33	sentence	1	The train	12.813351392324074	
33	sentence	2	slowed	11.258207214994972	
33	sentence	3		0.0	
33	sentence	4	, but did not	24.629572785382248	
33	sentence	5	appear	7.597009586550346	
33	sentence	6	.	13.061754878063073	
34	sentence	1	The train	12.813351392324074	
34	sentence	2	slowed	11.258207214994972	
34	sentence	3		0.0	
34	sentence	4	, but did not	24.629572785382248	
34	sentence	5	remove	12.400174768446435	
34	sentence	6	.	8.22862550287246	
35	sentence	1	The train	12.813351392324074	
35	sentence	2	slowed	11.258207214994972	
35	sentence	3		0.0	
35	sentence	4	, but did not	24.629572785382248	
35	sentence	5	identify	15.248251494293166	
35	sentence	6	.	10.559159652991966	
36	sentence	1	The train	12.813351392324074	
36	sentence	2	slowed	11.258207214994972	
36	sentence	3		0.0	
36	sentence	4	, but did not	24.629572785382248	
36	sentence	5	replace	16.636572500285343	
36	sentence	6	.	9.477796721912746	
37	sentence	1	The train	12.813351392324074	
37	sentence	2	slowed	11.258207214994972	
37	sentence	3		0.0	
37	sentence	4	, but did not	24.629572785382248	
37	sentence	5	apply	14.417671600910284	
37	sentence	6	.	10.067948309042439	
38	sentence	1	The train	12.813351392324074	
38	sentence	2	slowed	11.258207214994972	
38	sentence	3		0.0	
38	sentence	4	, but did not	24.629572785382248	
