item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The problem is	12.109515231381769	
1	sentence	2	difficult	11.779880126065319	
1	sentence	3		0.0	
1	sentence	4	, but not	22.943855982860747	
1	sentence	5	good	15.045467438591432	
1	sentence	6	.	3.6528248250700206	
2	sentence	1	The problem is	12.109515231381769	
2	sentence	2	difficult	11.779880126065319	
2	sentence	3		0.0	
2	sentence	4	, but not	22.943855982860747	
2	sentence	5	little	17.47245358689842	
2	sentence	6	.	4.689693092648618	
3	sentence	1	The problem is	12.109515231381769	
3	sentence	2	difficult	11.779880126065319	
3	sentence	3		0.0	
3	sentence	4	, but not	22.943855982860747	
3	sentence	5	other	16.97954305435837	
3	sentence	6	.	9.852908081709618	
4	sentence	1	The problem is	12.109515231381769	
4	sentence	2	difficult	11.779880126065319	
4	sentence	3		0.0	
4	sentence	4	, but not	22.943855982860747	
4	sentence	5	great	11.066675640173889	
4	sentence	6	.	3.2012795597154926	
5	sentence	1	The problem is	12.109515231381769	
5	sentence	2	difficult	11.779880126065319	
5	sentence	3		0.0	
5	sentence	4	, but not	22.943855982860747	
5	sentence	5	last	16.386833053314444	
5	sentence	6	.	6.697857458546048	
6	sentence	1	The problem is	12.109515231381769	
6	sentence	2	difficult	11.779880126065319	
6	sentence	3		0.0	
6	sentence	4	, but not	22.943855982860747	
6	sentence	5	new	11.611835189976665	
6	sentence	6	.	5.073725192545743	
7	sentence	1	The problem is	12.109515231381769	
7	sentence	2	difficult	11.779880126065319	
7	sentence	3		0.0	
7	sentence	4	, but not	22.943855982860747	
7	sentence	5	old	16.70083760139855	
7	sentence	6	.	5.699132191206408	
8	sentence	1	The problem is	12.109515231381769	
8	sentence	2	difficult	11.779880126065319	
8	sentence	3		0.0	
8	sentence	4	, but not	22.943855982860747	
8	sentence	5	big	14.039503765442278	
8	sentence	6	.	5.255139715947171	
9	sentence	1	The problem is	12.109515231381769	
9	sentence	2	difficult	11.779880126065319	
9	sentence	3		0.0	
9	sentence	4	, but not	22.943855982860747	
9	sentence	5	nice	18.759225028931542	
9	sentence	6	.	2.9304928759320004	
10	sentence	1	The problem is	12.109515231381769	
10	sentence	2	difficult	11.779880126065319	
10	sentence	3		0.0	
10	sentence	4	, but not	22.943855982860747	
10	sentence	5	wrong	15.721367511649513	
10	sentence	6	.	2.953196649637701	
11	sentence	1	The problem is	12.109515231381769	
11	sentence	2	difficult	11.779880126065319	
11	sentence	3		0.0	
11	sentence	4	, but not	22.943855982860747	
11	sentence	5	bad	11.826282421129312	
11	sentence	6	.	4.138933099803146	
12	sentence	1	The problem is	12.109515231381769	
12	sentence	2	difficult	11.779880126065319	
12	sentence	3		0.0	
12	sentence	4	, but not	22.943855982860747	
12	sentence	5	same	18.237432417936194	
12	sentence	6	.	5.941802463296245	
13	sentence	1	The problem is	12.109515231381769	
13	sentence	2	difficult	11.779880126065319	
13	sentence	3		0.0	
13	sentence	4	, but not	22.943855982860747	
13	sentence	5	next	18.54735340995822	
13	sentence	6	.	11.648032722469063	
14	sentence	1	The problem is	12.109515231381769	
14	sentence	2	difficult	11.779880126065319	
14	sentence	3		0.0	
14	sentence	4	, but not	22.943855982860747	
14	sentence	5	dead	11.79741134956367	
14	sentence	6	.	3.5157790738687846	
15	sentence	1	The problem is	12.109515231381769	
15	sentence	2	difficult	11.779880126065319	
15	sentence	3		0.0	
15	sentence	4	, but not	22.943855982860747	
15	sentence	5	many	11.391510967678734	
15	sentence	6	.	9.791422908164956	
16	sentence	1	The problem is	12.109515231381769	
16	sentence	2	difficult	11.779880126065319	
16	sentence	3		0.0	
16	sentence	4	, but not	22.943855982860747	
16	sentence	5	real	14.875344952080356	
16	sentence	6	.	3.48011227983695	
17	sentence	1	The problem is	12.109515231381769	
17	sentence	2	difficult	11.779880126065319	
17	sentence	3		0.0	
17	sentence	4	, but not	22.943855982860747	
17	sentence	5	live	18.901742236187328	
17	sentence	6	.	5.408575757740934	
18	sentence	1	The problem is	12.109515231381769	
18	sentence	2	difficult	11.779880126065319	
18	sentence	3		0.0	
18	sentence	4	, but not	22.943855982860747	
18	sentence	5	ready	15.290777988337314	
18	sentence	6	.	3.8278529447143077	
19	sentence	1	The problem is	12.109515231381769	
19	sentence	2	difficult	11.779880126065319	
19	sentence	3		0.0	
19	sentence	4	, but not	22.943855982860747	
19	sentence	5	happy	18.845882271187087	
19	sentence	6	.	2.7768114148954557	
20	sentence	1	The problem is	12.109515231381769	
20	sentence	2	difficult	11.779880126065319	
20	sentence	3		0.0	
20	sentence	4	, but not	22.943855982860747	
20	sentence	5	whole	18.41803346339904	
20	sentence	6	.	3.41414042289658	
21	sentence	1	The problem is	12.109515231381769	
21	sentence	2	difficult	11.779880126065319	
21	sentence	3		0.0	
21	sentence	4	, but not	22.943855982860747	
21	sentence	5	hard	8.65983209993595	
21	sentence	6	.	2.6358410196015303	
22	sentence	1	The problem is	12.109515231381769	
22	sentence	2	difficult	11.779880126065319	
22	sentence	3		0.0	
22	sentence	4	, but not	22.943855982860747	
22	sentence	5	open	16.203865526575726	
22	sentence	6	.	4.381333359131128	
23	sentence	1	The problem is	12.109515231381769	
23	sentence	2	difficult	11.779880126065319	
23	sentence	3		0.0	
23	sentence	4	, but not	22.943855982860747	
23	sentence	5	few	17.29421902271145	
23	sentence	6	.	5.482207721950734	
24	sentence	1	The problem is	12.109515231381769	
24	sentence	2	difficult	11.779880126065319	
24	sentence	3		0.0	
24	sentence	4	, but not	22.943855982860747	
24	sentence	5	true	13.128617605134913	
24	sentence	6	.	2.2503124986592473	
25	sentence	1	The problem is	12.109515231381769	
25	sentence	2	difficult	11.779880126065319	
25	sentence	3		0.0	
25	sentence	4	, but not	22.943855982860747	
25	sentence	5	young	21.7991408345791	
25	sentence	6	.	5.041926632297115	
26	sentence	1	The problem is	12.109515231381769	
26	sentence	2	difficult	11.779880126065319	
26	sentence	3		0.0	
26	sentence	4	, but not	22.943855982860747	
26	sentence	5	second	18.10999464950806	
26	sentence	6	.	10.018731001949124	
27	sentence	1	The problem is	12.109515231381769	
27	sentence	2	difficult	11.779880126065319	
27	sentence	3		0.0	
27	sentence	4	, but not	22.943855982860747	
27	sentence	5	easy	8.275185334044641	
27	sentence	6	.	3.0750057698683975	
28	sentence	1	The problem is	12.109515231381769	
28	sentence	2	difficult	11.779880126065319	
28	sentence	3		0.0	
28	sentence	4	, but not	22.943855982860747	
28	sentence	5	different	15.028836028322395	
28	sentence	6	.	6.0212426255909826	
29	sentence	1	The problem is	12.109515231381769	
29	sentence	2	difficult	11.779880126065319	
29	sentence	3		0.0	
29	sentence	4	, but not	22.943855982860747	
29	sentence	5	married	21.650349700219838	
29	sentence	6	.	5.296682125263082	
30	sentence	1	The problem is	12.109515231381769	
30	sentence	2	difficult	11.779880126065319	
30	sentence	3		0.0	
30	sentence	4	, but not	22.943855982860747	
30	sentence	5	important	14.602076902610216	
30	sentence	6	.	2.8346524480509845	
31	sentence	1	The problem is	12.109515231381769	
31	sentence	2	difficult	11.779880126065319	
31	sentence	3		0.0	
31	sentence	4	, but not	22.943855982860747	
31	sentence	5	able	16.13569985894095	
31	sentence	6	.	7.162585538054512	
32	sentence	1	The problem is	12.109515231381769	
32	sentence	2	difficult	11.779880126065319	
32	sentence	3		0.0	
32	sentence	4	, but not	22.943855982860747	
32	sentence	5	high	14.001640065028322	
32	sentence	6	.	4.09845423120017	
33	sentence	1	The problem is	12.109515231381769	
33	sentence	2	difficult	11.779880126065319	
33	sentence	3		0.0	
33	sentence	4	, but not	22.943855982860747	
33	sentence	5	free	14.818725511693906	
33	sentence	6	.	2.328299063588893	
34	sentence	1	The problem is	12.109515231381769	
34	sentence	2	difficult	11.779880126065319	
34	sentence	3		0.0	
34	sentence	4	, but not	22.943855982860747	
34	sentence	5	stupid	14.094395124152859	
34	sentence	6	.	2.825680113155472	
35	sentence	1	The problem is	12.109515231381769	
35	sentence	2	difficult	11.779880126065319	
35	sentence	3		0.0	
35	sentence	4	, but not	22.943855982860747	
35	sentence	5	full	16.72352280097796	
35	sentence	6	.	6.041329511281155	
36	sentence	1	The problem is	12.109515231381769	
36	sentence	2	difficult	11.779880126065319	
36	sentence	3		0.0	
36	sentence	4	, but not	22.943855982860747	
36	sentence	5	hot	17.750179426678926	
36	sentence	6	.	3.9902145421225494	
37	sentence	1	The problem is	12.109515231381769	
37	sentence	2	difficult	11.779880126065319	
37	sentence	3		0.0	
37	sentence	4	, but not	22.943855982860747	
37	sentence	5	clear	12.352323691531574	
37	sentence	6	.	2.6809431258250003	
38	sentence	1	The problem is	12.109515231381769	
38	sentence	2	difficult	11.779880126065319	
38	sentence	3		0.0	
38	sentence	4	, but not	22.943855982860747	
38	sentence	5	alive	22.48176611721652	
38	sentence	6	.	3.208588134446558	
39	sentence	1	The problem is	12.109515231381769	
39	sentence	2	difficult	11.779880126065319	
39	sentence	3		0.0	
39	sentence	4	, but not	22.943855982860747	
39	sentence	5	black	14.495585245195965	
39	sentence	6	.	5.470560024938399	
40	sentence	1	The problem is	12.109515231381769	
40	sentence	2	difficult	11.779880126065319	
40	sentence	3		0.0	
40	sentence	4	, but not	22.943855982860747	
40	sentence	5	white	17.703576255878726	
40	sentence	6	.	7.086474959880478	
41	sentence	1	The problem is	12.109515231381769	
41	sentence	2	difficult	11.779880126065319	
41	sentence	3		0.0	
41	sentence	4	, but not	22.943855982860747	
41	sentence	5	small	16.28177229155537	
41	sentence	6	.	3.47208722538239	
42	sentence	1	The problem is	12.109515231381769	
42	sentence	2	difficult	11.779880126065319	
42	sentence	3		0.0	
42	sentence	4	, but not	22.943855982860747	
42	sentence	5	safe	16.327010608038325	
42	sentence	6	.	2.4738816896136573	
43	sentence	1	The problem is	12.109515231381769	
43	sentence	2	difficult	11.779880126065319	
43	sentence	3		0.0	
43	sentence	4	, but not	22.943855982860747	
43	sentence	5	poor	17.83177349969307	
43	sentence	6	.	3.621607222216007	
44	sentence	1	The problem is	12.109515231381769	
44	sentence	2	difficult	11.779880126065319	
44	sentence	3		0.0	
44	sentence	4	, but not	22.943855982860747	
44	sentence	5	special	15.47380054952431	
44	sentence	6	.	4.077898864769047	
45	sentence	1	The problem is	12.109515231381769	
45	sentence	2	difficult	11.779880126065319	
45	sentence	3		0.0	
45	sentence	4	, but not	22.943855982860747	
45	sentence	5	serious	12.593341554311921	
45	sentence	6	.	2.9348289025255534	
46	sentence	1	The problem is	12.109515231381769	
46	sentence	2	difficult	11.779880126065319	
46	sentence	3		0.0	
46	sentence	4	, but not	22.943855982860747	
46	sentence	5	possible	13.248273502576806	
46	sentence	6	.	3.0307339958832933	
47	sentence	1	The problem is	12.109515231381769	
47	sentence	2	difficult	11.779880126065319	
47	sentence	3		0.0	
47	sentence	4	, but not	22.943855982860747	
47	sentence	5	lucky	21.570780894902256	
47	sentence	6	.	3.246211403114608	
48	sentence	1	The problem is	12.109515231381769	
48	sentence	2	difficult	11.779880126065319	
48	sentence	3		0.0	
48	sentence	4	, but not	22.943855982860747	
48	sentence	5	quiet	17.9703722542316	
48	sentence	6	.	2.9475322290488837	
49	sentence	1	The problem is	12.109515231381769	
49	sentence	2	difficult	11.779880126065319	
49	sentence	3		0.0	
49	sentence	4	, but not	22.943855982860747	
49	sentence	5	strong	16.342134074424596	
49	sentence	6	.	3.9061535499644293	
50	sentence	1	The problem is	12.109515231381769	
50	sentence	2	difficult	11.779880126065319	
50	sentence	3		0.0	
50	sentence	4	, but not	22.943855982860747	
50	sentence	5	general	16.76573422280573	
50	sentence	6	.	3.209369623612079	
51	sentence	1	The problem is	12.109515231381769	
51	sentence	2	difficult	11.779880126065319	
51	sentence	3		0.0	
51	sentence	4	, but not	22.943855982860747	
51	sentence	5	busy	21.32221230581843	
51	sentence	6	.	3.40012349288596	
52	sentence	1	The problem is	12.109515231381769	
52	sentence	2	difficult	11.779880126065319	
52	sentence	3		0.0	
52	sentence	4	, but not	22.943855982860747	
