item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The weather is	15.633017788126827	
1	sentence	2	cool	7.6763940264662045	
1	sentence	3		0.0	
1	sentence	4	, but not	18.86360491137585	
1	sentence	5	good	5.951730677765252	
1	sentence	6	.	3.928053820725299	
2	sentence	1	The weather is	15.633017788126827	
2	sentence	2	cool	7.6763940264662045	
2	sentence	3		0.0	
2	sentence	4	, but not	18.86360491137585	
2	sentence	5	little	17.113883518461535	
2	sentence	6	.	4.4416335722113445	
3	sentence	1	The weather is	15.633017788126827	
3	sentence	2	cool	7.6763940264662045	
3	sentence	3		0.0	
3	sentence	4	, but not	18.86360491137585	
3	sentence	5	other	14.630949350037064	
3	sentence	6	.	10.884283911350261	
4	sentence	1	The weather is	15.633017788126827	
4	sentence	2	cool	7.6763940264662045	
4	sentence	3		0.0	
4	sentence	4	, but not	18.86360491137585	
4	sentence	5	great	5.209865971038139	
4	sentence	6	.	3.6268320551492192	
5	sentence	1	The weather is	15.633017788126827	
5	sentence	2	cool	7.6763940264662045	
5	sentence	3		0.0	
5	sentence	4	, but not	18.86360491137585	
5	sentence	5	last	12.166088494426463	
5	sentence	6	.	6.75493368485319	
6	sentence	1	The weather is	15.633017788126827	
6	sentence	2	cool	7.6763940264662045	
6	sentence	3		0.0	
6	sentence	4	, but not	18.86360491137585	
6	sentence	5	new	13.617302867908567	
6	sentence	6	.	5.11878086345348	
7	sentence	1	The weather is	15.633017788126827	
7	sentence	2	cool	7.6763940264662045	
7	sentence	3		0.0	
7	sentence	4	, but not	18.86360491137585	
7	sentence	5	old	15.68056634755882	
7	sentence	6	.	4.828834624433268	
8	sentence	1	The weather is	15.633017788126827	
8	sentence	2	cool	7.6763940264662045	
8	sentence	3		0.0	
8	sentence	4	, but not	18.86360491137585	
8	sentence	5	big	12.342506921820325	
8	sentence	6	.	5.221074080394869	
9	sentence	1	The weather is	15.633017788126827	
9	sentence	2	cool	7.6763940264662045	
9	sentence	3		0.0	
9	sentence	4	, but not	18.86360491137585	
9	sentence	5	nice	7.993618777705069	
9	sentence	6	.	3.125569013187365	
10	sentence	1	The weather is	15.633017788126827	
10	sentence	2	cool	7.6763940264662045	
10	sentence	3		0.0	
10	sentence	4	, but not	18.86360491137585	
10	sentence	5	wrong	12.032266729998302	
10	sentence	6	.	3.7276231756179716	
11	sentence	1	The weather is	15.633017788126827	
11	sentence	2	cool	7.6763940264662045	
11	sentence	3		0.0	
11	sentence	4	, but not	18.86360491137585	
11	sentence	5	bad	4.7838112862638935	
11	sentence	6	.	4.252827922406437	
12	sentence	1	The weather is	15.633017788126827	
12	sentence	2	cool	7.6763940264662045	
12	sentence	3		0.0	
12	sentence	4	, but not	18.86360491137585	
12	sentence	5	same	16.596097415300687	
12	sentence	6	.	6.153486965145431	
13	sentence	1	The weather is	15.633017788126827	
13	sentence	2	cool	7.6763940264662045	
13	sentence	3		0.0	
13	sentence	4	, but not	18.86360491137585	
13	sentence	5	next	15.34448197882634	
13	sentence	6	.	10.053577438736342	
14	sentence	1	The weather is	15.633017788126827	
14	sentence	2	cool	7.6763940264662045	
14	sentence	3		0.0	
14	sentence	4	, but not	18.86360491137585	
14	sentence	5	dead	10.699310378971878	
14	sentence	6	.	3.699846601642421	
15	sentence	1	The weather is	15.633017788126827	
15	sentence	2	cool	7.6763940264662045	
15	sentence	3		0.0	
15	sentence	4	, but not	18.86360491137585	
15	sentence	5	many	11.635336275251767	
15	sentence	6	.	10.179426775401108	
16	sentence	1	The weather is	15.633017788126827	
16	sentence	2	cool	7.6763940264662045	
16	sentence	3		0.0	
16	sentence	4	, but not	18.86360491137585	
16	sentence	5	real	13.75070637052983	
16	sentence	6	.	5.66448319050238	
17	sentence	1	The weather is	15.633017788126827	
17	sentence	2	cool	7.6763940264662045	
17	sentence	3		0.0	
17	sentence	4	, but not	18.86360491137585	
17	sentence	5	live	14.842303645196594	
17	sentence	6	.	4.952578893451473	
18	sentence	1	The weather is	15.633017788126827	
18	sentence	2	cool	7.6763940264662045	
18	sentence	3		0.0	
18	sentence	4	, but not	18.86360491137585	
18	sentence	5	ready	11.47727733980281	
18	sentence	6	.	5.9322003279332725	
19	sentence	1	The weather is	15.633017788126827	
19	sentence	2	cool	7.6763940264662045	
19	sentence	3		0.0	
19	sentence	4	, but not	18.86360491137585	
19	sentence	5	happy	11.728410534176305	
19	sentence	6	.	3.869532596185608	
20	sentence	1	The weather is	15.633017788126827	
20	sentence	2	cool	7.6763940264662045	
20	sentence	3		0.0	
20	sentence	4	, but not	18.86360491137585	
20	sentence	5	whole	15.528076898275405	
20	sentence	6	.	4.242663403775143	
21	sentence	1	The weather is	15.633017788126827	
21	sentence	2	cool	7.6763940264662045	
21	sentence	3		0.0	
21	sentence	4	, but not	18.86360491137585	
21	sentence	5	hard	11.14570579582897	
21	sentence	6	.	4.2245171703173074	
22	sentence	1	The weather is	15.633017788126827	
22	sentence	2	cool	7.6763940264662045	
22	sentence	3		0.0	
22	sentence	4	, but not	18.86360491137585	
22	sentence	5	open	14.94376515403841	
22	sentence	6	.	5.056723331646748	
23	sentence	1	The weather is	15.633017788126827	
23	sentence	2	cool	7.6763940264662045	
23	sentence	3		0.0	
23	sentence	4	, but not	18.86360491137585	
23	sentence	5	few	17.720759386491732	
23	sentence	6	.	6.347524671154886	
24	sentence	1	The weather is	15.633017788126827	
24	sentence	2	cool	7.6763940264662045	
24	sentence	3		0.0	
24	sentence	4	, but not	18.86360491137585	
24	sentence	5	true	12.804311984194724	
24	sentence	6	.	3.8805649392731554	
25	sentence	1	The weather is	15.633017788126827	
25	sentence	2	cool	7.6763940264662045	
25	sentence	3		0.0	
25	sentence	4	, but not	18.86360491137585	
25	sentence	5	young	18.01561194657576	
25	sentence	6	.	3.9005658336378963	
26	sentence	1	The weather is	15.633017788126827	
26	sentence	2	cool	7.6763940264662045	
26	sentence	3		0.0	
26	sentence	4	, but not	18.86360491137585	
26	sentence	5	second	17.057198036737155	
26	sentence	6	.	8.845785933424251	
27	sentence	1	The weather is	15.633017788126827	
27	sentence	2	cool	7.6763940264662045	
27	sentence	3		0.0	
27	sentence	4	, but not	18.86360491137585	
27	sentence	5	easy	10.70391125884776	
27	sentence	6	.	4.389257287786981	
28	sentence	1	The weather is	15.633017788126827	
28	sentence	2	cool	7.6763940264662045	
28	sentence	3		0.0	
28	sentence	4	, but not	18.86360491137585	
28	sentence	5	different	13.998625553123999	
28	sentence	6	.	5.703938074402118	
29	sentence	1	The weather is	15.633017788126827	
29	sentence	2	cool	7.6763940264662045	
29	sentence	3		0.0	
29	sentence	4	, but not	18.86360491137585	
29	sentence	5	married	20.80119155296015	
29	sentence	6	.	5.416402344216399	
30	sentence	1	The weather is	15.633017788126827	
30	sentence	2	cool	7.6763940264662045	
30	sentence	3		0.0	
30	sentence	4	, but not	18.86360491137585	
30	sentence	5	important	12.804378025532657	
30	sentence	6	.	3.555069198388997	
31	sentence	1	The weather is	15.633017788126827	
31	sentence	2	cool	7.6763940264662045	
31	sentence	3		0.0	
31	sentence	4	, but not	18.86360491137585	
31	sentence	5	able	13.69258999315027	
31	sentence	6	.	11.396111159624013	
32	sentence	1	The weather is	15.633017788126827	
32	sentence	2	cool	7.6763940264662045	
32	sentence	3		0.0	
32	sentence	4	, but not	18.86360491137585	
