item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	Drinking is	18.449262761073314	
1	sentence	2	allowed	10.516666179616783	
1	sentence	3		0.0	
1	sentence	4	, but not	16.48457887698437	
1	sentence	5	good	10.596647743296437	
1	sentence	6	.	5.613711848175868	
2	sentence	1	Drinking is	18.449262761073314	
2	sentence	2	allowed	10.516666179616783	
2	sentence	3		0.0	
2	sentence	4	, but not	16.48457887698437	
2	sentence	5	little	16.842044988785368	
2	sentence	6	.	5.840318252744515	
3	sentence	1	Drinking is	18.449262761073314	
3	sentence	2	allowed	10.516666179616783	
3	sentence	3		0.0	
3	sentence	4	, but not	16.48457887698437	
3	sentence	5	other	11.291600742347702	
3	sentence	6	.	12.610032126612854	
4	sentence	1	Drinking is	18.449262761073314	
4	sentence	2	allowed	10.516666179616783	
4	sentence	3		0.0	
4	sentence	4	, but not	16.48457887698437	
4	sentence	5	great	12.670653947250184	
4	sentence	6	.	5.32220985409595	
5	sentence	1	Drinking is	18.449262761073314	
5	sentence	2	allowed	10.516666179616783	
5	sentence	3		0.0	
5	sentence	4	, but not	16.48457887698437	
5	sentence	5	last	14.503213019727031	
5	sentence	6	.	6.570717564069208	
6	sentence	1	Drinking is	18.449262761073314	
6	sentence	2	allowed	10.516666179616783	
6	sentence	3		0.0	
6	sentence	4	, but not	16.48457887698437	
6	sentence	5	new	13.264871892176878	
6	sentence	6	.	5.605468375754712	
7	sentence	1	Drinking is	18.449262761073314	
7	sentence	2	allowed	10.516666179616783	
7	sentence	3		0.0	
7	sentence	4	, but not	16.48457887698437	
7	sentence	5	old	14.247611028153518	
7	sentence	6	.	7.280672265789934	
8	sentence	1	Drinking is	18.449262761073314	
8	sentence	2	allowed	10.516666179616783	
8	sentence	3		0.0	
8	sentence	4	, but not	16.48457887698437	
8	sentence	5	big	13.428896561818963	
8	sentence	6	.	7.529004206746174	
9	sentence	1	Drinking is	18.449262761073314	
9	sentence	2	allowed	10.516666179616783	
9	sentence	3		0.0	
9	sentence	4	, but not	16.48457887698437	
9	sentence	5	nice	15.172101704074736	
