item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The results were	15.112881198076636	
1	sentence	2	mysterious	14.838173309853472	
1	sentence	3		0.0	
1	sentence	4	, but not	20.056667306520097	
1	sentence	5	good	11.271081148307958	
1	sentence	6	.	4.534219400407432	
2	sentence	1	The results were	15.112881198076636	
2	sentence	2	mysterious	14.838173309853472	
2	sentence	3		0.0	
2	sentence	4	, but not	20.056667306520097	
2	sentence	5	little	14.98562022781359	
2	sentence	6	.	5.617596592293557	
3	sentence	1	The results were	15.112881198076636	
3	sentence	2	mysterious	14.838173309853472	
3	sentence	3		0.0	
3	sentence	4	, but not	20.056667306520097	
3	sentence	5	other	13.7921211687188	
3	sentence	6	.	9.679385842156284	
4	sentence	1	The results were	15.112881198076636	
4	sentence	2	mysterious	14.838173309853472	
4	sentence	3		0.0	
4	sentence	4	, but not	20.056667306520097	
4	sentence	5	great	10.687528879457172	
4	sentence	6	.	3.7219735455371286	
5	sentence	1	The results were	15.112881198076636	
5	sentence	2	mysterious	14.838173309853472	
5	sentence	3		0.0	
5	sentence	4	, but not	20.056667306520097	
5	sentence	5	last	15.08388973865539	
5	sentence	6	.	9.740073704131547	
6	sentence	1	The results were	15.112881198076636	
6	sentence	2	mysterious	14.838173309853472	
6	sentence	3		0.0	
6	sentence	4	, but not	20.056667306520097	
6	sentence	5	new	10.655520844339794	
6	sentence	6	.	4.527769019104172	
7	sentence	1	The results were	15.112881198076636	
7	sentence	2	mysterious	14.838173309853472	
7	sentence	3		0.0	
7	sentence	4	, but not	20.056667306520097	
7	sentence	5	old	15.983746995528227	
7	sentence	6	.	5.6694307874024	
8	sentence	1	The results were	15.112881198076636	
8	sentence	2	mysterious	14.838173309853472	
8	sentence	3		0.0	
8	sentence	4	, but not	20.056667306520097	
8	sentence	5	big	12.048024468400955	
8	sentence	6	.	6.095047260382248	
9	sentence	1	The results were	15.112881198076636	
9	sentence	2	mysterious	14.838173309853472	
9	sentence	3		0.0	
9	sentence	4	, but not	20.056667306520097	
9	sentence	5	nice	15.270082284063088	
9	sentence	6	.	3.3653995077461554	
10	sentence	1	The results were	15.112881198076636	
10	sentence	2	mysterious	14.838173309853472	
10	sentence	3		0.0	
10	sentence	4	, but not	20.056667306520097	
10	sentence	5	wrong	10.691304242608913	
10	sentence	6	.	3.281679385202045	
11	sentence	1	The results were	15.112881198076636	
11	sentence	2	mysterious	14.838173309853472	
