item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	This movie is	14.090796731148856	
1	sentence	2	funny	8.609555379713322	
1	sentence	3		0.0	
1	sentence	4	, but not	17.37631700489262	
1	sentence	5	good	6.275865691915785	
1	sentence	6	.	3.874359117299422	
2	sentence	1	This movie is	14.090796731148856	
2	sentence	2	funny	8.609555379713322	
2	sentence	3		0.0	
2	sentence	4	, but not	17.37631700489262	
2	sentence	5	little	16.756251787367756	
2	sentence	6	.	6.017162509181913	
3	sentence	1	This movie is	14.090796731148856	
3	sentence	2	funny	8.609555379713322	
3	sentence	3		0.0	
3	sentence	4	, but not	17.37631700489262	
3	sentence	5	other	13.004333310593	
3	sentence	6	.	9.067971695935121	
4	sentence	1	This movie is	14.090796731148856	
4	sentence	2	funny	8.609555379713322	
4	sentence	3		0.0	
4	sentence	4	, but not	17.37631700489262	
4	sentence	5	great	4.99108684087556	
4	sentence	6	.	3.221762349467951	
5	sentence	1	This movie is	14.090796731148856	
5	sentence	2	funny	8.609555379713322	
5	sentence	3		0.0	
5	sentence	4	, but not	17.37631700489262	
5	sentence	5	last	12.408508359776643	
5	sentence	6	.	5.632821184478536	
6	sentence	1	This movie is	14.090796731148856	
6	sentence	2	funny	8.609555379713322	
6	sentence	3		0.0	
6	sentence	4	, but not	17.37631700489262	
6	sentence	5	new	11.975409265623057	
6	sentence	6	.	5.286436774785883	
7	sentence	1	This movie is	14.090796731148856	
7	sentence	2	funny	8.609555379713322	
7	sentence	3		0.0	
7	sentence	4	, but not	17.37631700489262	
7	sentence	5	old	12.509177372563283	
7	sentence	6	.	5.622908792413408	
8	sentence	1	This movie is	14.090796731148856	
8	sentence	2	funny	8.609555379713322	
8	sentence	3		0.0	
8	sentence	4	, but not	17.37631700489262	
8	sentence	5	big	11.54942062218674	
8	sentence	6	.	6.205552992867638	
9	sentence	1	This movie is	14.090796731148856	
9	sentence	2	funny	8.609555379713322	
9	sentence	3		0.0	
9	sentence	4	, but not	17.37631700489262	
9	sentence	5	nice	10.351771965691935	
9	sentence	6	.	3.110327910667903	
10	sentence	1	This movie is	14.090796731148856	
10	sentence	2	funny	8.609555379713322	
10	sentence	3		0.0	
10	sentence	4	, but not	17.37631700489262	
10	sentence	5	wrong	11.78267862776016	
10	sentence	6	.	3.4692120194252656	
11	sentence	1	This movie is	14.090796731148856	
11	sentence	2	funny	8.609555379713322	
11	sentence	3		0.0	
11	sentence	4	, but not	17.37631700489262	
11	sentence	5	bad	6.552072580923869	
11	sentence	6	.	3.990584648787206	
12	sentence	1	This movie is	14.090796731148856	
12	sentence	2	funny	8.609555379713322	
12	sentence	3		0.0	
12	sentence	4	, but not	17.37631700489262	
12	sentence	5	same	16.960407576692774	
12	sentence	6	.	6.769695299742047	
13	sentence	1	This movie is	14.090796731148856	
13	sentence	2	funny	8.609555379713322	
13	sentence	3		0.0	
13	sentence	4	, but not	17.37631700489262	
13	sentence	5	next	13.797864013396412	
13	sentence	6	.	11.283926188535599	
14	sentence	1	This movie is	14.090796731148856	
14	sentence	2	funny	8.609555379713322	
14	sentence	3		0.0	
14	sentence	4	, but not	17.37631700489262	
14	sentence	5	dead	10.733270761141853	
14	sentence	6	.	4.101449825012899	
15	sentence	1	This movie is	14.090796731148856	
15	sentence	2	funny	8.609555379713322	
15	sentence	3		0.0	
15	sentence	4	, but not	17.37631700489262	
15	sentence	5	many	8.746538185264342	
15	sentence	6	.	9.805804785360708	
16	sentence	1	This movie is	14.090796731148856	
16	sentence	2	funny	8.609555379713322	
